MinVanillaIw,AvgEpLen,Bound,MinNormIw,VanillaAvgRet,VarVanillaIw,VarRet,AvgDiscRet,AvgVanillaIw,BatchSize,VarNormIw,AvgNormIw,AvgRet,MaxVanillaIw,ESSClassic,EpsThisIter,ESSRenyi,MaxNormIw,VarJ,Delta,IterType,VarDiscRet,J,eRenyi2
1.64852e-09,379.06,-289.791,1.30846e-11,-309.32856151,2.84029,23344.6619147,-309.32856151,1.25989,100,0.000178935,0.01,-309.32856151,5.36004,36.08209334,100,28.1431314701,0.0425436,139.776,0.2,1,23344.6619147,-132.528,3.55326
0.00616605,188.54,-203.509,6.57012e-05,-141.35764629,0.249728,14821.2750587,-141.35764629,0.938498,100,2.8353e-05,0.01,-141.35764629,1.70913,78.0826078747,100,80.1415693559,0.0182113,108.222,0.2,1,14821.2750587,-110.316,1.24779
0.233505,146.77,-183.505,0.00223745,-107.125229857,0.165738,8854.43193328,-107.125229857,1.04362,100,1.52173e-05,0.01,-107.125229857,2.12763,86.9072983274,100,87.7183729066,0.020387,74.2146,0.2,1,8854.43193328,-94.4279,1.14001
0.819106,149.75,-193.441,0.00831478,-111.384835936,0.0327646,10725.9273656,-111.384835936,0.985121,100,3.37618e-06,0.01,-111.384835936,1.67916,96.765650949,100,96.7368776965,0.0170452,98.912,0.2,1,10725.9273656,-108.617,1.03373
0.441417,150.37,-193.216,0.00442907,-111.301471061,0.0287239,11038.1573068,-111.301471061,0.996636,100,2.89181e-06,0.01,-111.301471061,1.23981,97.2168189087,100,97.6622825053,0.01244,105.945,0.2,1,11038.1573068,-108.795,1.02394
0.143957,139.36,-183.216,0.00159596,-102.341611872,0.127849,9015.32330473,-102.341611872,0.902009,100,1.57136e-05,0.01,-102.341611872,1.61313,86.5377918032,100,88.0806478015,0.0178837,84.4259,0.2,1,9015.32330473,-94.3273,1.13532
0.45509,121.59,-170.252,0.00465778,-87.7811954014,0.0260879,6055.28629464,-87.7811954014,0.977052,100,2.73277e-06,0.01,-87.7811954014,1.20909,97.3658211344,100,97.8763263335,0.0123749,76.5137,0.2,1,6055.28629464,-85.9237,1.0217
0.5938,136.7,-183.454,0.00593701,-101.140891492,0.0223501,10244.9492079,-101.140891492,1.00017,100,2.23426e-06,0.01,-101.140891492,1.57622,97.8359395584,100,97.7773011784,0.0157596,95.9804,0.2,1,10244.9492079,-99.0822,1.02273
0.114684,134.48,-178.891,0.00113464,-99.0299979819,0.112331,9115.08615175,-99.0299979819,1.01075,100,1.09955e-05,0.01,-99.0299979819,1.63951,90.183114765,100,90.8325835785,0.0162207,78.916,0.2,1,9115.08615175,-91.354,1.10093
0.777024,126.34,-174.646,0.00768285,-91.8891502598,0.0136347,6984.14444941,-91.8891502598,1.01137,100,1.33298e-06,0.01,-91.8891502598,1.28201,98.6974958505,100,98.3695733113,0.0126759,79.2953,0.2,1,6984.14444941,-90.5294,1.01657
0.870129,121.06,-170.741,0.00874514,-87.5997268285,0.00597069,5962.61635009,-87.5997268285,0.994986,100,6.03102e-07,0.01,-87.5997268285,1.24237,99.4064652144,100,99.341254636,0.0124863,74.3997,0.2,1,5962.61635009,-87.0381,1.00663
0.611785,143.0,-188.018,0.00610068,-106.074385777,0.0267704,11014.1798177,-106.074385777,1.00281,100,2.66204e-06,0.01,-106.074385777,1.60862,97.4322768863,100,97.0411871113,0.016041,98.8679,0.2,1,11014.1798177,-103.328,1.03049
0.857185,132.07,-179.5,0.00866258,-97.1053491212,0.0161586,9173.13794426,-97.1053491212,0.989526,100,1.65025e-06,0.01,-97.1053491212,1.70118,98.3924930708,100,98.0311631896,0.0171919,89.9653,0.2,1,9173.13794426,-95.2383,1.02008
0.580181,112.85,-163.304,0.00581053,-80.5289981075,0.0131716,3743.13428516,-80.5289981075,0.998498,100,1.32112e-06,0.01,-80.5289981075,1.56277,98.7089856608,100,98.635001341,0.0156512,57.4789,0.2,1,3743.13428516,-79.3021,1.01384
0.900373,112.96,-163.607,0.00899313,-80.409669735,0.00418907,3742.30673638,-80.409669735,1.00118,100,4.17921e-07,0.01,-80.409669735,1.27569,99.5879693381,100,99.5157441288,0.0127419,58.9821,0.2,1,3742.30673638,-79.9775,1.00487
0.495372,136.54,-181.654,0.00494856,-100.819582557,0.0637554,10119.834854,-100.819582557,1.00104,100,6.36227e-06,0.01,-100.819582557,1.73328,94.0745938777,100,94.3218176031,0.0173147,90.7776,0.2,1,10119.834854,-95.7515,1.0602
0.701776,137.34,-184.152,0.00706839,-101.695899039,0.013919,10117.3380199,-101.695899039,0.992837,100,1.41206e-06,0.01,-101.695899039,1.45214,98.6213356954,100,97.9769826842,0.0146262,96.111,0.2,1,10117.3380199,-99.8665,1.02065
0.335109,116.86,-165.067,0.00327416,-83.6883421859,0.0282722,4865.01438518,-83.6883421859,1.0235,100,2.6989e-06,0.01,-83.6883421859,1.34511,97.3976384757,100,97.2521195553,0.0131423,58.7555,0.2,1,4865.01438518,-80.4677,1.02826
0.848045,107.05,-158.816,0.00849233,-75.6515611778,0.00531516,2605.07686405,-75.6515611778,0.998601,100,5.33006e-07,0.01,-75.6515611778,1.23104,99.4750933279,100,99.3707684898,0.0123276,49.7619,0.2,1,2605.07686405,-75.1259,1.00633
0.266785,134.21,-179.822,0.00276815,-99.1238026473,0.085708,10257.4267774,-99.1238026473,0.963768,100,9.22734e-06,0.01,-99.1238026473,1.48808,91.6295915695,100,91.7693919624,0.0154402,86.9546,0.2,1,10257.4267774,-92.7332,1.08969
0.548508,105.8,-156.852,0.00537888,-74.6981528082,0.018311,2576.27820218,-74.6981528082,1.01974,100,1.76088e-06,0.01,-74.6981528082,1.20653,98.2866146871,100,97.5436548312,0.0118317,38.1663,0.2,1,2576.27820218,-72.5071,1.02518
0.106619,144.52,-187.808,0.00109216,-107.711258153,0.120417,12098.6965619,-107.711258153,0.976216,100,1.26356e-05,0.01,-107.711258153,1.44652,88.8815963239,100,88.921066437,0.0148176,98.043,0.2,1,12098.6965619,-99.3359,1.12459
0.258771,118.64,-167.201,0.0026237,-85.6559226803,0.0555733,5985.30653353,-85.6559226803,0.986281,100,5.71301e-06,0.01,-85.6559226803,1.48159,94.6469067652,100,95.2850711792,0.015022,59.759,0.2,1,5985.30653353,-81.7332,1.04948
0.822159,119.53,-169.249,0.00815694,-86.18413802,0.00919894,5971.50135221,-86.18413802,1.00793,100,9.05482e-07,0.01,-86.18413802,1.21461,99.11154564,100,99.0665648832,0.0120505,74.8123,0.2,1,5971.50135221,-85.4291,1.00942
0.845941,119.34,-168.91,0.00842579,-86.047721117,0.0142534,5984.91949799,-86.047721117,1.00399,100,1.41403e-06,0.01,-86.047721117,1.43038,98.61944996,100,98.74176932,0.0142469,72.033,0.2,1,5984.91949799,-84.9511,1.01274
0.728774,141.94,-189.253,0.00726105,-106.234800432,0.00981209,12184.3330936,-106.234800432,1.00368,100,9.74036e-07,0.01,-106.234800432,1.32965,99.0449579354,100,99.036249268,0.0132478,107.685,0.2,1,12184.3330936,-105.42,1.00973
0.141557,129.37,-174.05,0.00137773,-95.3621770397,0.0597638,9205.44971897,-95.3621770397,1.02746,100,5.66116e-06,0.01,-95.3621770397,1.27698,94.6929302586,100,94.266827932,0.0124285,81.7199,0.2,1,9205.44971897,-88.1216,1.06082
0.320805,118.84,-167.75,0.0031892,-85.7159909202,0.0354181,5979.15342009,-85.7159909202,1.00591,100,3.5003e-06,0.01,-85.7159909202,1.31639,96.6507592975,100,96.9648435446,0.0130865,69.5951,0.2,1,5979.15342009,-83.0266,1.0313
0.464934,129.99,-176.939,0.00478528,-95.2563690259,0.037845,9258.24358301,-95.2563690259,0.971592,100,4.00904e-06,0.01,-95.2563690259,1.6191,96.1825652045,100,96.6088245788,0.0166644,89.5748,0.2,1,9258.24358301,-92.0588,1.0351
0.546063,105.98,-157.1,0.00540708,-74.4853460141,0.0186142,2592.12105741,-74.4853460141,1.0099,100,1.82509e-06,0.01,-74.4853460141,1.22961,98.2252096283,100,98.2059168406,0.0121755,43.1384,0.2,1,2592.12105741,-72.9203,1.01827
0.659446,101.94,-154.253,0.0066329,-71.1789967494,0.00948395,1380.71190013,-71.1789967494,0.994206,100,9.59482e-07,0.01,-71.1789967494,1.10432,99.0590593421,100,99.1674345833,0.0111076,31.5607,0.2,1,1380.71190013,-70.476,1.0084
0.413687,113.6,-163.796,0.00415478,-81.8744084676,0.0435114,6079.42452476,-81.8744084676,0.99569,100,4.38889e-06,0.01,-81.8744084676,1.38582,95.8359448656,100,96.3663180246,0.0139182,69.351,0.2,1,6079.42452476,-78.8107,1.03771
0.31544,113.86,-162.298,0.00319295,-81.7480846369,0.0693319,4882.29368849,-81.7480846369,0.987927,100,7.10367e-06,0.01,-81.7480846369,1.31984,93.4294542486,100,94.6593025532,0.0133597,51.8317,0.2,1,4882.29368849,-76.5488,1.05642
0.689882,105.1,-156.988,0.00679686,-74.0357499507,0.0127704,2580.20850582,-74.0357499507,1.015,100,1.23957e-06,0.01,-74.0357499507,1.30253,98.7877279341,100,98.9655732597,0.0128327,44.4482,0.2,1,2580.20850582,-73.1463,1.01045
