J,AvgVanillaIw,eRenyi2,VanillaAvgRet,MaxVanillaIw,MinVanillaIw,AvgRet,AvgDiscRet,BatchSize,VarRet,AvgNormIw,VarVanillaIw,VarJ,VarNormIw,AvgEpLen,Bound,VarDiscRet,MinNormIw,MaxNormIw,ESSClassic,ESSRenyi
307.79456,2.4728637,22.01335,72.25414295235169,161.47566,1.7135711e-12,72.25414295235169,72.25414295235169,100,3264.8257332480625,0.01,273.0567,560.81,0.004465319,8.23,153.83621,3264.8257332480625,6.9295007e-15,0.6529905,2.2120639437945524,4.542698050095591
866.38617,1.8911303,25.703148,147.8205711399554,155.62341,,147.8205711399554,147.8205711399554,100,20418.197229411162,0.01,242.36285,1156.6183,0.0067767776,15.79,439.7727,20418.197229411162,,0.82291216,1.4686426633533405,3.890574043110595
1065.9937,1.7010564,13.606976,330.266289095525,70.886215,2.2459154e-10,330.266289095525,330.266289095525,100,84019.13671212363,0.01,71.55162,1102.4006,0.0024727604,34.04,665.5399,84019.13671212363,1.3203063e-12,0.41671878,3.9245961376006364,7.34917172392274
1394.6954,1.6394658,7.1472282,771.2799253454901,92.39778,1.3738259e-09,771.2799253454901,771.2799253454901,100,157173.98701740932,0.01,85.86454,2299.0247,0.003194546,78.15,827.72754,157173.98701740932,8.379717e-12,0.5635847,3.0650393616083975,13.991437887321913
1028.7898,1.2074852,1.5244011,925.2451431701852,3.0093107,0.054319043,925.2451431701852,925.2451431701852,100,171795.1911703567,0.010000002,0.5807872,442.99442,3.983395e-05,93.55,792.9214,171795.1911703567,0.00044985267,0.024922132,71.71766988437673,65.59953417384008
1238.4734,1.171125,3.9327943,921.1327544891445,11.507142,6.6941044e-09,921.1327544891445,921.1327544891445,100,156335.5162576674,0.010000002,4.6384263,691.78235,0.00033819256,93.14,919.73663,156335.5162576674,5.7159603e-11,0.09825716,22.998519112778304,25.427213209067897
1184.6931,1.0129482,2.163147,1035.7521281140744,4.9023857,0.0003530354,1035.7521281140744,1035.7521281140744,100,165268.93434334226,0.009999999,0.9939327,654.5228,9.68685e-05,104.6,886.38904,165268.93434334226,3.4852267e-06,0.048397202,51.04650578241523,46.22894387855873
2039.1271,0.84710115,17.512293,1128.2539526089092,33.046818,6.4941365e-29,1128.2539526089092,1128.2539526089092,100,154148.4894322843,0.01,20.325823,1691.1086,0.00283255,113.85,1155.133,154148.4894322843,7.666306e-31,0.39011654,3.443260223987738,5.710274536199754
1366.2875,1.0168836,1.8128831,1223.5130198900076,4.924017,0.0026423247,1223.5130198900076,1223.5130198900076,100,234742.86315405843,0.010000002,0.89481646,907.80396,8.6534936e-05,123.38,979.88184,234742.86315405843,2.5984533e-05,0.04842262,53.85911661719557,55.16075353544414
1050.7334,1.0344918,1.1395248,1031.4609902171937,1.8384728,0.128861,1031.4609902171937,1031.4609902171937,100,147338.20902487004,0.010000002,0.16535787,393.07172,1.5451506e-05,104.18,871.05615,147338.20902487004,0.0012456453,0.017771749,86.7325142336086,87.75587724566527
1269.332,0.9685127,1.4933084,1179.0116474081372,5.831587,0.0646431,1179.0116474081372,1179.0116474081372,100,195709.30214516472,0.01,0.73979455,800.27625,7.8867924e-05,118.93,933.0312,195709.30214516472,0.0006674471,0.060211774,56.15477029385923,66.96540267853372
1243.9266,1.0271894,1.3316333,1178.3723540403792,4.579613,0.06305166,1178.3723540403792,1178.3723540403792,100,208979.60238969498,0.01,0.4069311,699.5279,3.8567356e-05,118.87,939.94653,208979.60238969498,0.0006138271,0.044583924,72.3685013348033,75.09574729981962
1993.5037,1.1551992,16.978888,1169.1089542647228,67.1774,,1169.1089542647228,1169.1089542647228,100,147055.0118884882,0.010000002,47.377705,3064.559,0.003550261,117.94,1130.0048,147055.0118884882,,0.5815222,2.7664366718493474,5.889667368282938
2246.108,1.8293246,12.200201,1282.3234554453827,112.64639,3.315149e-13,1282.3234554453827,1282.3234554453827,100,226950.47746277496,0.01,127.46905,3832.3628,0.0038091068,129.26,1378.9161,226950.47746277496,1.8122257e-15,0.6157813,2.583301489296451,8.19658624614804
1320.4193,0.95147437,2.5932877,1171.9713568329382,25.662685,3.528794e-05,1171.9713568329382,1171.9713568329382,100,126275.69897178952,0.009999999,6.708103,622.7572,0.0007409786,118.23,1037.1671,126275.69897178952,3.708764e-07,0.26971495,11.996610726157694,38.56108975265966
2294.6348,0.6591132,12.08237,1236.0955141237519,40.459362,1.865625e-30,1236.0955141237519,1236.0955141237519,100,238864.70122917113,0.01,16.958687,2118.5706,0.0039036612,124.64,1221.0083,238864.70122917113,2.8305075e-32,0.6138454,2.522306876952402,8.276522041539367
