Delta,AvgDiscRet,Bound,VarRet,VarJ,MaxVanillaIw,eRenyi2,VarDiscRet,MaxNormIw,VarNormIw,AvgRet,AvgNormIw,AvgVanillaIw,J,EpsThisIter,VanillaAvgRet,IterType,ESSClassic,AvgEpLen,VarVanillaIw,ESSRenyi,MinNormIw,MinVanillaIw,BatchSize
0.3,-109.436873695,-134.93,68.4850567536,6.2556,1.31237,1.01785,68.4850567536,0.0129823,1.93245e-06,-109.436873695,0.01,1.01089,-108.95,100,-109.436873695,1,98.12280506,17.69,0.0197478,98.2463225007,0.00658282,0.665452,100
0.3,-111.945645537,-186.618,1507.48264914,27.4879,1.2158,1.01507,1507.48264914,0.0124011,1.74333e-06,-111.945645537,0.01,0.980399,-110.743,100,-111.945645537,1,98.3034029094,22.69,0.0167566,98.5152035123,0.00626974,0.614684,100
0.3,-110.61588635,-141.183,175.598830257,10.4013,1.57842,1.02301,175.598830257,0.0159781,2.88643e-06,-110.61588635,0.01,0.987865,-109.863,100,-110.61588635,1,97.2218164738,20.18,0.028168,97.7506397379,0.0059004,0.58288,100
0.3,-108.109544311,-134.442,49.5938976456,5.80318,1.14309,1.00657,49.5938976456,0.0112701,5.0794e-07,-108.109544311,0.01,1.01427,-107.93,100,-108.109544311,1,99.4996520215,17.73,0.00522539,99.3476195783,0.0078872,0.799973,100
0.3,-107.89942631,-127.198,11.3345559853,3.16435,1.15222,1.00452,11.3345559853,0.0115311,5.61156e-07,-107.89942631,0.01,0.999223,-107.812,100,-107.89942631,1,99.4474826428,16.37,0.00560283,99.5502643148,0.00766708,0.766112,100
0.3,-107.217775125,-124.886,10.3640864856,3.44386,1.17978,1.00241,10.3640864856,0.0116628,2.61278e-07,-107.217775125,0.01,1.01157,-107.178,100,-107.217775125,1,99.7420132098,17.62,0.00267361,99.7593248824,0.00898506,0.908904,100
0.3,-108.189615487,-125.902,9.76161393675,3.18826,1.39616,1.00614,9.76161393675,0.0139215,8.81432e-07,-108.189615487,0.01,1.00288,-108.081,100,-108.189615487,1,99.1349239794,17.87,0.00886509,99.3897122516,0.00731452,0.733556,100
0.3,-109.747851936,-161.958,578.350506492,14.3159,1.21298,1.0174,578.350506492,0.0122582,1.97628e-06,-109.747851936,0.01,0.989523,-108.684,100,-109.747851936,1,98.0810218657,23.57,0.0193509,98.2900205482,0.00587178,0.581026,100
0.3,-108.166448201,-125.722,9.19466964644,2.99261,1.11432,1.00349,9.19466964644,0.0112244,3.80542e-07,-108.166448201,0.01,0.99276,-108.106,100,-108.166448201,1,99.6246852575,17.87,0.00375052,99.6517431139,0.00806578,0.800738,100
0.3,-108.110487417,-126.464,12.983200268,3.42719,1.30846,1.00836,12.983200268,0.0131647,1.05293e-06,-108.110487417,0.01,0.993916,-107.958,100,-108.110487417,1,98.9683891322,17.48,0.0104016,99.1706585835,0.00655148,0.651162,100
