IterType,Bound,BatchSize,eRenyi2,J,AvgRet,VarJ,VarDiscRet,Delta,ESSClassic,EpsThisIter,AvgEpLen,AvgNormIw,AvgDiscRet,MinNormIw,MinVanillaIw,AvgVanillaIw,VanillaAvgRet,MaxNormIw,ESSRenyi,VarVanillaIw,VarRet,VarNormIw,MaxVanillaIw
1,-180.356,100,1.18007,-114.474,-128.287298725,20.3835,4581.01101113,0.4,80.0768191464,100,61.44,0.01,-128.287298725,0.000621371,0.0572839,0.921895,-128.287298725,0.0199278,84.7407669009,0.21359,4581.01101113,2.51314e-05,1.83714
1,-176.643,100,1.1118,-112.886,-122.780291079,19.5016,3948.48088383,0.4,87.1781702658,100,35.87,0.01,-122.780291079,0.00104102,0.105263,1.01115,-122.780291079,0.0171655,89.943881359,0.151892,3948.48088383,1.48562e-05,1.73568
1,-172.125,100,1.01894,-111.699,-112.889795634,29.6674,1469.52858424,0.4,98.2588986991,100,22.4,0.01,-112.889795634,0.00724444,0.73606,1.01603,-112.889795634,0.0139142,98.1411278977,0.0184771,1469.52858424,1.78986e-06,1.41373
1,-127.094,100,1.01792,-108.441,-108.783475496,4.39544,30.4085808648,0.4,98.3840730386,100,18.13,0.01,-108.783475496,0.0063877,0.646102,1.01148,-108.783475496,0.0132398,98.2394421041,0.0169737,30.4085808648,1.65906e-06,1.33918
1,-146.836,100,1.01058,-110.085,-110.485684503,16.8219,377.114057604,0.4,99.0088514255,100,23.25,0.01,-110.485684503,0.00781267,0.785863,1.00588,-110.485684503,0.0131311,98.9526967728,0.0102312,377.114057604,1.01119e-06,1.32083
1,-124.604,100,1.03123,-107.949,-108.450495434,4.28517,24.44575116,0.4,95.9067846122,100,17.56,0.01,-108.450495434,0.00489369,0.475735,0.97214,-108.450495434,0.0160114,96.9711205838,0.0407417,24.44575116,4.31104e-06,1.55653
1,-121.939,100,1.00676,-107.771,-107.864001852,3.67408,12.8651557125,0.4,99.0434579438,100,18.52,0.01,-107.864001852,0.00626251,0.624845,0.997755,-107.864001852,0.0116054,99.3283037322,0.00971129,12.8651557125,9.75505e-07,1.15794
1,-126.522,100,1.01016,-108.39,-108.578846885,4.55338,27.9259280709,0.4,98.8215095639,100,18.43,0.01,-108.578846885,0.00586251,0.58822,1.00336,-108.578846885,0.0119277,98.9942217433,0.0121266,27.9259280709,1.20456e-06,1.19678
1,-125.525,100,1.0171,-108.211,-108.498423744,4.38097,23.1889708773,0.4,98.413570525,100,18.75,0.01,-108.498423744,0.00547241,0.54065,0.987955,-108.498423744,0.0119709,98.3191204054,0.0158932,23.1889708773,1.62831e-06,1.18267
1,-146.887,100,1.02624,-107.815,-109.404771144,6.90182,439.413345835,0.4,97.6313379816,100,21.61,0.01,-109.404771144,0.00302072,0.304154,1.00689,-109.404771144,0.012154,97.4426979031,0.0248455,439.413345835,2.45065e-06,1.22378
