MaxVanillaIw,Bound,VanillaAvgRet,renyi2,BatchSize,J,AvgDiscRet,AvgEpLen,EpsThisIter,delta,VarRet,AvgRet,ESSClassic,AvgVanillaIw,VarVanillaIw,VarDiscRet,MinNormIw,MinVanillaIw,SamplesThisIter,VarNormIw,IterType,AvgNormIw,ESSRenyi,MaxNormIw,VarJ
454140.0,696.258,366.890580389,nan,100,138078.0,366.890580389,39.6825396825,1260,0.6,21912.7071934,366.890580389,4.6377096422,17.7675,3.87949e+06,21912.7071934,,,50000,2.3891e-07,1,4.40917e-06,nan,0.112699,9304.63
4.752e+11,1010.23,396.008970791,nan,100,218661.0,396.008970791,42.8082191781,1168,0.6,44552.1520083,396.008970791,3.99999944835,9.04788e+06,4.29626e+18,44552.1520083,,,50000,1.18732e-06,1,4.75647e-06,nan,0.249812,13386.3
253010.0,748.734,371.925493953,nan,100,146702.0,371.925493953,40.192926045,1244,0.6,28749.1349641,371.925493953,3.7538441068,14.9027,1.28047e+06,28749.1349641,,,50000,1.14988e-07,1,4.46588e-06,nan,0.0758191,8780.03
4.77142e+07,1187.31,405.785517824,nan,100,241214.0,405.785517824,43.8596491228,1140,0.6,46045.1162778,405.785517824,2.13964132001,2957.29,8.38371e+10,46045.1162778,,,50000,2.27663e-07,1,4.87329e-06,nan,0.0786279,11176.5
6.76396e+13,945.038,379.064089829,nan,100,197304.0,379.064089829,40.9836065574,1220,0.6,37312.0840314,379.064089829,4.0,1.23214e+09,8.33343e+22,37312.0840314,,,50000,1.13825e-06,1,4.55373e-06,nan,0.249981,11343.8
5.99231e+06,783.501,414.493768013,nan,100,166117.0,414.493768013,44.8028673835,1116,0.6,34310.015745,414.493768013,3.46473076225,190.984,8.26768e+08,34310.015745,,,50000,5.61718e-07,1,4.9781e-06,nan,0.156193,12807.9
91368.2,766.067,398.63774095,nan,100,153913.0,398.63774095,43.1034482759,1160,0.6,31163.4434119,398.63774095,4.98137617009,17.4038,751523.0,31163.4434119,,,50000,5.69103e-08,1,4.78927e-06,nan,0.0251431,8839.66
2.24227e+06,960.005,426.725668984,nan,100,197233.0,426.725668984,46.1254612546,1084,0.6,45902.2003101,426.725668984,3.95246766015,72.384,1.04577e+08,45902.2003101,,,50000,5.24263e-07,1,5.12505e-06,nan,0.158761,12737.2
6.17985e+17,1180.42,448.05701526,nan,100,259126.0,448.05701526,48.4496124031,1032,0.6,54347.3025744,448.05701526,4.0,1.33072e+13,8.22349e+30,54347.3025744,,,50000,1.34579e-06,1,5.38329e-06,nan,0.249999,13918.0
9.07696e+10,894.1,377.735178235,nan,100,188026.0,377.735178235,40.8496732026,1224,0.6,40332.4130725,377.735178235,4.0,1.64869e+06,1.49583e+17,40332.4130725,,,50000,1.1337e-06,1,4.53885e-06,nan,0.24989,12768.5
