AvgEpLen,AvgNormIw,VanillaAvgRet,MaxVanillaIw,Delta,VarVanillaIw,BatchSize,EpsThisIter,Bound,AvgDiscRet,VarJ,ESSClassic,VarDiscRet,VarRet,IterType,ESSRenyi,AvgRet,eRenyi2,MinNormIw,J,MinVanillaIw,VarNormIw,AvgVanillaIw,MaxNormIw
366.19,0.01,-297.610369948,0.00169134,1.0,3.976e-08,100,100,-65.9807,-297.610369948,79.8146,1.92331284818,24805.661666,24805.661666,1,,-297.610369948,inf,,-65.9807,,0.00515087,2.77832e-05,0.608762
366.19,nan,-297.610369948,inf,1.0,nan,200,100,nan,-66.2680602476,nan,nan,2580.48924301,24805.661666,,nan,-297.610369948,nan,nan,nan,591.248,nan,inf,nan
404.55,0.005,-331.469319167,42.0965,1.0,11.5886,200,100,-187.588,-331.469319167,347.203,24.9016067121,19932.0159822,19932.0159822,1,,-331.469319167,inf,0.000839775,-187.588,0.215076,0.000176674,1.28056,0.164368
332.95,0.01,-268.328116663,1.0,1.0,,200,100,-268.328,-268.328116663,166.509,100.0,28005.4427475,28005.4427475,2,200.0,-268.328116663,1.0,0.01,-268.328,1.0,3.50449e-18,1.0,0.01
404.55,0.005,-331.469319167,4.64952,1.0,0.479043,300,100,-245.771,-226.979795741,184.696,165.619157404,27650.2169055,19932.0159822,,192.406753443,-331.469319167,1.5592,7.83842e-05,-245.771,0.023755,5.21582e-06,1.51529,0.015342
391.55,0.00333333,-318.901505791,1.53592e-28,1.0,,300,100,-69.2562,-318.901505791,1.94623e-08,inf,22182.950261,22182.950261,1,1.2896659992e-06,-318.901505791,2.32618e+08,,-69.2562,,0.00333333,5.11974e-31,1.0
89.23,0.01,-60.3765970653,1.0,1.0,,300,100,-60.3766,-60.3765970653,7.85749,100.0,62.3638210912,62.3638210912,2,300.0,-60.3765970653,1.0,0.01,-60.3766,1.0,3.50449e-18,1.0,0.01
97.29,0.005,-67.6221089092,1.0,1.0,,300,100,-63.9994,-67.6221089092,36.1985,200.000000102,2558.26281895,2558.26281895,2,300.0,-67.6221089092,1.0,0.005,-63.9994,1.0,2.1793e-19,1.0,0.005
98.05,0.00333333,-68.1172992219,0.206247,1.0,0.000141793,300,100,-52.2776,-68.1172992219,1.23538e-09,1.0,2577.02819782,2577.02819782,1,0.114627485858,-68.1172992219,2617.17,,-52.2776,,0.00333333,0.000687491,1.0
100.31,0.01,-70.542697212,1.0,1.0,,300,100,-70.5427,-70.542697212,61.322,100.0,3798.36925365,3798.36925365,2,300.0,-70.542697212,1.0,0.01,-70.5427,1.0,3.50449e-18,1.0,0.01
87.93,0.005,-59.9117262532,1.0,1.0,,300,100,-65.2272,-59.9117262532,44.0187,200.000000102,58.9833026283,58.9833026283,2,300.0,-59.9117262532,1.0,0.005,-65.2272,1.0,2.1793e-19,1.0,0.005
98.05,nan,-68.1172992219,inf,1.0,nan,400,100,nan,-63.5956308843,nan,nan,1316.44301829,2577.02819782,,10482921159.4,-68.1172992219,3.81573e-08,nan,nan,4.84855,nan,inf,nan
92.94,0.0025,-64.083400995,144.983,1.0,52.5504,400,100,-50.8288,-64.083400995,2.60316e-17,1.0,1317.6562195,1317.6562195,1,0.253113165252,-64.083400995,1580.32,,-50.8288,,0.0025,0.362458,1.0
89.88,0.01,-61.8784371786,1.0,1.0,,400,100,-61.8784,-61.8784371786,36.4298,100.0,1340.53549723,1340.53549723,2,400.0,-61.8784371786,1.0,0.01,-61.8784,1.0,3.50449e-18,1.0,0.01
90.99,0.005,-62.8696028894,1.0,1.0,,400,100,-62.374,-62.8696028894,36.449,200.000000102,1342.86338179,1342.86338179,2,400.0,-62.8696028894,1.0,0.005,-62.374,1.0,2.1793e-19,1.0,0.005
95.78,0.00333333,-66.8600424914,1.0,1.0,,400,100,-63.8694,-66.8600424914,41.7576,299.999969474,2586.47174459,2586.47174459,2,400.0,-66.8600424914,1.0,0.00333333,-63.8694,1.0,5.43914e-20,1.0,0.00333333
92.94,nan,-64.083400995,inf,1.0,nan,500,100,nan,-65.9723860954,nan,nan,2580.27457333,1317.6562195,,4669462522.31,-64.083400995,1.07079e-07,nan,nan,0.00689735,nan,inf,nan
96.98,0.002,-67.5418995352,5.75764e-21,1.0,6.5861e-44,500,100,-52.1442,-67.5418995352,8.55144e-05,1.00000196419,2572.19024961,2572.19024961,1,0.0397912266252,-67.5418995352,12565.6,,-52.1442,,0.00199999,1.15153e-23,0.999997
91.83,0.01,-63.2728918548,1.0,1.0,,500,100,-63.2729,-63.2728918548,36.5187,100.0,1347.08694019,1347.08694019,2,500.0,-63.2728918548,1.0,0.01,-63.2729,1.0,3.50449e-18,1.0,0.01
96.04,0.005,-66.7651718725,1.0,1.0,,500,100,-65.019,-66.7651718725,44.1439,200.000000102,2583.48889834,2583.48889834,2,500.0,-66.7651718725,1.0,0.005,-65.019,1.0,2.1793e-19,1.0,0.005
100.44,0.00333333,-70.6862323485,1.0,1.0,,500,100,-66.9081,-70.6862323485,50.6105,299.999969474,3803.53812621,3803.53812621,2,500.0,-70.6862323485,1.0,0.00333333,-66.9081,1.0,5.43914e-20,1.0,0.00333333
96.62,0.0025,-67.2643499373,1.0,1.0,,500,100,-66.9972,-67.2643499373,50.5978,400.0,2581.98081429,2581.98081429,2,500.0,-67.2643499373,1.0,0.0025,-66.9972,1.0,5.4346e-20,1.0,0.0025
105.2,0.002,-74.6698028722,1.05489e-32,1.0,,500,100,-51.3113,-74.6698028722,7.95916e-05,inf,5009.5594754,5009.5594754,1,8.20883876864e-05,-74.6698028722,6.091e+06,,-51.3113,,0.00199999,2.10978e-35,0.999999
92.53,0.01,-63.6924439137,1.0,1.0,,500,100,-63.6924,-63.6924439137,36.217,100.0,1324.91803361,1324.91803361,2,500.0,-63.6924439137,1.0,0.01,-63.6924,1.0,3.50449e-18,1.0,0.01
85.88,0.005,-58.5680723172,1.0,1.0,,500,100,-61.1303,-58.5680723172,26.2228,200.000000102,50.9838987998,50.9838987998,2,500.0,-58.5680723172,1.0,0.005,-61.1303,1.0,2.1793e-19,1.0,0.005
