VarNormIw,eRenyi2,J,MinNormIw,Bound,AvgNormIw,AvgRet,VarDiscRet,AvgDiscRet,AvgEpLen,ESSRenyi,VarJ,MaxVanillaIw,ESSClassic,VarRet,AvgVanillaIw,MinVanillaIw,MaxNormIw,VanillaAvgRet,VarVanillaIw,BatchSize
9.665426e-05,2.3898437,-75.2505,8.455876e-21,-824.43134,0.01,-1755.5122400206126,4748736.6551930625,-1755.5122400206126,200.0,41.843740619136724,204.76935,3.294608,51.101834369731705,4748736.6551930625,1.2464792,1.0540073e-18,0.026431313,-1755.5122400206126,1.5017275,100
8.227528e-06,1.0939841,-18.311253,0.00079880265,-308.93863,0.01,-72.87840045971554,185352.8693922955,-72.87840045971554,200.0,91.40900450735339,61.876766,1.2982695,92.46823495449297,185352.8693922955,1.0264131,0.08199015,0.012648606,-72.87840045971554,0.086678974,100
4.513618e-06,1.0583645,-15.053854,0.0023881926,-204.95699,0.01,-31.852237875703114,47745.27279516609,-31.852237875703114,200.0,94.48540555213582,53.05429,1.2204187,95.7226667592714,47745.27279516609,1.0051503,0.24004926,0.012141652,-31.852237875703114,0.045602318,100
6.819327e-07,1.0345918,-11.960181,0.0009517062,-182.74971,0.005,-23.397486849648068,39608.58358444429,-23.397486849648068,200.0,193.31295797741274,38.814945,1.1601626,194.71522031888477,39608.58358444429,1.0153791,0.19326851,0.0057129534,-23.397486849648068,0.028122758,200
3.809394e-05,2.6453125,-7.2782702,4.692427e-22,-9.843512,0.005,-9.01693298082218,60.55263921617817,-9.01693298082218,200.0,75.60543277773496,10.94253,3.6707613,79.4868799002824,60.55263921617817,0.9709224,9.1119644e-20,0.018903475,-9.01693298082218,1.4364313,200
5.9736726e-07,1.0300143,-8.479913,0.004222895,-10.031156,0.005,-8.534037367055621,52.243931836096564,-8.534037367055621,200.0,194.17206592390664,7.4203258,1.6070727,195.35537199908092,52.243931836096564,0.99569273,0.8409412,0.008070123,-8.534037367055621,0.023689292,200
1.3410673e-06,1.0858824,-7.661163,0.0042131054,-9.243624,0.005,-7.820164879651617,52.276148190656855,-7.820164879651617,200.0,184.18200289338878,7.200237,2.4210522,189.86600683074894,52.276148190656855,0.9969267,0.84003145,0.012142578,-7.820164879651617,0.053313486,200
4.24752e-06,1.3208145,-7.5212736,0.0007248019,-9.074919,0.0033333334,-7.887192795362282,55.69729120936965,-7.887192795362282,200.0,227.1325778139397,8.057593,5.1231146,217.23348215034176,55.69729120936965,0.95723623,0.208142,0.017839951,-7.887192795362282,0.3502807,300
1.55099e-06,1.2463472,-7.6354713,1.6995584e-06,-8.857085,0.0025,-7.894157902815375,47.24949104895217,-7.894157902815375,200.0,320.9378602900512,7.6227145,1.576611,320.63151907266956,47.24949104895217,0.9993414,0.00067937566,0.003944125,-7.894157902815375,0.24783166,400
7.7075235e-08,1.0207719,-8.541995,0.0007737846,-9.528202,0.0020000003,-8.564106706281914,56.37380365667607,-8.564106706281914,200.0,489.82541453755783,7.549392,1.1215433,490.56620078645665,56.37380365667607,1.0072377,0.3896925,0.0022269685,-8.564106706281914,0.01954874,500
8.287846e-07,1.2057205,-8.085759,3.9926537e-05,-9.107596,0.002,-8.301196194136315,57.07917810778436,-8.301196194136315,200.0,414.68979071943266,8.350962,1.6446686,414.32514418203453,57.07917810778436,1.0153881,0.020270467,0.0032394873,-8.301196194136315,0.21362194,500
2.2827408e-06,1.5891407,-7.062415,9.539172e-13,-8.231218,0.002,-7.55717121138471,48.74831660538715,-7.55717121138471,200.0,314.63545965178963,8.63709,2.120383,318.56386869541785,48.74831660538715,0.99506736,4.746059e-10,0.004261788,-7.55717121138471,0.5650691,500
2.1850578e-07,1.0583901,-7.8590155,0.0004874064,-8.79483,0.002,-7.919352463855865,52.14838112577933,-7.919352463855865,200.0,472.4155874581288,7.380566,1.2194736,474.1506722897636,52.14838112577933,0.98679966,0.24048623,0.0024715727,-7.919352463855865,0.05319379,500
4.7301073e-06,1.4573365,-7.366346,0.0014241424,-8.471228,0.002,-7.808007319846762,49.89663610010444,-7.808007319846762,200.0,343.0916501193249,8.48886,23.251568,229.34074362876274,49.89663610010444,1.0678989,0.7604201,0.043546382,-7.808007319846762,1.3485632,500
9.887969e-06,3.5863018,-7.145624,,-8.8793125,0.002,-8.267675312052765,52.325124007831704,-8.267675312052765,200.0,139.41938726396154,12.97608,5.021068,144.2148864206335,52.325124007831704,1.0666215,,0.009414901,-8.267675312052765,2.81234,500
9.571646e-07,1.3072937,-8.4389305,0.0014437828,-9.476342,0.002,-8.682013764179192,53.39810619496638,-8.682013764179192,200.0,382.46953824482,7.8515835,6.3381605,403.61226269925965,53.39810619496638,0.9737919,0.702972,0.013017485,-8.682013764179192,0.22691275,500
9.088293e-07,1.2973288,-7.770469,0.0015782219,-8.804905,0.002,-8.102417782974634,53.46468525509355,-8.102417782974634,200.0,385.4072988499357,7.808042,8.29226,407.5800425503557,53.46468525509355,0.9853042,0.77751434,0.016831879,-8.102417782974634,0.22057839,500
1.5463016e-06,1.2138884,-7.710819,0.0015920942,-8.707005,0.002,-7.867981232577843,47.24547260350671,-7.867981232577843,200.0,411.89947710038285,7.7977633,11.017181,360.8018480099093,47.24547260350671,1.0035607,0.79888153,0.021956185,-7.867981232577843,0.38933325,500
1.819735e-07,1.0373344,-8.307372,0.00022680564,-9.232452,0.002,-8.36455046239515,50.61479225477078,-8.36455046239515,200.0,482.0046261735514,7.2866673,1.1684502,478.28476080825834,50.61479225477078,0.98017085,0.11115414,0.0023841767,-8.36455046239515,0.043707073,500
4.8298332e-08,1.0114658,-7.991011,0.00064118515,-8.909062,0.002,-8.006920347532711,53.099530874018264,-8.006920347532711,200.0,494.3320930747844,7.2859917,1.086535,494.0465281705021,53.099530874018264,1.0011297,0.32095477,0.0021706177,-8.006920347532711,0.01210188,500
4.795433e-06,2.280643,-7.229665,3.079155e-20,-8.598315,0.0019999999,-7.988612385242091,51.91587120914624,-7.988612385242091,200.0,219.2364184153607,10.480409,3.148653,227.63896152545917,51.91587120914624,1.0543768,1.6232948e-17,0.005972538,-7.988612385242091,1.3327832,500
1.4368991e-06,1.310522,-7.3192096,0.0007579743,-8.357066,0.002,-7.56113123236245,49.081532873997716,-7.56113123236245,200.0,381.5273724229553,8.201387,5.3456054,368.05126963440256,49.081532873997716,1.0166591,0.38530076,0.010516022,-7.56113123236245,0.37129325,500
4.5543757e-06,2.0412242,-7.364667,2.2950952e-09,-8.657064,0.002,-7.969435583640934,51.35289016378031,-7.969435583640934,200.0,244.95103962324424,10.31854,3.2051754,234.04769217493367,51.35289016378031,0.92816776,1.0651167e-06,0.006906457,-7.969435583640934,0.98089343,500
1.4223458e-06,1.3794931,-7.9957485,8.951267e-05,-9.059084,0.002,-8.338442816874458,53.95822914757863,-8.338442816874458,200.0,362.4519714653276,8.650993,3.2515304,369.0376673285394,53.95822914757863,1.011562,0.04527381,0.0064287316,-8.338442816874458,0.36385655,500
1.5183371e-06,1.3893487,-8.04073,4.1878874e-08,-9.112767,0.0019999999,-8.356406335982282,54.53587142723241,-8.356406335982282,200.0,359.88084465823323,8.628387,1.8084043,362.6275718955624,54.53587142723241,1.0031656,2.1005722e-05,0.0036053956,-8.356406335982282,0.38199124,500
1.6037893e-05,5.1934605,-6.6631494,,-8.733013,0.002,-8.285444982795346,53.38746233519437,-8.285444982795346,200.0,96.27492178286947,14.81656,7.301324,99.9709232895604,53.38746233519437,1.0753484,,0.013579458,-8.285444982795346,4.6364517,500
1.9715905e-07,1.0496627,-7.9436135,0.00037899226,-8.876417,0.002,-7.979647742973106,49.9399792227357,-7.979647742973106,200.0,476.34349167634747,7.195811,1.2500286,476.55753182074375,49.9399792227357,0.9998106,0.18946023,0.002500531,-7.979647742973106,0.04927109,500
2.3141513e-07,1.065333,-8.4946,0.00023178264,-9.433278,0.002,-8.547802190217656,53.76350184983542,-8.547802190217656,200.0,469.3368138278939,7.485036,1.2621868,472.7067416296152,53.76350184983542,1.0120122,0.11728343,0.0024944101,-8.547802190217656,0.059252035,500
8.3908844e-08,1.0189068,-7.6138415,0.0005542238,-8.533379,0.0019999999,-7.637296590446251,50.548607593759144,-7.637296590446251,200.0,490.72200168242034,7.1290364,1.1123818,489.7471205021253,50.548607593759144,0.9875381,0.27365854,0.0022528383,-7.637296590446251,0.020457637,500
4.7178897e-08,1.0088737,-7.5462837,0.0018782062,-8.456985,0.002,-7.561632543531452,49.25666346069045,-7.561632543531452,200.0,495.6021744416845,7.059819,1.9896395,494.18286882166257,49.25666346069045,1.0006727,0.93973476,0.003976604,-7.561632543531452,0.011810599,500
1.6823643e-08,1.0045294,-8.340205,0.0018993765,-9.250841,0.002,-8.34577375604193,52.7412504514384,-8.34577375604193,200.0,497.7455328084164,7.271526,1.3829887,497.9100336676168,52.7412504514384,0.99915785,0.9488885,0.0027683089,-8.34577375604193,0.00419883,500
2.0528257e-07,1.0553849,-7.9102125,0.00021617404,-8.840949,0.002,-7.947076642261097,51.99176608133124,-7.947076642261097,200.0,473.7608166981242,7.300008,1.2166941,475.6386762682391,51.99176608133124,1.0126908,0.10945872,0.0024028937,-7.947076642261097,0.052631497,500
7.040667e-07,1.1769564,-7.7240686,2.0214751e-05,-8.707261,0.002,-7.886368434801271,53.51288921541156,-7.886368434801271,200.0,424.8245674629035,7.8785357,1.4545572,425.2913292714358,53.51288921541156,1.0013111,0.010120627,0.0029053055,-7.886368434801271,0.1764785,500
1.8290455e-06,1.4842699,-6.8079863,0.0012334903,-7.9126873,0.002,-7.246938740547283,48.442505779356964,-7.246938740547283,200.0,336.8659664581633,7.7940097,9.778617,343.324791504133,48.442505779356964,1.0013208,0.6175598,0.019531436,-7.246938740547283,0.4584701,500
3.234346e-07,1.0813783,-7.873453,0.00046304576,-8.802987,0.0020000003,-7.957352590619732,51.711365464812246,-7.957352590619732,200.0,462.3728635683316,7.258708,1.6319282,462.6643122665522,51.711365464812246,1.0026853,0.2321446,0.0032551154,-7.957352590619732,0.08129351,500
1.3107508e-07,1.0553104,-7.9995666,0.0017635574,-8.922285,0.0019999999,-8.048911706123189,50.52018624060087,-8.048911706123189,200.0,473.79426461310453,7.1376085,2.601135,484.166211587717,50.52018624060087,0.97995216,0.86410093,0.005308698,-8.048911706123189,0.031468052,500
2.7996418e-07,1.0654011,-8.473295,0.00015435241,-9.413637,0.0019999999,-8.534834918384023,52.69726879338206,-8.534834918384023,200.0,469.30682788585995,7.500344,1.2458786,467.35479720388435,52.69726879338206,0.9901143,0.07641326,0.002516636,-8.534834918384023,0.068614066,500
