MinVanillaIw,MaxNormIw,AvgVanillaIw,VarDiscRet,VanillaAvgRet,BatchSize,AvgRet,VarNormIw,ESSClassic,J,AvgNormIw,MaxVanillaIw,VarJ,ESSRenyi,AvgEpLen,MinNormIw,eRenyi2,AvgDiscRet,VarRet,VarVanillaIw,Bound
6.992975e-19,0.7989807,0.908381,17647.03692024444,113.33971806407222,100,113.33971806407222,0.00637751,1.5591539629018145,635.6235,0.010000002,72.57789,864.40564,4.284988409507155,12.34,7.698285e-21,23.337286,113.33971806407222,17647.03692024444,52.624416,334.77197
9.561113e-18,0.50645125,1.5334632,72438.92934085338,307.9635030122281,100,307.9635030122281,0.0028652824,3.4052646872382466,1237.1953,0.010000002,77.66244,3501.4453,4.050318733311269,31.81,6.23498e-20,24.689415,307.9635030122281,72438.92934085338,67.37739,451.0298
4.1457198e-09,0.2646436,0.7565624,102799.58588990776,687.7530603255628,100,687.7530603255628,0.0012445317,7.507020490165536,1122.3751,0.01,20.021942,792.8343,13.152419662853347,69.8,5.4796796e-11,7.6031637,687.7530603255628,102799.58588990776,7.1235332,725.5536
7.396887e-10,0.14922328,1.2295591,384814.6821467334,1245.3177001209312,100,1245.3177001209312,0.00049556204,16.931749619104227,1812.4397,0.01,18.347883,2228.2078,21.076487229348324,125.56,6.015886e-12,4.7446237,1245.3177001209312,384814.6821467334,7.491983,1203.8195
1.0650875e-15,0.4732075,1.2722191,429204.2776085188,1434.031344235666,100,1434.031344235666,0.002780757,3.505144454670228,3167.5461,0.01,60.202362,4617.74,7.146439109459427,144.44,8.3718875e-18,13.992983,1434.031344235666,429204.2776085188,45.007713,1876.7632
0.004716283,0.4915039,1.4360884,903170.1487597147,1752.6302503099348,100,1752.6302503099348,0.0024211493,4.004905720114672,3057.9636,0.009999998,70.584305,6960.657,17.547513960223664,176.29,3.2841177e-05,5.698813,1752.6302503099348,903170.1487597147,49.932568,2053.3994
0.013165546,0.024196662,0.95959926,454117.8803405944,1855.5693975376043,100,1855.5693975376043,4.2761312e-05,70.25742853341364,2036.7507,0.01,2.32191,846.0084,71.24850472220703,186.6,0.00013719838,1.4035382,1855.5693975376043,454117.8803405944,0.39375928,1538.2122
0.029764706,0.105907194,1.1795332,737855.4153289482,2289.574521258909,100,2289.574521258909,0.00017841006,36.149893081927964,2695.8047,0.01,12.4921055,2592.5452,41.20887909361971,229.99,0.0002523431,2.4266615,2289.574521258909,737855.4153289482,2.4822168,2040.2773
0.012626171,0.08281009,1.0741622,825873.1881419666,2400.9977056967373,100,2400.9977056967373,0.00010881962,48.13907618276801,2659.0361,0.01,8.895147,1438.0991,51.0600336772149,241.15,0.000117544354,1.9584789,2400.9977056967373,825873.1881419666,1.2555877,2070.1309
0.0074175545,0.09166693,1.2472006,1125352.4744398445,2524.383036919951,100,2524.383036919951,0.00023759855,29.830925199946595,3155.9417,0.01,11.432705,1809.5074,32.66219490238807,253.44,5.9473627e-05,3.0616436,2524.383036919951,1125352.4744398445,3.695868,2419.628
4.1901796e-29,0.1593741,0.9454893,1461193.550772325,2747.9761349078,100,2747.9761349078,0.00074382976,11.95612531912391,4253.769,0.01,15.06865,2338.9014,13.527076218614475,275.79,4.431758e-31,7.3925805,2747.9761349078,1461193.550772325,6.649465,3109.6152
0.0015143019,0.03550439,0.95629853,1005093.4320081201,2687.1126753076196,100,2687.1126753076196,9.142869e-05,52.48946294996259,2996.3499,0.01,3.3952796,1486.6182,52.335991931308314,269.75,1.5835032e-05,1.910731,2687.1126753076196,1005093.4320081201,0.83612174,2414.6675
0.00031831677,0.14006336,0.9869685,942018.9068093111,3028.7198214609934,100,3028.7198214609934,0.00034416697,22.689874823232266,3499.315,0.009999999,13.8238125,2349.4768,37.29260713867826,303.88,3.2251967e-06,2.6814966,3028.7198214609934,942018.9068093111,3.3525531,2810.226
3.5159713e-09,0.24498518,0.91557384,1178318.735154488,3098.8431559649966,100,3098.8431559649966,0.0010042981,9.138636557119591,4204.441,0.01,22.4302,2844.536,18.43710891567854,310.9,3.8401834e-11,5.423844,3098.8431559649966,1178318.735154488,8.418784,3224.4128
0.008784064,0.105594635,1.1435533,1922891.0990398354,3089.2994453310403,100,3089.2994453310403,0.00014904683,40.394846598475915,3463.6492,0.01,12.075309,2210.691,46.60917803104386,309.89,7.6813776e-05,2.1455002,3089.2994453310403,1922891.0990398354,1.9491056,2847.267
0.00093977904,0.1353637,0.9222336,1648988.6799946795,3244.19815343908,100,3244.19815343908,0.00027985836,26.52099828719332,3929.5527,0.01,12.483695,1793.0074,34.04799997921875,325.42,1.019025e-05,2.93703,3244.19815343908,1648988.6799946795,2.3802366,3208.379
0.0002738734,0.07659343,1.0898716,1539661.6281745436,3019.8203733519204,100,3019.8203733519204,0.00019239314,34.42705142233711,3527.504,0.01,8.347701,1911.2253,34.66088509253637,303.01,2.5128957e-06,2.8850965,3019.8203733519204,1539661.6281745436,2.285285,2812.737
9.2085374e-11,0.13028269,0.8756863,1627332.7069536229,3125.5076490642973,100,3125.5076490642973,0.00043728546,18.764802773021046,4137.7,0.01,11.408676,1828.2802,19.988528159860035,313.5,1.0515795e-12,5.0028696,3125.5076490642973,1627332.7069536229,3.3532207,3196.4695
1.2830365e-11,0.090077646,1.0393054,1461755.6950992432,3241.92699443811,100,3241.92699443811,0.0002406212,29.566990985592696,3742.6436,0.01,9.361818,2127.0305,35.68172810230947,325.14,1.2345135e-13,2.8025548,3241.92699443811,1461755.6950992432,2.5990834,3038.1733
