EpsThisIter,Bound,MaxVanillaIw,MaxNormIw,IterType,AvgEpLen,VarRet,BatchSize,SamplesThisIter,AvgVanillaIw,AvgDiscRet,VarNormIw,ESSRenyi,VarDiscRet,VarVanillaIw,ESSClassic,MinNormIw,J,AvgNormIw,AvgRet,renyi2,delta,VarJ,VanillaAvgRet,MinVanillaIw
8654,344.03,1.54339e+14,0.0234562,1,5.77767506355,3096.05716411,100,50000,4.22404e+09,47.770346295,1.14081e-08,nan,3096.05716411,4.93913e+23,15.2427846855,,58523.5,6.41964e-07,47.770346295,nan,0.7,4551.57,47.770346295,
6832,900.788,1.94548e+15,0.0444798,1,7.31850117096,10988.8910995,100,50000,3.55667e+10,63.1789753908,3.54101e-08,nan,10988.8910995,6.77417e+25,21.9894311111,,50167.2,8.13166e-07,63.1789753908,nan,0.7,17034.5,63.1789753908,
5470,1439.05,1.88384e+17,0.0706227,1,9.1407678245,25894.7130071,100,50000,2.70919e+12,81.3824148208,5.94131e-08,nan,25894.7130071,4.2275e+29,8.52588595423,,81039.0,1.01564e-06,81.3824148208,nan,0.7,26917.0,81.3824148208,
5808,976.793,8.05079e+09,0.0243022,1,8.608815427,18901.4420934,100,50000,316879.0,76.0779228134,1.36411e-08,nan,18901.4420934,1.49704e+15,20.7642359331,,74763.3,9.56535e-07,76.0779228134,nan,0.7,15855.8,76.0779228134,
4620,3115.83,2.10106e+15,0.0979596,1,10.8225108225,52152.9409282,100,50000,2.57916e+10,98.2160979751,1.15423e-07,nan,52152.9409282,5.30975e+25,9.99732896577,,138488.0,1.2025e-06,98.2160979751,nan,0.7,48332.2,98.2160979751,
4598,737.48,9.08201e+08,0.0768613,1,10.8742931709,19718.436293,100,50000,14276.9,98.7303483797,8.57429e-08,nan,19718.436293,1.19715e+13,12.000003088,,109990.0,1.20825e-06,98.7303483797,nan,0.7,17702.0,98.7303483797,
3680,1210.01,5.14169e+21,0.0999835,1,13.5869565217,42049.786131,100,50000,7.76349e+16,125.864287025,1.50915e-07,nan,42049.786131,inf,9.99999763502,,209738.0,1.50966e-06,125.864287025,nan,0.7,13288.5,125.864287025,
1392,4331.19,1.101e+14,0.0747256,1,35.9195402299,486042.936008,100,50000,5.88041e+09,349.389067887,2.68703e-07,nan,486042.936008,5.83325e+23,11.9426012279,,544309.0,3.99106e-06,349.389067887,nan,0.7,38746.9,349.389067887,
1142,4267.23,2.16207e+14,0.0641032,1,43.7828371278,641174.503576,100,50000,1.64078e+10,428.048786159,2.6072e-07,nan,641174.503576,2.96587e+24,7.66672031678,,630522.0,4.86476e-06,428.048786159,nan,0.7,26750.4,428.048786159,
1624,3964.4,1.06475e+19,0.0995296,1,30.7881773399,226201.533937,100,50000,3.65964e+14,297.955852019,3.38874e-07,nan,226201.533937,inf,9.99986832332,,454686.0,3.42091e-06,297.955852019,nan,0.7,38401.6,297.955852019,
