AvgVanillaIw,ESSClassic,MinVanillaIw,ESSRenyi,VarVanillaIw,AvgNormIw,J,AvgDiscRet,VarRet,AvgEpLen,AvgRet,eRenyi2,BatchSize,VanillaAvgRet,MaxVanillaIw,MinNormIw,Bound,VarJ,MaxNormIw,VarNormIw,VarDiscRet
1.8403256,2.417363879404327,,5.577091680635422,138.09715,0.010000002,634.77563,113.94176401086446,20669.342025623653,12.4,113.94176401086446,17.930492,100,113.94176401086446,113.49395,,328.4102,1516.1063,0.61670583,0.0040775132,20669.342025623653
0.7156568,1.3075942027638263,,4.639112087424356,39.046783,0.01,633.82104,190.40396510793357,16399.72472890996,20.05,190.40396510793357,21.55585,100,190.40396510793357,62.506115,,368.18256,424.12576,0.8734091,0.007623874,16399.72472890996
1.7264049,3.4711344196017464,2.8099805e-09,7.165496204885674,83.721275,0.009999998,1418.3002,524.4258033167115,147930.48595871287,53.46,524.4258033167115,13.955768,100,524.4258033167115,87.54874,1.6276485e-11,824.08093,2586.811,0.5071159,0.0028089918,147930.48595871287
0.6973722,3.294703993692447,,5.299209537542166,14.418759,0.01,4795.701,1197.6738331297179,1079535.163307574,120.76,1197.6738331297179,18.870739,100,1197.6738331297179,31.478651,,2967.6814,1324.7417,0.45138952,0.0029648216,1079535.163307574
1.2334836,29.736582381662572,1.0412225e-08,25.02473056511698,3.6313634,0.01,4775.2676,3075.252155377453,3976553.008418986,308.13,3075.252155377453,3.996047,100,3075.252155377453,9.115778,8.4413164e-11,3934.0625,621.669,0.07390271,0.00023867284,3976553.008418986
0.9600414,71.99585086300944,0.012904229,73.89329728550783,0.3621259,0.010000002,4944.1113,4686.0601969652325,951435.1273993896,468.82,4686.0601969652325,1.3533027,100,4686.0601969652325,2.4150965,0.00013441325,4454.576,201.44662,0.02515617,3.9289785e-05,951435.1273993896
1.02681,86.88471734377983,0.056027375,85.6939480839372,0.16076052,0.01,4962.3784,4851.193086012297,483614.5896968719,485.18,4851.193086012297,1.1669436,100,4851.193086012297,1.6796247,0.000545645,4507.797,192.38481,0.016357698,1.5247521e-05,483614.5896968719
0.9771316,90.18332169455353,0.14710121,93.24931868901939,0.10498051,0.01,4986.4634,4935.898913505132,105104.8443494492,493.65,4935.898913505132,1.0723939,100,4935.898913505132,1.3583207,0.001505439,4550.687,71.44138,0.013901103,1.0995187e-05,105104.8443494492
0.9972447,95.21221761302263,0.2781264,95.22629362945035,0.050513715,0.010000002,4971.303,4949.798672375724,248976.6124372742,495.01,4949.798672375724,1.0501301,100,4949.798672375724,1.3981589,0.0027889481,4540.074,283.91492,0.0140202185,5.079323e-06,248976.6124372742
1.0068793,96.59253848342668,0.17299165,96.48782401105136,0.03612486,0.01,4992.9775,4959.5963411573475,162453.4136176676,495.98,4959.5963411573475,1.0364002,100,4959.5963411573475,1.2379078,0.0017180972,4564.5767,69.48802,0.0122945,3.5632916e-06,162453.4136176676
1.0000021,99.99996948249405,0.99953675,100.0,3.7616875e-08,0.01,4999.902,4999.901526626833,0.011333123494613498,500.0,4999.901526626833,1.0,100,4999.901526626833,1.0004101,0.009995346,4579.0913,0.10591301,0.010004079,3.7617145e-12,0.011333123494613498
0.9975487,99.26516861086613,0.59276843,99.61070568856076,0.007441009,0.01,4996.998,4995.008812641251,2404.288129031548,499.52,4995.008812641251,1.0039082,100,4995.008812641251,1.0790023,0.0059422506,4575.366,29.110565,0.010816538,7.4776244e-07,2404.288129031548
0.99055254,99.15678480188005,0.592632,99.21176830267095,0.008428095,0.010000002,4994.055,4990.115882301664,9607.7792730581,499.03,4990.115882301664,1.007945,100,4990.115882301664,1.1114824,0.0059828428,4571.576,58.58839,0.011220832,8.5896295e-07,9607.7792730581
1.0000787,99.99989701136224,0.99611324,99.99994039539075,7.646399e-07,0.010000002,4999.9146,4999.913742800906,0.015090898441690393,500.0,4999.913742800906,1.0000006,100,4999.913742800906,1.001481,0.009960348,4579.104,0.121966094,0.010014022,7.645197e-11,0.015090898441690393
1.0001047,99.99978258536835,0.99705094,99.99982118638542,2.0049515e-06,0.01,4999.914,4999.913551254664,0.008762715965708778,500.0,4999.913551254664,1.0000018,100,4999.913551254664,1.0059491,0.009969465,4579.103,0.093061365,0.010058438,2.0045224e-10,0.008762715965708778
0.9902439,98.20856562532673,0.64450425,98.45340303911185,0.018067613,0.01,4985.8228,4978.262531964496,46765.13722007939,497.85,4978.262531964496,1.0157089,100,4978.262531964496,1.1946169,0.0065085404,4561.7197,140.55055,0.012063866,1.8425378e-06,46765.13722007939
1.0000391,99.99983597463913,0.996616,99.99988079085256,1.6896659e-06,0.01,4999.927,4999.926391122429,0.0067635318243311395,500.0,4999.926391122429,1.0000012,100,4999.926391122429,1.0055792,0.00996577,4579.116,0.081765875,0.010055399,1.6895242e-10,0.0067635318243311395
1.0046935,97.89424272295048,0.16974427,97.74934121859005,0.021932289,0.01,4995.547,4974.106824259739,66567.05790242182,497.43,4974.106824259739,1.0230248,100,4974.106824259739,1.1594517,0.001689513,4569.9194,43.739037,0.011540353,2.1727851e-06,66567.05790242182
1.0000246,99.99997329778047,0.9990602,99.99998807907247,9.3507374e-08,0.010000003,4999.9214,4999.921283275667,0.014157952369772513,500.0,4999.921283275667,1.0000001,100,4999.921283275667,1.0007302,0.009990357,4579.111,0.11832552,0.0100070555,9.350303e-12,0.014157952369772513
