VarRet,MaxNormIw,Bound,BatchSize,MinNormIw,eRenyi2,VarNormIw,VarVanillaIw,AvgVanillaIw,ESSRenyi,ESSClassic,J,AvgNormIw,VarJ,MinVanillaIw,MaxVanillaIw,VarDiscRet,AvgDiscRet,AvgRet,AvgEpLen
9296.197830137791,0.01356994,-344.5075,100,0.0075197374,1.0184075,1.8535499e-06,0.018826911,1.0078303,98.1925246350208,98.19806189395347,80.15843,0.01,121.48963,0.7578619,1.3676196,9296.197830137791,72.6628434366115,72.6628434366115,8.27
11139.938831205931,0.0155531,-341.8652,100,0.007987152,1.0251037,2.141978e-06,0.022068687,1.0150343,97.551107412056,97.92346136669362,84.1946,0.01,148.76906,0.81072336,1.578693,11139.938831205931,73.85751222560698,73.85751222560698,8.39
13692.69903242061,0.017051334,-338.97552,100,0.007120079,1.0271118,3.3184338e-06,0.0350333,1.0274814,97.36038768631244,96.8192498593767,87.5013,0.01,158.64705,0.73157483,1.7519927,13692.69903242061,76.05033524804112,76.05033524804112,8.61
17438.5802773205,0.021629445,-316.3937,100,0.0058522522,1.0463029,5.8628925e-06,0.057877675,0.99357253,95.57461668389915,94.5141558696442,114.04904,0.01,188.08159,0.5814637,2.1490424,17438.5802773205,96.05111299277321,96.05111299277321,10.61
95373.84475227412,0.78493214,741.197,100,1.8223387e-20,15.600196,0.0061569214,293.68378,2.184028,6.410175919524592,1.614113307672038,2403.2761,0.010000002,5016.3047,3.9800382e-18,171.43137,95373.84475227412,124.54312454590978,124.54312454590978,13.46
641454.7297034456,0.5275753,834.31824,100,1.9211037e-29,10.556927,0.0029226243,61.479725,1.4503722,9.472453734234048,3.340685449762986,2201.5918,0.01,4098.5225,2.7863153e-27,76.51806,641454.7297034456,497.86311019886153,497.86311019886153,50.79
3677246.4590879125,0.11263394,3634.6655,100,9.904161e-08,5.4235005,0.00047431677,9.290015,1.3995035,18.43827603624261,17.5569927802665,4614.6665,0.01,1178.304,1.38609075e-05,15.76316,3677246.4590879125,2007.9349075369457,2007.9349075369457,201.57
1845644.2261757131,0.027644891,4404.1963,100,5.9642352e-05,1.6248952,7.107085e-05,0.64438844,0.9521999,61.542429982402105,58.69917228502468,4940.6094,0.010000002,187.12271,0.005679144,2.6323462,1845644.2261757131,4438.762688523005,4438.762688523005,444.09
426507.66087938775,0.016110683,4518.751,100,0.00030017088,1.1746057,1.977402e-05,0.19492058,0.9928448,85.13495012385182,83.62862807068713,4974.8223,0.010000002,126.62936,0.029802311,1.5995408,426507.66087938775,4867.563958949184,4867.563958949184,486.82
7055.615516189736,0.011155345,4572.159,100,0.0058936435,1.0056098,7.3974945e-07,0.007278437,0.99192023,99.44215430056146,99.27295769017725,4994.1484,0.010000002,58.09735,0.5846024,1.1065212,7055.615516189736,4991.569333137933,4991.569333137933,499.17
1521.0313905867342,0.010555723,4575.5513,100,0.008536577,1.0012914,1.7363733e-07,0.0017208941,0.9955328,99.87102713144839,99.82839112598649,4996.6333,0.01,33.17529,0.84984434,1.0508568,1521.0313905867342,4996.062422967616,4996.062422967616,499.62
151239.58164778253,0.01342859,4553.7236,100,0.001258539,1.0546563,7.7529785e-06,0.072900504,0.9696856,94.81762268260168,92.87169190322683,4985.8813,0.01,106.744514,0.12203872,1.3021511,151239.58164778253,4951.060477615309,4951.060477615309,495.13
0.0017498966536998479,0.010006185,4579.1543,100,0.009986113,1.0000001,1.6427845e-11,1.6427872e-07,1.0000141,99.99998807907247,100.00000381464382,4999.965,0.009999998,0.041596495,0.99862534,1.0006325,0.0017498966536998479,4999.964603687659,4999.964603687659,500.0
49283.47453201854,0.011886406,4570.862,100,0.001817233,1.020304,3.9123215e-06,0.036382657,0.9643395,98.01000826037834,96.27122727235997,4995.923,0.009999999,40.478374,0.17524296,1.1462531,49283.47453201854,4977.756619905707,4977.756619905707,497.79
429950.2235986927,0.014193036,4556.967,100,0.0006804358,1.0644178,8.05324e-06,0.0805417,1.0000577,93.94806844765317,92.61599301287126,4991.1196,0.010000002,65.47685,0.06804751,1.4193856,429950.2235986927,4906.759351250852,4906.759351250852,490.7
0.0020266635585227924,0.01001416,4579.151,100,0.009969819,1.0000005,7.2002716e-11,7.1992423e-07,0.99993026,99.99995231630692,99.99990081102817,4999.9614,0.010000002,0.044717565,0.9969124,1.0013461,0.0020266635585227924,4999.9604559234285,4999.9604559234285,500.0
0.0010792406033245958,0.01,4579.1577,100,0.01,1.0,3.5044917e-18,,1.0,100.0,100.0,4999.9683,0.009999998,0.03269221,1.0,1.0,0.0010792406033245958,4999.968275002598,4999.968275002598,500.0
217176.72047407707,0.01282394,4565.99,100,0.0011755935,1.036872,4.49413e-06,0.042466745,0.97207934,96.443917063783,95.74030475565287,4994.489,0.010000002,55.006767,0.11427701,1.2465887,217176.72047407707,4953.3598421428915,4953.3598421428915,495.35
213463.0553408874,0.013742964,4558.9424,100,0.0022964915,1.0461682,4.798684e-06,0.046587653,0.9853134,95.5869230431768,95.46477333316899,4989.3574,0.01,106.414276,0.22627638,1.3541126,213463.0553408874,4953.764290851574,4953.764290851574,495.39
0.0006641499212873798,0.010072717,4579.1646,100,0.009899885,1.0000052,7.280538e-10,7.282887e-06,1.0001627,99.99947548187718,99.99928295745875,4999.976,0.01,0.025613507,0.9901497,1.0074357,0.0006641499212873798,4999.975267122557,4999.975267122557,500.0
0.0011582872943215613,0.01,4579.158,100,0.01,1.0,3.5044917e-18,,1.0,100.0,100.0,4999.9688,0.009999998,0.033863142,1.0,1.0,0.0011582872943215613,4999.968452287336,4999.968452287336,500.0
