MaxVanillaIw,AvgDiscRet,AvgNormIw,VarDiscRet,VarJ,ESSRenyi,ESSClassic,VarVanillaIw,MinNormIw,BatchSize,VarNormIw,Bound,AvgEpLen,eRenyi2,MaxNormIw,J,VarRet,AvgRet,AvgVanillaIw,MinVanillaIw
7.4933085,-2654.305220661724,0.01,5688470.842681565,98.91765,19.14643229309794,25.115002027551405,4.9851193,7.464437e-29,100,0.00030118026,-508.0087,200.0,5.222905,0.058243714,-38.542664,5688470.842681565,-2654.305220661724,1.2865437,9.6033246e-27
28.550545,-9.05069044401509,0.01,85.64419830923761,10.012208,4.441588178175215,1.1323122433909638,8.153082,,100,0.008819684,-4.0495253,200.0,22.51447,0.9390311,-1.172281,85.64419830923761,-9.05069044401509,0.30404258,
73.45051,-9.1362933715764,0.01,63.15545217572608,8.676596,1.7945733024498558,1.154465552697562,54.029713,,100,0.008648504,-5.9107504,200.0,55.723553,0.929285,-1.1658528,63.15545217572608,-9.1362933715764,0.7903981,
8.903554,-9.545917476257399,0.010000003,61.468006701797606,30.984535,2.346750926636461,1.93770672614051,0.975561,,100,0.0051118582,-5.0551605,200.0,42.612106,0.6445039,-5.43527,61.468006701797606,-9.545917476257399,0.13814586,
9.653487,-8.254572690134436,0.01,65.52841400332443,15.582812,22.148046371289258,26.23597197247461,3.1105187,2.214097e-05,100,0.00028399596,-8.452001,200.0,4.515071,0.09224098,-6.6937666,65.52841400332443,-8.254572690134436,1.0465508,0.0023171648
18.603378,-8.30306855242509,0.01,59.73573653031112,5.976366,2.253570721186646,2.2103533328202447,5.0135217,,100,0.0044688517,-5.0848737,200.0,44.374023,0.5554159,-2.2535706,59.73573653031112,-8.30306855242509,0.334945,
31.687979,-9.013622453356191,0.01,52.46886119596719,7.303981,3.9413067877276187,1.223148325787103,10.056998,,100,0.008157197,-3.6476076,200.0,25.372295,0.90246594,-1.6489606,52.46886119596719,-9.013622453356191,0.35112658,
24.907131,-7.853573927199096,0.01,58.36411390623533,7.5463967,6.560610422274351,7.250336677143982,17.161654,1.1867112e-19,100,0.001292168,-5.204298,200.0,15.242484,0.21612433,-2.3392086,58.36411390623533,-7.853573927199096,1.1524446,1.3676189e-17
23.310987,-8.642827535457382,0.01,64.2074468077572,13.724955,3.4561092100134405,2.0516865252303913,6.174839,,100,0.0048222616,-4.247044,200.0,28.93427,0.6514382,-1.7382774,64.2074468077572,-8.642827535457382,0.3578388,
3.6701128,-8.621702008066395,0.009999999,60.276425186394086,28.424969,3.003638593566028,2.514836466799779,0.26860443,,100,0.0039155576,-4.2657623,200.0,33.292953,0.44311827,-6.015012,60.276425186394086,-8.621702008066395,0.08282468,
3.2199225,-8.590371356118093,0.010000002,57.23584346064497,11.641909,40.08703436129276,30.63993358660047,1.381899,1.788771e-13,100,0.00022865801,-7.7159386,200.0,2.4945722,0.04141909,-8.632605,57.23584346064497,-8.590371356118093,0.7774006,1.39059155e-11
1.035989,-9.289454454473207,0.010000002,54.86481363662235,7.3790627,99.76681138624548,99.54488878622148,0.004624881,0.006081647,100,4.6178926e-07,-9.902433,200.0,1.0023373,0.01035206,-9.271736,54.86481363662235,-9.289454454473207,1.0007564,0.6086247
1.1136374,-7.673257097119236,0.009999996,56.2509656321367,7.4323735,98.10661409119605,96.22063529321547,0.03969021,0.0017137373,100,3.9675206e-06,-8.2246475,200.0,1.0192993,0.01113427,-7.586378,56.2509656321367,-7.673257097119236,1.0001891,0.17140612
1.1810938,-8.862990270643158,0.010000003,54.419516369444686,7.7119884,95.90785098866075,90.3236645622228,0.1049937,0.004618123,100,1.0821149e-05,-9.091835,200.0,1.0426675,0.011990558,-8.586946,54.419516369444686,-8.862990270643158,0.98501986,0.4548943
1.1131088,-8.742721416073127,0.01,56.814216065634064,7.7065988,98.12195693965434,94.17263128588462,0.061257746,0.0050248904,100,6.250437e-06,-9.101553,200.0,1.0191399,0.011243779,-8.547252,56.814216065634064,-8.742721416073127,0.9899774,0.4974528
1.0956761,-8.728162722579516,0.01,56.63908113917138,7.4877186,98.59546900385715,94.44078425684832,0.057552926,0.00482158,100,5.945908e-06,-9.081816,200.0,1.0142454,0.011136727,-8.583072,56.63908113917138,-8.728162722579516,0.9838402,0.47436643
1.028219,-8.749005974639559,0.009999998,63.83646998894215,7.9546337,99.85362291324566,99.46980820162287,0.005439986,0.0076783877,100,5.384487e-07,-9.393587,200.0,1.0014659,0.010229607,-8.676533,63.83646998894215,-8.749005974639559,1.0051402,0.7717856
2.157336,-9.960096399796672,0.010000002,62.53298882843964,7.6908417,98.12121091607081,90.918546741378,0.10139774,0.00913292,100,1.0089468e-05,-10.41044,200.0,1.0191476,0.02151978,-9.7148485,62.53298882843964,-9.960096399796672,1.0024898,0.91556585
1.0834234,-8.99015528877333,0.009999999,60.575582565483785,7.9147496,98.89794785126534,95.28660918784881,0.048412785,0.0050856587,100,4.9965042e-06,-9.411441,200.0,1.0111433,0.011006552,-8.892445,60.575582565483785,-8.99015528877333,0.984344,0.5006038
1.1072655,-8.447239443624554,0.010000002,53.586524763444864,7.2584324,99.97559189650964,99.8970577155036,0.001037695,0.00990535,100,1.0406645e-07,-9.05928,200.0,1.0002441,0.011088485,-8.455618,53.586524763444864,-8.447239443624554,0.9985724,0.98912096
1.1083758,-9.963931208536668,0.010000002,62.502657693473054,7.828841,99.97368551521092,99.87151817892743,0.0013011174,0.0098804515,100,1.2992842e-07,-10.626211,200.0,1.0002632,0.011075948,-9.954197,62.502657693473054,-9.963931208536668,1.0007051,0.9887418
1.0526708,-9.163187415607666,0.010000003,53.43666696049887,7.4142885,99.52315869400152,97.69573347703361,0.023409177,0.00619361,100,2.3824343e-06,-9.674257,200.0,1.0047913,0.010619645,-9.13796,53.43666696049887,-9.163187415607666,0.9912486,0.6139407
2.0944304,-7.187997103685998,0.010000003,44.41967114504514,6.5992837,98.47255346955009,92.72313055255565,0.07819303,0.009292235,100,7.927217e-06,-7.606214,200.0,1.0155114,0.021088334,-7.089775,44.41967114504514,-7.187997103685998,0.99317014,0.922877
1.0548214,-6.750483449374994,0.01,44.00212152446655,6.56909,99.4863446861859,97.4581379842659,0.025579914,0.006299606,100,2.6345197e-06,-7.2232018,200.0,1.0051631,0.010704837,-6.7628226,44.00212152446655,-6.750483449374994,0.98536897,0.62074363
1.0580332,-8.613541348495373,0.010000002,55.42566689123033,7.4569974,99.4294245672443,97.50284943049114,0.025817828,0.0056662443,100,2.5869754e-06,-9.114678,200.0,1.0057385,0.010590967,-8.495282,55.42566689123033,-8.613541348495373,0.9989959,0.5660555
1.0271468,-7.517097088340522,0.01,55.87632139866992,7.426091,99.86390540997424,99.14847137027414,0.008556887,0.0074903835,100,8.6751743e-07,-8.118875,200.0,1.0013628,0.010342221,-7.541363,55.87632139866992,-7.517097088340522,0.9931589,0.74391407
1.1622283,-7.587775448273763,0.0100000035,52.031834607783956,7.1682887,99.96299921124566,99.88028017600907,0.001195426,0.009929334,100,1.2106436e-07,-8.185821,200.0,1.0003701,0.011696023,-7.627134,52.031834607783956,-7.587775448273763,0.9936954,0.9866733
1.6129327,-7.211538974266099,0.010000002,43.06193270528597,6.5576615,99.54556258687207,97.59705833303126,0.024620464,0.009603576,100,2.4869446e-06,-7.7075825,200.0,1.0045651,0.016210679,-7.1905127,43.06193270528597,-7.211538974266099,0.9949815,0.95553803
1.0006297,-8.392886154524582,0.009999999,52.74341695252734,7.2260585,100.0,100.00003051802284,3.1544122e-08,0.009999514,100,3.1545808e-12,-9.00368,200.0,1.0,0.01000644,-8.393007,52.74341695252734,-8.392886154524582,0.99998564,0.99993706
