J,AvgNormIw,VarJ,MinNormIw,MaxNormIw,eRenyi2,VanillaAvgRet,VarRet,VarDiscRet,ESSRenyi,AvgEpLen,AvgRet,Delta,AvgDiscRet,ESSClassic,AvgVanillaIw,VarNormIw,Bound,BatchSize,IterType,MinVanillaIw,EpsThisIter,MaxVanillaIw,VarVanillaIw
-85.6107,0.01,77.5393,0.00655719,0.014492,1.01184,-87.2255128409,7126.01400433,7126.01400433,98.8297045385,119.84,-87.2255128409,0.1,-87.2255128409,98.6087730651,1.00563,1.42509e-06,-211.49,100,1,0.65941,100,1.45736,0.0144118
-71.4534,0.01,41.4261,0.0056207,0.0116596,1.01248,-73.2345053034,2556.48269591,2556.48269591,98.7674624595,104.44,-73.2345053034,0.1,-73.2345053034,99.0592051353,1.01481,9.59287e-07,-197.372,100,1,0.570394,100,1.18323,0.0098791
-76.0662,0.01,54.2642,0.00697158,0.0112606,1.01018,-77.2763058604,3751.63426894,3751.63426894,98.9926913806,108.84,-77.2763058604,0.1,-77.2763058604,99.117330083,1.00391,8.99549e-07,-201.843,100,1,0.699883,100,1.13046,0.00906594
-110.785,0.01,113.2,0.00694673,0.0154137,1.01594,-112.812853637,14108.1213847,14108.1213847,98.4311877054,149.42,-112.812853637,0.1,-112.812853637,98.2695467091,1.0217,1.7787e-06,-236.92,100,1,0.709751,100,1.57483,0.0185675
-80.795,0.01,70.5439,0.00395728,0.012558,1.01636,-83.3438245858,6077.53899785,6077.53899785,98.3905375525,115.45,-83.3438245858,0.1,-83.3438245858,98.0278960162,0.995397,2.03214e-06,-206.956,100,1,0.393906,100,1.25002,0.0201348
-71.7842,0.01,49.3142,0.00904568,0.0107185,1.00116,-71.9275075585,2590.02020596,2590.02020596,99.8840367039,102.25,-71.9275075585,0.1,-71.9275075585,99.9032616961,1.00036,9.78327e-08,-196.996,100,1,0.904897,100,1.07224,0.000979038
-78.6986,0.01,59.4952,0.00522753,0.0129448,1.02308,-81.7492098501,4905.12770204,4905.12770204,97.744033595,114.53,-81.7492098501,0.1,-81.7492098501,97.5759185798,0.983183,2.50938e-06,-205.276,100,1,0.513962,100,1.27271,0.0242569
-73.521,0.01,47.7486,0.00924646,0.0121675,1.00373,-74.0036451049,2550.34029187,2550.34029187,99.6287707701,104.97,-74.0036451049,0.1,-74.0036451049,99.5985393134,1.00471,4.07185e-07,-198.88,100,1,0.929004,100,1.22248,0.00411032
-85.5471,0.01,79.8384,0.00281687,0.0127431,1.03008,-90.8157350476,8218.55043773,8218.55043773,97.0802129036,124.76,-90.8157350476,0.1,-90.8157350476,96.2114181251,0.992599,3.97751e-06,-212.558,100,1,0.279603,100,1.26488,0.0391885
-76.2096,0.01,58.4715,0.00880271,0.0125528,1.00443,-76.7840021576,3753.0489456,3753.0489456,99.5586292905,108.38,-76.7840021576,0.1,-76.7840021576,99.5651447485,0.994554,4.41172e-07,-201.629,100,1,0.875477,100,1.24845,0.0043638
-88.8617,0.01,88.4585,0.0092702,0.0113403,1.00426,-89.4175204065,8274.24857552,8274.24857552,99.5760608391,122.3,-89.4175204065,0.1,-89.4175204065,99.7679421061,0.993491,2.3498e-07,-214.269,100,1,0.920986,100,1.12665,0.00231931
-76.0419,0.01,59.7196,0.00961125,0.011465,1.00171,-76.2626796976,3760.47240287,3760.47240287,99.8297732976,107.85,-76.2626796976,0.1,-76.2626796976,99.8836054333,0.993687,1.1771e-07,-201.285,100,1,0.955058,100,1.13927,0.00116229
-69.2786,0.01,35.1497,0.00873196,0.0142826,1.00265,-69.599198366,1367.62050979,1367.62050979,99.7353068428,100.09,-69.599198366,0.1,-69.599198366,99.5494772126,1.01434,4.57134e-07,-194.402,100,1,0.885719,100,1.44875,0.00470341
-72.1853,0.01,45.0115,0.00749489,0.0112076,1.00761,-73.1789061329,2562.21080297,2562.21080297,99.2445045032,104.09,-73.1789061329,0.1,-73.1789061329,99.3545360668,1.00282,6.56223e-07,-197.637,100,1,0.7516,100,1.12392,0.00659925
-81.4581,0.01,67.7398,0.00266253,0.0132712,1.05684,-89.8846678381,8276.5094163,8276.5094163,94.6221344701,122.59,-89.8846678381,0.1,-89.8846678381,93.935507264,0.996208,6.52124e-06,-210.107,100,1,0.265243,100,1.32209,0.0647187
-76.0593,0.01,59.6926,0.0084947,0.0108319,1.00139,-76.2261600552,3728.92973167,3728.92973167,99.8611830169,107.58,-76.2261600552,0.1,-76.2261600552,99.8370121945,0.996994,1.64906e-07,-201.28,100,1,0.846917,100,1.07994,0.00163916
-77.9324,0.01,66.5494,0.00630369,0.0110532,1.00761,-79.0351272766,4954.12691211,4954.12691211,99.2443283812,109.99,-79.0351272766,0.1,-79.0351272766,99.3448084005,0.998487,6.66151e-07,-203.549,100,1,0.629415,100,1.10365,0.00664136
-86.4156,0.01,80.2137,0.00875936,0.0147975,1.00723,-87.3923789164,7175.85580397,7175.85580397,99.2820914858,120.5,-87.3923789164,0.1,-87.3923789164,99.4482533956,0.997216,5.60423e-07,-212.01,100,1,0.873498,100,1.47563,0.00557306
-79.4691,0.01,67.2256,0.0093692,0.0117979,1.00378,-79.9642064764,4917.50435257,4917.50435257,99.6233399095,111.91,-79.9642064764,0.1,-79.9642064764,99.649305965,1.00279,3.55474e-07,-204.846,100,1,0.939534,100,1.18309,0.00357461
-87.0336,0.01,84.948,0.00509798,0.0120119,1.01614,-89.4294379692,8291.46905444,8291.46905444,98.4120418139,122.59,-89.4294379692,0.1,-89.4294379692,98.6746732609,1.0059,1.35671e-06,-213.181,100,1,0.512807,100,1.20829,0.0137278
-84.9839,0.01,79.3102,0.00534308,0.0191456,1.03178,-89.461607025,8273.50757632,8273.50757632,96.9199527867,122.61,-89.461607025,0.1,-89.461607025,95.8765122646,1.01914,4.34427e-06,-212.1,100,1,0.544533,100,1.9512,0.0451214
-74.3584,0.01,58.2234,0.00871395,0.0117519,1.00436,-74.8945232143,3758.85427656,3758.85427656,99.5660975186,105.61,-74.8945232143,0.1,-74.8945232143,99.6490529357,0.998867,3.55741e-07,-199.731,100,1,0.870407,100,1.17386,0.00354936
-70.9742,0.01,49.3416,0.00900569,0.0118896,1.00235,-71.276085919,2569.73616178,2569.73616178,99.7656367257,100.96,-71.276085919,0.1,-71.276085919,99.7483752965,0.997266,2.54816e-07,-196.261,100,1,0.898108,100,1.18571,0.00253425
-79.026,0.01,68.0691,0.00900897,0.0115947,1.00423,-79.5669651803,4924.5254035,4924.5254035,99.5787913497,111.18,-79.5669651803,0.1,-79.5669651803,99.5840630308,0.992926,4.21873e-07,-204.433,100,1,0.894524,100,1.15127,0.00415926
-82.657,0.01,82.3023,0.00681456,0.0125567,1.00669,-83.4838980798,7240.29493293,7240.29493293,99.3356080502,115.0,-83.4838980798,0.1,-83.4838980798,99.078200019,0.988325,9.39802e-07,-208.218,100,1,0.6735,100,1.24101,0.00917985
-86.9663,0.01,78.084,0.00578965,0.0115634,1.01376,-88.83932096,7079.14206213,7079.14206213,98.6424940302,122.62,-88.83932096,0.1,-88.83932096,98.5032985824,0.98622,1.53478e-06,-212.967,100,1,0.570986,100,1.14041,0.0149278
-78.8308,0.01,67.6768,0.00418365,0.0121026,1.02395,-82.2827673484,6046.22593203,6046.22593203,97.6608157859,114.74,-82.2827673484,0.1,-82.2827673484,96.3827699563,0.977935,3.7909e-06,-205.462,100,1,0.409134,100,1.18356,0.0362545
-80.0578,0.01,73.2495,0.00901836,0.0142838,1.00776,-81.0756996614,6100.04253297,6100.04253297,99.2302289109,112.51,-81.0756996614,0.1,-81.0756996614,98.7994251137,1.02033,1.22745e-06,-205.682,100,1,0.920172,100,1.45742,0.0127787
-86.42,0.01,82.1296,0.00914236,0.0121001,1.00513,-87.0640143065,7140.99830339,7140.99830339,99.4899788427,120.18,-87.0640143065,0.1,-87.0640143065,99.471202961,1.00314,5.36986e-07,-211.883,100,1,0.917106,100,1.21381,0.00540363
-77.483,0.01,60.7911,0.00383489,0.0123433,1.03369,-82.4470165013,6084.93714269,6084.93714269,96.7405480391,114.47,-82.4470165013,0.1,-82.4470165013,97.2121456299,1.01248,2.8968e-06,-204.716,100,1,0.388276,100,1.24973,0.0296956
-86.7593,0.01,79.8534,0.000697711,0.016937,1.08635,-95.6492686349,10420.1579626,10420.1579626,92.0515394197,129.43,-95.6492686349,0.1,-95.6492686349,91.3168151608,0.96524,9.60492e-06,-217.192,100,1,0.0673459,100,1.63483,0.0894879
