VarDiscRet,VarNormIw,Bound,BatchSize,EpsThisIter,AvgVanillaIw,MaxNormIw,ESSClassic,J,VarVanillaIw,ESSRenyi,AvgRet,AvgDiscRet,MinVanillaIw,IterType,VanillaAvgRet,VarJ,VarRet,eRenyi2,MaxVanillaIw,MinNormIw,AvgNormIw,AvgEpLen
10740.5379436093,0.005385997,311.8943,100,100,2.2995281,0.7316039,1.840896406228411,478.31332,284.80225,8.17975975637706,161.4208618825578,161.4208618825578,7.254755e-11,1,161.4208618825578,665.4328,10740.5379436093,12.225298,168.23438,3.1548887e-13,0.01,17.6
14205.226566234236,0.009999698,-2671.025,200,100,137842700.0,0.9999849,1.0000301614383542,265.9006,1.900003e+18,0.05793900929103503,161.4208618825578,233.8041706756888,0.0059440886,,161.4208618825578,0.0034986949,10740.5379436093,3451.9058,13784062000.0,4.312226e-13,0.01,17.6
21036.559684622127,0.0028064635,541.65466,200,100,4.4426103,0.7486493,1.7746662431405178,812.12585,2215.6223,9.923948409808448,160.02682894370423,160.02682894370423,2.9593758e-07,1,160.02682894370423,2171.4895,21036.559684622127,20.153269,665.1914,3.3306724e-10,0.005,17.45
30443.100590285118,3.5044917e-18,144.6516,200,100,1.0,0.01,100.0,232.56453,,200.0,232.564519759912,232.564519759912,1.0,2,232.564519759912,173.60492,30443.100590285118,1.0,1.0,0.01,0.009999998,25.24
39965.771791170584,0.002132395,-684.12036,300,100,35821.137,0.4716616,2.329120549044971,137.6831,109447635000.0,2.8729469712977096,160.02682894370423,234.32102984517712,0.0015033266,,160.02682894370423,451.14343,21036.559684622127,104.42239,3379091.0,2.0983791e-10,0.005000001,17.45
10062.53283249709,0.0018352404,556.7297,300,100,4.0852547,0.74112934,1.8113637373668263,813.0514,2756.5996,11.04983414331476,158.96216471226765,158.96216471226765,4.3495502e-10,1,158.96216471226765,2611.9993,10062.53283249709,27.149729,908.3106,3.5489832e-13,0.0033333332,17.34
31291.854484669377,3.5044917e-18,173.41446,300,100,1.0,0.01,100.0,265.11203,,300.0,265.11200385067383,265.11200385067383,1.0,2,265.11200385067383,176.00835,31291.854484669377,1.0,1.0,0.01,0.009999998,28.72
36778.48800678629,2.179301e-19,195.46426,300,100,1.0,0.005,200.00000010221265,260.30423,,300.0,255.49645454408838,255.49645454408838,1.0,2,255.49645454408838,183.62444,36778.48800678629,1.0,1.0,0.005,0.0049999994,27.69
21116.945358993136,0.0028380628,76.890274,400,100,8318259.0,0.9213019,1.1738271104922322,199.56673,1.767378e+16,74.49582203573765,158.96216471226765,228.46560214704468,0.001100945,,158.96216471226765,98.52546,10062.53283249709,5.3694286,2299088400.0,4.4117607e-13,0.0033333336,17.34
11076.43839367867,0.0009920027,521.16504,400,100,2.5954974,0.6269609,2.510612797219989,732.1675,1069.2372,16.306159743841565,148.24576591404013,148.24576591404013,1.07523805e-19,1,148.24576591404013,3577.8623,11076.43839367867,24.530607,650.91016,1.0356763e-22,0.0024999997,16.19
26207.06691199885,3.5044917e-18,131.56879,400,100,1.0,0.01,100.0,248.04877,,400.0,248.04879147149165,248.04879147149165,1.0,2,248.04879147149165,161.07451,26207.06691199885,1.0,1.0,0.01,0.009999998,26.92
15252.96335909991,2.179301e-19,161.71117,400,100,1.0,0.005,200.00000010221265,244.07495,,400.0,240.10115231960052,240.10115231960052,1.0,2,240.10115231960052,143.31262,15252.96335909991,1.0,1.0,0.005,0.0049999994,26.0
17689.649187375973,5.4391416e-20,178.03174,400,100,1.0,0.0033333334,299.999969473632,245.2815,,400.0,247.69449963867967,247.69449963867967,1.0,2,247.69449963867967,139.75992,17689.649187375973,1.0,1.0,0.0033333334,0.0033333336,26.82
17448.456102192933,0.002499711,-inf,500,100,2.3252008e+16,0.9999423,1.0001153896308452,1383.9222,2.162373e+35,1396.5526727985891,148.24576591404013,234.38289367195972,0.0015363103,,148.24576591404013,1.8750954,11076.43839367867,0.35802445,9.300266e+18,1.6518039e-22,0.0025,16.19
21820.82123017249,0.0013802428,596.18396,500,100,5.244913,0.8302966,1.4477202841606307,887.1156,9492.313,8.976581253360088,154.51030273353925,154.51030273353925,2.4218288e-27,1,154.51030273353925,2379.364,21820.82123017249,55.700493,2177.4167,9.234963e-31,0.002,16.85
21238.17334880561,3.5044917e-18,179.28831,500,100,1.0,0.01,100.0,242.93082,,500.0,242.93083981923002,242.93083981923002,1.0,2,242.93083981923002,145.00273,21238.17334880561,1.0,1.0,0.01,0.009999998,26.33
41508.394931355884,2.179301e-19,184.24649,500,100,1.0,0.005,200.00000010221265,260.40475,,500.0,277.8786622612837,277.8786622612837,1.0,2,277.8786622612837,177.10135,41508.394931355884,1.0,1.0,0.005,0.0049999994,30.07
39893.603617732086,5.4391416e-20,186.1246,500,100,1.0,0.0033333334,299.999969473632,264.11923,,500.0,271.5481161137424,271.5481161137424,1.0,2,271.5481161137424,184.66838,39893.603617732086,1.0,1.0,0.0033333334,0.0033333336,29.4
17800.23169971661,5.434597e-20,188.34518,500,100,1.0,0.0025,400.0,255.8905,,500.0,231.20444546923306,231.20444546923306,1.0,2,231.20444546923306,173.73975,17800.23169971661,1.0,1.0,0.0025,0.0024999997,25.07
26098.459978094936,0.000496604,497.42352,500,100,1.7800578,0.4392339,4.003115196169684,899.9805,393.38562,11.261488248218763,269.9879291622263,269.9879291622263,5.6458037e-20,1,269.9879291622263,3795.3528,26098.459978094936,44.399105,390.93085,6.343394e-23,0.002,29.23
51683.45936866487,3.5044917e-18,285.2482,500,100,1.0,0.01,100.0,380.95844,,500.0,380.95842604244433,380.95842604244433,1.0,2,380.95842604244433,226.2004,51683.45936866487,1.0,1.0,0.01,0.009999998,41.18
