VarVanillaIw,BatchSize,ESSClassic,MinVanillaIw,MaxVanillaIw,AvgNormIw,AvgDiscRet,ESSRenyi,eRenyi2,VarNormIw,VarDiscRet,AvgRet,VarRet,VarJ,AvgVanillaIw,MinNormIw,AvgEpLen,J,Bound,MaxNormIw
1.3880398,100,51.78968959940324,1.8438597e-07,5.767872,0.01,184.50096623515583,51.39612024178443,1.9456722,9.402889e-05,12369.93182061497,215.6018611185439,30539.976892376162,66.48864,1.2149832,1.5176009e-09,22.57,157.79694,90.961426,0.047472853
3.148729,100,28.2249182401482,3.2841369e-10,7.125943,0.010000002,150.32981827216958,28.472680393160616,3.5121386,0.0002568655,3770.562208436016,165.42563233844936,7731.929913979123,35.877693,1.107171,2.9662414e-12,17.55,148.36903,98.68645,0.064361714
0.22079809,100,81.57187030635693,0.07416352,2.1384027,0.01,143.82212340099173,81.90883352230497,1.2208695,2.2819453e-05,907.579498341962,155.1284639630094,1281.6222146535183,32.051003,0.98366004,0.00075395475,16.52,149.0054,118.48519,0.021739244
0.6041464,100,61.070330523997164,0.020419255,3.2511716,0.01,148.2141189614686,59.96474145760947,1.6676466,6.438952e-05,739.911324636943,160.12549501324074,1026.1314161205435,31.00312,0.9686424,0.00021080281,17.02,158.66197,125.33699,0.033564206
0.045046672,100,95.83235916311763,0.29011852,1.6153573,0.01,162.81399337716073,95.55950489000688,1.0464684,4.392804e-06,1493.6640242647954,177.92385250302033,2276.2133018713475,42.70455,1.0126524,0.0028649368,18.8,165.85152,130.3099,0.015951745
0.4959371,100,67.18435088084958,0.030313479,3.3975687,0.01,157.4005154815048,73.24917856057284,1.365203,4.9337563e-05,1137.7480535557436,171.22844429144635,1685.544315504334,49.462772,1.0025926,0.00030235093,18.13,170.15538,129.03214,0.03388783
0.6621684,100,64.86380207579498,0.09154293,4.078304,0.01,170.82635403935095,69.34614253666635,1.4420413,5.4716344e-05,1895.073993343839,187.82363801108673,2967.297424638631,68.07407,1.1000835,0.00083214534,19.79,189.69841,134.21426,0.037072677
0.34568536,100,75.97967635924503,0.18448265,2.9807005,0.010000002,185.48106941168447,77.00204341708243,1.2986668,3.1933465e-05,1934.332087171219,205.61861547997222,3041.851645763211,58.283222,1.040441,0.0017731198,21.57,198.60239,148.49168,0.028648434
,100,inf,,1.0698881e-33,0.01,192.41999851295157,1.492736454963404e-11,6699106000000.0,0.010000003,3600.0821700034526,215.71607283392922,6581.952219243104,,1.0698881e-35,,22.58,198.2988,141.9576,1.0
0.10748833,100,89.63024549153788,0.23610719,1.7918543,0.01,130.4999373542849,90.33443177697929,1.1069976,1.1686335e-05,434.96563887741047,139.428902522102,594.5229012293313,20.133593,0.95905054,0.0024618846,14.95,131.62851,112.95956,0.018683627
0.08912969,100,92.1436768984541,0.296308,1.7423046,0.010000002,134.08876642678825,91.45731930420722,1.0934062,8.612283e-06,414.50003241435803,143.53189214609563,568.7609504994947,18.999655,1.017307,0.0029126704,15.36,135.05098,116.96601,0.017126635
0.06023126,100,94.36921125671658,0.31692147,1.6556541,0.01,132.2861029160789,94.52715283847125,1.0578971,6.0270545e-06,369.78511146551773,141.43099917322397,503.67726197746094,19.30309,0.9996741,0.003170248,15.15,133.20432,116.113266,0.016561938
0.399184,100,74.75076383408992,0.49480557,6.197253,0.010000002,138.93783571607236,87.66272153793662,1.1407357,3.4119057e-05,575.1043328543038,149.23094748048112,794.4393004282487,32.66052,1.0816532,0.0045745308,15.93,142.80295,118.768814,0.057294272
0.08304355,100,92.42107824039074,0.417774,1.8128878,0.01,137.55604563396864,92.79604028127065,1.0776322,8.2832485e-06,708.8628840479465,147.73098129719494,994.9298005545915,28.188452,1.0012733,0.004172427,15.78,139.72202,115.164055,0.018105824
0.061482,100,94.06319909256447,0.32596806,1.4102482,0.01,136.6812920104691,94.67548795875572,1.0562396,6.3752354e-06,707.2792303812879,146.729587679822,1019.807593295033,23.870012,0.9820325,0.0033193205,15.68,136.60248,114.31433,0.014360504
0.020832544,100,97.99612407260356,0.69206244,1.3949826,0.009999998,136.57698003812064,97.85515826586351,1.0219185,2.0655102e-06,468.0944488502673,146.42890340836718,632.9839852951059,21.485092,1.0042862,0.0068910886,15.65,137.04274,118.38088,0.013890291
0.066354364,100,93.76758722812352,0.42911303,1.9379201,0.01,143.6734844431883,94.589837651717,1.057196,6.713808e-06,1239.1420194242937,155.22965783447026,1889.7398944556396,32.62754,0.99414617,0.0043163975,16.53,144.26733,114.068,0.019493312
0.058735073,100,94.46870748355515,0.60832584,2.6363206,0.01,140.65847885597242,96.06745214554562,1.0409353,5.9143194e-06,725.4626018209681,151.33061490256338,1022.1865037202465,26.63302,0.99654365,0.006104357,16.14,141.49792,118.00583,0.026454642
0.09608678,100,91.85295040980982,0.7337174,2.9230304,0.01,143.07982593597174,93.46027173487371,1.0699733,8.959265e-06,989.1002832870256,154.3316607448086,1426.8175659812914,33.060265,1.0356086,0.0070848903,16.44,145.03136,116.629456,0.028225241
0.07561691,100,92.3501211590821,0.3779507,1.6632321,0.009999999,136.6744490324464,93.27854894539387,1.0720578,8.367251e-06,446.00800734202795,146.52953750941901,612.4289926995664,23.517271,0.9506443,0.003975732,15.66,138.83716,118.9128,0.01749584
0.19552338,100,83.72306005084369,0.2724712,2.166109,0.01,137.7006231608913,84.9536070258873,1.177113,1.9637797e-05,470.95137998778875,147.72964729171247,645.4620241328485,26.890108,0.9978218,0.00273066,15.78,141.92622,119.44908,0.021708377
0.20835152,100,83.53219723357424,0.27562633,3.7283547,0.010000003,142.8717596414394,86.84803213599822,1.1514366,1.9913428e-05,747.6892281410807,153.92673140019178,1096.7590902756601,23.172495,1.0228815,0.0026946065,16.4,143.03055,119.8747,0.036449526
0.11307092,100,89.81608156254875,0.30836087,1.7350866,0.01,143.4978047607783,92.05035759652297,1.0863619,1.1453143e-05,730.8463891787752,154.62765229385346,1027.2378444992455,28.247875,0.9936035,0.00310346,16.47,145.37868,120.76125,0.017462565
0.04500576,100,95.90971721652184,0.34851223,1.3579264,0.01,146.26216176595094,96.05550570680415,1.0410647,4.307793e-06,851.4236032080266,157.93023003119976,1201.8552786842017,30.106432,1.0221312,0.0034096625,16.8,147.82661,121.7216,0.013285246
0.050422054,100,95.00671451310265,0.45151144,1.8376176,0.01,146.02555833261778,95.96558485171543,1.0420402,5.3088042e-06,677.1794589641243,157.52839889369906,939.4752269887807,27.377731,0.9745676,0.0046329414,16.76,147.56609,124.13971,0.018855723
0.05154906,100,95.03201031826954,0.50711614,1.6398418,0.010000002,144.42012381397637,95.00199775128404,1.0526094,5.280479e-06,762.8772010145575,155.7270483115688,1087.1168747120414,27.49054,0.98803824,0.0051325555,16.58,145.3595,121.190674,0.016596947
0.24193265,100,80.69545542239001,0.36054114,3.051255,0.009999999,149.62998011329847,84.4048745614922,1.1847657,2.4164385e-05,933.0413884399097,161.92799333415925,1337.3762392483436,34.219246,1.0005974,0.0036032589,17.2,154.39983,123.9401,0.030494332
0.040182833,100,96.20163242037408,0.5453336,1.4600253,0.01,150.80836485333262,96.03686595848619,1.0412668,3.9882193e-06,1077.3599783454206,163.4260216053948,1594.5644141014052,32.898335,1.003762,0.0054328972,17.35,151.7524,123.20308,0.014545532
0.024556803,100,97.64590292392356,0.6191228,1.5045781,0.01,147.12704569519923,97.57845463820594,1.0248164,2.4351957e-06,1102.763080824965,159.12692332852632,1597.3184915456325,33.680573,1.0041971,0.0061653513,16.92,148.03346,119.198204,0.014982896
0.060848035,100,94.48770812768878,0.5825485,2.1316483,0.01,148.39265877397602,94.59626964974402,1.0571241,5.892796e-06,1247.9055960600892,160.72609503597022,1865.8073234948306,37.88796,1.0161612,0.0057328357,17.08,150.84557,118.68267,0.020977462
