MaxNormIw,VarVanillaIw,VanillaAvgRet,ESSClassic,AvgEpLen,AvgRet,MinVanillaIw,ESSRenyi,Bound,AvgVanillaIw,EpsThisIter,AvgDiscRet,VarJ,MaxVanillaIw,IterType,VarDiscRet,VarRet,AvgNormIw,renyi2,SamplesThisIter,BatchSize,MinNormIw,J,delta,VarNormIw
0.0174078,3666.73,-373.205590836,4.4310897601,458.71559633,-373.205590836,,nan,-336.584,6.16202,109,-373.205590836,2477.88,2104.58,1,10093.882762,10093.882762,5.09684e-05,nan,50000,100,,-43397.3,0.2,2.50862e-07
0.000382279,0.544933,-393.584446741,0.586921556288,485.436893204,-393.584446741,0.0786665,nan,-452.973,1.03165,103,-393.584446741,2740.25,7.31178,1,3318.23059607,3318.23059607,5.39374e-05,nan,50000,100,4.11289e-06,-65761.2,0.2,1.48956e-09
0.000361654,0.30552,-394.994595954,0.633616991629,485.436893204,-394.994595954,0.000904415,nan,-459.992,1.01074,103,-394.994595954,2161.04,6.77711,1,3089.70929625,3089.70929625,5.39374e-05,nan,50000,100,4.82633e-08,-67733.4,0.2,8.70036e-10
0.00484371,98.1178,-376.275627002,0.97871151274,462.962962963,-376.275627002,,nan,-370.669,2.26382,108,-376.275627002,2916.22,213.165,1,9375.05072739,9375.05072739,5.14403e-05,nan,50000,100,,-47425.9,0.2,5.06608e-08
0.00152235,47.6651,-368.715256843,0.654450672167,454.545454545,-368.715256843,,nan,-354.49,2.36372,110,-368.715256843,2653.34,71.2485,1,10023.7884308,10023.7884308,5.05051e-05,nan,50000,100,,-46775.0,0.2,2.1761e-08
0.00517005,245.525,-359.887415276,1.81677722322,446.428571429,-359.887415276,,nan,-317.938,3.11294,112,-359.887415276,2586.1,324.456,1,12690.486087,12690.486087,4.96032e-05,nan,50000,100,,-43472.3,0.2,6.23411e-08
0.00219099,784.121,-362.311821233,0.802541410833,446.428571429,-362.311821233,,nan,-293.079,6.29951,112,-362.311821233,2299.55,278.251,1,12865.2941953,12865.2941953,4.96032e-05,nan,50000,100,,-39243.5,0.2,4.8617e-08
0.00215491,11.252,-378.337544932,1.33723207888,467.289719626,-378.337544932,5.41202e-09,nan,-393.996,1.47602,107,-378.337544932,2969.07,61.26,1,8024.87151245,8024.87151245,5.19211e-05,nan,50000,100,1.90375e-13,-54092.9,0.2,1.3923e-08
0.00135649,3.96788,-385.181081209,0.909572509172,476.19047619,-385.181081209,1.60594e-07,nan,-423.096,1.231,105,-385.181081209,3317.12,31.56,1,5545.73247691,5545.73247691,5.29101e-05,nan,50000,100,6.90252e-12,-57946.5,0.2,7.33023e-09
0.00358132,51.9806,-374.107672583,0.805406739718,462.962962963,-374.107672583,,nan,-359.388,1.9727,108,-374.107672583,2739.82,137.341,1,9212.49245201,9212.49245201,5.14403e-05,nan,50000,100,,-47454.9,0.2,3.53447e-08
0.0105702,242.601,-370.035238046,6.79432311304,458.71559633,-370.035238046,6.54497e-36,nan,-332.531,2.86282,109,-370.035238046,2085.01,593.714,1,10043.7777419,10043.7777419,5.09684e-05,nan,50000,100,1.16524e-40,-44895.3,0.2,7.68963e-08
0.00501248,190.698,-366.60187015,2.8672612296,454.545454545,-366.60187015,,nan,-331.159,3.12309,110,-366.60187015,2242.99,309.957,1,10303.7609524,10303.7609524,5.05051e-05,nan,50000,100,,-44881.7,0.2,4.98708e-08
0.00220279,223.919,-349.98078792,1.35032721727,438.596491228,-349.98078792,,nan,-294.544,4.03026,114,-349.98078792,2207.97,182.173,1,13365.610738,13365.610738,4.87329e-05,nan,50000,100,,-39855.8,0.2,3.27394e-08
0.000377641,0.81977,-381.254808932,0.661261016788,476.19047619,-381.254808932,0.0102602,nan,-436.149,1.10703,105,-381.254808932,2002.76,7.90134,1,4920.37333869,4920.37333869,5.29101e-05,nan,50000,100,4.9038e-07,-63241.8,0.2,1.87262e-09
0.0036462,104.98,-374.55038393,0.805887640198,462.962962963,-374.55038393,,nan,-360.245,2.68587,108,-374.55038393,2505.37,190.38,1,9034.66153834,9034.66153834,5.14403e-05,nan,50000,100,,-48630.4,0.2,3.85073e-08
0.00161547,5.93887,-379.220153446,1.08330751113,471.698113208,-379.220153446,3.30807e-15,nan,-403.204,1.31542,106,-379.220153446,2840.45,40.5454,1,6876.69686734,6876.69686734,5.24109e-05,nan,50000,100,1.31805e-19,-55700.2,0.2,9.42791e-09
0.00366232,89.2859,-363.887228672,2.58952903132,450.45045045,-363.887228672,,nan,-315.773,2.61216,111,-363.887228672,2159.6,191.14,1,11319.2317595,11319.2317595,5.005e-05,nan,50000,100,,-43180.2,0.2,3.27788e-08
0.0011984,3.86651,-382.465995702,0.701659592044,471.698113208,-382.465995702,4.10095e-06,nan,-405.103,1.18106,106,-382.465995702,2656.63,27.0054,1,7218.92919643,7218.92919643,5.24109e-05,nan,50000,100,1.81985e-10,-60774.7,0.2,7.61414e-09
0.00241468,30.1653,-352.654724723,1.84662188016,438.596491228,-352.654724723,,nan,-303.008,1.93271,114,-352.654724723,2106.62,95.7643,1,12971.7800475,12971.7800475,4.87329e-05,nan,50000,100,,-44767.7,0.2,1.91788e-08
0.00109307,37.2246,-331.837632972,1.16002532707,413.223140496,-331.837632972,,nan,-245.749,2.43394,121,-331.837632972,2344.52,57.945,1,18574.1078156,18574.1078156,4.59137e-05,nan,50000,100,,-36189.9,0.2,1.32464e-08
0.00134652,21.8004,-362.432425431,0.697554075039,450.45045045,-362.432425431,,nan,-331.644,1.73773,111,-362.432425431,2218.35,46.7509,1,10502.0181119,10502.0181119,5.00501e-05,nan,50000,100,,-48887.5,0.2,1.80846e-08
