AvgVanillaIw,VarRet,AvgEpLen,J,ESSClassic,VarDiscRet,AvgRet,MaxNormIw,AvgNormIw,eRenyi2,VarJ,MinNormIw,MinVanillaIw,AvgDiscRet,VarNormIw,BatchSize,IterType,ESSRenyi,EpsThisIter,MaxVanillaIw,Bound,VanillaAvgRet,VarVanillaIw
90.63641,86780.98301487809,500.0,353.6979,1.0195623117697021,86780.98301487809,-211.13999531117398,0.9903593,0.009999999,1.6480885,46.301796,6.6137345e-06,0.059944518,-211.13999531117398,0.0098061925,100,1,60.67635489131127,100,8976.262,227.35599,-211.13999531117398,805574.7
1.9526567,86780.98301487809,500.0,-149.40482,47.4891117639722,117642.6530025961,-211.13999531117398,0.0854328,0.009999999,1.6006911,577.3586,5.705301e-07,0.00011140495,-135.7979856092918,0.00011169153,200,,124.9460326775433,100,16.682093,-285.54315,-211.13999531117398,4.2586513
63.047504,82615.78374250472,500.0,426.6423,1.0268467920433553,82615.78374250472,-231.431289688471,0.98684037,0.0050000013,1.8448061,107.891205,4.6118307e-06,0.058152884,-231.431289688471,0.0048686196,200,1,108.41247906752382,100,12443.564,332.12363,-231.431289688471,774108.0
1.0,89505.62651969494,500.0,-150.29079,100.0,89505.62651969494,-150.2907813300048,0.01,0.009999998,1.0,297.6753,0.01,1.0,-150.2907813300048,3.5044917e-18,200,2,200.0,100,1.0,-224.91544,-150.2907813300048,
2.2414129,82615.78374250472,500.0,-202.62543,96.7139223837846,102974.7853197793,-231.431289688471,0.03835985,0.005,1.8415432,436.29947,1.7926821e-07,8.036282e-05,-255.46497394333718,2.6833024e-05,300,,162.90684920440103,100,17.196053,-309.40256,-231.431289688471,5.392291
245.59467,136101.4371114982,500.0,949.3881,1.0083287716204687,136101.4371114982,-204.2037006631648,0.99586135,0.0033333336,2.0090356,78.76569,5.934952e-07,0.043727778,-204.2037006631648,0.0033057078,300,1,149.3253787512879,100,73373.47,853.7057,-204.2037006631648,17945054.0
1.0,101099.06596892237,500.0,-133.0918,100.0,101099.06596892237,-133.0917896617872,0.01,0.009999998,1.0,316.36697,0.01,1.0,-133.0917896617872,3.5044917e-18,300,2,300.0,100,1.0,-200.91153,-133.0917896617872,
1.0,114604.00821411892,500.0,-171.29326,200.00000010221265,114604.00821411892,-209.4947346038765,0.005,0.0049999994,1.0,328.98688,0.005,1.0,-209.4947346038765,2.179301e-19,300,2,300.0,100,1.0,-232.28941,-209.4947346038765,
2.0669324,136101.4371114982,500.0,-139.32788,131.9593464115359,99328.95540982718,-204.2037006631648,0.036880355,0.0033333336,1.9269314,461.35672,2.1979279e-08,1.3628905e-05,-138.08304896445495,1.4196513e-05,400,,207.5839357318412,100,22.86876,-210.656,-204.2037006631648,5.458543
408.82626,127743.93950927822,500.0,975.525,1.0047256672122415,127743.93950927822,-216.19778815984023,0.9976455,0.0025000004,2.1178153,52.296677,1.3165264e-07,0.021529222,-216.19778815984023,0.002488212,400,1,188.87388729697895,100,163145.47,890.4479,-216.19778815984023,66540310.0
1.0,92695.05504338937,500.0,-181.50108,100.0,92695.05504338937,-181.5010809653185,0.01,0.009999998,1.0,302.9325,0.01,1.0,-181.5010809653185,3.5044917e-18,400,2,400.0,100,1.0,-286.98505,-181.5010809653185,
1.0,91835.32983407042,500.0,-169.37637,200.00000010221265,91835.32983407042,-157.25168992140226,0.005,0.0049999994,1.0,302.47238,0.005,1.0,-157.25168992140226,2.179301e-19,400,2,400.0,100,1.0,-243.96481,-157.25168992140226,
1.0,103433.19991149813,500.0,-164.98671,299.999969473632,103433.19991149813,-156.2073633908964,0.0033333334,0.0033333336,1.0,308.48752,0.0033333334,1.0,-156.2073633908964,5.4391416e-20,400,2,400.0,100,1.0,-225.88791,-156.2073633908964,
2.3203382,127743.93950927822,500.0,-136.7323,121.99811315944372,79620.23535832147,-216.19778815984023,0.05004496,0.0025,2.0021608,736.28876,6.6041013e-09,6.129499e-06,-179.8479511477293,1.4277813e-05,500,,249.73019304995398,100,46.448494,-211.36101,-216.19778815984023,12.299408
304.3856,91506.44570387836,500.0,974.6153,1.00642959012596,91506.44570387836,-221.51866402685712,0.9968006,0.0020000003,2.1715603,78.71235,1.3096336e-07,0.01993168,-221.51866402685712,0.0019871977,500,1,230.24919127676824,100,151705.88,897.5604,-221.51866402685712,46028750.0
1.0,78947.76005168055,500.0,-151.78384,100.0,78947.76005168055,-151.7838413935699,0.01,0.009999998,1.0,279.56802,0.01,1.0,-151.7838413935699,3.5044917e-18,500,2,500.0,100,1.0,-219.37119,-151.7838413935699,
1.0,116205.79397704935,500.0,-182.82967,200.00000010221265,116205.79397704935,-213.87549657896642,0.005,0.0049999994,1.0,312.35373,0.005,1.0,-213.87549657896642,2.179301e-19,500,2,500.0,100,1.0,-252.92725,-213.87549657896642,
1.0,62204.843478076255,500.0,-161.73497,299.999969473632,62204.843478076255,-119.54558131372517,0.0033333334,0.0033333336,1.0,294.0422,0.0033333334,1.0,-119.54558131372517,5.4391416e-20,500,2,500.0,100,1.0,-218.96939,-119.54558131372517,
1.0,105700.00337252369,500.0,-168.39293,400.0,105700.00337252369,-188.36682044846643,0.0025,0.0024999997,1.0,301.8929,0.0025,1.0,-188.36682044846643,5.434597e-20,500,2,500.0,100,1.0,-217.9594,-188.36682044846643,
