EpRewMean,MinIW,MaxD2w0t,ReturnMeanIW,Iteration,StdD2w0t,MeanD2w0t,Bound,InitialReturnMin,InitialReturnMean,EpThisIter,ReturnStepMax,StdIW,InitialReturnStd,MaxIW,Weights,TimestepsSoFar,J_sample_variance,TimeElapsed,EpisodesSoFar,EmpiricalD2,EpLenMean,ReturnStepMaxmin,InitialBound,MeanIW,MinD2w0t,InitialReturnMax
-141.8229098366061,0.6518653,1.0673621,210.42871,1,0.29288062,0.093323134,111.26131,-2.4639435,-3.8146973e-07,100,100.0,0.18342851,2.1648557,1.6749135,[ 0.579 -0.554  0.227  0.402  0.   ],4609,816.013,9.42513656616211,100,1.0299432,46.09,93.845825,110.1557,1.0116631,,6.4169464
-136.91798087953373,0.51569164,1.2373755,243.48274,2,0.28916252,0.08618129,144.5231,-2.0921555,,100,100.0,0.2826199,1.6815424,2.2308455,[ 0.575 -0.538  0.228  0.397  0.007],8695,2963.555,24.27747941017151,200,1.0754304,40.86,93.28786,140.07791,1.0457083,,5.6837463
-138.77311303602934,0.03866876,5.5714064,281.15265,3,0.44267973,0.12492291,158.24246,-2.042244,-3.2806397e-06,100,100.0,1.8395636,1.6650125,12.638852,[ 0.572 -0.539  0.229  0.38   0.03 ],12957,111481.766,39.039571046829224,300,3.2006552,42.62,93.487885,128.38385,1.2945462,,6.896782
-133.34599260443827,0.3026613,1.5647525,281.20923,4,0.28697583,0.080363505,176.32538,-1.5357285,6.1035155e-07,100,100.0,0.4253052,1.2247322,4.3000093,[ 0.59  -0.454  0.227  0.385  0.005],16612,9972.87,52.1649534702301,400,1.142005,36.55,92.70337,167.46161,1.0680038,,3.8027878
-136.55919572769363,0.058202665,3.5073817,283.7747,5,0.37103876,0.10577736,170.27051,-1.73069,2.2888185e-06,100,100.0,1.2889547,1.6743904,9.543259,[ 0.543 -0.408  0.208  0.378 -0.028],20630,58331.016,65.40703105926514,500,2.200917,40.18,93.20262,143.5417,1.2043638,,5.4256363
-134.99916975808028,0.028484978,14.276252,331.34836,6,0.6504256,0.15175654,192.73312,-2.0033646,1.9836425e-06,100,100.0,3.4708622,1.6486207,32.956287,[ 0.478 -0.412  0.187  0.408 -0.015],24495,570246.56,78.35326313972473,600,5.0489683,38.65,93.01427,154.86798,1.3938287,,4.968704
-134.02908658037097,0.06356484,2.9697232,283.51758,7,0.3420699,0.09433992,174.53041,-2.0211182,-8.392334e-07,100,100.0,1.0953629,1.5254418,6.5341797,[ 0.53  -0.369  0.196  0.484 -0.018],28271,53907.195,91.80141186714172,700,2.0616431,37.76,92.901,158.76103,1.1183038,,4.8721237
-131.87896155450488,0.12681544,1.8147418,287.45792,8,0.29319286,0.08029128,182.88846,-1.814476,-1.0223389e-05,100,100.0,0.73723423,1.2892977,5.3367,[ 0.581 -0.352  0.22   0.482 -0.037],31807,25465.854,104.30631613731384,800,1.4679493,35.36,92.54079,176.7059,1.0534751,,3.4274063
-128.00709504160423,0.033794045,21.297531,453.26077,9,0.7669262,0.14205912,289.57965,-1.7544174,3.890991e-06,100,100.0,4.2658644,1.1866701,55.379093,[ 0.618 -0.338  0.23   0.503 -0.065],34970,1299777.5,115.64482831954956,900,3.0009234,31.63,91.89993,211.17834,1.588946,,4.286484
-132.14719664477815,0.15651032,1.9101815,285.69455,10,0.2956169,0.081528805,184.45639,-2.115982,5.340576e-06,100,100.0,0.74374545,1.4677511,5.0819,[ 0.542 -0.262  0.19   0.399 -0.032],38561,23255.33,129.64816641807556,1000,1.4850632,35.91,92.64009,174.78381,1.0782285,,4.216469
-135.34153534442376,0.54233027,1.1362902,250.91443,11,0.27530217,0.08004,151.70541,-1.9423599,-9.689331e-06,100,100.0,0.23713462,1.3713683,2.1566522,[ 0.52  -0.287  0.181  0.411 -0.01 ],42460,2543.56,143.02722907066345,1100,1.0504575,38.99,93.05763,149.9071,1.0169541,,4.680847
-131.1114117227083,0.0045211464,20.272068,396.53546,12,0.8512942,0.15647784,239.2587,-1.9369583,1.0375977e-05,100,100.0,4.682736,1.4203689,38.47879,[ 0.517 -0.29   0.173  0.393 -0.003],45937,884242.0,154.8031177520752,1200,10.12639,34.77,92.45836,181.12822,1.592085,,4.9671097
-128.90570792806747,0.008493508,194.68304,669.51825,13,2.696593,0.3070451,377.66498,-1.9588089,1.8310546e-06,100,100.0,17.54142,1.1659716,513.24493,[ 0.603 -0.246  0.202  0.407  0.001],49199,15394313.0,168.49406504631042,1300,11.818293,32.62,92.09653,202.2042,2.63181,,3.6489868
-129.74013080040683,0.18448469,1.2667075,299.08087,14,0.26308435,0.07025884,202.24799,-1.9691315,-1.6021728e-06,100,100.0,0.35553655,1.3765188,2.2071319,[ 0.497 -0.205  0.116  0.347 -0.049],52534,7777.637,183.75614070892334,1400,1.140898,33.35,92.21948,195.33156,1.043484,,4.1157684
-131.78183128539317,0.5398006,1.4110183,286.91315,15,0.2711194,0.074518695,183.2558,-1.9006577,-8.392334e-07,100,100.0,0.26059377,1.3137641,2.4797664,[ 0.519 -0.246  0.119  0.349 -0.067],56057,3936.6904,195.1399805545807,1500,1.0765091,35.23,92.511795,175.1145,1.0567367,,3.546341
-132.1306127548555,0.32033533,1.4741693,278.642,16,0.27644226,0.07654768,182.54172,-1.8185959,2.8991699e-06,100,100.0,0.4916439,1.3148336,3.270206,[ 0.53  -0.254  0.133  0.34  -0.061],59635,12149.335,207.86425590515137,1600,1.2516953,35.78,92.61427,177.0436,1.0429151,,4.3562927
-129.01264678277894,0.0036383648,47.57885,468.557,17,1.1304835,0.1799611,305.81787,-1.823555,-1.2969971e-06,100,100.0,5.5240703,1.2374247,52.663784,[ 0.546 -0.232  0.138  0.322 -0.057],62899,2043639.1,220.2827911376953,1700,13.848324,32.64,92.09482,201.64148,1.6516006,,3.8146744
-126.04677116370004,0.030753428,3.7610614,395.56967,18,0.37287375,0.08936189,275.10355,-1.9161453,-7.705688e-06,100,100.0,1.2203035,1.282707,8.508684,[ 0.588 -0.143  0.149  0.375 -0.099],65884,107385.15,232.98713946342468,1800,1.9179637,29.85,91.55466,233.7205,1.261268,,3.8355026
-126.0306264541013,0.34004188,1.5799453,346.13568,19,0.25929376,0.06502258,242.15953,-1.8269653,-1.0223389e-05,100,100.0,0.37506735,1.0820844,5.012312,[ 0.619 -0.15   0.138  0.304 -0.173],68860,11496.428,244.9917869567871,1900,1.150176,29.76,91.5302,227.64642,1.0803791,,2.9248428
-125.66859724943495,0.11573467,1.4724476,342.15894,20,0.26042846,0.06512161,244.69145,-2.144226,3.5858154e-06,100,100.0,0.4005573,1.2097799,2.0811636,[ 0.617 -0.153  0.148  0.332 -0.206],71816,13261.495,256.64185214042664,2000,1.1708125,29.56,91.49739,234.41364,1.0589606,,3.3357925
-129.25755816935035,0.002883941,59.746597,444.2488,21,1.1284542,0.17631477,269.30017,-2.2561493,9.918213e-07,100,100.0,6.3533525,1.268682,62.872868,[ 0.65  -0.166  0.16   0.324 -0.25 ],75130,2433930.0,268.8078191280365,2100,14.844008,33.14,92.18958,194.6868,1.6352122,,4.4460144
-123.10539952103063,0.545919,1.3202487,365.8706,22,0.2437696,0.05859296,266.29916,-2.511116,-3.967285e-06,100,100.0,0.3206509,1.1605511,2.4581738,[ 0.695 -0.091  0.166  0.334 -0.309],77869,9461.806,280.93304443359375,2200,1.0959285,27.39,91.010925,255.41702,1.0540283,,2.9148178
-123.87015411171073,0.050486483,11.014492,437.51395,23,0.46473068,0.0946392,304.13477,-1.7722626,2.3651123e-06,100,100.0,3.2755642,1.0425122,37.57217,[ 0.708 -0.1    0.175  0.326 -0.278],80667,578548.4,292.1123561859131,2300,3.4318154,27.98,91.13117,257.09824,1.3787942,,3.3124542
-122.38180170573067,0.012005121,540.2051,1337.1018,24,8.025409,0.55507386,808.8537,-2.0261307,-7.781982e-06,100,100.0,40.44852,1.0710384,692.2905,[ 0.691 -0.14   0.191  0.352 -0.215],83342,79878990.0,303.5538065433502,2400,19.613346,26.75,90.84996,270.0055,5.14894,,3.5719528
-122.32205360875214,0.12944171,3.0443163,417.08887,25,0.31895837,0.073638484,306.2412,-2.905098,-9.155273e-07,100,100.0,0.8009499,1.339981,4.7730575,[ 0.605 -0.115  0.221  0.26  -0.256],86052,62914.504,317.5126669406891,2500,1.7465234,27.1,90.97255,262.52054,1.2059784,,4.041687
-122.84977478719573,0.16277748,2.276685,385.6691,26,0.2752222,0.06511751,289.0239,-2.5137634,-2.5939942e-06,100,100.0,0.9189896,1.294693,6.781864,[ 0.616 -0.098  0.225  0.311 -0.218],88812,74420.805,329.0403814315796,2600,1.8001894,27.6,91.09784,258.55893,1.1249886,,3.689293
-123.03004479560873,0.053199057,5.7138357,475.07324,27,0.4317931,0.09588228,338.6795,-2.729515,8.7738035e-06,100,100.0,1.4431418,1.3539013,23.244778,[ 0.571 -0.11   0.206  0.295 -0.203],91558,196522.53,339.78360772132874,2700,2.2347558,27.46,91.03932,260.92172,1.4017307,,3.6951752
-123.56750427790057,0.00878189,27.381351,445.50937,28,0.6471897,0.114986144,315.8249,-2.1625137,-3.6621093e-06,100,100.0,3.3414068,1.0790945,25.614054,[ 0.531 -0.09   0.16   0.302 -0.26 ],94313,732031.7,353.04960107803345,2800,6.6912684,27.55,91.02959,265.9824,1.3959119,,3.4586105
