MinIW,InitialReturnMin,ReturnStepMax,ReturnStepMaxmin,StdIW,EmpiricalD2,InitialBound,InitialReturnMean,MinD2w0t,EpLenMean,EpRewMean,MeanIW,EpThisIter,StdD2w0t,InitialReturnStd,Bound,MaxIW,Weights,MeanD2w0t,EpisodesSoFar,Iteration,TimeElapsed,J_sample_variance,InitialReturnMax,MaxD2w0t,ReturnMeanIW,TimestepsSoFar
0.92665994,-99.610085,100.0,100.0,0.021971364,1.0004714,-423.45233,-97.14614,,46.09,-141.8229098366061,0.99843377,100,0.2893696,2.1648557,-423.37643,1.0472448,[ 0.579 -0.554  0.227  0.402  0.   ],0.09220624,100,1,10.18845510482788,6.3062716,-90.729195,1.0016178,-97.00628,4609
0.76062906,-99.74228,100.0,100.0,0.09071782,1.009695,-410.78186,-97.41956,,42.24,-138.31091876613968,0.9849547,100,0.27903736,1.830711,-410.1029,1.1909013,[ 0.581 -0.556  0.228  0.403 -0.001],0.084765255,200,2,25.480843544006348,59.875103,-89.61856,1.0155704,-96.07853,8833
0.89056826,-99.667404,100.0,99.9764,0.036484484,1.0013653,-420.5835,-97.78854,,42.32,-138.8104930115486,0.99558485,100,0.27856085,1.6043373,-420.38135,1.114366,[ 0.58  -0.562  0.227  0.4   -0.006],0.08470715,300,3,40.98551845550537,11.006145,-93.38799,1.0038701,-97.41443,13065
0.832665,-99.57073,100.0,100.0,0.05485244,1.0041882,-427.4348,-97.8275,,44.54,-141.02176870413314,0.9857914,100,0.28543624,1.4905834,-426.87253,1.1499751,[ 0.583 -0.563  0.228  0.399 -0.003],0.08926113,400,4,56.9126513004303,21.547428,-92.893105,1.0126963,-96.78399,17519
0.6342744,-99.627846,100.0,100.0,0.14377385,1.0192496,-419.58087,-97.70852,,41.35,-137.77713226247064,0.9649825,100,0.27701437,1.6761839,-418.0013,1.4038162,[ 0.576 -0.562  0.227  0.403 -0.002],0.08317306,500,5,71.39823698997498,133.13603,-91.81334,1.0310537,-94.866,21654
0.76644987,-99.60184,100.0,100.0,0.0894933,1.0112283,-417.0941,-97.87468,,45.01,-141.57232212518488,0.97848016,100,0.28746474,1.5740541,-416.2287,1.2762902,[ 0.572 -0.572  0.228  0.406 -0.004],0.0904124,600,6,86.20492911338806,54.92782,-92.02348,1.0211831,-96.15961,26155
0.77785873,-99.678505,100.0,100.0,0.0607566,1.0049344,-422.7759,-97.476906,,46.65,-142.76249288320125,0.9876863,100,0.29147652,2.0051043,-422.19238,1.1783264,[ 0.569 -0.575  0.226  0.4   -0.001],0.093504064,700,7,100.88262891769409,29.42037,-90.69226,1.0108308,-96.43509,30820
0.7765378,-99.579605,100.0,100.0,0.07086215,1.0040778,-417.67746,-97.27073,,45.56,-141.4417606777067,0.9891401,100,0.28836322,1.8723881,-417.2112,1.1950698,[ 0.569 -0.568  0.224  0.399  0.001],0.09130646,800,8,114.85070872306824,37.139015,-92.386665,1.0094218,-96.389366,35376
0.86891615,-99.51024,100.0,100.0,0.051630855,1.0035099,-415.12665,-97.508125,,43.57,-139.73552053267812,0.99025875,100,0.2826267,1.729621,-414.6705,1.1761032,[ 0.571 -0.567  0.225  0.401 -0.004],0.087319456,900,9,126.752206325531,22.19641,-91.8492,1.0080706,-96.64872,39733
0.6408501,-99.72589,100.0,100.0,0.13206787,1.0164827,-412.9102,-97.7697,,38.32,-134.82545098457476,0.9782031,100,0.267269,1.5745757,-411.89038,1.3766088,[ 0.57  -0.561  0.224  0.396 -0.001],0.07699996,1000,10,140.10923171043396,115.22261,-93.00273,1.024555,-95.87882,43565
