MinIW,J_sample_variance,ReturnStepMaxmin,EpisodesSoFar,EpLenMean,Bound,MeanIW,InitialReturnMin,MaxIW,MeanD2w0t,StdIW,MaxD2w0t,EpThisIter,InitialReturnMax,InitialReturnMean,EmpiricalD2,TimestepsSoFar,ReturnMeanIW,TimeElapsed,Iteration,InitialBound,StdD2w0t,Weights,InitialReturnStd,MinD2w0t,ReturnStepMax,EpRewMean
0.082906984,64869.656,93.704056,100,45.73,110.65052,1.321806,-16.882248,17.621162,0.13619955,1.9204028,3.3109312,100,25.629276,1.2969971e-06,1.9802142,4573,227.13853,9.669244050979614,1,92.12742,0.44729653,[-0.365 -0.68  -0.484 -0.253  0.   ],8.854463,,100.0,-121.62483749719935
0.28453565,2432.708,93.92375,200,46.43,93.160126,1.049221,-17.085365,2.274734,0.09807068,0.3466153,1.1946425,100,26.92894,-5.41687e-06,1.1072861,9216,183.4091,26.21636962890625,2,87.76644,0.30671504,[-0.364 -0.675 -0.464 -0.282 -0.054],9.525457,,100.0,-119.48955475420716
0.3196236,5732.545,94.03401,300,47.43,87.96786,1.0784593,-16.791458,5.184274,0.10351742,0.5767857,1.4443142,100,27.546852,-3.3569336e-06,1.2001457,13959,180.86935,41.20414710044861,3,81.69481,0.32091638,[-0.345 -0.649 -0.449 -0.281 -0.078],9.239786,,100.0,-118.8809026926084
0.25941607,5289.6807,93.79901,400,45.53,98.13287,1.0619487,-16.967636,3.5668118,0.101392664,0.46754196,1.3294322,100,25.981945,-3.0517579e-06,1.1993498,18512,190.73248,55.099082469940186,4,90.94489,0.32106984,[-0.366 -0.625 -0.441 -0.277 -0.051],8.511458,,100.0,-118.40147480887356
0.38511428,3276.4146,93.83806,500,44.95,101.96997,1.0582172,-17.092636,2.797721,0.095856145,0.38122746,1.2132882,100,23.329254,-2.708435e-06,1.1152626,23007,191.47545,68.70734286308289,5,96.236855,0.3052225,[-0.356 -0.622 -0.426 -0.287 -0.087],8.6306505,,100.0,-119.41419715428582
0.5769546,667.93915,93.76831,600,45.16,90.07635,1.0278466,-18.712051,1.5643054,0.09219789,0.16135715,1.125764,100,50.214508,5.340576e-06,1.0363925,27523,184.10263,81.07289338111877,6,87.136795,0.29265812,[-0.365 -0.641 -0.441 -0.288 -0.12 ],10.241836,,100.0,-118.13642395332012
0.018045632,2642917.5,93.89875,700,44.56,158.66301,2.5968232,-16.809647,204.86583,0.3106853,13.020277,38.93232,100,23.9678,4.005432e-06,9.305321,31979,388.28323,93.0243616104126,7,91.111755,1.4634917,[-0.361 -0.656 -0.445 -0.288 -0.131],8.378767,,100.0,-117.47876198543281
0.23058282,10185.982,93.943665,800,46.04,90.53751,1.1249568,-16.97448,6.4596896,0.10663119,0.7319667,1.8699381,100,38.18436,8.773804e-07,1.2636755,36583,190.5746,108.26536178588867,8,82.26233,0.33849746,[-0.374 -0.658 -0.468 -0.328 -0.072],11.15604,,100.0,-116.3995611515366
0.23105997,20551.455,93.79646,900,44.48,109.55408,1.1938949,-17.939224,8.005308,0.1095923,1.0516427,2.089706,100,31.14989,5.1116945e-06,1.4577221,41031,209.7922,121.87558722496033,9,94.08426,0.3558433,[-0.393 -0.643 -0.463 -0.34  -0.085],9.156773,,100.0,-117.45217878975646
0.016057046,2663105.2,94.164246,1000,47.38,128.02127,2.4948058,-16.994194,178.2647,0.4192536,13.597356,23.852125,100,31.423424,5.8364867e-06,6.9976215,45769,352.78137,135.2291865348816,10,75.45399,1.6748403,[-0.401 -0.689 -0.472 -0.351 -0.052],10.231618,,100.0,-116.31455641089
0.19716287,5038.263,94.450485,1100,51.8,66.02151,1.1113578,-18.51307,3.796392,0.11654944,0.62710017,1.5294083,100,34.405865,1.6021728e-06,1.3076863,50949,162.64758,150.93473601341248,11,59.62314,0.34444696,[-0.39  -0.726 -0.429 -0.389 -0.066],10.494266,,100.0,-117.83241340479812
0.25436637,3155.2615,94.51542,1200,52.21,58.658516,1.0600529,-18.693916,4.483611,0.11108621,0.5625093,1.4350712,100,47.49499,4.8065185e-06,1.2047316,56170,154.9588,166.92995238304138,12,54.739113,0.32612032,[-0.399 -0.714 -0.426 -0.367 -0.086],12.263617,,100.0,-117.06998794924013
0.4772023,1464.4963,94.70258,1300,54.16,49.87963,1.0433314,-19.805206,2.0933604,0.11344246,0.2871584,1.2118497,100,35.616196,3.3569336e-06,1.0766293,61586,147.09566,182.4973521232605,13,46.41577,0.32575127,[-0.426 -0.699 -0.427 -0.35  -0.082],10.726821,,100.0,-117.1429512675662
0.280138,2847.6013,94.61981,1400,53.8,52.077126,1.0773301,-20.204445,2.3960886,0.11744583,0.4165415,1.3730047,100,42.44143,-6.4849855e-06,1.1505275,66966,153.68405,197.31585001945496,14,46.583755,0.33877215,[-0.432 -0.689 -0.417 -0.353 -0.088],11.50279,,100.0,-117.83502223619207
0.011692153,2168741.0,94.72223,1500,53.86,94.90204,3.0177276,-19.926086,212.90266,0.4355104,17.65734,51.33793,100,23.030731,-5.340576e-07,11.381396,72352,318.829,212.12561416625977,15,49.84192,1.9763237,[-0.424 -0.688 -0.404 -0.359 -0.114],10.798333,,100.0,-116.82929862011105
0.28400004,7049.73,94.66467,1600,53.37,55.28251,1.124678,-22.568604,6.8238006,0.12012139,0.92042357,1.8268794,100,30.985283,2.0599366e-06,1.3996186,77689,155.52116,227.7418715953827,16,49.937218,0.34990484,[-0.417 -0.694 -0.408 -0.405 -0.058],11.333412,,100.0,-116.80823733533256
0.19141763,3878.0386,94.73546,1700,54.25,49.9028,1.1125226,-16.24443,3.522966,0.1197269,0.65364057,1.5165331,100,32.729332,-2.3651123e-06,1.2503206,83114,150.36502,242.98925709724426,17,44.23858,0.34449837,[-0.44  -0.698 -0.41  -0.387 -0.061],9.684254,,100.0,-115.68039521896557
0.34509122,1512.2816,95.17317,1800,59.83,30.18946,1.0625858,-25.235115,3.2772458,0.12615658,0.35838598,1.1788518,100,31.051632,3.1661987e-06,1.0875227,89097,127.60027,258.56173944473267,18,25.952599,0.34249404,[-0.447 -0.675 -0.398 -0.368 -0.079],12.103219,,100.0,-114.48023655111588
0.27537608,4867.839,94.872406,1900,57.39,47.429688,1.1512768,-22.26062,4.574556,0.13500367,0.6553559,1.6903633,100,30.469265,-4.7302246e-06,1.3437833,94836,150.02063,275.2448365688324,19,37.83333,0.3775141,[-0.433 -0.662 -0.389 -0.356 -0.081],11.534825,,100.0,-118.44850259563503
0.5704592,702.1593,95.08891,2000,59.81,31.078445,1.0332845,-22.282677,1.8448936,0.123307526,0.24836284,1.1184627,100,35.22454,-5.722046e-07,1.0594436,100817,128.11504,292.5588734149933,20,28.91484,0.3346074,[-0.438 -0.665 -0.372 -0.36  -0.092],10.562848,,100.0,-118.10307556480609
0.7931206,260.63107,95.47795,2100,65.98,11.345856,1.0046945,-24.852127,1.3789518,0.13260505,0.09237327,1.0245736,100,47.232044,-1.5258789e-06,1.012702,107415,108.29611,310.11924028396606,21,10.859543,0.34009957,[-0.445 -0.683 -0.376 -0.368 -0.086],14.082362,,100.0,-116.19262753882768
0.5057741,1283.7935,95.25431,2200,62.88,22.409882,1.0494845,-24.729889,3.7296467,0.13186349,0.40574676,1.1812516,100,35.916447,-5.340576e-07,1.0866425,113703,120.655975,326.2989938259125,22,20.462975,0.34794214,[-0.451 -0.685 -0.376 -0.368 -0.087],12.548546,,100.0,-117.77627992005122
0.06472868,1705.5232,95.46152,2300,65.06,15.685379,1.1250739,-25.2948,3.0348892,0.14249985,0.5497223,1.564659,100,41.206535,-2.0599366e-06,1.2256515,120209,117.9244,342.57289028167725,23,11.891586,0.36958054,[-0.443 -0.669 -0.371 -0.355 -0.086],13.549157,,100.0,-115.10735898744707
0.6812744,219.75154,95.16376,2400,60.75,22.302383,1.0088543,-24.716782,1.3053646,0.12220508,0.111758865,1.0366511,100,39.44586,-1.1444092e-06,1.0105252,126284,120.86897,358.0765860080719,24,21.848793,0.3286105,[-0.435 -0.669 -0.375 -0.366 -0.107],11.604968,,100.0,-116.52606412706169
0.47866428,1586.526,95.085785,2500,59.64,32.233147,1.0650403,-22.855042,3.682026,0.1256672,0.39708737,1.2911944,100,33.4504,-2.0980835e-06,1.1083802,132248,130.42574,374.29813289642334,25,28.411728,0.34177026,[-0.429 -0.675 -0.375 -0.368 -0.101],11.853261,,100.0,-116.72386403588717
0.5250928,897.65436,95.265236,2600,61.96,22.773163,1.0335447,-22.331291,1.9077319,0.12772834,0.24017496,1.1016858,100,42.71808,5.0735475e-06,1.0519764,138444,120.29135,389.70646476745605,26,20.566902,0.33968168,[-0.423 -0.659 -0.364 -0.355 -0.095],13.228802,,100.0,-115.70391547988231
0.58898187,1028.653,95.17464,2700,60.42,25.901512,1.0184433,-20.702415,2.2812977,0.12484021,0.25013146,1.0995904,100,40.8751,1.411438e-06,1.0430424,144486,123.148155,405.58996415138245,27,24.436455,0.33678812,[-0.418 -0.65  -0.355 -0.353 -0.111],12.191319,,100.0,-115.56415852709407
0.45330724,542.83325,95.44818,2800,65.31,18.75035,1.0754085,-23.5029,1.9102834,0.13601565,0.2287795,1.1406089,100,37.609024,4.9209593e-06,1.0590739,151017,115.874756,422.2593398094177,28,13.64917,0.35104603,[-0.402 -0.644 -0.341 -0.355 -0.104],13.827778,,100.0,-115.9876267253731
0.57636607,534.7931,95.47202,2900,66.35,12.082367,1.0209445,-28.885391,2.1714103,0.1354219,0.2192527,1.1027157,100,48.339233,6.1035155e-07,1.0393196,157652,109.97473,438.2642002105713,29,10.604401,0.3462616,[-0.416 -0.664 -0.358 -0.358 -0.097],12.807937,,100.0,-117.04111754965835
0.24509194,2415.9158,95.29782,3000,62.9,25.762695,1.1290183,-24.6277,3.8219917,0.14015713,0.5183831,1.4109402,100,33.61711,-1.6403199e-06,1.1992551,163942,126.7348,454.58428025245667,30,19.689468,0.37051463,[-0.425 -0.662 -0.357 -0.359 -0.086],10.976566,,100.0,-116.43940622005013
0.0028007617,68394330.0,95.500015,3100,67.24,372.64246,21.547955,-26.045418,4592.8794,1.8002934,233.45424,1883.7727,100,40.41342,3.4332274e-06,51.765987,170666,942.2124,472.2602801322937,31,7.556877,24.16544,[-0.404 -0.674 -0.345 -0.375 -0.104],14.457487,,100.0,-117.66974975231837
0.687913,351.50125,96.387054,3200,93.15,-29.333,1.0099103,-30.256004,1.8616327,0.18857743,0.16074014,1.062362,100,53.011982,-2.3651123e-06,1.025726,179981,70.60883,496.1556646823883,32,-30.001984,0.39414784,[-0.389 -0.659 -0.289 -0.345 -0.093],14.943796,,100.0,-121.6981488619846
0.6684729,365.3943,96.44125,3300,95.67,-30.687538,1.0020515,-34.354584,2.5938196,0.19507338,0.20948777,1.1154871,100,32.62954,8.010864e-07,1.0469468,189548,69.3718,519.5940446853638,33,-31.649597,0.40113062,[-0.396 -0.661 -0.289 -0.346 -0.093],13.461861,,100.0,-122.39765926083855
0.6111314,483.869,96.54363,3400,97.39,-34.00274,1.0043879,-31.326542,3.7740042,0.1986927,0.29117098,1.1061835,100,45.233078,-6.4849854e-07,1.0388496,199287,66.35048,542.6942622661591,34,-34.975792,0.40407792,[-0.407 -0.66  -0.288 -0.345 -0.094],14.497477,,100.0,-119.61446436501214
0.19838214,1081.3988,96.670616,3500,105.09,-34.76407,1.1365198,-27.571907,5.793074,0.23819298,0.55390877,1.7335662,100,32.48108,-4.005432e-07,1.2826778,209796,69.682175,566.7490673065186,35,-40.04695,0.4648233,[-0.419 -0.659 -0.29  -0.343 -0.084],15.11965,,100.0,-122.39822523051829
