ReturnStepMax,MeanD2w0t,MaxIW,TimestepsSoFar,InitialReturnMean,StdD2w0t,Iteration,Weights,StdIW,InitialBound,MinIW,MinD2w0t,TimeElapsed,InitialReturnMax,EpRewMean,EpLenMean,MaxD2w0t,ReturnStepMaxmin,EmpiricalD2,J_sample_variance,MeanIW,InitialReturnMin,EpThisIter,ReturnMeanIW,Bound,EpisodesSoFar,InitialReturnStd
100.0,0.51940626,22.613735,3540,-4.386902e-07,3.663466,1,[-0.563 -1.093 -0.809 -1.04   0.   ],2.9828908,6.7643547,0.0025689555,,8.818356037139893,10.384639,-107.5568281044892,35.4,117.28546,92.924065,11.849807,336.07397,1.256296,-22.61143,100,19.840776,8.468878,100,8.24457
100.0,3.239233,268.0104,6913,-3.6239624e-07,21.184193,2,[-0.461 -1.048 -0.793 -0.995 -0.101],6.711582,7.7602406,0.001806901,,23.617064237594604,12.195394,-106.37665774416982,33.73,510.38782,92.69247,58.275936,26512.08,1.5691891,-22.476337,100,34.947746,17.150158,200,8.4846945
100.0,0.4938765,61.697147,10755,4.005432e-07,2.757722,3,[-0.472 -1.045 -0.726 -1.059 -0.102],5.638696,5.8833055,0.0032683914,,37.59762358665466,9.635958,-107.53717704801805,38.42,60.706337,93.40204,12.042894,284.99973,1.7604116,-17.67154,100,19.01235,7.514695,300,7.1115465
100.0,40.143623,2887.5522,14263,7.4386594e-07,464.42892,4,[-0.491 -0.967 -0.718 -0.972 -0.178],91.695496,6.023391,3.0982849e-06,,52.00230860710144,12.999883,-106.94858036183417,35.08,15693.52,92.9027,834.0226,99767.05,9.570867,-21.603481,100,48.355213,24.84476,400,8.56348
100.0,0.09061249,5.7043467,17991,8.2969666e-07,0.3232997,5,[-0.59  -1.043 -0.744 -1.06  -0.275],0.7030583,6.150898,0.25301883,,64.83590865135193,10.414435,-105.82189101030967,37.28,2.4066193,93.32286,1.5992029,62.187313,0.94645166,-19.941551,100,16.755205,6.445512,500,7.5922804
100.0,0.112747714,6.7133393,21962,3.4332277e-07,0.39923462,6,[-0.59  -1.053 -0.732 -1.047 -0.274],0.7841641,4.4340515,0.11071847,,75.606760263443,9.691774,-106.33543178283955,39.71,2.8076205,93.64441,1.6016334,96.1426,0.9790685,-19.974571,100,15.257769,4.975395,600,7.866619
100.0,0.08205208,3.9991612,25599,-1.7166138e-07,0.2944104,7,[-0.59  -1.089 -0.736 -1.073 -0.238],0.45842624,5.489502,0.24115749,,90.05062460899353,11.406179,-105.70997912135637,36.37,1.4634355,93.18699,1.1692597,84.50462,1.0691472,-19.772293,100,15.89282,5.747671,700,8.561953
100.0,0.08941233,2.068915,29753,7.4386594e-07,0.29755253,8,[-0.588 -1.112 -0.737 -1.092 -0.215],0.34916103,4.255911,0.380991,,101.83787679672241,9.300718,-105.63757443004314,41.54,1.3556886,93.91395,1.1862463,56.71946,0.9161227,-19.590721,100,14.513403,4.38665,800,7.3143578
100.0,0.13004002,7.5231566,33873,-4.5776366e-07,0.46755013,9,[-0.589 -1.119 -0.731 -1.085 -0.216],1.1501216,3.5241957,0.036606543,,112.35204792022705,8.640508,-103.26036930032893,41.2,6.1277266,93.98737,2.1454597,90.752716,1.0772483,-20.657007,100,14.311807,3.9708738,900,7.6134357
100.0,0.25658098,11.645014,37803,-4.5776366e-07,1.2926404,10,[-0.583 -1.158 -0.751 -1.076 -0.228],1.7759842,5.074291,0.003473166,,125.43798327445984,8.887457,-105.28331148572605,39.3,55.725998,93.64208,8.005797,164.03986,1.2039934,-17.50555,100,18.019836,7.1039667,1000,7.635587
