Bound,ReturnStepMax,EmpiricalD2,ReturnMeanIW,InitialReturnStd,TimeElapsed,Weights,EpRewMean,EpisodesSoFar,MeanD2w0t,MinIW,StdD2w0t,InitialBound,InitialReturnMin,MaxIW,ReturnStepMaxmin,EpLenMean,MeanIW,InitialReturnMax,MaxD2w0t,EpThisIter,Iteration,MinD2w0t,TimestepsSoFar,StdIW,InitialReturnMean,J_sample_variance
61.414246,100.0,1.1383473,159.63089,14.858651,265.649067401886,[-0.758 -0.507 -0.268 -0.747 -0.168],-103.22013003197137,1900,0.10242918,0.46154857,0.3182962,55.272736,-24.437988,3.4342237,94.61512,47.08,1.0845945,47.910057,1.3562255,100,19,,79603,0.47723436,2.4414062e-06,3724.0137
62.48429,100.0,1.1834936,163.35002,14.148615,280.4618031978607,[-0.744 -0.514 -0.26  -0.76  -0.148],-102.79346650470754,2000,0.10410916,0.3387186,0.3244823,54.63021,-25.12384,4.628159,94.61742,46.91,1.1286364,43.911472,1.4377162,100,20,,84294,0.556048,5.8746336e-06,4271.694
75.02413,100.0,1.1277465,169.58041,12.51874,294.85261249542236,[-0.751 -0.515 -0.262 -0.767 -0.112],-104.70205437194092,2100,0.09495263,0.31726032,0.30327186,69.83707,-22.517227,2.4424474,94.322685,44.77,1.0695063,31.971207,1.6238432,100,21,,88771,0.3249182,-3.4332277e-07,1814.3312
100.74929,100.0,2.075404,224.03069,12.995927,309.72714591026306,[-0.784 -0.505 -0.268 -0.756 -0.092],-104.9509355274364,2200,0.13904743,0.025528818,0.49709794,73.984085,-20.86895,14.970504,94.23168,44.02,1.3897678,22.518883,11.155762,100,22,,93173,1.5629289,-8.773804e-07,54043.438
60.964447,100.0,1.1589065,159.57521,15.130939,325.4368371963501,[-0.795 -0.535 -0.294 -0.745 -0.068],-104.04223830810999,2300,0.10285464,0.387031,0.31973773,56.450798,-23.446602,3.3382397,94.5802,47.08,1.0915709,49.272736,1.3596514,100,23,,97881,0.5136001,2.822876e-06,3770.0095
71.09737,100.0,1.2122846,168.2506,11.938068,339.6521050930023,[-0.783 -0.542 -0.3   -0.748 -0.035],-105.63385614310165,2400,0.104107715,0.25123915,0.32753712,65.1799,-22.16967,3.6195626,94.43205,46.25,1.0831952,26.378437,1.4379051,100,24,,102506,0.5072878,4.7683716e-06,4928.8325
55.6612,100.0,1.1315715,156.22935,13.167742,354.83746576309204,[-0.788 -0.552 -0.289 -0.757 -0.016],-105.01587499060183,2500,0.102419026,0.44782007,0.31403744,50.207794,-22.546509,2.668519,94.641594,48.19,1.0667024,33.372215,1.3239517,100,25,,107325,0.3754299,2.2506713e-06,1983.679
35.272713,100.0,1.1253309,137.30363,14.502059,370.3220856189728,[-0.797 -0.545 -0.278 -0.747 -0.022],-102.35067975410792,2600,0.1115677,0.38267192,0.32705638,31.103241,-25.879837,2.9515524,95.08153,52.24,1.0826141,48.53657,1.2822889,100,26,,112549,0.4295762,-2.1743774e-06,2047.2701
80.3887,100.0,1.488454,193.81361,12.868173,384.71651911735535,[-0.79  -0.546 -0.273 -0.737 -0.009],-105.0105453379661,2700,0.11853355,0.27243134,0.38147905,60.990593,-22.205132,9.112136,94.45212,46.18,1.3179471,37.203487,2.8756046,100,27,,117167,1.1377532,-3.8146973e-06,19164.588
33.634506,100.0,1.1052692,133.66551,12.540063,401.5618622303009,[-0.755 -0.558 -0.279 -0.733  0.036],-104.44116353377852,2800,0.1112841,0.393128,0.32175055,30.656906,-24.269028,2.627128,95.09419,53.48,1.0665202,43.72024,1.220628,100,28,,122515,0.33467084,-3.6621093e-06,1098.4387
50.30861,100.0,1.0735767,148.96329,13.433172,417.0749545097351,[-0.745 -0.557 -0.285 -0.742  0.035],-104.01507659210931,2900,0.102190934,0.48491818,0.31055373,47.01654,-23.180618,2.360969,94.74667,48.91,1.0587106,44.689648,1.1962256,100,29,,127406,0.29362315,-1.0681152e-06,1190.8157
50.761116,100.0,1.0379124,141.62384,12.613049,432.8785128593445,[-0.743 -0.574 -0.289 -0.757  0.048],-105.71862085529042,3000,0.10300412,0.62652606,0.30741724,49.440353,-21.49646,1.7746363,94.81146,50.48,1.024223,33.344612,1.0740694,100,30,,132454,0.19909841,-1.2588501e-06,637.1109
54.89109,100.0,1.1456302,153.79468,12.775813,447.4307041168213,[-0.737 -0.583 -0.291 -0.767  0.061],-104.6930515222204,3100,0.102585115,0.45722005,0.3144495,51.254623,-23.660843,2.9497828,94.65769,48.22,1.0535526,29.605682,1.357373,100,31,,137276,0.42720467,8.773804e-07,2605.119
39.873245,100.0,1.2964915,146.59218,15.843559,463.3984136581421,[-0.743 -0.581 -0.28  -0.757  0.069],-103.21640758560572,3200,0.1166132,0.22570513,0.34674278,34.9881,-25.930038,8.833098,94.97832,51.33,1.1193863,71.662834,1.9260799,100,32,,142409,0.80688226,4.3869018e-06,6841.696
40.122528,100.0,1.0615569,137.41077,12.377738,478.615838766098,[-0.754 -0.587 -0.283 -0.74   0.085],-104.69000591630247,3300,0.10816498,0.54524666,0.3171458,37.71112,-25.836838,2.5099967,94.98505,52.15,1.0363512,40.86501,1.1669855,100,33,,147624,0.26981714,3.7384034e-06,1159.7001
