Bound,MeanIW,ReturnStepMax,MaxD2w0t,MeanD2w0t,StdD2w0t,InitialReturnMax,ReturnStepMaxmin,Iteration,EpLenMean,MinIW,TimeElapsed,InitialReturnMean,EpisodesSoFar,StdIW,EpRewMean,EmpiricalD2,InitialReturnStd,TimestepsSoFar,ReturnMeanIW,InitialBound,Weights,EpThisIter,MinD2w0t,MaxIW,J_sample_variance,InitialReturnMin
188.20541,1.6698583,100.0,9.511827,0.15731308,0.68183255,33.927227,92.924065,1,35.4,0.007426133,8.049137115478516,-1.2207031e-06,100,4.2343273,-107.5568281044892,4.2802534,12.600159,3540,330.94623,134.58858,[-0.563 -1.093 -0.809 -1.04   0.   ],100,,34.677452,380030.66,-16.716774
190.0349,1.6703447,100.0,12.013417,0.21219024,0.98027253,44.500896,92.95534,2,35.71,0.04730714,23.125733613967896,2.4032593e-06,200,3.5852175,-107.92745525445578,3.5075397,12.686237,7111,366.23483,132.54343,[-0.622 -1.073 -0.83  -0.971 -0.009],100,,60.37571,609352.9,-16.365555
152.4376,1.2810619,100.0,3.4005105,0.09943502,0.3600566,27.996136,93.11639,3,37.36,0.0872008,36.09891724586487,-1.6403199e-06,300,1.2088645,-109.9111712526502,2.1313405,10.386072,10847,257.7817,125.8496,[-0.67  -1.064 -0.804 -1.01  -0.018],100,,8.095226,34192.426,-16.158424
173.84402,1.3994197,100.0,4.6796184,0.11217588,0.43816,46.67198,92.810814,4,34.47,0.15116833,48.87569856643677,4.15802e-06,400,1.9548805,-106.6706434396371,2.5107381,13.619748,14294,292.25934,141.16687,[-0.644 -1.035 -0.809 -1.019 -0.038],100,,16.50581,96702.76,-15.735855
153.6258,1.0626274,100.0,1.3652595,0.07026352,0.2598539,41.82621,92.68159,5,34.14,0.40713394,61.68912196159363,-7.476807e-06,500,0.25574356,-107.85616935328761,1.0802808,12.427909,17708,244.0382,145.48102,[-6.580e-01 -1.019e+00 -8.023e-01 -9.721e-01 -2.267e-04],100,,2.2584028,2346.5737,-14.827286
824.43585,8.014707,100.0,993.51575,1.3006775,16.75008,37.014153,92.49489,6,32.66,0.0068607247,73.2541618347168,3.8146972e-08,600,74.068275,-106.2284386471573,48.28162,13.176197,20974,1384.503,157.39737,[-7.009e-01 -1.015e+00 -8.070e-01 -9.665e-01  5.661e-04],100,,1014.58844,133780050.0,-15.043655
492.47803,7.67701,100.0,774.01654,1.4573255,14.262661,46.39562,93.18463,7,37.34,0.004047353,87.75013518333435,-1.6403199e-06,700,45.20833,-108.57309472760306,78.0162,12.79403,24708,1036.5272,119.03285,[-0.739 -0.938 -0.72  -0.93   0.101],100,,436.64008,28646066.0,-16.096222
111.30555,1.1375808,100.0,1.7142034,0.094927676,0.32018915,38.345592,93.72522,8,40.84,0.26120263,103.95080375671387,2.4414062e-06,800,0.53565925,-107.71099279921404,1.2660865,12.833353,28792,207.5445,98.4646,[-0.84  -0.937 -0.666 -0.93   0.156],100,,3.577327,6995.1074,-17.797356
107.0626,1.1190443,100.0,2.1877787,0.101825036,0.3462099,38.32219,93.79567,9,41.32,0.075735286,117.41697835922241,-6.8664554e-07,900,0.7926019,-107.52153667769555,1.4856114,13.435495,32924,204.98451,96.52631,[-0.873 -0.956 -0.694 -0.921  0.116],100,,6.2522793,16261.083,-19.6511
95.51373,1.107629,100.0,1.6633128,0.10138213,0.32952908,38.74856,94.045654,10,43.87,0.30242038,131.36448502540588,-1.0681152e-06,1000,0.5304832,-108.67369345529025,1.3033614,13.374637,37311,192.77745,82.53531,[-0.915 -0.986 -0.694 -0.936  0.107],100,,3.5215135,6944.747,-21.960396
118.88872,1.1864798,100.0,2.382621,0.09917398,0.34552687,46.55816,93.56611,11,39.28,0.13651225,145.10023403167725,8.773804e-07,1100,0.95090336,-106.72374946777971,1.7204343,13.327761,41239,225.79893,101.86899,[-0.941 -1.026 -0.703 -0.956  0.124],100,,6.3434954,20183.105,-18.281166
117.2474,1.0541775,100.0,1.2052672,0.0817062,0.28326875,36.873257,93.44643,12,38.5,0.38065684,158.2135727405548,6.4849855e-06,1200,0.24963443,-106.90621392551856,1.0873842,13.61529,45089,208.65346,110.79097,[-0.913 -1.024 -0.702 -0.99   0.097],100,,2.0436769,2088.0764,-17.816193
104.02918,1.3502706,100.0,3.5888648,0.13626939,0.4646308,49.597176,93.92325,13,42.45,0.06548206,172.92328882217407,-5.340576e-07,1300,1.9421592,-107.75404185740693,2.2090812,12.670927,49334,220.02058,87.94938,[-0.91  -1.054 -0.706 -1.011  0.084],100,,20.94146,62713.668,-19.628075
82.91142,1.0784925,100.0,1.3726892,0.095412716,0.31091276,42.670044,94.1167,14,43.25,0.37404573,187.3080348968506,-9.57489e-06,1400,0.5282265,-105.6013598200201,1.1629446,15.004984,53659,180.21118,78.44264,[-0.9   -1.02  -0.645 -0.987  0.082],100,,4.308617,5225.103,-21.017395
103.68413,1.0531774,100.0,1.2386494,0.0837678,0.28575343,41.654274,93.627,15,39.63,0.34624943,201.36103630065918,2.4795531e-06,1500,0.33204418,-106.46594809472734,1.127953,13.137703,57622,199.30484,99.10988,[-0.912 -1.016 -0.641 -0.992  0.117],100,,2.6575546,2612.747,-19.08503
90.71944,1.0824493,100.0,1.5485228,0.09514375,0.3121292,35.51567,94.02197,16,42.74,0.37126428,215.40496301651,-4.8065185e-06,1600,0.5716008,-106.38044977128642,1.1436703,13.309978,61896,186.5402,83.91576,[-0.898 -1.02  -0.648 -1.003  0.14 ],100,,5.823807,8043.6753,-23.61969
95.433846,1.1394764,100.0,1.780134,0.10358555,0.34110335,26.464725,94.03554,17,43.14,0.27897033,228.65799617767334,-4.0817263e-06,1700,0.7247625,-107.08345592403185,1.3147663,13.110551,66210,192.80257,84.84918,[-0.857 -1.015 -0.616 -1.007  0.154],100,,6.2464333,10734.479,-21.673462
90.97671,1.2346177,100.0,2.5867033,0.11230242,0.37588578,57.086113,94.046844,18,42.61,0.1705735,241.48950123786926,2.2125244e-06,1800,1.3553121,-105.5268873433484,1.8282416,14.923935,70471,202.65324,78.3837,[-0.821 -1.008 -0.605 -0.982  0.174],100,,12.967999,28655.232,-19.085358
81.48031,1.04761,100.0,1.2479361,0.094065934,0.30147278,30.05597,94.20436,19,44.45,0.3507843,255.49272418022156,4.15802e-06,1900,0.33656767,-106.58305321915631,1.1138115,14.021777,74916,173.85596,76.08983,[-0.826 -1.034 -0.593 -0.974  0.198],100,,2.5195847,2564.18,-19.763191
67.58572,1.0927006,100.0,1.5823209,0.102520995,0.3172784,37.51594,94.51166,20,47.48,0.2953937,270.4170458316803,-4.196167e-07,2000,0.60340035,-106.55326811462018,1.2175766,14.074368,79664,163.0553,60.883133,[-0.86  -1.065 -0.611 -0.986  0.191],100,,5.0021296,4270.39,-22.677185
45.394623,1.0548172,100.0,1.1563554,0.106283255,0.31630644,54.772346,94.85437,21,50.76,0.5249092,285.41289019584656,7.2479247e-07,2100,0.22562364,-105.21601639471531,1.0637848,15.132235,84740,144.63559,41.3816,[-0.809 -1.045 -0.589 -0.992  0.177],100,,2.236497,980.0631,-24.627174
373.18933,7.7553077,100.0,960.67596,2.2698882,18.757412,40.472046,94.28481,22,44.22,0.0013963713,299.23572754859924,-4.5013426e-06,2200,68.73749,-104.25283810420726,151.53224,15.167863,89162,969.0607,73.604195,[-0.824 -1.065 -0.612 -1.001  0.166],100,,727.8844,61592420.0,-24.209557
