InitialReturnStd,ReturnStepMax,TimestepsSoFar,StdD2w0t,InitialReturnMax,ReturnStepMaxmin,Iteration,MinD2w0t,Weights,EpLenMean,EmpiricalD2,J_sample_variance,StdIW,InitialBound,EpThisIter,MinIW,EpisodesSoFar,Bound,InitialReturnMin,MeanIW,TimeElapsed,InitialReturnMean,MaxD2w0t,EpRewMean,MeanD2w0t,MaxIW,ReturnMeanIW
10.706462,100.0,68071,0.25464317,-47.795654,99.00022,19,,[-0.825 -0.486 -0.464 -0.741  0.01 ],34.69,1.0050939,130.54103,0.052895393,-372.0299,100,0.83899796,1900,-371.39673,-95.45949,0.9860261,213.69611120224,-80.93377,1.0181612,-109.06161495051087,0.06953013,1.1651704,-79.874245
11.88444,100.0,71994,0.26992783,-41.63595,99.00026,20,,[-0.817 -0.484 -0.461 -0.742  0.012],39.23,1.0068837,146.91101,0.07108873,-371.92813,100,0.8061577,2000,-371.18988,-97.61264,0.9821202,225.60285663604736,-77.49945,1.0129576,-108.73705641607395,0.07876224,1.2276894,-76.04692
14.613624,100.0,75835,0.26666787,-34.813587,99.00001,21,,[-0.817 -0.487 -0.461 -0.744  0.019],38.41,1.0018517,216.24396,0.04209628,-380.327,100,0.89727277,2100,-380.00146,-94.330246,0.9922355,236.40851259231567,-77.54409,1.0059232,-107.41827812383801,0.07692306,1.1496099,-76.95846
11.272894,100.0,79674,0.266684,-45.07222,99.00003,22,,[-0.814 -0.486 -0.459 -0.744  0.023],38.39,1.0026737,146.51637,0.04637693,-385.4567,100,0.82865906,2200,-385.05225,-96.05458,0.9877211,248.45111680030823,-77.7246,1.0072347,-108.19795949996816,0.076905444,1.1102462,-76.93421
10.9662485,100.0,83657,0.27143657,-44.63357,99.000015,23,,[-0.813 -0.484 -0.459 -0.743  0.019],39.83,1.0042531,151.63885,0.06478407,-378.79187,100,0.71986806,2300,-378.2721,-92.33467,0.9837236,260.0380771160126,-77.24941,1.0091904,-108.74267673343643,0.07985662,1.1617169,-76.2333
11.354769,100.0,87455,0.26527056,-47.92448,99.000046,24,,[-0.813 -0.483 -0.458 -0.743  0.012],37.98,1.0028207,132.31743,0.05018195,-383.34412,100,0.86957824,2400,-383.08398,-94.68224,0.9940733,272.01687264442444,-78.800995,1.005432,-109.04009607253744,0.07605377,1.1420146,-78.280685
12.7625675,100.0,91240,0.26493454,-26.64951,99.000114,25,,[-0.813 -0.483 -0.457 -0.741  0.01 ],37.85,1.0025547,183.78453,0.056090925,-382.13724,100,0.7855905,2500,-381.70602,-97.35914,0.9878871,281.4010202884674,-78.754524,1.006506,-108.91762365825765,0.07582073,1.1258209,-77.97552
11.1717005,100.0,94747,0.2556535,-45.990425,99.0,26,,[-0.816 -0.481 -0.457 -0.741  0.005],35.07,1.0015119,139.23474,0.041604735,-382.1312,100,0.8334489,2600,-381.85645,-96.01118,0.9934251,292.922479391098,-80.58875,1.0052375,-108.71662197409816,0.070212014,1.1547272,-80.09157
11.733975,100.0,98333,0.25895545,-45.935112,99.00098,27,,[-0.811 -0.483 -0.455 -0.743  0.003],35.86,1.0067167,139.32426,0.07795855,-385.20544,100,0.8007765,2700,-384.4141,-95.666435,0.9813414,303.3577449321747,-79.55224,1.0150139,-108.12609555327106,0.071976125,1.2362452,-77.9697
12.193122,100.0,101984,0.26058507,-39.62685,99.0,28,,[-0.809 -0.484 -0.453 -0.743 -0.003],36.51,1.0039338,167.80103,0.05799344,-383.53845,100,0.8482388,2800,-383.20444,-95.16565,0.99101603,314.8953769207001,-78.995346,1.0077275,-108.02547398183555,0.0731373,1.1567246,-78.327324
