MinD2w0t,ReturnMeanIW,ReturnStepMaxmin,TimeElapsed,StdIW,MeanIW,Weights,TimestepsSoFar,Bound,EpThisIter,EmpiricalD2,MaxD2w0t,ReturnStepMax,InitialReturnMean,InitialReturnStd,MinIW,EpLenMean,StdD2w0t,InitialReturnMax,InitialReturnMin,MaxIW,J_sample_variance,MeanD2w0t,Iteration,EpRewMean,InitialBound,EpisodesSoFar
,-78.041534,99.00072,7.712326765060425,0.07278037,0.98506117,[-0.563 -1.093 -0.809 -1.04   0.   ],3540,-370.5504,100,1.0042425,1.0104132,100.0,-79.2192,12.600159,0.7588947,35.4,0.2572913,-45.291973,-95.935974,1.2053235,173.09131,0.07102164,1,-107.5568281044892,-371.1776,100
,-77.77788,99.00003,20.456949472427368,0.049426947,0.98771393,[-0.558 -1.097 -0.807 -1.044 -0.004],7082,-376.32916,100,1.0029318,1.0054364,100.0,-78.49522,13.87694,0.85419303,35.42,0.25706825,-32.03594,-96.20785,1.0926764,229.55798,0.07098229,2,-106.65247372644907,-376.68185,200
,-75.7947,99.000015,31.678886651992798,0.08477704,0.9784666,[-0.56  -1.097 -0.81  -1.044 -0.008],10771,-376.17612,100,1.0115213,1.0210538,100.0,-77.44482,14.404432,0.7399328,36.89,0.26248497,-33.209343,-94.26881,1.2834455,243.86801,0.07408044,3,-106.47105044621323,-377.01923,300
,-77.88941,99.000015,43.55831480026245,0.05320846,0.9924816,[-0.567 -1.095 -0.809 -1.04  -0.004],14359,-368.41925,100,1.0033189,1.0070211,100.0,-78.52066,12.579325,0.8361071,35.88,0.2585254,-42.67753,-95.15445,1.1207658,162.23799,0.07188215,4,-107.1988444053851,-368.73428,400
,-80.436966,99.00028,54.63206100463867,0.06758842,0.97656256,[-0.568 -1.098 -0.81  -1.039 -0.009],17578,-369.67798,100,1.007308,1.0158372,100.0,-82.11555,11.654711,0.8067217,32.19,0.24651042,-46.236233,-95.72267,1.1855589,167.96861,0.06466357,5,-108.59379297338006,-370.50116,500
,-77.15759,99.000015,65.74841594696045,0.07463936,0.984905,[-0.566 -1.094 -0.808 -1.034 -0.009],21198,-367.89587,100,1.0073613,1.0126028,100.0,-78.17441,12.809952,0.751902,36.2,0.2598865,-40.416378,-95.10517,1.1996087,196.3679,0.07260498,6,-107.11154433963902,-368.38803,600
,-78.37299,99.0,76.33570766448975,0.046756793,0.9932797,[-0.565 -1.091 -0.809 -1.034 -0.013],24787,-384.23135,100,1.0021158,1.0042953,100.0,-78.80735,13.289302,0.85605764,35.89,0.2583577,-28.5506,-95.591995,1.1088009,199.52682,0.07184655,7,-107.50287153847805,-384.46057,700
,-77.16621,99.00015,88.26057457923889,0.060785517,0.98769784,[-0.563 -1.091 -0.808 -1.035 -0.016],28489,-377.78076,100,1.0037273,1.0073813,100.0,-77.98311,12.576131,0.87168825,37.02,0.26229963,-28.872753,-96.08422,1.2070919,182.63461,0.074171506,8,-107.56919163950704,-378.22833,800
,-77.42589,99.000015,99.53061437606812,0.021485256,0.99854827,[-0.566 -1.093 -0.809 -1.035 -0.012],32232,-378.40613,100,1.0006135,1.0011587,100.0,-77.58425,14.284754,0.9389641,37.43,0.26328516,-33.845238,-95.85605,1.0637889,200.03987,0.0748919,9,-107.23731439182836,-378.48535,900
,-80.40383,99.0,108.9386031627655,0.057360675,0.9902754,[-0.565 -1.094 -0.808 -1.036 -0.011],35427,-368.19565,100,1.0033503,1.0063856,100.0,-81.13784,12.694427,0.8299364,31.95,0.24509013,-35.156757,-95.165794,1.1350065,185.8008,0.06403609,10,-107.07253261820023,-368.57678,1000
