J_sample_variance,MinIW,InitialReturnMin,Bound,InitialReturnStd,MaxIW,Weights,InitialBound,MeanD2w0t,Iteration,EpisodesSoFar,InitialReturnMean,EmpiricalD2,EpRewMean,TimeElapsed,ReturnStepMaxmin,EpLenMean,InitialReturnMax,MinD2w0t,MaxD2w0t,ReturnStepMax,EpThisIter,ReturnMeanIW,TimestepsSoFar,StdIW,StdD2w0t,MeanIW
2591.999,0.57662827,-16.371025,-54.898148,10.794412,2.014055,[-0.822 -0.493 -0.474 -0.749  0.   ],-61.021515,0.07255779,1,100,-4.119873e-06,1.0562667,-108.1894935537418,6.845406770706177,92.833694,35.09,33.495453,,1.1103653,100.0,100,238.42162,3509,0.24556953,0.26419058,1.057678
922.2486,0.6989223,-17.68222,-49.41858,13.909823,1.5900168,[-0.822 -0.495 -0.464 -0.753  0.007],-52.339783,0.06813664,2,200,2.632141e-06,1.02165,-106.00609773015573,19.90622615814209,92.69388,33.62,36.674747,,1.0583191,100.0,100,239.53098,6871,0.13225093,0.25378683,1.0272735
1187.9818,0.46747154,-17.459518,-70.43791,11.332573,1.7522591,[-0.818 -0.504 -0.471 -0.758 -0.004],-73.660736,0.07479791,3,300,-7.5149537e-06,1.0387896,-109.06250946763683,31.445708751678467,93.07957,36.84,37.31442,,1.0686468,100.0,100,220.69301,10555,0.18145034,0.2652299,1.0238866
662.78186,0.6606408,-16.988464,-67.16092,11.845727,1.5360925,[-0.823 -0.506 -0.467 -0.755 -0.007],-68.81685,0.0723122,4,400,-2.670288e-07,1.014277,-108.18605969500379,43.4097261428833,92.9629,35.84,43.46174,,1.046447,100.0,100,223.78467,14139,0.12847584,0.26023668,1.0185113
558.0637,0.7691917,-18.478142,-88.8246,13.427155,1.3488722,[-0.827 -0.499 -0.466 -0.748 -0.013],-90.16965,0.07607799,5,500,3.967285e-06,1.012899,-106.58266570101861,55.26641798019409,93.35924,37.79,35.667553,,1.0243105,100.0,100,206.04698,17918,0.10772472,0.266076,1.0153998
1479.1661,0.497986,-15.15023,-63.948715,11.562576,1.7532123,[-0.829 -0.498 -0.463 -0.745 -0.023],-70.47768,0.07363966,6,600,-5.0354006e-06,1.0457717,-108.14147636518274,67.02646279335022,92.96373,35.83,37.254715,,1.0977324,100.0,100,232.378,21501,0.20092097,0.26510912,1.0645814
501.56793,0.74577737,-18.206314,-106.70891,12.458144,1.5066712,[-0.827 -0.502 -0.465 -0.741 -0.044],-109.09953,0.07905051,7,700,3.7002565e-06,1.0147849,-107.01782092141501,78.38972783088684,93.54131,39.21,42.174667,,1.0463895,100.0,100,199.16408,25422,0.11426403,0.2710133,1.0250409
956.68256,0.7109989,-16.994972,-89.006744,13.789395,1.6616049,[-0.844 -0.501 -0.468 -0.74  -0.049],-90.97409,0.0779048,8,800,-3.5095215e-06,1.0179828,-107.09758771050355,89.8034155368805,93.44371,38.55,44.65101,,1.032629,100.0,100,203.01236,29277,0.14968726,0.2695451,1.0258727
778.58185,0.7070967,-16.129837,-76.516846,12.140573,1.5927604,[-0.846 -0.502 -0.468 -0.74  -0.035],-77.31918,0.0737486,9,900,-4.653931e-06,1.0156236,-107.89729340105774,100.92247104644775,93.11366,36.66,37.97086,,1.0434659,100.0,100,215.66211,32943,0.14161153,0.26218203,1.0116439
394.0509,0.79607165,-16.977684,-92.694016,12.140351,1.3459814,[-0.856 -0.503 -0.47  -0.735 -0.033],-93.806274,0.07749792,10,1000,8.392334e-06,1.0071188,-108.64386031260477,113.6567656993866,93.36176,38.53,45.973244,,1.0181518,100.0,100,204.32536,36796,0.08158734,0.26821133,1.0108836
1977.7369,0.53815615,-17.818886,-72.116486,11.662849,2.176793,[-0.856 -0.499 -0.464 -0.735 -0.03 ],-74.70456,0.07587766,11,1100,1.2588501e-06,1.0565715,-107.75972869030788,125.99646425247192,93.208046,37.21,28.284718,,1.0986602,100.0,100,215.96756,40517,0.27357197,0.26764122,1.0377104
1963.8053,0.5882945,-16.260284,-65.370224,11.512687,1.9827541,[-0.847 -0.496 -0.469 -0.738 -0.026],-75.81732,0.07262904,12,1200,3.3569336e-06,1.0631185,-108.07193701782212,137.17801785469055,92.84912,35.14,36.707085,,1.153184,100.0,100,243.66228,44031,0.23311886,0.26428208,1.0924709
874.4711,0.62248516,-17.178215,-93.13054,12.54041,1.8755792,[-0.834 -0.488 -0.467 -0.733 -0.007],-95.04907,0.0743966,13,1300,-2.9754638e-06,1.0243707,-107.41035296558121,149.02998208999634,93.160934,36.79,42.884197,,1.0642979,100.0,100,215.95656,47710,0.18224826,0.2639923,1.026454
961.80945,0.5296003,-17.795578,-78.80919,12.129997,1.4617453,[-0.829 -0.493 -0.473 -0.74  -0.007],-82.31052,0.0749688,14,1400,1.14440915e-07,1.0250039,-108.02447786567845,160.80788111686707,93.14989,36.93,38.205494,,1.050636,100.0,100,218.46703,51403,0.15348376,0.26548153,1.0375191
718.4084,0.5818914,-15.154518,-66.51437,11.773693,1.5519476,[-0.824 -0.489 -0.47  -0.734 -0.021],-67.99036,0.07072531,15,1500,-4.8065185e-06,1.015797,-107.53791966505607,173.64155530929565,92.87423,35.11,36.844727,,1.0340769,100.0,100,227.7681,54914,0.13653842,0.257367,1.0166839
590.5027,0.67192,-14.499046,-54.27791,10.5083885,1.2855277,[-0.814 -0.488 -0.47  -0.735 -0.028],-55.272324,0.071084805,16,1600,-2.1743774e-06,1.0120738,-108.88762825480303,184.45101618766785,92.834404,35.32,30.215134,,1.0264727,100.0,100,228.00148,58446,0.122277595,0.25784644,1.01255
320.01135,0.76438665,-19.849823,-101.28264,13.632568,1.3359423,[-0.808 -0.482 -0.467 -0.734 -0.035],-102.22269,0.07621026,17,1700,4.310608e-06,1.0055872,-106.35408171958538,196.78210926055908,93.39948,37.98,38.946766,,1.0158873,100.0,100,203.44078,62244,0.08007422,0.26580408,1.010761
888.66754,0.6258088,-14.779442,-74.99994,11.644413,1.5249786,[-0.803 -0.485 -0.468 -0.736 -0.042],-77.14052,0.071515515,18,1800,1.2588501e-06,1.0195135,-108.53936531453945,208.98632097244263,92.871445,35.42,29.493042,,1.0451736,100.0,100,228.70868,65786,0.1451215,0.2590206,1.0230124
1439.8108,0.5279352,-15.246017,-71.21706,12.592717,1.7162278,[-0.805 -0.479 -0.468 -0.739 -0.041],-74.970825,0.071111776,19,1900,-2.0599366e-06,1.0329677,-107.70309243767493,220.60156536102295,92.819046,34.85,34.330658,,1.0806592,100.0,100,235.27672,69271,0.19410524,0.25984493,1.0413145
599.272,0.6131227,-18.720505,-96.17934,12.1401005,1.4422231,[-0.809 -0.486 -0.473 -0.748 -0.052],-98.391266,0.079342656,20,2000,-1.3732911e-06,1.0234778,-108.17900937630009,232.1254346370697,93.4863,39.24,32.770912,,1.0401664,100.0,100,201.04799,73195,0.14241838,0.2718869,1.0287044
1801.5548,0.5558958,-16.573898,-93.125,12.211633,2.1585217,[-0.805 -0.483 -0.472 -0.75  -0.063],-99.53458,0.07825549,21,2100,-6.027222e-06,1.0457895,-108.83977149654825,242.8107693195343,93.29112,38.13,44.195858,,1.1269463,100.0,100,217.11328,77008,0.24451734,0.2724507,1.070338
2781.8523,0.63663423,-14.685745,-67.784836,11.010957,2.3134708,[-0.795 -0.471 -0.468 -0.744 -0.073],-74.74727,0.0734945,22,2200,-3.1280517e-06,1.0545892,-108.51108945031336,254.54671502113342,92.893585,35.54,35.895485,,1.1340723,100.0,100,237.47191,80562,0.2870732,0.265767,1.071245
1649.5573,0.6335806,-16.101692,-52.809372,12.30639,1.782018,[-0.789 -0.469 -0.465 -0.743 -0.048],-58.661026,0.071163625,23,2300,-2.9373168e-06,1.03432,-107.92674511829702,265.91406989097595,92.80798,34.86,39.43115,,1.0837016,100.0,100,237.50352,84048,0.19099447,0.25999162,1.0485004
1830.4199,0.5866615,-17.756638,-74.44627,11.773545,1.9662596,[-0.773 -0.467 -0.461 -0.741 -0.032],-77.80472,0.07685595,24,2400,4.310608e-06,1.0575141,-107.45902150258256,277.88344144821167,93.279526,37.57,38.900204,,1.1002282,100.0,100,213.91365,87805,0.27061993,0.2696943,1.0518594
11028.919,0.33482337,-14.685242,-36.055145,11.675246,5.146143,[-0.765 -0.463 -0.464 -0.743 -0.018],-43.185944,0.07031999,25,2500,-4.196167e-07,1.1071165,-107.20881196956876,288.2161796092987,92.50252,33.0,38.88666,,1.3739649,100.0,100,260.84213,91105,0.48389935,0.26488513,1.0856923
