EpRewMean,InitialReturnStd,StdD2w0t,MeanIW,EmpiricalD2,EpThisIter,InitialReturnMax,Iteration,EpisodesSoFar,J_sample_variance,Bound,MinD2w0t,InitialBound,ReturnStepMax,EpLenMean,ReturnMeanIW,InitialReturnMean,InitialReturnMin,Weights,StdIW,MaxIW,MinIW,MeanD2w0t,TimeElapsed,MaxD2w0t,ReturnStepMaxmin,TimestepsSoFar
-141.8229098366061,2.1648557,0.28952602,1.0026703,1.0015494,100,6.4169464,1,100,42.134514,-117.4657,,-117.76547,100.0,46.09,209.02142,-3.8146973e-07,-2.4639435,[ 0.579 -0.554  0.227  0.402  0.   ],0.040174074,1.1336548,0.91256315,0.09225753,10.390677213668823,1.004323,93.845825,4609
-143.39144175530672,1.6825655,0.29733637,1.0484922,1.0422356,100,6.890991,2,200,756.56085,-116.9247,,-121.402145,100.0,47.15,212.34093,8.239746e-06,-2.0414505,[ 0.577 -0.55   0.227  0.4    0.002],0.17002803,1.8092469,0.58135957,0.09592803,27.038999557495117,1.0827285,93.91765,9324
-140.3750619875491,1.6586242,0.29394692,1.0921291,1.1434133,100,7.324608,3,300,4790.9937,-92.001785,,-99.04361,100.0,43.85,234.86388,1.5258789e-07,-2.0696793,[ 0.583 -0.54   0.228  0.389  0.006],0.42016318,2.60742,0.37864608,0.09106415,43.03428530693054,1.2053854,93.59749,13709
-141.82197626447757,1.8466315,0.2919652,1.0268953,1.0397166,100,5.092415,4,400,872.64795,-110.106155,,-112.54649,100.0,45.89,214.10359,1.5258789e-07,-2.3768768,[ 0.568 -0.562  0.229  0.383 -0.001],0.18176806,1.5669931,0.6518653,0.09280865,59.18721866607666,1.0578715,93.819046,18298
-137.75419134458048,1.695098,0.27714795,1.0052506,1.0062889,100,5.391243,5,500,264.22455,-91.53038,,-92.38321,100.0,41.68,232.25008,3.5095215e-06,-2.2580948,[ 0.563 -0.569  0.225  0.377 -0.002],0.083494,1.3876181,0.8569979,0.08357617,73.48695874214172,1.0118268,93.38991,22466
-135.45037443536606,1.3527707,0.3030021,1.1878308,1.3550856,100,3.576027,6,600,26607.998,-49.384644,,-69.954956,100.0,38.85,290.99252,-4.7302246e-06,-1.8920212,[ 5.553e-01 -5.656e-01  2.219e-01  3.733e-01 -9.204e-05],0.74981177,5.631373,0.3188438,0.087432146,86.4115252494812,1.7540711,93.02701,26351
-141.68961968795867,1.9496199,0.2907495,1.0287611,1.0341198,100,7.1188507,7,700,888.4208,-114.856186,,-117.55206,100.0,45.38,217.57951,3.0517577e-07,-1.8737335,[ 0.574 -0.553  0.231  0.416 -0.002],0.17573778,1.526118,0.6139648,0.09185816,102.09540748596191,1.0593109,93.75542,30889
-142.51531070742104,1.7371272,0.29641706,1.0499129,1.0304174,100,5.393837,8,800,1228.971,-117.17316,,-121.01959,100.0,46.57,214.77686,5.1116945e-06,-2.3195953,[ 0.579 -0.547  0.235  0.425 -0.006],0.20156133,1.7171774,0.60629034,0.094977796,116.2991714477539,1.100201,93.87952,35546
-139.0081734828048,1.7196591,0.28167352,1.0151618,1.0147301,100,7.4813995,9,900,463.95605,-101.02925,,-102.732635,100.0,42.8,228.21346,9.841919e-06,-2.168335,[ 0.593 -0.552  0.237  0.414  0.006],0.117969036,1.3216265,0.64482844,0.086182326,129.60919618606567,1.0331714,93.50429,39826
-141.20621481525356,1.8085616,0.2933473,1.0511354,1.071145,100,5.720825,10,1000,2220.731,-95.512375,,-99.30022,100.0,45.21,220.95518,3.890991e-06,-2.1931076,[ 5.971e-01 -5.640e-01  2.381e-01  4.105e-01  1.034e-04],0.29674014,1.9955057,0.50464904,0.09246844,144.3990581035614,1.1193438,93.75333,44347
-135.21529154031384,1.7904967,0.27345657,1.0494188,1.0360221,100,5.4721603,11,1100,1392.0211,-62.027924,,-68.1402,100.0,38.99,257.5677,7.858276e-06,-2.1295319,[ 0.588 -0.58   0.24   0.404  0.006],0.18268827,1.6725142,0.59368044,0.079516046,157.70601558685303,1.1082288,93.0641,48246
-140.22865633569057,1.9141926,0.28529263,1.0221015,1.010169,100,5.94236,12,1200,289.56964,-101.5661,,-103.69928,100.0,43.86,223.96954,9.155274e-06,-1.9861145,[ 0.591 -0.598  0.244  0.401  0.02 ],0.08986636,1.3756319,0.7456852,0.08846612,172.6730375289917,1.04158,93.60562,52632
-137.94354638008474,1.5924103,0.28465232,1.0693846,1.1135558,100,4.910782,13,1300,3939.8086,-77.42049,,-83.06918,100.0,41.7,242.09142,1.9073486e-06,-2.1969986,[ 0.591 -0.599  0.246  0.393  0.012],0.3638863,2.9972982,0.50139815,0.08581622,187.08274483680725,1.1536187,93.34747,56802
-137.2767857454165,1.8854668,0.29930583,1.1548533,1.2967088,100,6.622711,14,1400,15773.112,-76.086,,-89.41968,100.0,41.42,261.98312,-8.31604e-06,-2.4012375,[ 0.602 -0.584  0.251  0.396  0.017],0.6715415,4.915485,0.2211077,0.08964832,201.64673733711243,1.4775562,93.371475,60944
-133.14880623929255,1.87846,0.26591298,1.0368981,1.0235181,100,5.7657394,15,1500,1101.9872,-41.992615,,-46.053497,100.0,36.87,269.23172,1.2207031e-06,-2.061119,[ 0.612 -0.543  0.247  0.392  0.007],0.14405261,1.655449,0.48673218,0.07501374,214.49081325531006,1.1430693,92.76343,64631
-135.83809903163208,1.8076967,0.28444645,1.0977696,1.1848226,100,8.25293,16,1600,6930.6753,-77.5603,,-88.54315,100.0,39.78,262.43115,2.0599366e-06,-2.2711182,[ 0.604 -0.55   0.253  0.392 -0.003],0.41308415,2.3577354,0.2786933,0.08351435,227.33149671554565,1.2372278,93.17053,68609
-134.1218675403754,1.5558108,0.28632832,1.1583453,1.3160982,100,5.58239,17,1700,13624.783,-48.83542,,-66.61464,100.0,37.8,287.846,1.0223389e-05,-2.0289154,[ 0.626 -0.536  0.259  0.4   -0.013],0.59386235,4.007052,0.2966091,0.08160592,239.78919887542725,1.4525137,92.90361,72389
-133.02273789865308,1.6485205,0.2631124,1.0202444,1.0100888,100,6.4045563,18,1800,626.1679,-53.75363,,-57.15033,100.0,36.83,266.25888,-3.2043456e-06,-2.0224915,[ 0.641 -0.505  0.261  0.408 -0.026],0.10552719,1.4143155,0.70923865,0.07419508,252.7555592060089,1.0264335,92.7764,76072
-138.24458082687966,1.6673454,0.2886083,1.0701643,1.1624012,100,4.4143753,19,1900,6221.3125,-89.14783,,-95.008606,100.0,42.29,239.78943,-1.4495849e-06,-2.2948227,[ 0.656 -0.522  0.267  0.417 -0.026],0.44852594,2.7622027,0.33047816,0.08763467,266.9182095527649,1.2178894,93.46207,80301
-132.0879240156215,1.6714789,1.8189366,3.4548163,17.140318,100,4.692314,20,2000,29457470.0,115.33624,,-35.322937,100.0,35.77,862.2101,1.953125e-05,-1.8886948,[ 0.644 -0.543  0.263  0.414 -0.024],22.593576,274.4204,0.0059080063,0.2682473,279.8921322822571,99.58663,92.61459,83878
-134.64228054822016,1.6662532,0.26881698,1.0102661,1.0172343,100,5.9069824,21,2100,661.1002,-67.79588,,-68.89967,100.0,38.76,250.11113,-7.6293946e-07,-2.1218872,[ 0.677 -0.459  0.277  0.493 -0.034],0.1390072,1.5648336,0.7408751,0.07792507,295.2382516860962,1.0303056,93.05252,87754
-134.28605892424747,1.4669292,0.3077868,1.23679,1.4894754,100,4.0464935,22,2200,38688.664,-41.241608,,-61.581314,100.0,38.03,300.3916,6.1798096e-06,-1.8782043,[ 0.666 -0.461  0.276  0.494 -0.027],1.0241867,9.083153,0.21595602,0.0874866,308.0405864715576,1.9470758,92.93788,91557
-131.9835502205541,1.5443041,0.26172486,1.0307575,1.0262861,100,5.5107346,23,2300,1523.3441,-43.137756,,-47.246185,100.0,35.69,276.98215,-3.5095215e-06,-2.1096191,[ 0.633 -0.472  0.258  0.507 -0.044],0.16265307,1.8260658,0.492338,0.07255375,321.15272283554077,1.095834,92.6039,95126
-140.2665335401345,1.4220378,0.28876096,1.046148,1.062318,100,5.315735,24,2400,1986.0264,-98.83238,,-102.604904,100.0,43.94,226.90999,-1.8310546e-06,-1.7119064,[ 0.635 -0.483  0.26   0.492 -0.046],0.2734994,2.0349731,0.46320504,0.089616604,335.1701662540436,1.1183785,93.61554,99520
-131.97441806910308,1.5217776,0.26258272,1.0323619,1.0266539,100,5.6531982,25,2500,1489.6637,-33.81711,,-38.353516,100.0,35.79,277.08868,-3.0517577e-07,-2.1223602,[ 0.623 -0.49   0.256  0.502 -0.043],0.16084221,1.5593476,0.6595074,0.072899476,347.3856062889099,1.0791836,92.62506,103099
-133.33146774671246,1.5355694,0.26901007,1.0772235,1.066032,100,4.4839478,26,2600,3024.235,-38.026276,,-47.20749,100.0,37.16,275.14508,-6.408691e-06,-2.0722656,[ 0.626 -0.503  0.261  0.49  -0.042],0.27489588,2.0954056,0.41364533,0.0761733,359.5670485496521,1.2842243,92.82393,106815
-133.318600559316,1.3224627,0.26634687,1.0374175,1.031486,100,4.7779846,27,2700,1731.428,-48.41501,,-53.09915,100.0,36.85,270.41452,7.705688e-06,-1.6818314,[ 0.665 -0.515  0.264  0.488 -0.053],0.1902646,1.870818,0.47444236,0.07511708,371.1809461116791,1.1134307,92.73372,110500
-136.97409705078474,1.4338356,0.2769983,1.0297043,1.0400958,100,5.143898,28,2800,1631.231,-73.44295,,-76.50046,100.0,40.68,242.67107,-8.392334e-07,-1.9068832,[ 0.667 -0.526  0.265  0.503 -0.043],0.21427393,1.7616425,0.51090795,0.082425065,384.3645267486572,1.0793111,93.26578,114568
