ReturnStepMaxmin,MaxIW,ReturnStepMax,StdIW,InitialBound,EmpiricalD2,TimestepsSoFar,J_sample_variance,MeanIW,InitialReturnMax,Weights,Iteration,EpRewMean,InitialReturnMin,MinD2w0t,InitialReturnStd,MinIW,MeanD2w0t,ReturnMeanIW,MaxD2w0t,StdD2w0t,Bound,EpThisIter,EpisodesSoFar,EpLenMean,InitialReturnMean,TimeElapsed
92.924065,2.4650605,100.0,0.29045337,-69.341064,1.0477045,3540,2863.8247,1.0610794,33.927227,[-0.563 -1.093 -0.809 -1.04   0.   ],1,-107.5568281044892,-16.716774,,12.600159,0.45719332,0.073037684,233.8078,1.1044226,0.2646998,-63.6445,100,100,35.4,-1.2207031e-06,7.330468416213989
93.25315,9.526519,100.0,1.3444823,-88.18222,1.6031544,7276,48584.426,1.2670842,53.794155,[-0.576 -1.087 -0.816 -1.027  0.006],2,-107.35218984054289,-17.825989,,14.055216,0.1595592,0.089044094,253.89311,2.1580222,0.3174951,-74.491684,100,200,37.36,,22.311805248260498
93.12926,1.3774681,100.0,0.07372843,-84.193665,1.0078647,10931,413.11087,1.009832,39.42301,[-0.609 -1.093 -0.803 -1.015  0.01 ],3,-107.28792851639038,-16.798996,,13.216132,0.82657737,0.07341774,215.38017,1.0174264,0.26143885,-82.926285,100,300,36.55,2.1743774e-06,36.2425057888031
93.17463,1.7157736,100.0,0.18565634,-85.73454,1.0404567,14630,1280.7582,1.0341485,43.213627,[-0.616 -1.096 -0.807 -1.014  0.002],4,-107.74030386303853,-17.440384,,13.751347,0.602089,0.075185366,217.65117,1.0700986,0.2660163,-82.165054,100,400,36.99,-1.2969971e-06,49.09938859939575
93.153656,1.2338636,100.0,0.07488682,-87.49684,1.0066142,18320,378.94568,1.0098076,47.40821,[-0.623 -1.097 -0.807 -1.007  0.012],5,-107.86624469779352,-16.095314,,12.715894,0.7542547,0.07421043,214.19061,1.0127573,0.2628926,-86.369446,100,500,36.9,-5.302429e-06,62.838547229766846
93.03023,2.67,100.0,0.32494718,-83.066345,1.0731453,21919,3495.0945,1.0538839,43.17878,[-0.622 -1.099 -0.803 -1.011  0.013],6,-107.42636791269395,-15.927483,,13.111888,0.53615105,0.07411579,228.17888,1.120699,0.26619056,-78.51076,100,600,35.99,3.8146972e-08,75.70780086517334
93.22122,2.672506,100.0,0.25676465,-106.345856,1.0362461,25644,2124.1252,1.0444225,86.66069,[-0.624 -1.095 -0.794 -1.001  0.017],7,-107.6296805752663,-16.833916,,14.837033,0.7060048,0.07604008,216.1907,1.0699711,0.2680275,-103.14496,100,700,37.25,2.2506713e-06,89.32191848754883
93.24959,1.4498811,100.0,0.13830413,-86.63312,1.0236943,29376,657.9953,1.033077,48.053852,[-0.629 -1.095 -0.788 -1.     0.03 ],8,-107.30270250028121,-16.197792,,13.826614,0.633892,0.07569063,213.29207,1.0455669,0.2665266,-83.6815,100,800,37.32,-1.1825562e-06,102.77031564712524
92.75041,1.7403244,100.0,0.13747995,-54.49797,1.0110972,32810,931.99066,1.01072,25.342163,[-0.626 -1.093 -0.791 -0.999  0.016],9,-107.30570729722531,-14.388855,,11.102108,0.72344935,0.06911661,232.87437,1.0324908,0.2545292,-53.84169,100,900,34.34,-3.890991e-06,114.92508029937744
93.46488,1.7266462,100.0,0.21707724,-92.05702,1.0427781,36714,1367.2755,1.0569353,35.915054,[-0.622 -1.099 -0.793 -0.997  0.02 ],10,-108.04555391482278,-17.19809,,11.512549,0.5951772,0.07976801,206.75687,1.0918225,0.2741484,-87.43399,100,1000,39.04,2.2125244e-06,128.35678219795227
92.81532,1.417565,100.0,0.119587205,-65.167694,1.0173726,40195,734.6215,1.0222362,45.383793,[-0.618 -1.082 -0.784 -0.996  0.031],11,-107.6443761090655,-16.271736,,12.693126,0.55983907,0.07027265,232.36461,1.0404657,0.2569044,-62.152756,100,1100,34.81,-3.890991e-06,140.48709225654602
93.372025,1.5021776,100.0,0.13834533,-89.44025,1.0224617,44004,832.98517,1.0269533,46.486534,[-0.631 -1.093 -0.793 -0.997  0.025],12,-107.18490962600352,-18.636093,,13.841344,0.5822614,0.077197485,207.36946,1.0447441,0.26883987,-86.91588,100,1200,38.09,5.340576e-07,152.82259893417358
92.83266,1.720437,100.0,0.1986698,-70.11432,1.0394498,47508,1628.8733,1.0558221,38.489174,[-0.63  -1.095 -0.795 -0.991  0.018],13,-108.05213554056535,-16.17434,,11.683866,0.54394156,0.07142629,237.16908,1.1309793,0.26023895,-63.86476,100,1300,35.04,-5.569458e-06,164.80245423316956
92.844284,1.6738341,100.0,0.10781385,-71.79274,1.0099101,51002,802.63464,1.018634,40.7293,[-0.65  -1.082 -0.793 -0.981  0.031],14,-107.54093490644036,-15.29969,,12.609081,0.7569252,0.07034431,230.06413,1.0295542,0.25663832,-69.58833,100,1400,34.94,1.2969971e-06,176.94211602210999
92.90164,2.6985576,100.0,0.43354312,-70.914215,1.1222386,54488,6281.0195,1.0961999,39.47416,[-0.662 -1.086 -0.798 -0.984  0.038],15,-106.29520262300449,-17.694122,,14.084044,0.37058082,0.073270395,241.08762,1.2324752,0.26786292,-63.73398,100,1500,34.86,-8.010864e-07,189.5318567752838
93.21419,1.3681564,100.0,0.0958448,-88.907455,1.0095172,58213,437.48453,1.0083512,39.015175,[-0.664 -1.093 -0.797 -0.972  0.04 ],16,-107.76070786771042,-15.639709,,12.830446,0.75998735,0.07475448,210.78854,1.0223788,0.2634758,-88.0878,100,1600,37.25,2.0980835e-06,203.3345959186554
93.19599,1.6266931,100.0,0.15313737,-87.28262,1.0191014,61921,1140.8934,1.0356174,38.09939,[-0.668 -1.098 -0.799 -0.97   0.041],17,-107.60658116926184,-15.611244,,12.9726095,0.65623534,0.07512569,216.32729,1.0553727,0.26546186,-83.34636,100,1700,37.08,-1.4495849e-06,216.00634765625
