J_sample_variance,MaxD2w0t,Weights,ReturnMeanIW,Iteration,MeanIW,EpisodesSoFar,EpThisIter,InitialReturnMean,InitialReturnMin,InitialBound,ReturnStepMax,StdIW,ReturnStepMaxmin,MeanD2w0t,EpRewMean,InitialReturnStd,StdD2w0t,TimestepsSoFar,Bound,EpLenMean,EmpiricalD2,MinIW,TimeElapsed,MinD2w0t,MaxIW,InitialReturnMax
43.940296,1.3234524,[-0.816 -1.259 -0.784 -1.078  0.176],15.008032,19,1.0228101,1900,100,6.67572e-07,-19.053398,-18.654243,100.0,0.40166456,93.92286,0.08961498,-106.74689950897259,6.6496763,0.29621884,72059,-18.499403,42.05,1.1635224,0.30985618,234.98945879936218,,3.160686,8.47259
43.08179,1.704955,[-0.812 -1.277 -0.778 -1.074  0.17 ],14.64236,20,0.97153234,2000,100,7.4386594e-07,-16.05096,-19.42662,100.0,0.5317262,94.05441,0.0957977,-105.41523073577639,6.585579,0.31559917,76322,-18.967766,42.63,1.3613405,0.2794678,247.51145386695862,,3.6984472,8.099073
55.15057,1.4715486,[-0.835 -1.306 -0.782 -1.07   0.172],14.2070265,21,1.0822641,2100,100,-9.727478e-07,-18.918175,-19.67901,100.0,0.5850368,94.202866,0.10088367,-106.40037192320992,6.3544827,0.3249861,80758,-19.4058,44.36,1.2053864,0.31251028,260.1391224861145,,5.0852814,8.336284
37.947742,1.1815853,[-0.85  -1.298 -0.775 -1.083  0.201],13.544445,22,1.0480628,2200,100,-4.816055e-07,-20.095596,-20.116726,100.0,0.30270627,94.39073,0.097735606,-106.22056379594319,5.7744837,0.30699354,85367,-19.927364,46.09,1.0867033,0.5206843,272.7545428276062,,2.3793824,7.7640247
33.523186,1.0258812,[-0.856 -1.303 -0.762 -1.09   0.198],13.452615,23,1.0089356,2300,100,-3.5762787e-07,-18.375515,-19.939161,100.0,0.114154756,94.40763,0.09206088,-104.95858380597616,5.8086042,0.2902338,89938,-19.909481,45.71,1.0145077,0.7376985,284.68017077445984,,1.4842688,7.4506235
37.510952,1.5973037,[-0.856 -1.304 -0.757 -1.089  0.198],14.772125,24,1.1551489,2400,100,1.0967254e-06,-15.721056,-19.267456,100.0,0.60294765,94.28038,0.10258681,-106.78139444624782,5.0703855,0.32685935,94463,-18.958912,45.25,1.3383328,0.28578404,296.54382705688477,,4.3256416,6.9614944
25.98812,1.187478,[-0.857 -1.313 -0.741 -1.077  0.201],14.3268385,25,1.0480736,2500,100,-3.4332277e-07,-17.872671,-19.311844,100.0,0.3104173,94.444016,0.097725585,-106.33654986091922,4.7405787,0.3047321,99131,-19.120178,46.68,1.0983946,0.5375222,309.65942001342773,,3.1018844,5.7230587
39.333317,3.2672153,[-0.856 -1.323 -0.742 -1.07   0.218],14.436019,26,1.1822321,2600,100,2.861023e-07,-23.35071,-20.175695,100.0,1.0921112,94.478455,0.11746426,-105.66853542584965,5.6176343,0.37368143,103805,-19.44392,46.74,1.6228105,0.12076356,320.9202835559845,,8.024257,7.1621046
23.593445,2.5491467,[-0.856 -1.356 -0.736 -1.063  0.22 ],14.7407465,27,1.1469139,2700,100,-5.4359435e-07,-14.334568,-19.511505,100.0,0.8755705,94.65785,0.12267291,-106.8383773450222,3.805053,0.37813225,108726,-19.007252,49.21,1.6543425,0.12331958,334.5119228363037,,5.94848,5.35661
17.25682,1.5877241,[-0.864 -1.385 -0.744 -1.045  0.227],13.779847,28,1.0673537,2800,100,7.200241e-07,-17.038568,-20.11298,100.0,0.68894416,94.72815,0.10955579,-105.15145760960115,4.461707,0.3333412,113649,-19.729645,49.23,1.3065573,0.24563622,347.8353545665741,,5.598715,5.381513
20.600616,1.4693329,[-0.914 -1.412 -0.752 -1.051  0.228],14.845256,29,0.96949226,2900,100,-6.580353e-07,-15.62443,-19.14226,100.0,0.3801773,94.45278,0.104658864,-106.49604152116828,4.230904,0.3267211,118333,-18.779747,46.84,1.2427958,0.27787843,361.6573622226715,,2.3534548,6.939618
16.388275,1.1917425,[-0.927 -1.425 -0.738 -1.056  0.246],13.063065,30,1.0478213,3000,100,-3.9577483e-07,-14.540494,-20.605513,100.0,0.31113017,94.83885,0.10812846,-107.12864122966225,3.91707,0.31932706,123482,-20.404854,51.49,1.0826384,0.46667174,374.7765657901764,,2.8449402,5.5484147
23.796322,2.2329118,[-0.93  -1.427 -0.725 -1.06   0.252],13.163249,31,1.055566,3100,100,-3.194809e-07,-13.432808,-21.091425,100.0,0.71084046,95.04442,0.13283132,-106.20742530988062,3.4045932,0.38863897,128852,-20.622124,53.7,1.6041746,0.23308872,388.132609128952,,4.946035,5.5191474
8.218573,1.0672923,[-0.934 -1.441 -0.717 -1.038  0.262],11.899249,32,0.9921072,3200,100,-2.479553e-07,-10.935347,-21.498436,100.0,0.20597352,95.214325,0.113778666,-105.80979408566901,2.9220612,0.3207238,134442,-21.467205,55.9,1.038125,0.5690426,401.54992842674255,,2.0882688,4.8723946
11.755321,1.5963308,[-0.933 -1.444 -0.716 -1.031  0.264],13.0381565,33,1.0105226,3300,100,-1.14440915e-07,-16.822758,-21.045467,100.0,0.49705562,95.08621,0.12550016,-108.2551990460498,2.9483588,0.35773036,139974,-20.586866,55.32,1.3521416,0.2579684,414.9818584918976,,3.3964078,4.2871375
8.553233,1.0505639,[-0.939 -1.458 -0.707 -1.019  0.266],10.6342745,34,1.0058511,3400,100,-3.7670137e-07,-11.893257,-22.786211,100.0,0.15618372,95.5022,0.12197731,-105.26661131083618,2.897527,0.329749,145993,-22.731262,60.19,1.0235913,0.52830607,429.36970043182373,,1.5693923,5.0006046
7.4874187,1.065179,[-0.945 -1.46  -0.708 -1.02   0.279],10.212855,35,1.0206516,3500,100,-2.9087067e-07,-8.088112,-23.240696,100.0,0.17133823,95.59444,0.1255068,-105.33427678726211,2.6409633,0.33403298,152179,-23.161335,61.86,1.0264583,0.58185095,444.46088123321533,,2.1407518,4.7311063
6.1992273,1.1186208,[-0.956 -1.477 -0.717 -1.025  0.27 ],11.861699,36,1.0106925,3600,100,-6.294251e-07,-8.652277,-21.594028,100.0,0.20560469,95.22511,0.117330335,-107.77310504096855,2.4642975,0.3268594,157889,-21.518913,57.1,1.0582747,0.59682494,458.32567143440247,,1.8488458,4.916139
11.326139,2.348789,[-0.957 -1.481 -0.717 -1.016  0.275],11.167354,37,1.1510495,3700,100,4.5776366e-07,-13.625673,-22.928852,100.0,0.80382174,95.49104,0.14623843,-106.79536138738273,3.318769,0.3986771,163976,-22.435196,60.87,1.4895449,0.2276947,473.87096905708313,,7.541399,5.5165615
7.483114,1.0398616,[-0.988 -1.509 -0.712 -1.018  0.26 ],10.849321,38,1.0290262,3800,100,-6.1035155e-07,-12.313622,-22.631195,100.0,0.1191611,95.495575,0.12392275,-107.35796122894435,2.7505875,0.3316219,170103,-22.5323,61.27,1.0202621,0.76850533,489.2869019508362,,1.4887056,4.6927013
5.5476356,1.0985348,[-0.986 -1.494 -0.702 -1.008  0.256],10.574397,39,0.9854264,3900,100,-1.3589859e-07,-8.684629,-22.86726,100.0,0.18580072,95.53435,0.12903407,-109.5318661926903,2.3126454,0.33925185,176424,-22.79398,63.21,1.044029,0.5293982,505.18060541152954,,1.8146867,4.081605
5.5243764,1.0927544,[-0.994 -1.497 -0.705 -1.002  0.266],9.684333,40,1.0075413,4000,100,2.4318695e-07,-16.714022,-23.732763,100.0,0.21173924,95.744995,0.13450596,-107.3174443210494,2.492858,0.34513256,183018,-23.688747,65.94,1.0436318,0.6174011,520.8710608482361,,2.1504333,3.7011049
