ReturnMeanIW,TimestepsSoFar,Iteration,EpLenMean,Weights,EmpiricalD2,InitialBound,MaxD2w0t,InitialReturnMin,StdD2w0t,J_sample_variance,ReturnStepMax,ReturnStepMaxmin,MaxIW,EpRewMean,MeanD2w0t,Bound,MeanIW,InitialReturnMean,InitialReturnMax,StdIW,InitialReturnStd,MinIW,MinD2w0t,TimeElapsed,EpThisIter,EpisodesSoFar
3.8077893,145124,19,112.29,[-0.585 -0.646 -0.383 -0.302 -0.361],1.0,-6.2425885,1.0,-3.2248693,0.41729516,2.2057078,100.0,96.90338,1.0,-117.71469503489458,0.22458,-6.2425885,1.0,-6.1035155e-07,3.8872385,,1.4777182,1.0,,366.39697885513306,100,1900
4.891646,155432,20,103.08,[-0.585 -0.646 -0.383 -0.302 -0.361],1.2672814,-5.2840214,1.8313459,-4.707932,0.46566427,2.6582613,100.0,96.6701,3.6997402,-120.08527673256404,0.23556715,-5.209986,0.9815276,1.1920929e-07,3.7657053,0.43952802,1.6797371,0.2603081,,388.78578639030457,100,2000
3.048621,168165,21,127.33,[-0.587 -0.649 -0.377 -0.299 -0.361],1.0,-7.0017567,1.0,-3.0110831,0.43567973,2.7457669,100.0,97.07322,1.0,-122.67069073556748,0.25466,-7.0017567,1.0,-6.818771e-07,4.3088837,,1.6487297,1.0,,416.93092608451843,100,2100
3.104557,180170,22,120.05,[-0.587 -0.649 -0.377 -0.299 -0.361],1.0,-6.945821,1.0,-2.7206106,0.42715082,2.3897598,100.0,96.975464,1.0,-121.52298357971812,0.2401,-6.945821,1.0,7.6293946e-07,4.052651,,1.5381361,1.0,,442.863938331604,100,2200
3.6193075,191862,23,116.92,[-0.587 -0.649 -0.377 -0.299 -0.361],1.0,-6.4310703,1.0,-2.9037519,0.4232744,2.2015235,100.0,96.9559,1.0,-119.49779689338537,0.23384,-6.4310703,1.0,1.6450882e-07,3.9237452,,1.4763159,1.0,,467.33968329429626,100,2300
3.4212565,203673,24,118.11,[-0.587 -0.649 -0.377 -0.299 -0.361],1.0,-6.6291213,1.0,-2.7961202,0.42475304,2.7100399,100.0,96.96006,1.0,-120.46877068825059,0.23622,-6.6291213,1.0,-2.1457672e-07,3.6450403,,1.6379682,1.0,,493.38127422332764,100,2400
3.2831936,215732,25,120.59,[-0.587 -0.649 -0.377 -0.299 -0.361],1.0,-6.7671843,1.0,-3.1222878,0.42780322,2.5386186,100.0,97.02028,1.0,-119.36972815946002,0.24118,-6.7671843,1.0,2.3841857e-09,4.0472646,,1.5853177,1.0,,518.9286758899689,100,2500
3.3037584,227666,26,119.34,[-0.587 -0.649 -0.377 -0.299 -0.361],1.0,-6.746619,1.0,-2.87325,0.42626914,2.6426,100.0,96.969124,1.0,-121.18261988900245,0.23868,-6.746619,1.0,-8.058548e-07,3.4825056,,1.617459,1.0,,545.2175290584564,100,2600
2.9224446,239936,27,122.7,[-0.587 -0.649 -0.377 -0.299 -0.361],1.0,-7.1279335,1.0,-2.746192,0.4303245,1.9892658,100.0,97.06618,1.0,-118.64015542561263,0.2454,-7.1279335,1.0,-9.012222e-07,3.3980994,,1.4033437,1.0,,572.5169494152069,100,2700
2.9062157,252517,28,125.81,[-0.587 -0.649 -0.377 -0.299 -0.361],1.0,-7.144162,1.0,-2.7636495,0.43393996,2.473899,100.0,97.07265,1.0,-121.24037941632167,0.25162,-7.144162,1.0,8.249283e-07,3.4549675,,1.5649793,1.0,,599.9800846576691,100,2800
