MinD2w0t,ReturnStepMaxmin,EpThisIter,InitialReturnMin,MaxD2w0t,EpisodesSoFar,InitialReturnMax,InitialReturnStd,MinIW,EmpiricalD2,StdIW,MeanD2w0t,InitialBound,StdD2w0t,EpLenMean,Weights,TimestepsSoFar,MeanIW,J_sample_variance,ReturnStepMax,ReturnMeanIW,Iteration,EpRewMean,InitialReturnMean,TimeElapsed,MaxIW,Bound
,99.00009,100,-33.27847,1.2810717,100,-2.2659721,7.9532566,0.3270884,1.1347063,0.34370667,0.07474176,-46.56783,0.27241167,35.09,[-0.822 -0.493 -0.474 -0.749  0.   ],3509,0.9489862,70.13707,100.0,-12.587128,1,-108.1894935537418,-13.234506,7.89329719543457,2.5801604,-46.17673
,99.000175,100,-36.30407,1.6822852,200,-3.0551934,8.309214,0.2369382,1.2623222,0.39701608,0.07529495,-47.92854,0.2810869,33.74,[-0.824 -0.497 -0.484 -0.762 -0.022],6883,0.9559403,63.612568,100.0,-13.66082,2,-108.40874033422433,-14.595203,20.46208667755127,3.1502037,-47.39981
,99.000015,100,-32.417084,1.9370835,300,-3.0024428,8.086049,0.2650489,1.1770144,0.3180883,0.07526898,-47.31829,0.28355297,33.54,[-0.803 -0.497 -0.484 -0.777  0.01 ],10237,0.9507389,61.61208,100.0,-13.293217,3,-107.89759445162372,-13.984955,31.248538732528687,2.6642013,-46.851837
,99.0,100,-29.323889,4.7687464,400,-2.144369,7.3880363,0.05732348,2.4786553,0.8187491,0.10867376,-46.40937,0.4297728,35.08,[-0.764 -0.518 -0.486 -0.771  0.018],13745,0.9318325,56.11368,100.0,-11.194087,4,-107.44953753025406,-13.076045,43.77336668968201,6.3199315,-45.45993
,99.00008,100,-30.716541,3.4438028,500,-1.6009316,7.875544,0.083308026,1.7083668,0.6163747,0.08558426,-48.083504,0.3374632,32.66,[-0.797 -0.577 -0.496 -0.787  0.02 ],17011,0.89934486,94.30807,100.0,-13.347765,5,-107.25976009390371,-14.750166,54.79459834098816,3.5206978,-47.254906
,99.00001,100,-29.295717,1.0636337,600,-1.9383695,7.128846,0.7489928,1.018981,0.1312432,0.079391874,-44.871292,0.2724544,39.14,[-0.817 -0.616 -0.493 -0.801  0.033],20925,0.9846939,50.776142,100.0,-11.420067,6,-107.00698393731265,-11.537959,66.75315546989441,1.5949483,-44.792793
,99.00001,100,-29.339785,2.574811,700,-2.3035293,7.2638874,0.13055547,1.733508,0.72930944,0.10219303,-44.711304,0.34949917,40.79,[-0.819 -0.617 -0.487 -0.805  0.038],25004,0.98251736,40.604977,100.0,-9.821186,7,-105.86896281962319,-11.377969,77.17345857620239,5.34501,-43.819942
,99.00005,100,-30.078028,1.3221294,800,-1.4096227,7.1630306,0.24642213,1.1591506,0.33391052,0.08446871,-44.713917,0.292126,38.74,[-0.83  -0.636 -0.477 -0.793  0.037],28878,0.95825225,47.416374,100.0,-10.732807,8,-107.41754773302813,-11.380585,87.50377678871155,2.071408,-44.3253
,99.0,100,-27.321192,2.5814364,900,-1.6552057,6.877794,0.1534456,1.7340674,0.69337213,0.10419053,-44.405643,0.35752392,40.99,[-0.84  -0.654 -0.48  -0.804  0.003],32977,0.90211314,44.886074,100.0,-9.886953,9,-106.9408584870821,-11.07231,98.99947762489319,5.067889,-43.686897
,99.00003,100,-29.837317,1.1457896,1000,-1.9424603,6.41959,0.40769145,1.072424,0.26828882,0.0874465,-44.28832,0.28976157,41.78,[-0.864 -0.687 -0.477 -0.812 -0.007],37155,0.9964291,39.638596,100.0,-10.603544,10,-106.00689357884428,-10.954984,111.03902077674866,2.0918849,-44.071396
,99.000015,100,-32.798134,1.3943317,1100,-3.0577497,7.428403,0.27634206,1.1289673,0.35786253,0.08291378,-45.647533,0.28822848,38.46,[-0.864 -0.692 -0.473 -0.818 -0.032],41001,0.97130626,57.786785,100.0,-11.920393,11,-107.60871082125777,-12.314199,122.10377979278564,2.4304256,-45.36766
,99.000015,100,-25.362932,1.0392119,1200,-3.3531027,5.8733516,0.6761455,1.0234562,0.13711949,0.085912615,-44.038433,0.2828437,42.24,[-0.885 -0.705 -0.471 -0.83  -0.029],45225,0.97819626,36.101357,100.0,-10.591109,12,-107.54564221285891,-10.705097,134.11118149757385,1.5283391,-43.983906
,99.0,100,-27.856785,1.0702974,1300,-2.422774,5.6168165,0.5954687,1.0253104,0.16278197,0.08682946,-43.33017,0.28418988,42.7,[-0.885 -0.704 -0.463 -0.833 -0.03 ],49495,0.9946613,31.03785,100.0,-9.919442,13,-107.53236549347861,-9.99684,143.06863832473755,1.6723399,-43.279877
,99.0,100,-30.949675,3.234522,1400,-2.473429,6.8275647,0.1108541,1.904425,0.5859557,0.11029126,-43.729652,0.3784027,41.55,[-0.877 -0.698 -0.463 -0.825 -0.027],53650,0.7886884,34.531586,100.0,-8.827648,14,-106.66118311796077,-10.396315,153.62748289108276,4.546685,-42.7487
,99.0,100,-27.344372,2.2440457,1500,-2.1165733,5.8156204,0.1550823,1.5195769,0.7079804,0.10583191,-43.401764,0.34754926,43.74,[-0.901 -0.737 -0.466 -0.833  0.001],58024,1.0178709,25.290165,100.0,-9.147938,15,-105.64947966958334,-10.068428,164.8581099510193,5.30017,-42.812553
,99.0,100,-24.69274,1.3793986,1600,-2.5432189,5.3975177,0.21226087,1.1388485,0.37146786,0.0953019,-42.428192,0.3092177,43.68,[-0.929 -0.771 -0.467 -0.846  0.011],62392,0.95222974,25.067701,100.0,-8.606249,16,-105.2106550617328,-9.094857,175.94392251968384,2.9004092,-42.098938
,99.0,100,-24.774158,1.0216337,1700,-2.5524669,5.1380796,0.59987646,1.013684,0.1362126,0.091801755,-42.454132,0.28982592,45.59,[-0.959 -0.784 -0.473 -0.862  0.013],66951,0.99397874,27.302704,100.0,-9.05979,17,-106.09072722310657,-9.120794,188.17376112937927,1.3499929,-42.41478
,99.0,100,-26.982344,1.0822974,1800,-2.0942502,5.9395146,0.5944475,1.0363828,0.19936305,0.09324634,-43.151672,0.29450446,45.57,[-0.96  -0.787 -0.47  -0.863  0.007],71508,0.9879072,32.934307,100.0,-9.630151,18,-105.35315966014808,-9.818335,198.95974898338318,1.9901389,-43.017784
,99.0,100,-28.02934,1.0462859,1900,-2.8130302,6.1554613,0.72581065,1.0269659,0.14412472,0.08851871,-43.533966,0.28605616,43.7,[-0.964 -0.793 -0.467 -0.868  0.019],75878,0.99649525,36.160397,100.0,-10.065345,19,-106.70076942445725,-10.200628,210.098219871521,1.4654742,-43.438766
,99.00001,100,-25.9987,1.0862275,2000,-2.5291963,5.5555625,0.41300777,1.043537,0.19140477,0.092251144,-43.207615,0.29320967,45.05,[-0.963 -0.797 -0.465 -0.867  0.03 ],80383,0.9499389,31.507193,100.0,-9.654492,20,-106.29060937919249,-9.87428,220.98407554626465,1.6427723,-43.06872
,99.0,100,-24.031557,1.0320866,2100,-2.281828,5.3417897,0.69279546,1.0166396,0.11559959,0.094026536,-42.843765,0.29326743,46.61,[-0.956 -0.81  -0.47  -0.879  0.016],85044,0.97607064,29.724577,100.0,-9.4542055,21,-106.44882809675802,-9.510429,232.61134099960327,1.350923,-42.806915
,99.0,100,-29.581203,1.1645389,2200,-2.3796935,6.228358,0.34334818,1.0929791,0.31969845,0.09804691,-43.066757,0.30566993,46.71,[-0.955 -0.81  -0.469 -0.885  0.012],89715,0.9958531,35.115875,100.0,-9.465419,22,-104.98292677022879,-9.73342,243.26793122291565,2.5772705,-42.897827
