IterType,MinVanillaIw,Bound,BatchSize,ESSClassic,AvgVanillaIw,VanillaAvgRet,J,ESSRenyi,VarDiscRet,AvgNormIw,MaxNormIw,AvgDiscRet,MinNormIw,MaxVanillaIw,EpsThisIter,VarVanillaIw,Delta,eRenyi2,AvgEpLen,AvgRet,VarJ,VarNormIw,VarRet
2,1.0,1675.3169,500,100.0,1.0,1675.3170101847395,1675.3169,500.0,411477.482857208,0.009999998,0.01,1675.3170101847395,0.01,1.0,100,,1.0,1.0,168.56,1675.3170101847395,638.24976,3.5044917e-18,411477.482857208
2,1.0,1648.0685,500,200.00000010221265,1.0,1620.820015789385,1648.0685,500.0,325590.5183350448,0.0049999994,0.005,1620.820015789385,0.005,1.0,100,,1.0,1.0,163.11,1620.820015789385,604.64136,2.179301e-19,325590.5183350448
2,1.0,1662.7472,500,299.999969473632,1.0,1692.1043333064536,1662.7472,500.0,436250.9365766049,0.0033333336,0.0033333334,1692.1043333064536,0.0033333334,1.0,100,,1.0,1.0,170.24,1692.1043333064536,622.9937,5.4391416e-20,436250.9365766049
2,1.0,1659.0343,500,400.0,1.0,1647.8961111735825,1659.0343,500.0,368561.81283025705,0.0024999997,0.0025,1647.8961111735825,0.0025,1.0,100,,1.0,1.0,165.82,1647.8961111735825,618.3456,5.434597e-20,368561.81283025705
1,,4689.99,500,1.0,2.2564599e-13,1690.6833033562116,4689.99,0.00037628119041822525,494538.61096279166,0.002,1.0,1690.6833033562116,,1.12822994e-10,100,2.5458054e-23,1.0,1328793.5,170.1,1690.6833033562116,6.012072e-05,0.0019999999,494538.61096279166
2,1.0,2430.5522,500,100.0,1.0,2430.552007730554,2430.5522,500.0,1753814.7563524062,0.009999998,0.01,2430.552007730554,0.01,1.0,100,,1.0,1.0,244.04,2430.552007730554,1317.6785,3.5044917e-18,1753814.7563524062
2,1.0,2530.324,500,200.00000010221265,1.0,2630.0956726842355,2530.324,500.0,2270339.8737808997,0.0049999994,0.005,2630.0956726842355,0.005,1.0,100,,1.0,1.0,264.03,2630.0956726842355,1414.889,2.179301e-19,2270339.8737808997
2,1.0,2603.4968,500,299.999969473632,1.0,2749.842593160011,2603.4968,500.0,2044308.7093312675,0.0033333336,0.0033333334,2749.842593160011,0.0033333334,1.0,100,,1.0,1.0,275.93,2749.842593160011,1421.2451,5.4391416e-20,2044308.7093312675
2,1.0,2576.6787,500,400.0,1.0,2496.224102926201,2576.6787,500.0,1708208.7219514693,0.0024999997,0.0025,2496.224102926201,0.0025,1.0,100,,1.0,1.0,250.67,2496.224102926201,1392.8003,5.434597e-20,1708208.7219514693
1,,4999.987,500,1.0,0.03358726,2414.32808561073,4999.987,1.0701276020152643e-05,1884206.305103195,0.002,1.0,2414.32808561073,,16.793629,100,0.564052,1.0,46723400.0,242.45,2414.32808561073,0.00076635566,0.002,1884206.305103195
2,1.0,3611.2188,500,100.0,1.0,3611.2187628058314,3611.2188,500.0,642369.5225099388,0.009999998,0.01,3611.2187628058314,0.01,1.0,100,,1.0,1.0,362.03,3611.2187628058314,797.46216,3.5044917e-18,642369.5225099388
2,1.0,3570.358,500,200.00000010221265,1.0,3529.4971808758664,3570.358,500.0,564653.0761376333,0.0049999994,0.005,3529.4971808758664,0.005,1.0,100,,1.0,1.0,353.9,3529.4971808758664,774.04504,2.179301e-19,564653.0761376333
2,1.0,3615.6924,500,299.999969473632,1.0,3706.3601528599816,3615.6924,500.0,663514.9833115898,0.0033333336,0.0033333334,3706.3601528599816,0.0033333334,1.0,100,,1.0,1.0,371.54,3706.3601528599816,788.98724,5.4391416e-20,663514.9833115898
2,1.0,3597.2659,500,400.0,1.0,3541.987185818326,3597.2659,500.0,674900.5675383338,0.0024999997,0.0025,3541.987185818326,0.0025,1.0,100,,1.0,1.0,355.07,3541.987185818326,796.82623,5.434597e-20,674900.5675383338
1,0.028978998,3728.6606,500,159.99586216704228,1.1114243,3554.1981282052952,3728.6606,,649692.2482454022,0.002,0.032377522,3554.1981282052952,5.2147498e-05,17.992582,100,2.6302962,1.0,inf,356.35,3554.1981282052952,1368.2347,8.517359e-06,649692.2482454022
2,1.0,3527.4158,500,100.0,1.0,3527.4157999397517,3527.4158,500.0,775404.8294559983,0.009999998,0.01,3527.4157999397517,0.01,1.0,100,,1.0,1.0,353.66,3527.4157999397517,876.1568,3.5044917e-18,775404.8294559983
2,1.0,3562.9297,500,200.00000010221265,1.0,3598.443840721253,3562.9297,500.0,790566.4860387425,0.0049999994,0.005,3598.443840721253,0.005,1.0,100,,1.0,1.0,360.72,3598.443840721253,881.14526,2.179301e-19,790566.4860387425
2,1.0,3510.8198,500,299.999969473632,1.0,3406.599070198405,3510.8198,500.0,634567.7413055877,0.0033333336,0.0033333334,3406.599070198405,0.0033333334,1.0,100,,1.0,1.0,341.6,3406.599070198405,855.8327,5.4391416e-20,634567.7413055877
2,1.0,3567.1836,500,400.0,1.0,3736.276373113383,3567.1836,500.0,646475.3644429215,0.0024999997,0.0025,3736.276373113383,0.0025,1.0,100,,1.0,1.0,374.47,3736.276373113383,847.86237,5.434597e-20,646475.3644429215
1,0.059957925,3691.843,500,293.23256421063144,0.9608323,3616.337404228871,3691.843,6.914843153378689e-05,599530.6905379598,0.002,0.016259797,3616.337404228871,0.00012480415,7.8114686,100,0.65228087,1.0,7230822.0,362.56,3616.337404228871,1135.2438,2.8261775e-06,599530.6905379598
2,1.0,3517.0293,500,100.0,1.0,3517.029365163546,3517.0293,500.0,693589.0755006918,0.009999998,0.01,3517.029365163546,0.01,1.0,100,,1.0,1.0,352.61,3517.029365163546,828.6454,3.5044917e-18,693589.0755006918
2,1.0,3467.8613,500,200.00000010221265,1.0,3418.6933545286474,3467.8613,500.0,647507.0580268078,0.0049999994,0.005,3418.6933545286474,0.005,1.0,100,,1.0,1.0,342.8,3418.6933545286474,816.24756,2.179301e-19,647507.0580268078
2,1.0,3463.1738,500,299.999969473632,1.0,3453.7988993322324,3463.1738,500.0,704703.8969567285,0.0033333336,0.0033333334,3453.7988993322324,0.0033333334,1.0,100,,1.0,1.0,346.31,3453.7988993322324,822.6601,5.4391416e-20,704703.8969567285
2,1.0,3477.9102,500,400.0,1.0,3522.1173590374815,3477.9102,500.0,750237.2014243489,0.0024999997,0.0025,3522.1173590374815,0.0025,1.0,100,,1.0,1.0,353.13,3522.1173590374815,833.014,5.434597e-20,750237.2014243489
1,3.6069088e-17,4582.9424,500,4.2727563696460535,0.66299003,3575.4330250012586,4582.9424,499.7735453550941,526208.3608317306,0.0019999999,0.36928895,3575.4330250012586,1.0880732e-19,122.41745,100,51.099674,1.0,1.0004531,358.49,3575.4330250012586,4829.2876,0.0004650118,526208.3608317306
2,1.0,3594.8838,500,100.0,1.0,3594.8837830106586,3594.8838,500.0,563409.8141445067,0.009999998,0.01,3594.8837830106586,0.01,1.0,100,,1.0,1.0,360.45,3594.8837830106586,746.8438,3.5044917e-18,563409.8141445067
2,1.0,3642.1304,500,200.00000010221265,1.0,3689.3769649081446,3642.1304,500.0,810103.5147597205,0.0049999994,0.005,3689.3769649081446,0.005,1.0,100,,1.0,1.0,369.8,3689.3769649081446,825.9064,2.179301e-19,810103.5147597205
2,1.0,3655.1638,500,299.999969473632,1.0,3681.230300306083,3655.1638,500.0,577209.155983982,0.0033333336,0.0033333334,3681.230300306083,0.0033333334,1.0,100,,1.0,1.0,369.04,3681.230300306083,803.47144,5.4391416e-20,577209.155983982
2,1.0,3641.2798,500,400.0,1.0,3599.6268734000973,3641.2798,500.0,778164.1122611247,0.0024999997,0.0025,3599.6268734000973,0.0025,1.0,100,,1.0,1.0,360.9,3599.6268734000973,823.0119,5.434597e-20,778164.1122611247
1,0.08855712,3859.5874,500,128.7342239118678,0.9551593,3805.043703968711,3859.5874,,548406.822362939,0.0019999999,0.049043234,3805.043703968711,0.000185429,23.42205,100,2.636404,1.0,inf,381.35,3805.043703968711,1386.1295,1.1559002e-05,548406.822362939
2,1.0,3468.35,500,100.0,1.0,3468.350018586723,3468.35,500.0,1104829.9989509664,0.009999998,0.01,3468.350018586723,0.01,1.0,100,,1.0,1.0,347.77,3468.350018586723,1045.8402,3.5044917e-18,1104829.9989509664
2,1.0,3570.4648,500,200.00000010221265,1.0,3672.5795132906524,3570.4648,500.0,834755.0577114846,0.0049999994,0.005,3672.5795132906524,0.005,1.0,100,,1.0,1.0,368.16,3672.5795132906524,985.15076,2.179301e-19,834755.0577114846
2,1.0,3601.801,500,299.999969473632,1.0,3664.4735326641576,3601.801,500.0,797719.5912081528,0.0033333336,0.0033333334,3664.4735326641576,0.0033333334,1.0,100,,1.0,1.0,367.35,3664.4735326641576,955.1052,5.4391416e-20,797719.5912081528
2,1.0,3625.962,500,400.0,1.0,3698.444155049034,3625.962,500.0,737562.3144850236,0.0024999997,0.0025,3698.444155049034,0.0025,1.0,100,,1.0,1.0,370.76,3698.444155049034,931.916,5.434597e-20,737562.3144850236
1,0.020459231,3763.0173,500,126.4758340941202,0.94620836,3559.305661801785,3763.0173,,1066069.557218881,0.002,0.035755698,3559.305661801785,4.324466e-05,16.91617,100,2.6494408,1.0,inf,356.82,3559.305661801785,1830.3353,1.1836972e-05,1066069.557218881
2,1.0,3588.506,500,100.0,1.0,3588.505885888962,3588.506,500.0,831416.4469945389,0.009999998,0.01,3588.505885888962,0.01,1.0,100,,1.0,1.0,359.77,3588.505885888962,907.2498,3.5044917e-18,831416.4469945389
2,1.0,3583.021,500,200.00000010221265,1.0,3577.535833392752,3583.021,500.0,863716.2401983568,0.0049999994,0.005,3577.535833392752,0.005,1.0,100,,1.0,1.0,358.64,3577.535833392752,916.03534,2.179301e-19,863716.2401983568
2,1.0,3575.108,500,299.999969473632,1.0,3559.2814827627635,3575.108,500.0,826520.7942633522,0.0033333336,0.0033333334,3559.2814827627635,0.0033333334,1.0,100,,1.0,1.0,356.82,3559.2814827627635,912.2998,5.4391416e-20,826520.7942633522
2,1.0,3603.1443,500,400.0,1.0,3687.253549756085,3603.1443,500.0,632929.1548057019,0.0024999997,0.0025,3687.253549756085,0.0025,1.0,100,,1.0,1.0,369.6,3687.253549756085,885.00073,5.434597e-20,632929.1548057019
1,5.2446812e-05,3849.5806,500,71.2401087030693,1.1085666,3636.493259084536,3849.5806,,701143.9563560259,0.002,0.10293395,3636.493259084536,9.4620944e-08,57.054573,100,7.4111,1.0,inf,364.52,3636.493259084536,2300.3352,2.4122319e-05,701143.9563560259
2,1.0,3694.1912,500,100.0,1.0,3694.191162189535,3694.1912,500.0,698059.9037873927,0.009999998,0.01,3694.191162189535,0.01,1.0,100,,1.0,1.0,370.32,3694.191162189535,831.31177,3.5044917e-18,698059.9037873927
2,1.0,3694.3232,500,200.00000010221265,1.0,3694.455541671931,3694.3232,500.0,698889.6204680172,0.0049999994,0.005,3694.455541671931,0.005,1.0,100,,1.0,1.0,370.29,3694.455541671931,831.55884,2.179301e-19,698889.6204680172
2,1.0,3677.4426,500,299.999969473632,1.0,3643.681366159969,3677.4426,500.0,641136.9814976525,0.0033333336,0.0033333334,3643.681366159969,0.0033333334,1.0,100,,1.0,1.0,365.3,3643.681366159969,820.4502,5.4391416e-20,641136.9814976525
