Bound,BatchSize,ESSClassic,VarRet,AvgEpLen,AvgVanillaIw,MinNormIw,AvgDiscRet,VarDiscRet,MaxNormIw,ESSRenyi,J,AvgNormIw,MaxVanillaIw,VarVanillaIw,VarNormIw,eRenyi2,AvgRet,VarJ,MinVanillaIw,VanillaAvgRet
112.04607,100,1.8502316369298024,3264.825733248062,8.23,2.723354,1.8511422e-19,-6.963318810448982e-15,3264.825733248062,0.7222411,3.6164609508812937,252.62038,0.01,196.69183,397.40775,0.005358313,27.651342,-6.963318810448982e-15,495.99033,5.0413158e-17,72.25414295235169
295.03394,100,1.850454122308627,19238.64038679502,14.24,2.008063,3.461445e-12,-2.3305801732931285e-14,19238.64038679502,0.7264981,3.5028016373416957,694.1348,0.010000002,145.8854,216.03766,0.0053576543,28.548576,-2.3305801732931285e-14,1479.7462,6.9508e-10,132.3215215952724
92.89902,100,2.4889149937943986,101716.48053420278,47.89,1.728864,1.8142558e-15,4.092726157978177e-14,101716.48053420278,0.6291043,8.721709627295999,509.2685,0.010000002,108.76358,118.28518,0.0039573894,11.465642,4.092726157978177e-14,1632.2396,3.1366015e-13,468.7119882646858
553.4386,100,1.2919275317939651,128126.69866327407,70.53,1.1661245,,1.460875864722766e-13,128126.69866327407,0.8780634,2.8322833891069497,1225.9438,0.01,102.39311,104.94673,0.0077175493,35.3072,1.460875864722766e-13,1123.6202,,695.0892846232747
547.9652,100,1.9515925279618267,115387.48923188896,75.82,1.4426113,4.4877473e-24,-1.3983481039758771e-13,115387.48923188896,0.68542486,3.8953965137074955,1051.977,0.010000002,98.88017,105.61238,0.005074767,25.671328,-1.3983481039758771e-13,1006.93475,6.474075e-22,747.9509432372669
436.26028,100,1.2174552893819883,130364.15518679065,87.13,0.14282623,4.273173e-38,1.0459189070388675e-13,130364.15518679065,0.9050392,3.803701304453465,940.6759,0.01,12.926333,1.6718909,0.008195814,26.290182,1.0459189070388675e-13,930.4084,6.103212e-37,861.0122272810529
458.86633,100,1.8250747007505461,191358.3364395856,105.83,2.3864079,,9.663381206337362e-14,191358.3364395856,0.73440653,6.404059604678601,1091.3876,0.010000002,175.25935,309.43832,0.005433565,15.615095,9.663381206337362e-14,1790.1147,,1048.0228786170537
-84.70413,100,6.507821215291514,280468.0935458546,106.78,1.474539,1.6439e-06,-1.523403625469655e-13,280468.0935458546,0.3737338,24.550470387804932,352.24637,0.01,55.108505,31.551281,0.0014511235,4.0732417,-1.523403625469655e-13,1706.7952,0.00024239946,1057.476471580478
1133.2233,100,1.1722589328957895,324575.08305982157,107.58,0.8015898,,1.0686562745831906e-13,324575.08305982157,0.92322284,2.65954894275564,2565.0144,0.010000003,74.0046,54.717285,0.008515698,37.60036,1.0686562745831906e-13,2045.7168,,1065.4859011792885
501.4928,100,1.839335738725921,270110.9035823396,109.33,0.95510346,1.9411943e-30,-1.9326762412674725e-13,270110.9035823396,0.7256204,3.975475086970721,1027.8391,0.01,69.30425,49.174732,0.0053906525,25.154226,-1.9326762412674725e-13,1453.0095,1.8540414e-28,1082.9824941318388
