AvgNormIw,AvgDiscRet,AvgEpLen,AvgVanillaIw,J,ESSRenyi,VarRet,VarNormIw,AvgRet,IterType,MaxNormIw,MaxVanillaIw,BatchSize,MinNormIw,ESSClassic,VanillaAvgRet,VarDiscRet,MinVanillaIw,EpsThisIter,eRenyi2,VarVanillaIw,Delta,VarJ,Bound
0.01,-314.240370795,385.77,1.23634e-08,-53.4404,5.30182213023e-06,22558.7478316,0.00783873,-314.240370795,1,0.880271,1.08832e-06,100,,1.27220983646,-314.240370795,22558.7478316,,100,1.88614e+07,1.19819e-14,1.0,2.92612,-53.4404
nan,-122.009180954,385.77,inf,nan,2.47538226417e+29,22558.7478316,nan,-314.240370795,,nan,inf,200,nan,nan,-314.240370795,5268.96947331,918849.0,100,8.07956e-28,nan,1.0,nan,nan
0.005,-306.882129148,377.03,3.45083e-39,-76.9489,,23829.3848564,0.005,-306.882129148,1,1.0,6.90167e-37,200,,inf,-306.882129148,23829.3848564,,100,inf,,1.0,,-76.9489
0.01,-61.8642476256,89.43,1.0,-61.8643,200.0,1341.19208367,3.50449e-18,-61.8642476256,2,0.01,1.0,200,0.01,100.0,-61.8642476256,1341.19208367,1.0,100,1.0,,1.0,36.4387,-61.8643
0.005,-58.7251114175,86.54,1.04046,-59.1409,,45.7396350809,4.8561e-05,-58.7251114175,1,0.07562,15.7359,200,0.00117165,68.1958666776,-58.7251114175,45.7396350809,0.243812,100,inf,2.10281,1.0,14.0831,-59.1409
0.01,-59.4006988935,87.56,1.0,-59.4007,200.0,43.7786946253,3.50449e-18,-59.4006988935,2,0.01,1.0,200,0.01,100.0,-59.4006988935,43.7786946253,1.0,100,1.0,,1.0,6.58338,-59.4007
0.005,-58.8839186582,86.54,1.5962,-59.0887,191.178602372,45.7396350809,7.5195e-06,-58.7251114175,,0.0128478,4.10153,300,0.000199062,153.931854049,-58.7251114175,50.9228203549,0.0635488,100,1.56921,0.766347,1.0,7.95021,-59.0887
0.00333333,-58.5600837988,85.7,0.944107,-58.9452,,47.3058344249,1.55888e-05,-58.5600837988,1,0.0471364,13.3505,300,0.00132626,125.088048818,-58.5600837988,47.3058344249,0.375641,100,inf,1.25054,1.0,13.1187,-58.9452
0.01,-66.4049098976,95.35,1.0,-66.4049,300.0,2589.23016703,3.50449e-18,-66.4049098976,2,0.01,1.0,300,0.01,100.0,-66.4049098976,2589.23016703,1.0,100,1.0,,1.0,50.6294,-66.4049
0.005,-58.9424591576,86.61,1.0,-62.6737,300.0,37.7448876022,2.1793e-19,-58.9424591576,2,0.005,1.0,300,0.005,200.000000102,-58.9424591576,37.7448876022,1.0,100,1.0,,1.0,36.2529,-62.6737
