AvgVanillaIw,AvgDiscRet,VarJ,VarDiscRet,Bound,ESSClassic,AvgEpLen,ESSRenyi,MinNormIw,IterType,BatchSize,eRenyi2,AvgNormIw,J,VanillaAvgRet,MinVanillaIw,Delta,MaxVanillaIw,EpsThisIter,AvgRet,VarVanillaIw,MaxNormIw,VarRet,VarNormIw
1.29598e-37,-313.050702843,,22396.0299037,-50.3208,inf,385.49,1.29937223386e-16,,1,100,7.69602e+17,0.01,-50.3208,-313.050702843,,1.0,1.29598e-35,100,-313.050702843,,1.0,22396.0299037,0.01
inf,-71.7496677814,nan,1328.04865507,nan,nan,385.49,inf,nan,,200,,nan,nan,-313.050702843,7.7162e+34,1.0,inf,100,-313.050702843,nan,nan,22396.0299037,nan
1.13693e-18,-322.334684847,59.9708,20847.3520939,-56.8319,2.2080744059,395.73,,,1,200,inf,0.005,-56.8319,-322.334684847,,1.0,1.08641e-16,100,-322.334684847,1.16369e-34,0.477783,20847.3520939,0.00225067
1.0,-63.7323770852,36.526,1347.62636766,-63.7324,100.0,92.76,200.0,0.01,2,200,1.0,0.01,-63.7324,-63.7323770852,1.0,1.0,1.0,100,-63.7323770852,,0.01,1347.62636766,3.50449e-18
inf,-70.8275981304,nan,3800.95081257,nan,nan,395.73,nan,nan,,300,nan,nan,nan,-322.334684847,9.20464e+15,1.0,inf,100,-322.334684847,nan,nan,20847.3520939,nan
2.2974e-40,-318.41765579,71.9251,21213.4642899,-58.2661,inf,392.35,1.10183609968e-05,,1,300,2.72273e+07,0.00333333,-58.2661,-318.41765579,,1.0,4.34508e-38,100,-318.41765579,,0.630433,21213.4642899,0.00177489
1.0,-73.5939708737,70.5866,5032.79227967,-73.594,100.0,103.54,300.0,0.01,2,300,1.0,0.01,-73.594,-73.5939708737,1.0,1.0,1.0,100,-73.5939708737,,0.01,5032.79227967,3.50449e-18
1.0,-67.0918511821,61.4325,2569.99028303,-70.3429,200.000000102,96.25,300.0,0.005,2,300,1.0,0.005,-70.3429,-67.0918511821,1.0,1.0,1.0,100,-67.0918511821,,0.005,2569.99028303,2.1793e-19
inf,-62.8225972164,nan,1348.48593755,nan,nan,392.35,nan,nan,,400,nan,nan,nan,-318.41765579,2.30146e+37,1.0,inf,100,-318.41765579,nan,nan,21213.4642899,nan
1.05307e-33,-347.173289813,7.95379e-05,16013.0598415,-59.8104,inf,426.3,3.96136841828e-06,,1,400,1.00975e+08,0.0025,-59.8104,-347.173289813,,1.0,4.21226e-31,100,-347.173289813,,1.0,16013.0598415,0.0025
1.0,-62.7776411258,36.2639,1328.35103477,-62.7776,100.0,91.01,400.0,0.01,2,400,1.0,0.01,-62.7776,-62.7776411258,1.0,1.0,1.0,100,-62.7776411258,,0.01,1328.35103477,3.50449e-18
1.0,-77.1395406701,61.4457,6194.89140209,-69.9586,200.000000102,107.85,400.0,0.005,2,400,1.0,0.005,-69.9586,-77.1395406701,1.0,1.0,1.0,100,-77.1395406701,,0.005,6194.89140209,2.1793e-19
1.0,-61.9283014938,54.5138,1334.48801984,-67.2818,299.999969474,89.7,400.0,0.00333333,2,400,1.0,0.00333333,-67.2818,-61.9283014938,1.0,1.0,1.0,100,-61.9283014938,,0.00333333,1334.48801984,5.43914e-20
inf,-58.7397312416,nan,63.0327208918,nan,nan,426.3,nan,nan,,500,nan,nan,nan,-347.173289813,2.37402e+30,1.0,inf,100,-347.173289813,nan,nan,16013.0598415,nan
2.16059e-40,-317.155083995,,21851.7722438,-49.6961,inf,388.91,5.22712141978e-08,,1,500,9.56549e+09,0.002,-49.6961,-317.155083995,,1.0,1.08029e-37,100,-317.155083995,,1.0,21851.7722438,0.002
1.0,-63.3650770585,36.3691,1336.07567643,-63.3651,100.0,91.88,500.0,0.01,2,500,1.0,0.01,-63.3651,-63.3650770585,1.0,1.0,1.0,100,-63.3650770585,,0.01,1336.07567643,3.50449e-18
1.0,-62.5500173375,36.3907,1338.90870258,-62.9575,200.000000102,91.01,500.0,0.005,2,500,1.0,0.005,-62.9575,-62.5500173375,1.0,1.0,1.0,100,-62.5500173375,,0.005,1338.90870258,2.1793e-19
