VarRet,AvgRet,AvgVanillaIw,VarJ,EpsThisIter,J,MinVanillaIw,MaxNormIw,MinNormIw,VarDiscRet,Bound,AvgDiscRet,Delta,eRenyi2,IterType,AvgEpLen,BatchSize,MaxVanillaIw,ESSRenyi,VarVanillaIw,VanillaAvgRet,VarNormIw,ESSClassic,AvgNormIw
10740.5379436,161.420861883,1.787,825.158,100,393.849,4.29991e-05,0.467209,2.40621e-07,10740.5379436,175.087,161.420861883,0.3,6.4129,1,17.6,100,83.4905,15.5935750799,75.5832,161.420861883,0.00236687,4.09299782871,0.01
12174.592567,212.026153834,1.90432,259.165,100,338.651,0.00240013,0.391743,1.26036e-05,12174.592567,214.489,212.026153834,0.3,2.95971,1,23.01,100,74.6005,33.7871334485,58.0396,212.026153834,0.00160045,5.93666579,0.01
26399.7813178,286.629066101,1.96279,2669.25,100,882.898,1.96154e-05,0.559008,9.9936e-08,26399.7813178,333.539,286.629066101,0.3,7.17215,1,31.0,100,109.722,13.9428128148,122.923,286.629066101,0.00319068,3.06864518674,0.01
14811.9365564,337.641295264,1.83175,689.937,100,567.394,3.26003e-05,0.606386,1.77974e-07,14811.9365564,324.367,337.641295264,0.3,5.48321,1,36.46,100,111.075,18.2374967411,122.569,337.641295264,0.003653,2.69072669063,0.01
43682.6832168,371.743894612,2.28904,1408.68,100,828.256,0.0138641,0.635229,6.05675e-05,43682.6832168,354.192,371.743894612,0.3,3.87166,1,40.14,100,145.406,25.8287413767,212.662,371.743894612,0.00405867,2.42831316726,0.01
38310.8759368,439.896015323,3.45389,874.317,100,763.756,0.0223218,0.728701,6.46281e-05,38310.8759368,444.041,439.896015323,0.3,2.82554,1,47.44,100,251.685,35.3915268835,630.12,439.896015323,0.0052821,1.87642621053,0.01
57572.6028588,474.025808274,3.03054,1819.27,100,1276.3,8.67103e-05,0.695236,2.86122e-07,57572.6028588,759.84,474.025808274,0.3,4.86661,1,51.22,100,210.694,20.5481923066,445.317,474.025808274,0.00484875,2.04070594243,0.01
57572.6028588,474.025808274,210.631,1756.23,100,576.904,0.00474622,0.54753,2.25334e-07,65401.640595,-inf,553.515170581,0.3,nan,,51.22,200,11532.7,nan,1.76899e+06,474.025808274,0.00398734,2.47068281972,0.01
50091.5611657,455.442326292,3.73362,2355.19,100,1312.12,1.94323e-06,0.744299,2.60234e-09,50091.5611657,809.315,455.442326292,0.3,9.22514,1,49.15,200,555.786,21.6798976477,1547.14,455.442326292,0.00277467,1.79481940472,0.005
72226.5499323,531.334824282,1.0,267.403,100,531.335,1.0,0.01,0.01,72226.5499323,244.546,531.334824282,0.3,1.0,2,57.41,200,1.0,200.0,,531.334824282,3.50449e-18,100.0,0.01
50091.5611657,455.442326292,2730.64,229.471,100,394.809,0.00179926,0.942285,3.29457e-09,135297.686352,-inf,560.904677916,0.3,nan,,49.15,300,514608.0,nan,1.324e+09,455.442326292,0.00443912,1.12563716962,0.005
43049.7226886,439.069629873,3.17325,3097.26,100,1284.96,3.43795e-07,0.713332,3.61139e-10,43049.7226886,846.296,439.069629873,0.3,10.5326,1,47.4,300,679.073,28.4829068767,1541.78,439.069629873,0.00170127,1.95307601388,0.00333333
68491.2262438,577.563032502,1.0,260.396,100,577.563,1.0,0.01,0.01,68491.2262438,341.12,577.563032502,0.3,1.0,2,62.38,300,1.0,300.0,,577.563032502,3.50449e-18,100.0,0.01
60375.6117673,588.570698997,1.0,252.625,100,583.067,1.0,0.005,0.005,60375.6117673,415.876,588.570698997,0.3,1.0,2,63.66,300,1.0,300.0,,588.570698997,2.1793e-19,200.000000102,0.005
43049.7226886,439.069629873,10793.5,346.241,100,325.473,0.0014726,0.898291,4.54779e-10,95954.5377181,45.7706,586.345456947,0.3,3.62456,,47.4,400,2.90871e+06,110.3580958,2.83137e+10,439.069629873,0.00270041,1.23341549576,0.00333333
