renyi2,AvgDiscRet,ESSClassic,AvgEpLen,AvgNormIw,MinNormIw,VarRet,VarNormIw,AvgRet,VarJ,MinVanillaIw,VarDiscRet,AvgVanillaIw,SamplesThisIter,ESSRenyi,EpsThisIter,delta,MaxVanillaIw,VanillaAvgRet,IterType,VarVanillaIw,Bound,J,MaxNormIw,BatchSize
nan,-121.135469801,0.611298038945,500.0,5.40541e-05,9.82118e-21,74634.0601455,3.28748e-08,-121.135469801,1827.43,1.58194e-15,74634.0601455,8.70673,50000,nan,100,0.5,518.763,-121.135469801,1,852.936,136.378,58066.6,0.00322064,100
nan,-60.5020748152,2.93685895647,500.0,5.40541e-05,,15498.2965102,1.06959e-06,-60.5020748152,1696.08,,15498.2965102,53.7546,50000,nan,100,0.5,59911.6,-60.5020748152,1,1.05777e+06,66.5126,33961.4,0.0602453,100
nan,-84.1103101056,0.889520348233,500.0,5.4054e-05,2.18453e-20,20452.8422536,4.17229e-08,-84.1103101056,1581.31,5.14491e-15,20452.8422536,12.7306,50000,nan,100,0.5,969.697,-84.1103101056,1,2314.28,62.0135,29426.2,0.00411733,100
nan,-71.1832416485,0.926555381458,500.0,5.4054e-05,3.928e-34,29692.7771192,1.56841e-08,-71.1832416485,1591.1,2.46247e-29,29692.7771192,3.38866,50000,nan,100,0.5,95.1503,-71.1832416485,1,61.6395,18.3555,24116.4,0.00151778,100
nan,34.9053273837,3.82502854165,500.0,5.4054e-05,,19412.8534556,2.81361e-06,34.9053273837,473.073,,19412.8534556,677.454,50000,nan,100,0.5,1.30272e+06,34.9053273837,1,4.41943e+08,229.182,65009.9,0.103944,100
nan,-123.310904546,1.38094899738,500.0,5.40541e-05,8.89159e-16,39146.5281342,1.09634e-08,-123.310904546,1257.39,4.66822e-11,39146.5281342,2.83792,50000,nan,100,0.5,50.2575,-123.310904546,1,30.2197,-52.1192,14838.4,0.000957258,100
nan,-81.9043599514,1.0951272138,500.0,5.40541e-05,5.64406e-13,29079.0062956,8.72296e-09,-81.9043599514,993.941,2.22802e-08,29079.0062956,2.13381,50000,nan,100,0.5,27.1744,-81.9043599514,1,13.5931,-30.5044,13214.6,0.000688388,100
nan,-168.508022427,1.85027418719,500.0,5.40541e-05,9.53031e-12,51359.6593156,1.18513e-08,-168.508022427,1817.49,5.0019e-07,51359.6593156,2.83698,50000,nan,100,0.5,73.7411,-168.508022427,1,32.6453,-77.8512,14538.1,0.00140502,100
nan,-96.3034648076,0.995319659602,500.0,5.4054e-05,1.24246e-15,23479.4914831,1.37508e-08,-96.3034648076,808.57,7.91511e-11,23479.4914831,3.44352,50000,nan,100,0.5,59.3789,-96.3034648076,1,55.8054,-16.0883,14820.0,0.00093209,100
nan,-114.837370474,3.99797732697,500.0,5.40541e-05,,31374.4897152,1.28038e-05,-114.837370474,nan,,31374.4897152,4.22954e+19,50000,nan,100,0.5,1.90379e+23,-114.837370474,1,inf,nan,nan,0.243307,100
