VarJ,AvgEpLen,ESSClassic,MaxVanillaIw,AvgRet,Bound,VarNormIw,eRenyi2,AvgDiscRet,VarDiscRet,AvgVanillaIw,MinNormIw,Delta,MaxNormIw,IterType,MinVanillaIw,VarVanillaIw,VarRet,J,AvgNormIw,ESSRenyi,BatchSize,EpsThisIter,VanillaAvgRet
30.2072,46.09,97.396976115,1.38785,-119.975974872,-230.176,2.69963e-06,1.0235,-119.975974872,1735.98398748,0.993594,0.00455744,0.1,0.013968,1,0.452825,0.0266515,1735.98398748,-117.015,0.01,97.7038351101,100,100,-119.975974872
52.8025,46.19,99.3270447904,1.22506,-121.726023348,-291.361,6.84382e-07,1.00862,-121.726023348,3591.1731319,0.988497,0.00809021,0.1,0.0123932,1,0.799715,0.00668727,3591.1731319,-120.17,0.01,99.1453177325,100,100,-121.726023348
49.6798,41.33,97.1826402545,1.38608,-126.060793965,-271.579,2.92832e-06,1.03004,-126.060793965,4575.246579,1.03022,0.00643576,0.1,0.0134542,1,0.663028,0.0310801,4575.246579,-121.277,0.01,97.0836958663,100,100,-126.060793965
11.9979,25.96,98.2746943636,1.22804,-112.066896729,-177.587,1.77334e-06,1.01719,-112.066896729,299.298126387,1.0021,0.00420558,0.1,0.0122547,1,0.42144,0.017808,299.298126387,-110.717,0.01,98.3104208994,100,100,-112.066896729
11.0948,22.3,99.2741053009,1.16897,-111.842632051,-164.805,7.38604e-07,1.00679,-111.842632051,147.391514291,0.9961,0.00649134,0.1,0.0117355,1,0.646602,0.00732854,147.391514291,-111.474,0.01,99.3251988402,100,100,-111.842632051
35.3588,34.4,98.464810608,1.33311,-117.292030206,-262.347,1.57492e-06,1.01465,-117.292030206,2044.28384887,1.00406,0.0060668,0.1,0.0132772,1,0.609142,0.0158773,2044.28384887,-115.029,0.01,98.5560493966,100,100,-117.292030206
9.76608,21.14,99.0973209608,1.12379,-110.862012588,-178.824,9.20122e-07,1.00933,-110.862012588,183.189454489,0.993821,0.00654024,0.1,0.0113077,1,0.649983,0.00908787,183.189454489,-110.18,0.01,99.0757848837,100,100,-110.862012588
32.4342,23.65,99.3722228303,1.18333,-113.445083648,-262.05,6.3812e-07,1.00564,-113.445083648,1561.55546191,1.0066,0.00763835,0.1,0.0117557,1,0.76888,0.00646577,1561.55546191,-112.558,0.01,99.4387711738,100,100,-113.445083648
28.3821,32.29,99.5776854926,1.12989,-109.730853654,-228.48,4.28394e-07,1.00382,-109.730853654,1178.73789408,0.999135,0.00789122,0.1,0.0113087,1,0.788439,0.00427653,1178.73789408,-109.241,0.01,99.6196486821,100,100,-109.730853654
34.7094,22.9,99.6993642792,1.14878,-112.56639796,-259.637,3.04598e-07,1.00315,-112.56639796,1493.81275119,0.991239,0.00890431,0.1,0.0115893,1,0.882631,0.00299284,1493.81275119,-112.089,0.01,99.6856824992,100,100,-112.56639796
15.1764,21.3,98.8703689785,1.22443,-111.891647712,-184.679,1.15409e-06,1.00874,-111.891647712,292.927559996,0.984234,0.00664436,0.1,0.0124404,1,0.653961,0.0111799,292.927559996,-111.241,0.01,99.1337533883,100,100,-111.891647712
19.376,22.53,99.682248591,1.1551,-110.075025299,-207.975,3.22007e-07,1.00393,-110.075025299,501.898281898,1.01139,0.00822254,0.1,0.0114208,1,0.831622,0.00329387,501.898281898,-109.676,0.01,99.6088959924,100,100,-110.075025299
12.2587,24.01,99.6884844391,1.10981,-109.091729238,-183.145,3.15681e-07,1.00404,-109.091729238,213.013007035,0.995868,0.00828683,0.1,0.0111442,1,0.825259,0.00313078,213.013007035,-108.782,0.01,99.5971996076,100,100,-109.091729238
3.18229,16.43,99.786593041,1.35726,-107.652713442,-142.609,2.16031e-07,1.00123,-107.652713442,10.4016138539,1.00716,0.00925008,0.1,0.0134761,1,0.931627,0.00219134,10.4016138539,-107.61,0.01,99.8773887933,100,100,-107.652713442
8.4866,19.27,98.3343447189,1.13267,-110.464801306,-187.807,1.71098e-06,1.01213,-110.464801306,269.773609392,0.986478,0.00442453,0.1,0.011482,1,0.43647,0.0166502,269.773609392,-109.267,0.01,98.802012315,100,100,-110.464801306
5.27342,17.93,99.44629171,1.29485,-108.151534062,-151.468,5.62433e-07,1.00493,-108.151534062,35.7286013638,1.01183,0.00750112,0.1,0.0127971,1,0.758985,0.00575818,35.7286013638,-107.931,0.01,99.5098888199,100,100,-108.151534062
3.02009,15.97,99.9692135684,1.03921,-107.582796787,-143.732,3.11385e-08,1.00033,-107.582796787,9.34232141374,1.00008,0.00942472,0.1,0.0103912,1,0.942548,0.000311436,9.34232141374,-107.573,0.01,99.9666087106,100,100,-107.582796787
4.0573,17.23,99.8014169073,1.15628,-108.172457546,-145.05,2.00972e-07,1.00189,-108.172457546,17.3780266917,1.00033,0.00857977,0.1,0.0115591,1,0.858257,0.00201103,17.3780266917,-108.102,0.01,99.8108870698,100,100,-108.172457546
4.15584,17.0,99.6647501296,1.15037,-107.925409896,-148.25,3.398e-07,1.00331,-107.925409896,20.8935548579,1.00826,0.00747071,0.1,0.0114095,1,0.753241,0.00345436,20.8935548579,-107.796,0.01,99.6705810001,100,100,-107.925409896
22.5187,23.3,99.0458011053,1.14906,-111.2103239,-250.239,9.73143e-07,1.00872,-111.2103239,1294.74366585,0.99948,0.00559745,0.1,0.0114966,1,0.559454,0.00972132,1294.74366585,-109.819,0.01,99.1352178217,100,100,-111.2103239
8.10319,18.68,99.4109257883,1.10907,-109.438307829,-163.556,5.98558e-07,1.0048,-109.438307829,88.0460713058,0.994192,0.00733136,0.1,0.0111555,1,0.728878,0.00591625,88.0460713058,-109.173,0.01,99.5223439823,100,100,-109.438307829
5.5771,17.15,99.8293870915,1.06615,-108.504692835,-158.686,1.72588e-07,1.00255,-108.504692835,44.6309924396,1.00446,0.00789865,0.1,0.0106142,1,0.793384,0.0017413,44.6309924396,-108.371,0.01,99.7456480078,100,100,-108.504692835
4.31162,17.36,99.7933818026,1.18797,-107.584310179,-148.94,2.09136e-07,1.002,-107.584310179,21.0967600094,0.99805,0.00840218,0.1,0.0119029,1,0.838579,0.00208321,21.0967600094,-107.5,0.01,99.8006629815,100,100,-107.584310179
3.58203,17.51,31.5606278744,9.01304,-108.984021927,-152.632,0.000219041,1.0,-108.984021927,38.1666036114,0.76004,0.00228869,0.1,0.118586,1,0.173949,1.26531,38.1666036114,-108.284,0.01,99.9999642372,100,100,-108.984021927
29.6523,22.15,99.4453813279,1.11566,-111.742645758,-253.174,5.63307e-07,1.00591,-111.742645758,1372.91795216,1.00831,0.00680678,0.1,0.0110646,1,0.686336,0.0057271,1372.91795216,-110.844,0.01,99.4127511907,100,100,-111.742645758
8.92342,17.88,99.7261392415,1.09832,-108.723387509,-168.905,2.77409e-07,1.00219,-108.723387509,97.1845145751,0.995402,0.00852811,0.1,0.0110339,1,0.84889,0.00274864,97.1845145751,-108.59,0.01,99.7814079602,100,100,-108.723387509
4.45086,22.99,99.2152609033,1.0786,-107.9975535,-150.633,7.98958e-07,1.00441,-107.9975535,31.1185284058,0.991203,0.00434721,0.1,0.0108817,1,0.430897,0.00784964,31.1185284058,-107.756,0.01,99.5606853048,100,100,-107.9975535
3.05006,16.49,99.7740782396,1.04694,-107.495197752,-143.948,2.28701e-07,1.00141,-107.495197752,10.3173092206,0.998389,0.00826204,0.1,0.0104863,1,0.824873,0.00227965,10.3173092206,-107.438,0.01,99.8590789108,100,100,-107.495197752
3.43627,17.17,99.8287081253,1.05198,-108.473177293,-144.268,1.73321e-07,1.00143,-108.473177293,12.3992066888,0.994219,0.00854178,0.1,0.010581,1,0.84924,0.00171323,12.3992066888,-108.421,0.01,99.8576286746,100,100,-108.473177293
2.94344,16.99,99.8412796722,1.12045,-107.741029947,-143.061,1.60583e-07,1.00099,-107.741029947,9.14480596819,0.998531,0.00810013,0.1,0.0112209,1,0.808823,0.00160112,9.14480596819,-107.705,0.01,99.9010232205,100,100,-107.741029947
2.68948,15.61,99.9082740427,1.0645,-107.477424162,-144.275,9.27468e-08,1.0009,-107.477424162,7.73615696249,1.00254,0.00896549,0.1,0.010618,1,0.898823,0.000932179,7.73615696249,-107.444,0.01,99.9104587044,100,100,-107.477424162
3.15118,17.38,99.8787931899,1.07104,-108.078628321,-142.344,1.2259e-07,1.00086,-108.078628321,9.94822393886,0.996933,0.00912303,0.1,0.0107434,1,0.909504,0.00121839,9.94822393886,-108.05,0.01,99.9138026012,100,100,-108.078628321
2.61639,16.42,99.8423027556,1.04895,-107.623194877,-141.862,1.59538e-07,1.00099,-107.623194877,7.14802721393,0.990231,0.00819816,0.1,0.010593,1,0.811807,0.00156436,7.14802721393,-107.588,0.01,99.9007376851,100,100,-107.623194877
3.3213,16.63,99.8694948353,1.1131,-106.723024415,-141.081,1.32023e-07,1.0013,-106.723024415,10.4528829566,0.997557,0.00840403,0.1,0.0111583,1,0.838349,0.00131378,10.4528829566,-106.678,0.01,99.8705634158,100,100,-106.723024415
2.86272,16.09,99.947433134,1.06195,-107.469469737,-141.97,5.31356e-08,1.00047,-107.469469737,8.39310853182,1.00069,0.00903394,0.1,0.0106123,1,0.904015,0.000532087,8.39310853182,-107.453,0.01,99.9532560559,100,100,-107.469469737
3.46297,16.67,99.9301368491,1.09965,-107.600643572,-146.211,7.06442e-08,1.00074,-107.600643572,12.7521888817,1.00148,0.00926169,0.1,0.0109802,1,0.927543,0.00070854,12.7521888817,-107.572,0.01,99.9263709904,100,100,-107.600643572
2.91677,16.78,99.8776300989,1.07305,-107.074286329,-141.288,1.23775e-07,1.0011,-107.074286329,8.67080724968,1.00106,0.00881765,0.1,0.0107191,1,0.882699,0.00124038,8.67080724968,-107.037,0.01,99.8900788643,100,100,-107.074286329
