IterType,VarJ,AvgRet,AvgVanillaIw,VarDiscRet,EpsThisIter,J,delta,VarNormIw,VarVanillaIw,AvgEpLen,VanillaAvgRet,VarRet,renyi2,AvgNormIw,MaxVanillaIw,AvgDiscRet,SamplesThisIter,ESSClassic,MaxNormIw,MinNormIw,ESSRenyi,BatchSize,Bound,MinVanillaIw
1,3199.01,-383.993851538,253.514,6889.6567524,106,-36749.2,0.3,2.96335e-07,6.93337e+06,471.698113208,-383.993851538,6889.6567524,nan,5.24109e-05,59138.7,-383.993851538,50000,0.599144928911,0.0122262,,nan,100,-323.648,
1,4264.92,-394.557294567,1.30659,3379.19443549,103,-58134.8,0.3,7.38837e-08,43.3558,485.436893204,-394.557294567,3379.19443549,nan,5.39374e-05,429.146,-394.557294567,50000,2.27715369482,0.0177156,,nan,100,-420.113,
1,3003.45,-380.066635419,114.983,6674.91979266,106,-37307.0,0.3,6.14558e-07,2.95795e+06,471.698113208,-380.066635419,6674.91979266,nan,5.24109e-05,50675.9,-380.066635419,50000,1.61295020929,0.0230987,,nan,100,-329.101,
1,2891.68,-383.892800094,41.801,7040.7845893,106,-41248.7,0.3,1.69427e-06,1.07773e+06,471.698113208,-383.892800094,7040.7845893,nan,5.24109e-05,48871.6,-383.892800094,50000,2.80330318292,0.0612761,,nan,100,-346.064,
1,209.493,-406.816307084,1.00073,159.196696144,100,-73025.2,0.3,5.57989e-11,0.0181051,500.0,-406.816307084,159.196696144,7.33312,5.55556e-05,1.7965,-406.816307084,50000,0.616000693598,9.97328e-05,3.76433e-05,0.0653533660972,100,-469.429,0.678072
1,3326.63,-390.033394847,1.38151,4901.4567149,104,-61094.9,0.3,9.66303e-09,6.46302,480.769230769,-390.033394847,4901.4567149,nan,5.34188e-05,27.8553,-390.033394847,50000,0.570013117318,0.00107708,,nan,100,-418.909,
1,3538.3,-369.081652778,12.4357,10220.4796006,109,-42506.0,0.3,1.35795e-07,8084.0,458.71559633,-369.081652778,10220.4796006,nan,5.09684e-05,2459.26,-369.081652778,50000,2.54759725139,0.0100794,,nan,100,-302.929,
1,2474.4,-394.254614198,1.13356,2999.07521261,103,-63696.2,0.3,4.56353e-09,2.01561,485.436893204,-394.254614198,2999.07521261,nan,5.39374e-05,16.4091,-394.254614198,50000,0.553572309805,0.000780786,2.35328e-21,nan,100,-428.356,4.94568e-17
1,2359.72,-387.918135706,1.15074,4190.16955398,104,-63411.9,0.3,5.12266e-09,2.37716,480.769230769,-387.918135706,4190.16955398,nan,5.34188e-05,27.0008,-387.918135706,50000,0.854923478545,0.00125342,2.33369e-14,nan,100,-417.3,5.02718e-10
1,2945.89,-368.803069114,16.0145,10726.8323553,110,-37907.5,0.3,1.04629e-07,10519.9,454.545454545,-368.803069114,10726.8323553,nan,5.05051e-05,2139.48,-368.803069114,50000,1.61811927648,0.00674731,,nan,100,-281.016,
1,2253.2,-396.569815476,1.0573,2942.00613,103,-66857.9,0.3,1.98569e-09,0.763012,485.436893204,-396.569815476,2942.00613,nan,5.39374e-05,9.44808,-396.569815476,50000,0.680290093851,0.000481985,3.99471e-07,nan,100,-439.094,0.00783059
1,2881.92,-382.423619002,8.08063,6649.74255195,106,-44703.7,0.3,1.3514e-07,3212.41,471.698113208,-382.423619002,6649.74255195,nan,5.24109e-05,1624.95,-382.423619002,50000,2.06981239426,0.0105394,,nan,100,-344.361,
1,2785.37,-369.486000741,32.1508,9513.68262967,109,-38222.0,0.3,1.57365e-07,62616.5,458.71559633,-369.486000741,9513.68262967,nan,5.09684e-05,7217.82,-369.486000741,50000,1.50168863737,0.0114423,,nan,100,-284.437,
1,3169.91,-362.877979958,12.9655,13180.7050871,112,-34519.7,0.3,7.09525e-08,4847.58,446.428571429,-362.877979958,13180.7050871,nan,4.96032e-05,1083.68,-362.877979958,50000,1.48225556969,0.00414591,,nan,100,-249.226,
1,nan,-383.469398345,191.008,6750.10081794,106,nan,0.3,4.51481e-07,5.99651e+06,471.698113208,-383.469398345,6750.10081794,nan,5.24109e-05,70485.5,-383.469398345,50000,1.44273393403,0.0193406,,nan,100,nan,
1,3011.38,-383.786123488,10.5851,6133.53663819,105,-40383.5,0.3,4.01671e-07,16076.3,476.19047619,-383.786123488,6133.53663819,nan,5.29101e-05,3406.96,-383.786123488,50000,0.358297587207,0.0170298,,nan,100,-337.453,
