EpsThisIter,AvgNormIw,J,BatchSize,VarVanillaIw,Bound,MaxVanillaIw,VarJ,IterType,VarDiscRet,MinVanillaIw,eRenyi2,MaxNormIw,MinNormIw,AvgEpLen,ESSClassic,VanillaAvgRet,AvgRet,VarRet,AvgVanillaIw,AvgDiscRet,VarNormIw,ESSRenyi,Delta
100,0.00333333,8.74707,500,,0.168481,1.0,17.017,2,299.192667322,1.0,1.0,0.00333333,0.00333333,500.0,299.999969474,8.84745677635,8.84745677635,299.192667322,1.0,8.84745677635,5.43914e-20,500.0,0.2
100,0.0025,8.61897,500,,1.18969,1.0,16.2744,2,192.408061789,1.0,1.0,0.0025,0.0025,500.0,400.0,8.23468285555,8.23468285555,192.408061789,1.0,8.23468285555,5.4346e-20,500.0,0.2
100,0.002,61.9412,500,27646.5,44.8901,3718.69,120.782,1,311.840361045,0.00132979,6.5845,0.864915,3.09292e-07,500.0,1.33637956775,8.98769434876,8.98769434876,311.840361045,8.59896,8.98769434876,0.00149557,75.9358734896,0.2
100,0.01,13.1754,500,,0.609075,1.0,20.5831,2,427.944546991,1.0,1.0,0.01,0.01,500.0,100.0,13.1754359827,13.1754359827,427.944546991,1.0,13.1754359827,3.50449e-18,500.0,0.2
100,0.005,13.8542,500,,2.33784,1.0,21.0121,2,463.065028275,1.0,1.0,0.005,0.005,500.0,200.000000102,14.5328789225,14.5328789225,463.065028275,1.0,14.5328789225,2.1793e-19,500.0,0.2
100,0.00333333,13.5439,500,,4.14087,1.0,20.8056,2,419.211334788,1.0,1.0,0.00333333,0.00333333,500.0,299.999969474,12.9233980154,12.9233980154,419.211334788,1.0,12.9233980154,5.43914e-20,500.0,0.2
100,0.0025,13.6896,500,,5.54638,1.0,20.2744,2,348.824253508,1.0,1.0,0.0025,0.0025,500.0,400.0,14.1268637949,14.1268637949,348.824253508,1.0,14.1268637949,5.4346e-20,500.0,0.2
100,0.002,50.2045,500,6180.58,30.6076,1758.3,109.057,1,541.583999924,0.00212322,5.57292,0.770428,9.30324e-07,500.0,1.68317123846,16.1821016449,16.1821016449,541.583999924,4.56448,16.1821016449,0.00118661,89.7196210504,0.2
100,0.01,25.0,500,,8.48237,1.0,24.1542,2,589.320641983,1.0,1.0,0.01,0.01,500.0,100.0,24.9999588623,24.9999588623,589.320641983,1.0,24.9999588623,3.50449e-18,500.0,0.2
100,0.005,23.9604,500,,12.2807,1.0,23.1801,2,493.98519887,1.0,1.0,0.005,0.005,500.0,200.000000102,22.9208546983,22.9208546983,493.98519887,1.0,22.9208546983,2.1793e-19,500.0,0.2
100,0.00333333,25.259,500,,15.7226,1.0,23.404,2,564.127691684,1.0,1.0,0.00333333,0.00333333,500.0,299.999969474,27.856222781,27.856222781,564.127691684,1.0,27.856222781,5.43914e-20,500.0,0.2
100,0.0025,26.5319,500,,18.2731,1.0,22.8282,2,426.084806608,1.0,1.0,0.0025,0.0025,500.0,400.0,30.3505386691,30.3505386691,426.084806608,1.0,30.3505386691,5.4346e-20,500.0,0.2
100,0.002,76.923,500,13884.4,57.3372,2635.36,125.342,1,452.152746269,0.000161768,6.85721,0.833079,5.11375e-08,500.0,1.44021193455,30.5225280208,30.5225280208,452.152746269,6.3268,30.5225280208,0.00138746,72.9160017084,0.2
100,0.01,40.5512,500,,23.462,1.0,22.9984,2,534.268131863,1.0,1.0,0.01,0.01,500.0,100.0,40.5512311898,40.5512311898,534.268131863,1.0,40.5512311898,3.50449e-18,500.0,0.2
100,0.005,37.2393,500,,25.1554,1.0,22.6655,2,481.401464228,1.0,1.0,0.005,0.005,500.0,200.000000102,33.9273723705,33.9273723705,481.401464228,1.0,33.9273723705,2.1793e-19,500.0,0.2
100,0.00333333,38.1586,500,,28.2922,1.0,22.8976,2,545.843753043,1.0,1.0,0.00333333,0.00333333,500.0,299.999969474,39.9972906172,39.9972906172,545.843753043,1.0,39.9972906172,5.43914e-20,500.0,0.2
100,0.0025,37.9117,500,,29.3671,1.0,22.6504,2,483.348762213,1.0,1.0,0.0025,0.0025,500.0,400.0,37.1708317962,37.1708317962,483.348762213,1.0,37.1708317962,5.4346e-20,500.0,0.2
100,0.002,77.0473,500,10061.9,59.4918,2243.59,101.246,1,518.932141825,0.00147743,5.27657,0.839905,5.53086e-07,500.0,1.41714468256,35.3999046105,35.3999046105,518.932141825,5.34249,35.3999046105,0.00141011,94.7584868442,0.2
100,0.01,50.4918,500,,31.9139,1.0,21.3128,2,458.822959495,1.0,1.0,0.01,0.01,500.0,100.0,50.491777049,50.491777049,458.822959495,1.0,50.491777049,3.50449e-18,500.0,0.2
100,0.005,50.3703,500,,37.2338,1.0,21.1531,2,445.091521463,1.0,1.0,0.005,0.005,500.0,200.000000102,50.2488743157,50.2488743157,445.091521463,1.0,50.2488743157,2.1793e-19,500.0,0.2
