MinVanillaIw,AvgNormIw,MinNormIw,VarVanillaIw,AvgVanillaIw,AvgRet,EpsThisIter,VarDiscRet,AvgDiscRet,VarNormIw,ESSClassic,Delta,Bound,VarRet,AvgEpLen,IterType,MaxNormIw,ESSRenyi,eRenyi2,VanillaAvgRet,VarJ,BatchSize,MaxVanillaIw,J
5.3547e-08,0.01,5.7483e-10,1.67975,0.931528,-1486.51658804,100,156831.227873,-1486.51658804,0.000193577,34.2886988777,0.8,-1317.31,156831.227873,500.0,1,0.057569,36.5011144043,2.73964,-1486.51658804,104.834,100,5.36271,-1153.9
0.0229783,0.01,0.000213634,2.0039,1.07559,-1139.56531448,100,21088.4279834,-1139.56531448,0.000173213,36.8350535698,0.8,-1220.94,21088.4279834,500.0,1,0.0783255,46.3570825979,2.15717,-1139.56531448,554.944,100,8.42463,-1076.68
5.04676e-08,0.01,5.19257e-10,5.72842,0.971919,-1158.18462799,100,35589.1073543,-1158.18462799,0.000606421,14.2784299871,0.8,-1190.9,35589.1073543,500.0,1,0.226455,24.411287697,4.09647,-1158.18462799,985.912,100,22.0096,-992.562
1.23548e-21,0.01,1.04761e-23,26.6315,1.17934,-1115.58391264,100,21992.2217632,-1115.58391264,0.00191479,5.01091747952,0.8,-1075.82,21992.2217632,500.0,1,0.370003,10.6788952967,9.36426,-1115.58391264,726.247,100,43.6358,-775.482
2.39839e-08,0.01,2.05601e-10,9.11803,1.16653,-1026.42299855,100,111963.181485,-1026.42299855,0.000670059,13.1000105195,0.8,-912.682,111963.181485,500.0,1,0.1481,18.1962529715,5.49564,-1026.42299855,288.194,100,17.2763,-682.824
0.000226481,0.01,2.0081e-06,2.26824,1.12784,-876.571706049,100,157691.02897,-876.571706049,0.000178318,36.1618432198,0.8,-822.428,157691.02897,500.0,1,0.071663,41.7906004268,2.39288,-876.571706049,126.152,100,8.08243,-670.654
0.000945967,0.01,8.4472e-06,0.709055,1.11986,-689.439102052,100,45346.2039501,-689.439102052,5.65397e-05,64.1131226831,0.8,-754.69,45346.2039501,500.0,1,0.0379522,64.676135827,1.54617,-689.439102052,96.951,100,4.25011,-632.739
0.00288244,0.01,3.12699e-05,0.478672,0.921794,-655.135108647,100,22426.0553911,-655.135108647,5.6334e-05,64.1969325173,0.8,-734.206,22426.0553911,500.0,1,0.0285504,71.965474175,1.38956,-655.135108647,68.5516,100,2.63175,-618.628
0.0148483,0.01,0.000145574,0.295854,1.01999,-646.399735079,100,39036.4301863,-646.399735079,2.84373e-05,78.0317503289,0.8,-725.3,39036.4301863,500.0,1,0.0209552,79.5050195042,1.25778,-646.399735079,71.1737,100,2.13741,-615.306
0.00878882,0.01,8.0078e-05,0.674908,1.09753,-614.801377366,100,7951.6614248,-614.801377366,5.60284e-05,64.3218496666,0.8,-658.291,7951.6614248,500.0,1,0.0347913,68.9461520923,1.45041,-614.801377366,85.6341,100,3.81846,-587.934
0.0047407,0.01,2.80988e-05,59.2457,1.68715,-597.834095395,100,3180.33968039,-597.834095395,0.00208137,4.62844851184,0.8,-598.545,3180.33968039,500.0,1,0.457493,27.1672875157,3.6809,-597.834095395,342.908,100,77.1861,-524.098
0.0129557,0.01,1.73255e-05,548.444,7.47784,-597.834095395,100,4024.86820696,-601.301788759,0.000980798,9.33715257167,0.8,-inf,3180.33968039,500.0,,0.282086,1.00665723175e+17,1.98677e-15,-597.834095395,58.0364,200,210.939,-583.378
0.0712086,0.005,0.000352826,0.272338,1.00912,-612.463066315,100,20299.8348292,-612.463066315,6.68597e-06,157.965242831,0.8,-668.714,20299.8348292,500.0,1,0.0251677,164.543632924,1.21548,-612.463066315,84.2323,200,5.07944,-592.311
1.0,0.01,0.01,,1.0,-609.14775123,100,3497.16479925,-609.14775123,3.50449e-18,100.0,0.8,-649.223,3497.16479925,500.0,2,0.01,200.0,1.0,-609.14775123,58.8404,200,1.0,-609.148
0.0902131,0.005,0.000445402,0.168814,1.01272,-623.526450141,100,21690.4119334,-623.526450141,4.11504e-06,171.853973416,0.8,-679.486,21690.4119334,500.0,1,0.0110964,169.760977759,1.17813,-623.526450141,65.3529,200,2.24751,-604.215
1.0,0.01,0.01,,1.0,-593.532221243,100,2597.94460019,-593.532221243,3.50449e-18,100.0,0.8,-628.916,2597.94460019,500.0,2,0.01,200.0,1.0,-593.532221243,50.7145,200,1.0,-593.532
4.39957e-08,0.005,2.15642e-10,1.07101,1.02011,-591.401524157,100,2936.4529462,-591.401524157,2.57302e-05,98.8111140723,0.8,-610.936,2936.4529462,500.0,1,0.0268343,98.5159786785,2.03013,-591.401524157,60.1304,200,5.47477,-570.501
1.0,0.01,0.01,,1.0,-583.572187995,100,5272.22493466,-583.572187995,3.50449e-18,100.0,0.8,-626.331,5272.22493466,500.0,2,0.01,200.0,1.0,-583.572187995,72.2461,200,1.0,-583.572
0.00828112,0.005,3.86626e-05,1.19021,1.07095,-585.901735648,100,2098.14466226,-585.901735648,2.59435e-05,98.3985538241,0.8,-605.756,2098.14466226,500.0,1,0.0395555,112.585700626,1.77642,-585.901735648,75.4343,200,8.47238,-565.458
