J,eRenyi2,ESSClassic,ESSRenyi,AvgEpLen,AvgRet,AvgVanillaIw,VarNormIw,Delta,Bound,EpsThisIter,VarRet,VarJ,VarVanillaIw,MinNormIw,VanillaAvgRet,BatchSize,MaxNormIw,IterType,VarDiscRet,MaxVanillaIw,AvgNormIw,MinVanillaIw,AvgDiscRet
309.213,4.04583,8.5024398376,24.716814395,15.74,144.054315723,1.68169,0.001087,0.3,172.547,100,10506.6411826,273.207,30.7415,1.22053e-08,144.054315723,100,0.29282,1,10506.6411826,49.2434,0.01,2.05256e-06,144.054315723
431.844,6.48613,2.33181447419,15.41751909,22.16,204.009318059,1.53939,0.00423081,0.3,233.139,100,8863.76245409,523.153,100.258,1.1911e-07,204.009318059,100,0.650205,1,8863.76245409,100.092,0.01,1.83357e-05,204.009318059
710.38,5.26185,1.86592182448,19.0047317174,33.13,306.368906894,2.87348,0.00531241,0.3,368.902,100,23582.3166235,1025.78,438.64,1.78954e-07,306.368906894,100,0.730581,1,23582.3166235,209.931,0.01,5.14221e-05,306.368906894
401.051,nan,1.97029171478,nan,33.13,306.368906894,292.633,0.00502565,0.3,-inf,100,23582.3166235,125.702,4.30367e+06,1.62779e-07,306.368906894,200,0.664549,,11772.0377699,19446.9,0.01,0.00476346,324.985567072
597.758,5.7717,5.09677020257,34.6518562887,32.95,304.907564481,2.09372,0.000960817,0.3,344.869,100,19129.4590562,1893.39,168.476,1.2696e-08,304.907564481,200,0.436676,1,19129.4590562,182.856,0.005,5.31636e-06,304.907564481
326.336,1.0,100.0,200.0,35.24,326.336504516,1.0,3.50449e-18,0.3,217.079,100,8770.95518103,93.1839,,0.01,326.336504516,200,0.01,2,8770.95518103,1.0,0.01,1.0,326.336504516
235.094,nan,2.05405769113,nan,32.95,304.907564481,1675.32,0.00242131,0.3,-inf,100,19129.4590562,360.74,2.71836e+08,1.63216e-08,304.907564481,300,0.561381,,9820.43816326,188098.0,0.005,0.0054688,321.53046268
558.69,6.73528,8.40006176114,44.5415904478,30.48,281.715618274,1.76764,0.000387001,0.3,335.636,100,11483.7179939,2013.9,108.829,3.31654e-10,281.715618274,300,0.332427,1,11483.7179939,176.284,0.00333333,1.75874e-07,281.715618274
340.871,1.0,100.0,300.0,36.79,340.871286307,1.0,3.50449e-18,0.3,245.799,100,10653.9409254,102.701,,0.01,340.871286307,300,0.01,2,10653.9409254,1.0,0.01,1.0,340.871286307
337.94,1.0,200.000000102,300.0,36.18,335.008589327,1.0,2.1793e-19,0.3,265.772,100,8827.5928502,98.2443,,0.005,335.008589327,300,0.005,2,8827.5928502,1.0,0.005,1.0,335.008589327
