ESSRenyi,MaxNormIw,MaxVanillaIw,AvgDiscRet,VarRet,ESSClassic,AvgEpLen,J,Bound,IterType,VarVanillaIw,AvgRet,VarDiscRet,VarJ,EpsThisIter,AvgNormIw,Delta,MinVanillaIw,VanillaAvgRet,eRenyi2,AvgVanillaIw,BatchSize,MinNormIw,VarNormIw
500.0,0.005,1.0,-57.7236608672,46.3431474958,200.000000102,84.26,-57.6362,-57.6362,2,,-57.7236608672,46.3431474958,7.24159,100,0.005,1.0,1.0,-57.7236608672,1.0,1.0,500,0.005,2.1793e-19
500.0,0.00333333,1.0,-57.5969510642,49.0575662464,299.999969474,84.06,-57.6231,-57.6231,2,,-57.5969510642,49.0575662464,7.15191,100,0.00333333,1.0,1.0,-57.5969510642,1.0,1.0,500,0.00333333,5.43914e-20
500.0,0.0025,1.0,-61.3480505346,1334.2510717,400.0,88.84,-58.5544,-58.5544,2,,-61.3480505346,1334.2510717,19.2663,100,0.0025,1.0,1.0,-61.3480505346,1.0,1.0,500,0.0025,5.4346e-20
0.12653503275,0.999999,0.000699231,-61.7304173368,1339.24810757,1.00000149841,89.43,-49.4624,-49.4624,1,9.77848e-10,-61.7304173368,1339.24810757,8.54163e-05,100,0.002,1.0,,-61.7304173368,3951.47,1.39846e-06,500,,0.002
500.0,0.01,1.0,-59.0952645245,58.8691321242,100.0,86.64,-59.0953,-59.0953,2,,-59.0952645245,58.8691321242,7.63416,100,0.01,1.0,1.0,-59.0952645245,1.0,1.0,500,0.01,3.50449e-18
500.0,0.005,1.0,-64.5305388069,2609.77858926,200.000000102,91.84,-61.8129,-61.8129,2,,-64.5305388069,2609.77858926,36.4468,100,0.005,1.0,1.0,-64.5305388069,1.0,1.0,500,0.005,2.1793e-19
500.0,0.00333333,1.0,-58.4084819455,46.9790378536,299.999969474,85.43,-60.6781,-60.6781,2,,-58.4084819455,46.9790378536,30.0609,100,0.00333333,1.0,1.0,-58.4084819455,1.0,1.0,500,0.00333333,5.43914e-20
500.0,0.0025,1.0,-64.5025951868,2599.74461351,400.0,92.0,-61.6342,-61.6342,2,,-64.5025951868,2599.74461351,36.3857,100,0.0025,1.0,1.0,-64.5025951868,1.0,1.0,500,0.0025,5.4346e-20
,0.168343,101.199,-58.8206476405,61.7014490863,30.6604804817,85.88,-58.2138,-58.2138,1,22.1716,-58.8206476405,61.7014490863,36.9221,100,0.002,1.0,0.466175,-58.8206476405,inf,1.20229,500,0.000775477,6.13532e-05
500.0,0.01,1.0,-59.5930280323,54.5496249942,100.0,87.68,-59.593,-59.593,2,,-59.5930280323,54.5496249942,7.34875,100,0.01,1.0,1.0,-59.5930280323,1.0,1.0,500,0.01,3.50449e-18
500.0,0.005,1.0,-66.2781127045,2598.75803304,200.000000102,94.77,-62.9356,-62.9356,2,,-66.2781127045,2598.75803304,36.3945,100,0.005,1.0,1.0,-66.2781127045,1.0,1.0,500,0.005,2.1793e-19
500.0,0.00333333,1.0,-62.6196572979,1328.63755591,299.999969474,90.74,-62.8303,-62.8303,2,,-62.6196572979,1328.63755591,36.3526,100,0.00333333,1.0,1.0,-62.6196572979,1.0,1.0,500,0.00333333,5.43914e-20
500.0,0.0025,1.0,-57.9736040336,41.6597152338,400.0,84.45,-61.6161,-61.6161,2,,-57.9736040336,41.6597152338,31.7154,100,0.0025,1.0,1.0,-57.9736040336,1.0,1.0,500,0.0025,5.4346e-20
,0.0501102,27.6749,-70.0129597938,3825.66442865,147.596774661,99.33,-60.0341,-60.0341,1,2.91886,-70.0129597938,3825.66442865,22.1658,100,0.002,1.0,0.00105313,-70.0129597938,inf,1.10456,500,1.90688e-06,9.56957e-06
500.0,0.01,1.0,-61.4511763541,1346.53851454,100.0,88.82,-61.4512,-61.4512,2,,-61.4511763541,1346.53851454,36.5113,100,0.01,1.0,1.0,-61.4511763541,1.0,1.0,500,0.01,3.50449e-18
500.0,0.005,1.0,-57.1998961778,48.5577390319,200.000000102,83.59,-59.3255,-59.3255,2,,-57.1998961778,48.5577390319,26.3646,100,0.005,1.0,1.0,-57.1998961778,1.0,1.0,500,0.005,2.1793e-19
500.0,0.00333333,1.0,-59.6521450721,72.4537363446,299.999969474,87.33,-59.4344,-59.4344,2,,-59.6521450721,72.4537363446,22.0755,100,0.00333333,1.0,1.0,-59.6521450721,1.0,1.0,500,0.00333333,5.43914e-20
500.0,0.0025,1.0,-58.8172127856,52.9231718806,400.0,86.14,-59.2801,-59.2801,2,,-58.8172127856,52.9231718806,19.4593,100,0.0025,1.0,1.0,-58.8172127856,1.0,1.0,500,0.0025,5.4346e-20
1.15476287136e-15,0.983865,7.12597e-13,-62.4651707759,1345.7082482,1.03290966941,89.99,-48.8402,-48.8402,1,1.01568e-27,-62.4651707759,1345.7082482,0.778549,100,0.002,1.0,,-62.4651707759,4.32989e+17,1.44857e-15,500,,0.00193615
500.0,0.01,1.0,-57.9457669094,55.7042818529,100.0,84.79,-57.9458,-57.9458,2,,-57.9457669094,55.7042818529,7.42612,100,0.01,1.0,1.0,-57.9457669094,1.0,1.0,500,0.01,3.50449e-18
500.0,0.005,1.0,-61.2116329348,1346.17108591,200.000000102,88.25,-59.5787,-59.5787,2,,-61.2116329348,1346.17108591,26.3931,100,0.005,1.0,1.0,-61.2116329348,1.0,1.0,500,0.005,2.1793e-19
500.0,0.00333333,1.0,-64.7690441357,2598.33875033,299.999969474,92.32,-61.3088,-61.3088,2,,-64.7690441357,2598.33875033,36.4395,100,0.00333333,1.0,1.0,-64.7690441357,1.0,1.0,500,0.00333333,5.43914e-20
500.0,0.0025,1.0,-64.9194720352,2607.15707525,400.0,92.65,-62.2115,-62.2115,2,,-64.9194720352,2607.15707525,40.5412,100,0.0025,1.0,1.0,-64.9194720352,1.0,1.0,500,0.0025,5.4346e-20
,0.029483,15.3219,-58.8322605708,63.1730413193,219.19366233,86.17,-59.7515,-59.7515,1,1.38674,-58.8322605708,63.1730413193,23.3737,100,0.002,1.0,0.118511,-58.8322605708,inf,1.03938,500,0.000228044,5.13463e-06
500.0,0.01,1.0,-58.0553874001,59.9803495697,100.0,84.75,-58.0554,-58.0554,2,,-58.0553874001,59.9803495697,7.70588,100,0.01,1.0,1.0,-58.0553874001,1.0,1.0,500,0.01,3.50449e-18
500.0,0.005,1.0,-62.0321742834,1333.71645095,200.000000102,89.61,-60.0438,-60.0438,2,,-62.0321742834,1333.71645095,26.3407,100,0.005,1.0,1.0,-62.0321742834,1.0,1.0,500,0.005,2.1793e-19
500.0,0.00333333,1.0,-61.7007410897,1340.84502848,299.999969474,89.19,-60.5961,-60.5961,2,,-61.7007410897,1340.84502848,30.0939,100,0.00333333,1.0,1.0,-61.7007410897,1.0,1.0,500,0.00333333,5.43914e-20
500.0,0.0025,1.0,-58.5019813994,51.9652706716,400.0,85.96,-60.0726,-60.0726,2,,-58.5019813994,51.9652706716,26.3233,100,0.0025,1.0,1.0,-58.5019813994,1.0,1.0,500,0.0025,5.4346e-20
0.021647509044,1.0,4.10994e-13,-58.185765627,46.0785689459,1.0,85.23,-49.6451,-49.6451,1,3.37831e-28,-58.185765627,46.0785689459,1.09078e-08,100,0.002,1.0,,-58.185765627,23097.3,8.21987e-16,500,,0.002
500.0,0.01,1.0,-61.6047521155,1346.07511198,100.0,88.82,-61.6047,-61.6047,2,,-61.6047521155,1346.07511198,36.505,100,0.01,1.0,1.0,-61.6047521155,1.0,1.0,500,0.01,3.50449e-18
500.0,0.005,1.0,-62.3695338106,1339.79229767,200.000000102,90.13,-61.9871,-61.9871,2,,-62.3695338106,1339.79229767,36.4644,100,0.005,1.0,1.0,-62.3695338106,1.0,1.0,500,0.005,2.1793e-19
500.0,0.00333333,1.0,-58.5247018164,78.7028768562,299.999969474,85.74,-60.833,-60.833,2,,-58.5247018164,78.7028768562,30.2501,100,0.00333333,1.0,1.0,-58.5247018164,1.0,1.0,500,0.00333333,5.43914e-20
500.0,0.0025,1.0,-58.0168333644,54.427572453,400.0,84.46,-60.129,-60.129,2,,-58.0168333644,54.427572453,26.4813,100,0.0025,1.0,1.0,-58.0168333644,1.0,1.0,500,0.0025,5.4346e-20
0.103037109358,1.0,9439.92,-65.9290201424,2612.70207127,1.0,94.19,-50.0291,-50.0291,1,178224.0,-65.9290201424,2612.70207127,1.79184e-06,100,0.002,1.0,,-65.9290201424,4852.62,18.8798,500,,0.002
500.0,0.01,1.0,-65.1471367249,2606.98482902,100.0,92.83,-65.1471,-65.1471,2,,-65.1471367249,2606.98482902,50.8027,100,0.01,1.0,1.0,-65.1471367249,1.0,1.0,500,0.01,3.50449e-18
500.0,0.005,1.0,-58.3803001927,56.5120016598,200.000000102,85.24,-61.7637,-61.7637,2,,-58.3803001927,56.5120016598,36.4675,100,0.005,1.0,1.0,-58.3803001927,1.0,1.0,500,0.005,2.1793e-19
500.0,0.00333333,1.0,-59.0878372613,52.8879502805,299.999969474,86.36,-60.8718,-60.8718,2,,-59.0878372613,52.8879502805,30.0937,100,0.00333333,1.0,1.0,-59.0878372613,1.0,1.0,500,0.00333333,5.43914e-20
500.0,0.0025,1.0,-62.7312350594,1336.27338256,400.0,90.46,-61.3366,-61.3366,2,,-62.7312350594,1336.27338256,31.7899,100,0.0025,1.0,1.0,-62.7312350594,1.0,1.0,500,0.0025,5.4346e-20
0.100802035729,1.0,0.0817627,-57.8463148046,41.8620085101,1.0,84.44,-50.8336,-50.8336,1,1.33703e-05,-57.8463148046,41.8620085101,1.44678e-13,100,0.002,1.0,,-57.8463148046,4960.22,0.000163525,500,,0.002
500.0,0.01,1.0,-61.6213449208,1336.50282821,100.0,88.63,-61.6213,-61.6213,2,,-61.6213449208,1336.50282821,36.375,100,0.01,1.0,1.0,-61.6213449208,1.0,1.0,500,0.01,3.50449e-18
500.0,0.005,1.0,-61.1323180294,1334.89829166,200.000000102,88.35,-61.3768,-61.3768,2,,-61.1323180294,1334.89829166,36.3649,100,0.005,1.0,1.0,-61.1323180294,1.0,1.0,500,0.005,2.1793e-19
500.0,0.00333333,1.0,-58.6533212179,52.6313000498,299.999969474,85.89,-60.469,-60.469,2,,-58.6533212179,52.6313000498,30.0103,100,0.00333333,1.0,1.0,-58.6533212179,1.0,1.0,500,0.00333333,5.43914e-20
500.0,0.0025,1.0,-59.3225035119,51.7664325164,400.0,87.02,-60.1824,-60.1824,2,,-59.3225035119,51.7664325164,26.2397,100,0.0025,1.0,1.0,-59.3225035119,1.0,1.0,500,0.0025,5.4346e-20
2.30866810888,0.0807169,248.942,-59.1545386362,57.2308998585,13.9483563568,86.83,-57.3234,-57.3234,1,1328.48,-59.1545386362,57.2308998585,25.7786,100,0.002,1.0,0.707109,-59.1545386362,216.575,6.16827,500,0.000229273,0.000139665
500.0,0.01,1.0,-57.7895636006,44.9712572207,100.0,84.32,-57.7896,-57.7896,2,,-57.7895636006,44.9712572207,6.67245,100,0.01,1.0,1.0,-57.7895636006,1.0,1.0,500,0.01,3.50449e-18
500.0,0.005,1.0,-66.1155207606,2603.2099449,200.000000102,94.7,-61.9525,-61.9525,2,,-66.1155207606,2603.2099449,36.4442,100,0.005,1.0,1.0,-66.1155207606,1.0,1.0,500,0.005,2.1793e-19
500.0,0.00333333,1.0,-56.8517667024,45.3104561723,299.999969474,83.16,-60.2523,-60.2523,2,,-56.8517667024,45.3104561723,30.103,100,0.00333333,1.0,1.0,-56.8517667024,1.0,1.0,500,0.00333333,5.43914e-20
500.0,0.0025,1.0,-61.3053379421,1347.05045383,400.0,88.52,-60.5155,-60.5155,2,,-61.3053379421,1347.05045383,31.8315,100,0.0025,1.0,1.0,-61.3053379421,1.0,1.0,500,0.0025,5.4346e-20
