Bound,TimeElapsed,InitialReturnMax,Weights,ReturnMeanIW,InitialBound,J_sample_variance,StdIW,EpLenMean,InitialReturnMin,TimestepsSoFar,MeanIW,InitialReturnStd,EpisodesSoFar,MaxIW,Iteration,EmpiricalD2,InitialReturnMean,EpRewMean,EpThisIter,MinIW
343.35754,8.080215454101562,10.9685335,[-0.822 -0.493 -0.474 -0.749  0.   ],343.35754,175.34497,3286325.0,9.903879,35.09,-20.043964,3509,1.9086145,7.9532566,100,224.90884,1,1482.2599,1.3446808e-06,-108.1894935537418,100,0.0038078534
339.38797,24.71160888671875,10.43553,[-0.843 -0.48  -0.437 -0.818  0.133],339.38797,146.18398,2350704.2,9.988653,39.94,-23.476835,7503,2.2265365,8.784574,200,231.9605,2,12466.095,2.670288e-07,-106.84757823905653,100,1.4716655e-07
281.40182,41.15887999534607,10.4183235,[-0.787 -0.622 -0.49  -0.93  -0.031],281.40182,156.93916,2181832.0,9.021228,37.53,-18.301857,11256,1.7240583,8.148055,300,297.97046,3,602.74133,-3.2424927e-07,-106.61092074422653,100,6.0578395e-06
147.50536,58.00884175300598,8.949919,[-0.763 -0.7   -0.416 -1.004 -0.062],147.50536,118.31181,56257.258,1.9627255,42.4,-18.64286,15496,1.2457978,7.147741,400,16.016315,4,6.35141,8.201599e-07,-104.2109505790072,100,0.0006400277
1742.1604,72.78991317749023,8.325302,[-0.784 -0.716 -0.47  -0.987 -0.158],1742.1604,130.86432,128732690.0,89.28315,39.35,-17.227966,19431,13.194962,6.85041,500,818.74347,5,94622616.0,-3.8146972e-08,-105.21826862418773,100,4.078413e-12
1317.7825,90.79457020759583,7.3940244,[-0.831 -0.878 -0.46  -1.017 -0.345],1317.7825,102.383446,172919250.0,123.25657,44.65,-19.231953,23896,11.814445,6.4357643,600,1309.3038,6,1.4919745e+35,4.005432e-07,-103.39772000370778,100,2.5900818e-25
237.79584,107.4170618057251,9.367587,[-1.034 -0.691 -0.514 -1.045 -0.409],237.79584,163.47879,278658.28,3.2253084,35.93,-23.373726,27489,1.4400975,7.919141,700,27.44143,7,30.95813,6.8664554e-07,-105.2949947802958,100,0.003984922
605.3557,121.85715389251709,9.180187,[-0.981 -0.729 -0.482 -1.036 -0.393],605.3557,153.78012,27830228.0,32.73922,37.14,-17.823172,31203,3.732073,7.760238,800,929.0156,8,1641953.2,-6.580353e-07,-105.27138930680444,100,1.1615764e-08
481.0256,138.13243293762207,7.617422,[-0.989 -0.716 -0.421 -1.123 -0.441],481.0256,117.461296,14636984.0,32.409584,42.31,-19.356941,35434,3.8317318,7.0966477,900,357.38385,9,4273.3755,7.4386594e-07,-103.90047209336628,100,0.014337185
1478.1725,154.4562976360321,8.282205,[-0.95  -0.662 -0.373 -1.113 -0.384],1478.1725,124.72967,192904660.0,106.81995,41.45,-18.369923,39579,11.02161,7.328428,1000,2768.2393,10,4644405.5,1.077652e-06,-103.80983976609306,100,3.348968e-08
198.09467,172.54406595230103,6.5894947,[-0.922 -0.68  -0.282 -1.107 -0.495],198.09467,92.52234,779372.7,9.460374,45.8,-21.564693,44159,2.1421597,5.705638,1100,89.06178,11,2528.3245,-7.152558e-08,-103.24321354099352,100,0.00013921529
469.72116,187.68136525154114,7.5256166,[-0.945 -0.681 -0.325 -1.149 -0.423],469.72116,114.33937,16381896.0,33.944485,42.34,-21.940567,48393,3.842955,6.6339483,1200,705.05695,12,25836678.0,-6.67572e-07,-103.13425489750485,100,3.4294853e-08
214.89592,202.52463793754578,7.4219475,[-0.956 -0.684 -0.36  -1.061 -0.418],214.89592,118.90992,733774.56,6.8283277,39.71,-16.552197,52364,1.7560334,6.745524,1300,72.034996,13,28890.994,-6.8664554e-07,-102.97895144561127,100,6.667339e-07
