Weights,TimestepsSoFar,Bound,ReturnMeanIW,ESSRenyi,EpThisIter,StdIW,EpLenMean,InitialBound,TimeElapsed,EpRewMean,StdIWNorm,MaxIWNorm,InitialReturnMean,MaxIW,MeanIW,InitialReturnMin,ESSClassic,Itaration,EmpiricalD2,MinIWNorm,InitialReturnStd,MeanIWNorm,MinIW,InitialReturnMax,EpisodesSoFar
[ 0.098 -0.237  0.047 ...  0.096  0.329  0.   ],833,62.733147,127.794975,29.097448,100,4.0361495,8.33,-35.095684,1.1424822807312012,73.25229043186765,0.040361498,0.40699676,1.2207031e-06,40.699677,1.2081623,-73.25229,8.223342,1,3.4367275,0.00076803163,57.06931,0.012081623,0.07680316,286.55508,100
[ 0.098 -0.237  0.047 ...  0.115  0.363 -0.045],2150,-29.258598,58.318665,72.316666,100,0.6483673,13.17,-74.47502,10.254098653793335,121.62815592625799,0.006483672,0.044200152,-1.15966795e-05,4.4200153,0.92562616,-121.62817,67.08488,2,1.3828071,0.0011789536,118.19222,0.009256261,0.117895365,608.08594,200
[ 0.097 -0.236  0.041 ...  0.123  0.379 -0.111],4007,91.272224,210.24333,33.71179,100,2.577274,18.57,-69.07682,19.28027033805847,175.60504948713984,0.025772741,0.25120765,7.3242186e-06,25.120766,1.1290671,-175.60504,16.101692,3,2.9663215,0.00064221566,168.78116,0.01129067,0.06422157,564.00995,300
[ 0.094 -0.236  0.03  ...  0.122  0.383 -0.186],7615,528.432,855.6618,9.862566,100,8.217833,36.08,-102.76562,29.03955388069153,350.6251009823913,0.08217833,0.8085098,1.3427734e-05,80.85098,1.6946634,-340.63956,4.0791106,4,10.139349,1.150516e-05,256.2876,0.016946632,0.001150516,839.07776,400
[ 0.091 -0.234  0.021 ...  0.122  0.387 -0.308],12627,8.1480255,197.11572,45.29026,100,1.9859493,50.12,-127.17154,41.91024875640869,490.9779317700637,0.019859493,0.16646351,2.0141602e-05,16.64635,0.9951965,-480.99768,20.071619,5,2.2079802,0.00046354102,317.3517,0.009951965,0.046354104,1038.3514,500
[ 0.091 -0.233  0.019 ...  0.124  0.396 -0.354],19731,87.42261,296.05493,33.743847,100,4.5969863,71.04,-121.193306,52.280797481536865,700.1145828213151,0.045969855,0.40718618,8.544922e-05,40.71862,1.6947105,-690.13495,11.964692,6,2.9635034,0.000413545,339.43408,0.016947107,0.0413545,989.5398,600
[ 0.091 -0.232  0.021 ...  0.125  0.398 -0.438],28045,-71.42955,163.02637,55.655163,100,0.92925525,83.14,-174.90964,63.901697635650635,821.0988310085628,0.009292552,0.05894483,6.713867e-05,5.894483,0.9707445,-801.13367,52.182602,7,1.7967786,0.00059182727,361.50378,0.009707443,0.059182726,1428.1317,700
[ 0.091 -0.232  0.023 ...  0.127  0.403 -0.482],37443,460.7671,918.8166,10.814275,100,8.575718,93.98,-150.62987,75.18163847923279,929.4802829677448,0.08575717,0.85974854,9.765625e-06,85.97485,1.8234177,-909.5125,4.325417,8,9.247037,1.45940685e-05,373.11673,0.018234177,0.0014594069,1229.8877,800
[ 0.09  -0.232  0.022 ...  0.127  0.407 -0.551],47633,-105.29118,83.58717,72.223076,100,0.7356557,101.9,-160.51666,87.9300434589386,1008.710059081668,0.0073565575,0.06153006,4.0283205e-05,6.153006,1.0731575,-1008.71,68.03099,9,1.384599,0.0012065026,413.44382,0.010731575,0.12065026,1310.6133,900
[ 0.091 -0.231  0.022 ...  0.129  0.412 -0.564],58934,-137.13962,115.330956,66.38492,100,0.8809636,113.01,-205.70535,98.45945596694946,1119.8059678862273,0.008809636,0.048430767,-5.859375e-05,4.8430767,1.1596602,-1099.8425,63.40734,10,1.5063663,0.0021101658,401.53802,0.011596602,0.21101658,1679.5768,1000
[ 0.09  -0.231  0.021 ...  0.129  0.413 -0.562],70968,-217.77127,51.78434,88.11749,100,0.38721308,120.34,-253.0344,108.50353407859802,1193.0772208338187,0.00387213,0.022192668,-6.1035156e-05,2.219267,1.0312834,-733.40314,87.644295,11,1.1348485,0.0034552817,501.0903,0.010312834,0.3455282,2066.0166,1100
[ 0.09  -0.231  0.022 ...  0.13   0.415 -0.572],82449,-204.90906,59.80845,79.85998,100,0.6876539,114.81,-236.56332,118.55475807189941,1137.786176472743,0.006876539,0.04897774,-9.765625e-05,4.897774,0.99546343,-1137.7863,67.696205,12,1.2521917,0.0020561249,482.20316,0.009954632,0.20561248,1931.5306,1200
[ 0.09  -0.231  0.022 ...  0.13   0.415 -0.586],94815,-83.30896,199.65662,53.706913,100,1.1523651,123.66,-207.37126,128.47827434539795,1226.2690851431807,0.01152365,0.07240381,4.3945314e-05,7.2403812,1.2426987,-1226.269,53.766308,13,1.8619577,0.0012873102,465.11395,0.012426986,0.12873101,1693.1797,1300
[ 0.09  -0.23   0.022 ...  0.131  0.418 -0.568],107126,665.83325,1255.6646,11.297656,100,7.4247355,123.11,-198.2539,139.1600799560547,1220.7829448930402,0.07424736,0.6938517,0.000100097655,69.38517,1.7494214,-1210.8022,5.2597075,14,8.851394,7.268112e-05,483.21542,0.017494213,0.007268112,1618.7372,1400
[ 0.09  -0.229  0.017 ...  0.129  0.413 -0.622],121701,-269.2451,18.552229,96.76178,100,0.18061242,145.75,-283.0992,151.60681891441345,1447.115336999615,0.0018061241,0.015587021,-2.0751953e-05,1.5587021,1.0102894,-1417.168,96.903,15,1.0334659,0.0070169354,519.6923,0.010102894,0.70169353,2311.495,1500
[ 0.09  -0.229  0.018 ...  0.13   0.415 -0.625],136237,-157.95976,80.00258,80.75867,100,0.47775197,145.36,-213.84692,160.31075525283813,1443.2408672428437,0.00477752,0.025723679,-0.00010498047,2.572368,1.0693871,-1443.241,83.36192,16,1.2382572,0.0030591185,525.9844,0.0106938705,0.30591187,1746.052,1600
[ 0.09  -0.228  0.017 ...  0.13   0.415 -0.637],151645,12150.778,25022.53,0.047421392,100,190.95963,154.08,-280.30118,170.85476064682007,1530.4280129687456,1.9095961,19.199093,-7.202148e-05,1919.9094,20.069542,-1520.4462,1.0924988,17,2108.753,2.6432202e-08,663.4017,0.20069538,2.6432203e-06,2288.649,1700
[ 0.089 -0.228  0.015 ...  0.131  0.419 -0.645],170381,3727.5452,7009.533,0.71510726,100,68.32329,187.36,-277.53812,188.35058045387268,1863.0943377771514,0.6832328,6.8722873,-3.2958986e-05,687.22876,7.5121684,-1853.1134,1.1944679,18,139.83916,5.8999067e-06,720.41516,0.07512167,0.0005899907,2266.0889,1800
[ 0.089 -0.228  0.014 ...  0.133  0.426 -0.632],191054,-218.59142,198.52617,74.62307,100,0.7351434,206.73,-360.32562,203.77470636367798,2056.907385178196,0.007351434,0.051983975,-9.399414e-05,5.1983976,1.0554358,-2056.9075,67.333046,19,1.3400681,0.0020174377,952.23145,0.0105543565,0.20174377,2942.0457,1900
[ 0.089 -0.227  0.014 ...  0.134  0.429 -0.641],212869,-79.184814,552.8862,28.76142,100,1.9230729,218.15,-338.97772,216.39050483703613,2170.8924739109784,0.019230729,0.18188758,-0.0001171875,18.188759,1.0692365,-2170.8926,23.614008,20,3.4768798,0.00062001584,942.4662,0.0106923655,0.062001586,2767.7407,2000
