ReturnMeanIW,Weights,EpisodesSoFar,J_sample_variance,MinIW,TimestepsSoFar,InitialReturnMin,InitialReturnMean,InitialReturnStd,StdIW,InitialBound,Bound,EmpiricalD2,EpRewMean,TimeElapsed,InitialReturnMax,Iteration,MeanIW,EpLenMean,EpThisIter,MaxIW
52.32582,[-0.777 -1.389 -2.591 -1.949 -1.103],2300,21519.842,6.339623e-33,94012,-16.947086,-7.2479247e-07,7.7718544,0.99547577,34.31439,52.32582,inf,-106.93423700332069,290.50340127944946,18.850334,23,0.03091066,18.63,100,140.3523
48.23223,[-0.729 -1.308 -2.676 -1.875 -1.147],2400,5294.569,6.905851e-08,95848,-12.294525,-4.386902e-07,7.0675416,3.235901,35.32557,48.23223,447995070.0,-108.29009360703954,298.4949691295624,20.075636,24,0.63243663,18.36,100,50.40869
90.56839,[-0.756 -1.421 -2.736 -1.886 -1.113],2500,339584.4,,97672,-12.448572,-5.912781e-07,7.1196747,5.1938095,35.450577,90.56839,inf,-107.67819970824812,305.6949231624603,18.193417,25,0.03855981,18.24,100,1031.9349
665.14874,[-0.806 -1.359 -2.936 -1.941 -1.226],2600,38253000.0,5.2734775e-21,99476,-12.891424,-6.8664554e-07,6.182724,52.22513,36.59746,665.14874,inf,-108.1946583089003,314.0843484401703,19.28042,26,4.3483267,18.04,100,4905.5674
324.99637,[-0.869 -1.605 -3.139 -1.952 -1.152],2700,7749070.0,2.726038e-38,101220,-18.047318,1.9073486e-08,6.108261,24.558264,37.759323,324.99637,inf,-107.94941564285428,323.52551436424255,17.8051,27,0.6912034,17.44,100,4718.3037
47.719204,[-0.878 -1.546 -2.982 -2.081 -1.173],2800,23707.092,5.1327587e-22,103133,-13.339655,8.5830686e-07,7.5502167,1.3326688,33.871986,47.719204,inf,-107.52930143345,332.7774963378906,18.021698,28,0.12277124,19.13,100,171.05579
50.859726,[-0.708 -1.481 -2.953 -1.997 -1.055],2900,5971.8423,2.3816246e-07,104860,-14.366049,4.5776366e-07,6.448033,1.9487332,37.64856,50.859726,528243.5,-107.61724469247072,340.17738342285156,19.708315,29,0.3168709,17.27,100,160.39363
65.23022,[-0.707 -1.563 -2.95  -2.001 -1.072],3000,138849.9,1.1630236e-09,106752,-13.710207,6.9618227e-07,7.1263137,12.187053,34.448242,65.23022,66672544.0,-108.19689164395355,347.43874645233154,18.756378,30,2.1726637,18.92,100,372.5517
38.10795,[-0.677 -1.499 -2.836 -1.964 -1.121],3100,390.13596,0.0012618576,108555,-14.77713,5.722046e-07,7.8007627,0.9964713,35.412598,38.10795,21.293118,-107.50217155972801,355.5300142765045,20.425274,31,0.64747864,18.03,100,12.26917
109.66354,[-0.658 -1.451 -2.811 -1.971 -1.144],3200,448938.1,3.2730285e-13,110343,-12.549469,1.7166137e-06,6.4550877,11.671848,36.58334,109.66354,186650080000000.0,-107.90246676011789,362.4796872138977,18.952017,32,0.122699924,17.88,100,2438.0447
56.366142,[-0.782 -1.564 -2.909 -1.934 -1.212],3300,37452.945,1.1342616e-12,112140,-17.855883,5.722046e-07,7.1407347,1.9208986,35.91571,56.366142,2968001000000.0,-107.62833595673459,370.4829270839691,18.672611,33,0.5901499,17.97,100,150.10226
79.79678,[-0.853 -1.576 -2.999 -1.88  -1.294],3400,52512.656,1.4862606e-11,113978,-15.846014,4.1007996e-07,6.6222854,3.853345,36.05448,79.79678,306278280000000.0,-108.63356674269555,378.35350918769836,16.350561,34,0.7380021,18.38,100,228.91692
95.038315,[-0.854 -1.555 -3.037 -1.819 -1.271],3500,332447.94,1.5247147e-13,115789,-13.37365,1.4305115e-06,6.357592,8.483875,36.537205,95.038315,124199190000000.0,-108.04349828147947,385.90864872932434,17.119293,35,0.28010035,18.11,100,1414.2593
109.704956,[-0.843 -1.501 -3.08  -1.808 -1.263],3600,157156.1,5.5893887e-32,117459,-14.516069,1.0490418e-06,5.79366,11.07389,39.28989,109.704956,inf,-107.56812566383661,393.04693245887756,17.786224,36,1.5067168,16.7,100,398.47382
52.20552,[-0.792 -1.488 -3.145 -1.692 -1.276],3700,19610.479,4.373562e-16,119135,-13.520903,1.1253356e-06,6.28498,1.6960251,39.010174,52.20552,2.4330434e+23,-108.11618417960834,401.28138995170593,19.149994,37,0.4885797,16.76,100,165.20172
49.181267,[-0.787 -1.445 -3.156 -1.591 -1.307],3800,5468.673,1.0390341e-12,120748,-13.085342,1.0108947e-06,4.6845665,1.0808206,41.04202,49.181267,6014743600000000.0,-108.18431211952115,408.6383180618286,9.656136,38,0.22743364,16.13,100,166.75293
40.228645,[-0.821 -1.533 -3.181 -1.65  -1.331],3900,377.5695,0.0045924974,122491,-15.131899,7.6293944e-08,6.7327476,1.2004862,37.791325,40.228645,18.515724,-108.13171135822309,416.34664368629456,17.631634,39,0.8344452,17.43,100,9.501112
39.93091,[-0.841 -1.527 -3.175 -1.621 -1.337],4000,233.66473,0.10567515,124184,-13.539318,3.8146973e-07,6.061633,0.5855205,38.72221,39.93091,1.5223459,-107.82642454419269,423.679856300354,17.366062,40,1.0730593,16.93,100,4.6848874
114.87302,[-0.837 -1.54  -3.193 -1.61  -1.356],4100,375920.28,8.15939e-25,125881,-10.604118,2.861023e-07,5.2030234,5.1611357,39.153328,114.87302,inf,-108.27180534449364,431.1683967113495,16.161854,41,0.07637023,16.97,100,900.01166
87.762886,[-0.729 -1.747 -3.207 -1.674 -1.302],4200,190105.25,1.8993154e-10,127603,-14.530743,1.9454956e-06,5.6928177,11.614232,38.3916,87.762886,26575385000.0,-107.72133015687425,440.0083796977997,18.123291,42,1.4302647,17.22,100,644.82495
44.948345,[-0.712 -1.739 -3.233 -1.723 -1.298],4300,4946.7627,0.000109379034,129291,-14.981543,2.6893615e-06,6.2525506,3.611104,38.85148,44.948345,490.94086,-107.67540229230697,447.67847895622253,19.23513,43,1.1398835,16.88,100,128.30101
51.566875,[-0.727 -1.732 -3.237 -1.763 -1.311],4400,8293.014,1.3337317e-08,131033,-11.871166,-8.9645386e-07,6.4556427,1.2252338,37.675888,51.566875,7013293600.0,-107.92069344169533,455.2050700187683,18.207766,44,0.1495673,17.42,100,199.39963
42.82683,[-0.712 -1.721 -3.289 -1.736 -1.336],4500,987.71014,3.2406592e-07,132767,-15.620951,1.0490418e-06,5.879322,0.4310085,38.037193,42.82683,3260853.8,-107.73641846037091,462.96785831451416,18.184664,45,0.12211285,17.34,100,39.95593
50.540794,[-0.74  -1.767 -3.28  -1.75  -1.326],4600,7077.2676,1.4640397e-10,134503,-11.753962,1.335144e-07,5.9283957,0.90349746,38.064564,50.540794,7487759400.0,-108.5345789895386,470.34955191612244,16.908257,46,0.3548685,17.36,100,78.255615
51.22026,[-0.688 -1.789 -3.332 -1.728 -1.329],4700,9041.553,2.9606883e-07,136158,-10.787706,1.4305115e-06,5.4485207,3.812052,39.6711,51.22026,2902622.8,-108.14943475056256,477.23628544807434,17.52457,47,0.91414213,16.55,100,107.39429
78.443924,[-0.694 -1.824 -3.313 -1.714 -1.341],4800,232031.47,1.05875726e-20,137940,-15.7771225,8.201599e-07,6.3026967,6.581369,37.041454,78.443924,7.843473e+29,-108.07319685999259,484.68703842163086,17.834482,48,0.18074264,17.82,100,1437.7024
118.670166,[-0.481 -1.776 -3.23  -1.815 -1.35 ],4900,199599.84,2.9840426e-26,139635,-13.7615795,-1.6403199e-06,5.631879,3.7383995,39.106644,118.670166,inf,-108.2092526195822,493.12587428092957,15.550291,49,0.1715419,16.95,100,462.0808
74.28022,[-0.399 -1.676 -3.21  -1.709 -1.282],5000,59592.926,3.067716e-08,141360,-14.569769,1.8692017e-06,5.9343033,3.0903215,38.47156,74.28022,229442260.0,-108.23984464641092,501.18764662742615,16.026804,50,0.33874363,17.25,100,631.5004
114.899216,[-0.368 -1.6   -3.161 -1.75  -1.24 ],5100,590347.7,2.0812187e-12,143030,-12.135056,-5.912781e-07,5.3639946,8.907303,39.58788,114.899216,4064492500.0,-107.83700988783096,509.2503023147583,16.708862,51,0.62021327,16.7,100,1584.9476
61.723427,[-0.344 -1.6   -3.082 -1.747 -1.245],5200,30010.672,6.016861e-14,144715,-12.653385,-1.1157989e-06,5.4354916,5.652762,39.310463,61.723427,401994200000.0,-108.23987793060076,516.7840623855591,19.228607,52,0.5090121,16.85,100,510.77417
45.276184,[-0.314 -1.517 -3.072 -1.764 -1.277],5300,2001.1956,0.00020950515,146342,-17.421816,-1.6784668e-06,5.725589,4.6127777,40.264046,45.276184,811.87286,-107.65118611976087,523.8739321231842,18.49897,53,1.0857072,16.27,100,88.00995
40.617012,[-0.323 -1.57  -3.089 -1.752 -1.317],5400,611.8122,0.014157825,148027,-11.358322,3.8146973e-07,5.617806,0.90310365,39.039757,40.617012,7.605083,-107.93700901361657,531.5191950798035,18.402477,54,0.9856828,16.85,100,4.9421067
73.24668,[-0.336 -1.548 -3.065 -1.773 -1.341],5500,165134.67,1.8351516e-17,149746,-16.71704,1.8501282e-06,6.4729204,3.6842966,38.213177,73.24668,720552800000000.0,-107.92323261707713,539.0017383098602,17.851696,55,0.10147644,17.19,100,615.2323
44.19197,[-0.415 -1.677 -3.134 -1.773 -1.393],5600,2593.7249,2.5582494e-08,151454,-18.192635,-2.5939942e-06,6.311389,1.3033292,38.35598,44.19197,155619330.0,-107.67146707996342,546.7167360782623,17.936367,56,0.7277764,17.08,100,20.393406
39.861584,[-0.332 -1.677 -3.114 -1.749 -1.397],5700,168.86366,0.09150931,153135,-15.974924,2.5749207e-06,6.5626664,0.61545587,38.862125,39.861584,1.425047,-107.47952993832386,553.4952580928802,17.882412,57,1.0227721,16.81,100,6.758137
48.70123,[-0.311 -1.695 -3.119 -1.747 -1.414],5800,2925.8445,3.4093892e-09,154837,-14.008583,1.4305115e-06,5.888985,3.195782,38.72442,48.70123,37330350000.0,-107.93751366171722,561.1636483669281,18.55084,58,1.1236819,17.02,100,23.026062
333.8145,[-0.345 -1.656 -3.123 -1.676 -1.398],5900,8925574.0,,156540,-14.319235,-1.9073486e-08,6.8567996,46.30837,38.360176,333.8145,inf,-107.78562203450122,568.6695184707642,18.55803,59,0.22249565,17.03,100,10346.227
46.493813,[-0.37  -1.907 -3.015 -1.732 -1.337],6000,6967.73,8.201995e-08,158275,-11.579254,1.2588501e-06,6.5592856,2.5273066,37.48989,46.493813,3684209.0,-107.54510197320849,577.3099474906921,18.98372,60,0.5016809,17.35,100,91.18016
694.00793,[-0.383 -1.928 -2.978 -1.728 -1.332],6100,43680524.0,,160165,-17.076077,2.3269654e-06,7.914773,34.14237,34.25618,694.00793,inf,-107.77450238772003,584.832629442215,18.501453,61,0.5429261,18.9,100,3891.6228
48.550755,[-0.313 -1.992 -3.194 -1.571 -1.367],6200,22330.914,3.5157268e-07,161943,-12.885357,7.2479247e-07,5.8875294,2.3539672,37.339508,48.550755,2805710.5,-108.2173465242243,594.2089607715607,15.855133,62,0.6064401,17.78,100,274.84653
43.735867,[-0.37  -2.019 -3.237 -1.613 -1.399],6300,1090.7747,3.3414315e-05,163585,-13.434662,-3.6239624e-07,6.5205884,1.9215465,39.491096,43.735867,3023.5337,-107.47051605394185,600.9311401844025,18.935246,63,0.57789093,16.42,100,28.682974
56.48659,[-0.418 -2.048 -3.238 -1.61  -1.4  ],6400,31512.176,4.0359195e-13,165347,-12.785875,5.912781e-07,5.7971697,4.8557987,37.546516,56.48659,5.2661604e+21,-107.81187965806525,608.8838562965393,17.632208,64,0.056108702,17.62,100,1066.1277
