EpLenMean,MeanD2w0t,StdIW,Bound,InitialReturnMax,EpisodesSoFar,InitialReturnStd,Iteration,EpThisIter,MeanIW,Weights,MinD2w0t,EpRewMean,ReturnMeanIW,TimestepsSoFar,MaxIW,InitialBound,InitialReturnMean,J_sample_variance,InitialReturnMin,EmpiricalD2,TimeElapsed,ReturnStepMaxmin,MinIW,MaxD2w0t,ReturnStepMax,StdD2w0t
35.09,0.08137789,0.49067473,-15.308266,10.9685335,100,7.9532566,1,100,1.101844,[-0.822 -0.493 -0.474 -0.749  0.   ],,-108.1894935537418,18.47543,3509,3.2384486,-15.7358265,1.3446808e-06,101.281746,-20.043964,1.2047828,8.664940357208252,92.833694,0.21697748,1.4606663,100.0,0.29824078
34.21,0.07059243,0.18647657,-15.108807,10.331822,200,7.326578,2,100,1.0109924,[-0.823 -0.495 -0.454 -0.765 -0.005],,-109.6908965237812,18.327148,6930,1.7609026,-15.237074,-1.04904174e-07,58.652096,-15.148509,1.0417264,19.44695019721985,92.67813,0.5598347,1.2119371,100.0,0.26060802
34.39,0.07251315,0.31259382,-15.585642,11.06778,300,8.006556,3,100,1.0010289,[-0.82  -0.508 -0.463 -0.763 -0.015],,-107.29583731575866,17.945723,10369,2.6636338,-15.851423,-4.7683716e-07,70.55866,-18.871563,1.0954796,29.097077131271362,92.76006,0.46765274,1.2413496,100.0,0.26703817
37.68,0.100001976,0.50063384,-17.093588,10.115826,400,8.015292,4,100,0.9872506,[-0.826 -0.508 -0.454 -0.763  0.008],,-107.2466997941368,16.639814,14137,3.1943183,-17.865818,3.4332277e-07,84.04465,-19.211739,1.5398384,40.64554810523987,93.30752,0.17205368,4.3810487,100.0,0.37062535
38.67,0.07890238,0.14869678,-17.470387,9.83416,500,7.2281423,5,100,0.9794469,[-0.828 -0.551 -0.455 -0.794  0.009],,-107.4676070382373,15.943138,18004,1.5096259,-17.598772,7.1048737e-07,55.33466,-16.005272,1.0290071,53.73299503326416,93.44184,0.64359564,1.0899789,100.0,0.2725707
37.88,0.08715518,0.43021053,-16.79788,10.108441,600,7.510822,6,100,0.8623554,[-0.825 -0.539 -0.446 -0.786  0.016],,-108.17347318867459,16.80041,21792,2.4351704,-17.248814,3.528595e-07,58.162636,-18.016235,1.3653189,63.824872970581055,93.28863,0.16908854,2.0717192,100.0,0.30723366
38.5,0.08658852,0.57005286,-17.3565,10.110378,700,7.2849407,7,100,1.0832068,[-0.849 -0.567 -0.448 -0.793  0.012],,-107.62055692682847,16.269056,25642,4.7579618,-17.704502,4.1007996e-07,70.557434,-16.810556,1.1592864,75.06015276908875,93.40936,0.37317586,1.6217879,100.0,0.30144152
38.35,0.089387655,0.5404472,-17.216743,9.02677,800,7.3872185,8,100,1.0767155,[-0.856 -0.561 -0.434 -0.804  0.031],,-108.33711042928766,16.430729,29477,4.0391297,-17.638126,-3.8146972e-08,74.59691,-20.01807,1.289525,85.6597855091095,93.35008,0.13525258,1.7016408,100.0,0.31313282
43.6,0.10330696,0.49441236,-18.713718,8.338884,900,6.4679747,9,100,1.0051414,[-0.874 -0.575 -0.426 -0.816  0.055],,-106.80340508955213,15.012698,33837,4.0040965,-19.137428,3.7670137e-07,52.609898,-22.76308,1.2905817,98.31720972061157,94.10077,0.20197752,1.697681,100.0,0.33716282
41.89,0.21034923,1.3252424,-17.728985,8.544815,1000,6.7535706,10,100,1.0698184,[-0.872 -0.59  -0.421 -0.839  0.088],,-106.2184338316495,18.200016,38026,27.056341,-19.08791,5.626678e-07,495.59048,-16.883259,3.7264674,110.17894291877747,93.928696,0.026942182,50.048798,100.0,1.0181472
