Iteration,TimeElapsed,InitialReturnMean,Weights,MinIW,MaxIW,EpisodesSoFar,StdIW,InitialReturnStd,EpThisIter,InitialReturnMin,J_sample_variance,EmpiricalD2,InitialReturnMax,EpRewMean,Bound,TimestepsSoFar,InitialBound,ReturnMeanIW,EpLenMean,MeanIW
1,10.964793682098389,-4.959106e-07,[-0.365 -0.68  -0.484 -0.253  0.   ],3.0071225e-13,562.2306,100,4.3352356,2.0974436,100,-7.2581263,13397.033,841597500.0,5.1901965,-121.62483749719935,29.296068,4573,18.177803,29.296068,45.73,0.42547324
2,24.931514024734497,-1.7166138e-07,[-0.313 -0.487 -0.408 -0.075 -0.153],8.2159363e-14,3829.0898,200,92.49526,2.3154354,100,-6.6252346,355265.25,18512612.0,5.3110476,-125.73443666965393,85.564186,8789,20.406235,85.564186,42.16,9.072601
3,39.43401050567627,-5.7220458e-08,[-0.145 -0.631 -0.358 -0.013 -0.388],1.4192279e-11,1140.4697,300,13.133815,1.6463729,100,-4.8583174,21701.037,1.6342857e+16,3.3104377,-131.92647308578614,41.281254,13340,20.215084,41.281254,45.51,0.53213596
4,60.715184450149536,1.1920929e-07,[-0.211 -0.843 -0.322  0.006 -0.347],4.1040826e-10,217.50818,400,3.6649804,1.5047812,100,-1.9284935,612.9252,67324.164,4.380735,-161.44408194510788,15.952019,21471,11.789023,15.952019,81.31,0.29648283
5,76.4453182220459,1.5258789e-07,[-0.243 -0.818 -0.398  0.007 -0.516],3.4931402e-15,13055.627,500,165.99661,1.3984671,100,-2.378767,4146.553,79343336.0,4.234846,-141.2754244617062,22.031593,27216,16.445232,22.031593,57.45,4.1824827
6,96.23872947692871,-3.862381e-07,[-0.324 -0.853 -0.387  0.071 -0.686],3.6110464e-28,246.19151,600,16.844057,1.2697812,100,-1.894517,755.4158,9.770968e+22,3.6356878,-160.5327879204432,15.704434,35269,11.83342,15.704434,80.53,1.7040372
7,125.1485767364502,-2.5749208e-07,[-0.408 -0.914 -0.404  0.187 -0.799],,4727.1543,700,24.34154,1.3737452,100,-1.5335407,5230.0146,inf,3.8915005,-192.49184620593797,14.268543,46889,8.289671,14.268543,116.2,0.22952104
8,143.26404118537903,6.4849854e-07,[-0.349 -0.757 -0.398  0.323 -0.829],8.935265e-16,1454.2917,800,15.079046,1.3182092,100,-6.1117735,14709.276,50414444000000.0,3.4374247,-156.60053069784274,32.521126,53707,14.448366,32.521126,68.18,0.84870744
9,158.7546033859253,3.2424927e-07,[-0.354 -0.761 -0.48   0.322 -0.821],1.1005454e-06,656.3179,900,21.69472,3.3180528,100,-12.507049,129.25792,381.1536,4.0351734,-142.11461251470513,18.766949,59205,16.400349,18.766949,54.98,2.8983653
10,176.04508423805237,3.671646e-07,[-0.447 -0.808 -0.52   0.363 -0.921],6.1714815e-07,70.39779,1000,1.3216113,2.4015765,100,-13.423612,685.67017,17689.623,3.5966134,-146.05953693847357,17.505857,65194,15.584164,17.505857,59.89,0.27330872
11,195.1451461315155,5.2452087e-08,[-0.455 -0.828 -0.483  0.357 -0.958],8.525295e-19,539.1754,1100,7.943965,1.540992,100,-7.8422127,3081.115,1.069496e+34,3.2119336,-152.93915211798557,23.081919,71865,14.339752,23.081919,66.71,0.6877311
12,213.70249009132385,-4.4345856e-07,[-0.376 -0.66  -0.393  0.391 -0.969],0.01728946,9.636016,1200,1.371454,2.3672688,100,-11.262194,69.3439,4.545081,3.6132174,-156.09423721972627,14.672265,78564,14.2409115,14.672265,66.99,1.004145
13,229.77425837516785,-3.0517577e-07,[-0.401 -0.683 -0.423  0.413 -0.944],,3314.5566,1300,18.467947,3.6682773,100,-12.834413,302788.2,inf,4.701703,-150.39545322896154,65.28524,84707,14.632241,65.28524,61.43,0.21531713
14,347.3369162082672,-1.04904174e-07,[-0.456 -0.786 -0.242  0.25  -1.232],,94.96349,1400,0.93968487,1.2879245,100,-1.1567192,4.1782846,inf,4.6823454,-466.6099031342171,0.71460086,134707,0.5261108,0.71460086,500.0,0.05839964
15,464.38035774230957,-2.2411346e-07,[-0.439 -0.767 -0.294  0.272 -1.233],1.0,1.0,1500,,1.2129447,100,-1.3714256,1.4860959,1.0,3.8491516,-448.4670497953523,0.38971278,184707,0.38971278,0.38971278,500.0,1.0
16,581.0053613185883,9.536743e-09,[-0.439 -0.767 -0.294  0.272 -1.233],,11196.939,1600,61.924084,1.1069778,100,-1.3194618,22647.67,inf,3.6266155,-449.5566068535493,15.102244,234707,0.35891673,15.102244,500.0,0.5254379
17,603.6490898132324,6.67572e-08,[-0.436 -0.859 -0.438  0.355 -1.296],1.01011424e-22,269.37094,1700,3.1734717,1.279138,100,-1.7320251,48812.832,inf,3.0986295,-166.14185735994423,27.305529,242928,12.0197115,27.305529,82.21,0.07454719
18,622.4437861442566,4.2915343e-07,[-0.572 -0.911 -0.552  0.455 -1.219],9.529813e-15,2756.5386,1800,39.59011,2.219336,100,-9.290383,890.89276,3.112645e+20,4.478491,-152.54868022288704,17.015812,249622,14.057247,17.015812,66.94,3.4467943
19,641.0252215862274,-3.33786e-08,[-0.568 -0.92  -0.56   0.387 -1.232],0.004421678,7.314637,1900,0.8439192,1.4006256,100,-1.8461552,23.682299,3.5411637,3.1671987,-150.06860964404171,14.904987,256353,14.311262,14.904987,67.31,0.86506623
20,658.4764320850372,2.193451e-07,[-0.571 -0.933 -0.574  0.402 -1.261],2.9737748e-06,61.1801,2000,5.646064,2.135736,100,-10.192671,183.02072,4770.0205,3.9878006,-149.00104387438904,17.256996,262779,14.500528,17.256996,64.26,1.5231276
21,676.5413417816162,6.67572e-08,[-0.573 -0.954 -0.592  0.443 -1.294],1.3638535e-15,745.5551,2100,7.611652,1.7741619,100,-12.058103,24059.982,1.9039705e+29,3.402102,-148.57886441680827,28.702019,269302,14.536635,28.702019,65.23,0.56997585
22,695.9030575752258,3.2424927e-07,[-0.594 -1.011 -0.606  0.39  -1.279],1.3387252e-07,125.1197,2200,1.650584,1.2677913,100,-1.3261242,406.68073,212444320.0,4.307555,-151.6179985577321,16.068546,275931,14.421834,16.068546,66.29,0.32338026
23,715.897873878479,-4.5776366e-07,[-0.674 -1.021 -0.629  0.369 -1.322],2.4515297e-17,575.96735,2300,3.3086088,1.3096905,100,-1.7892218,1204.363,3.4482027e+22,3.4210997,-153.63689573975242,15.722371,283172,13.16132,15.722371,72.41,0.25392368
24,733.9266993999481,-3.8146973e-07,[-0.637 -0.994 -0.616  0.42  -1.322],1.3511732e-05,1231.6082,2400,44.718502,1.7360383,100,-10.416973,11829.906,20783.264,3.281023,-148.72040416743786,25.082808,289730,14.536841,25.082808,65.58,5.6357775
25,751.3218491077423,4.9114226e-07,[-0.603 -0.876 -0.587  0.376 -1.335],7.369919e-21,76.21531,2500,1.3337497,2.227426,100,-12.425879,2408.9175,5.3243537e+27,3.7694464,-146.62034913504792,18.863298,296098,14.738357,18.863298,63.68,0.08648279
26,770.598769903183,-1.8596648e-07,[-0.6   -0.897 -0.55   0.439 -1.343],,1420.4412,2600,10.116946,1.8884019,100,-9.434,37204.562,inf,3.0992846,-155.41636655492402,35.044243,303252,13.209152,35.044243,71.54,0.1225225
27,790.6457180976868,6.7710874e-07,[-0.678 -0.976 -0.63   0.324 -1.39 ],3.616356e-08,238.02493,2700,21.039808,1.2614644,100,-1.5546169,2977.6096,23745292000.0,4.0451374,-150.91172039606954,21.18731,310272,13.2703,21.18731,70.2,3.1699905
28,809.7215828895569,-8.2969666e-07,[-0.62  -0.912 -0.583  0.336 -1.348],6.294282e-15,1284.8058,2800,8.221895,1.2729418,100,-1.5698929,13473.283,6889092000000.0,3.4391809,-151.39060488635175,22.591105,317212,13.72561,22.591105,69.4,0.3407259
29,833.0494627952576,4.196167e-07,[-0.644 -1.016 -0.584  0.343 -1.425],1.935803e-06,45.75428,2900,2.268749,1.2059004,100,-1.4945898,260.17264,140841.19,3.6819344,-167.12365279494372,12.477959,326181,10.355462,12.477959,89.69,0.8404656
30,856.633543252945,1.7642975e-07,[-0.591 -0.958 -0.545  0.343 -1.467],3.1351213e-11,163.41446,3000,6.800728,1.25848,100,-1.6772032,482.74045,26295929000.0,3.9997177,-166.8496498413662,14.144236,334952,10.7861595,14.144236,87.71,1.0436954
31,878.8881058692932,9.441376e-07,[-0.598 -1.014 -0.568  0.398 -1.478],7.943844e-11,73.023865,3100,3.0398254,1.1686074,100,-1.5022736,88.86335,6046996.5,3.5244808,-162.82993966528417,12.996723,342956,11.971178,12.996723,80.04,0.7440521
32,899.5066080093384,-6.580353e-07,[-0.577 -1.053 -0.582  0.381 -1.492],9.927714e-07,49.023994,3200,1.5621535,1.4922057,100,-1.6332703,206.38133,442683.2,3.5597467,-156.8813533181228,14.670827,350351,13.050835,14.670827,73.95,0.5551859
33,918.2889518737793,5.38826e-07,[-0.587 -1.086 -0.611  0.367 -1.511],1.1643754e-20,403.393,3300,3.4951684,1.4123541,100,-1.5863419,7550.157,4.190183e+25,4.1920404,-152.49090018344222,27.796633,357123,14.255638,27.796633,67.72,0.19846246
34,935.3141951560974,3.7193297e-07,[-0.595 -1.12  -0.661  0.332 -1.528],4.459654e-06,51.020504,3400,2.002289,1.3252304,100,-1.7659426,1324.8376,9044.02,3.6989422,-145.28841297451697,20.64823,363367,15.119486,20.64823,62.44,0.6276761
35,953.5132291316986,1.7642975e-07,[-0.632 -1.209 -0.688  0.359 -1.522],3.3294542e-15,99.7359,3500,1.8700311,1.4610167,100,-2.154591,2640.5847,3.2273518e+22,3.3315706,-145.56576478848464,19.543272,369697,15.023425,19.543272,63.3,0.21505848
36,970.1967334747314,-3.1471254e-07,[-0.644 -1.22  -0.737  0.331 -1.496],1.857839e-25,14916.935,3600,81.192825,1.3664675,100,-1.9318266,1706735.2,inf,3.872795,-142.5960208460371,144.08409,375523,16.344215,144.08409,58.26,1.1565639
37,989.4357504844666,-8.583069e-08,[-0.628 -1.112 -0.654  0.242 -1.518],0.0012264489,99.11805,3700,7.0908055,1.309591,100,-1.8659372,98.13388,186.67099,3.3753695,-147.95480181913226,15.483976,382260,13.962574,15.483976,67.37,1.3825635
38,1010.3257231712341,2.3365021e-07,[-0.668 -1.096 -0.663  0.236 -1.539],5.6308523e-21,32638.865,3800,173.9082,1.4675481,100,-2.0490584,66070.59,3.624065e+25,3.6149783,-151.51293195383283,36.617172,389639,12.681958,36.617172,73.79,1.7280525
39,1036.7087049484253,-9.536743e-08,[-0.68  -1.089 -0.621  0.253 -1.539],1.634516e-18,2451.1538,3900,29.680948,1.3311651,100,-1.6943889,62989.16,9.613976e+23,3.4712758,-166.40093991247494,32.986294,399472,9.057818,32.986294,98.33,0.7142328
40,1058.9776105880737,-4.7683716e-07,[-0.662 -1.018 -0.628  0.209 -1.554],4.8379086e-08,377.02304,4000,19.621443,1.2537941,100,-1.682518,1663.4714,150503.78,3.268299,-156.88208155240028,14.129658,407735,10.968813,14.129658,82.63,2.2551086
41,1078.4516124725342,1.4781952e-07,[-0.692 -0.999 -0.657  0.21  -1.599],2.3728226e-06,86.31472,4100,9.189342,1.3556439,100,-1.9534492,249.73122,31570.633,3.7995477,-148.54562234872,16.337385,414921,12.75413,16.337385,71.86,1.9876128
42,1096.3094160556793,-7.152558e-08,[-0.651 -0.957 -0.638  0.183 -1.599],1.5758187e-26,2062.8132,4200,20.184153,1.3112048,100,-1.8260736,30910.365,1.5384929e+32,3.3142462,-145.44718230729487,28.90417,421677,13.652084,28.90417,67.56,0.39927348
43,1113.131957769394,6.9618227e-07,[-0.639 -1.03  -0.676  0.143 -1.614],7.349323e-07,21.432705,4300,0.7637776,1.3163877,100,-1.4577475,50.76816,249897.84,3.702159,-142.0577186696384,15.2379,427950,14.529918,15.2379,62.73,0.34152004
44,1129.3905720710754,9.870529e-07,[-0.618 -1.067 -0.69   0.138 -1.592],6.5274217e-09,567.8701,4400,4.7213407,1.3834285,100,-2.2781687,2837.5916,1487950300.0,3.1357265,-137.9371291446557,22.27209,433783,15.787686,22.27209,58.33,0.22389632
45,1145.2964811325073,-2.7179718e-07,[-0.612 -1.054 -0.716  0.134 -1.579],2.392982e-36,1953.2883,4500,15.022846,1.3401078,100,-1.7629423,86031.55,inf,3.1488276,-132.51512909478717,52.3695,439148,16.977516,52.3695,53.65,0.2860493
46,1161.360652923584,6.389618e-07,[-0.557 -1.011 -0.675  0.21  -1.579],4.699482e-05,70.890945,4600,1.2623503,1.3082397,100,-2.105834,205.65349,1045.3574,3.5695,-137.68534026342093,18.126818,444655,16.834768,18.126818,55.07,0.4003627
47,1178.4674327373505,1.2111664e-06,[-0.567 -1.017 -0.661  0.209 -1.582],4.7802176e-14,488.39752,4700,3.9388628,1.2267684,100,-1.6581182,6718.541,1.1064998e+16,3.707861,-139.17876055264853,24.174051,450416,16.026436,24.174051,57.61,0.19923617
48,1194.600385427475,-3.862381e-07,[-0.557 -1.01  -0.658  0.253 -1.585],2.860023e-06,251.56212,4800,10.881783,1.2906127,100,-1.9450655,443.47885,15842.839,3.2674866,-139.08698455427506,18.097982,456164,16.149815,18.097982,57.48,1.8983229
49,1210.0574095249176,-2.5272368e-07,[-0.556 -1.012 -0.683  0.264 -1.609],0.008594443,24.565172,4900,2.2024548,1.2632205,100,-1.744916,210.73918,5.4906445,3.5992775,-138.5744026670487,18.057676,461820,16.300398,18.057676,56.56,1.09365
50,1226.3481469154358,2.8610229e-08,[-0.548 -0.979 -0.666  0.265 -1.624],1.3063019e-12,1292.425,5000,19.515171,1.3201686,100,-1.7223711,4655.028,284379000000000.0,3.4547162,-138.1957724650449,22.922855,467439,16.471437,22.922855,56.19,1.8618823
51,1241.769968509674,2.2411346e-07,[-0.51  -0.956 -0.68   0.251 -1.626],9.406154e-10,90.35471,5100,1.2791055,1.5705695,100,-8.864848,1920.7986,18970034000.0,3.263136,-135.23700258366466,20.93982,472792,17.05866,20.93982,53.53,0.19664723
