MinIW,StdIW,EpThisIter,Iteration,MeanIW,InitialReturnMean,TimeElapsed,EpisodesSoFar,InitialReturnMax,EpLenMean,InitialBound,Weights,Bound,J_sample_variance,MaxIW,ReturnMeanIW,EpRewMean,InitialReturnStd,InitialReturnMin,TimestepsSoFar,EmpiricalD2
0.8591055,0.05003673,100,1,1.007639,1.2969971e-06,8.886442422866821,100,25.629276,45.73,-438676400000000.0,[-0.365 -0.68  -0.484 -0.253  0.   ],-438676400000000.0,148.92587,1.1334319,182.81697,-121.62483749719935,8.854463,-16.882248,4573,1.0027175
0.8298794,0.055456065,100,2,1.0073858,2.2506713e-06,19.432655334472656,200,19.409508,45.28,-490727960000000.0,[-0.365 -0.679 -0.484 -0.255 -0.001],-490727960000000.0,132.52359,1.1737834,183.09566,-120.1334286404363,8.014364,-17.566437,9101,1.0036569
0.8995814,0.049697027,100,3,1.0059872,1.8310546e-06,29.748574018478394,300,21.34645,47.17,-456941940000000.0,[-0.365 -0.678 -0.485 -0.256 -0.002],-456941940000000.0,148.59604,1.2345512,175.4788,-121.41580685450158,8.674463,-18.03067,13818,1.0026944
0.91576445,0.033966806,100,4,1.0059971,4.959106e-07,38.79551434516907,400,22.338787,46.27,-505951340000000.0,[-0.366 -0.679 -0.484 -0.257 -0.001],-505951340000000.0,143.16273,1.1078081,178.45491,-120.410921106429,9.4343,-17.1996,18445,1.0012134
0.86885685,0.04242268,100,5,1.0070095,-2.1362305e-06,48.227734088897705,500,22.855309,45.4,-516358300000000.0,[-0.366 -0.679 -0.483 -0.257 -0.001],-516358300000000.0,111.18504,1.1229485,182.6239,-120.27750408805753,8.225509,-17.059074,22985,1.0022132
0.9036365,0.032317765,100,6,1.0068932,2.2888183e-07,58.02020239830017,600,31.251446,46.03,-452306460000000.0,[-0.366 -0.679 -0.484 -0.258 -0.001],-452306460000000.0,119.32925,1.0985451,179.54482,-120.37055227623388,8.572649,-16.020805,27588,1.0012311
0.86346376,0.068780735,100,7,1.0075091,3.967285e-06,67.44562983512878,700,21.612381,45.92,-452306460000000.0,[-0.366 -0.68  -0.484 -0.26  -0.002],-452306460000000.0,174.31102,1.2447824,181.39432,-121.27432982985687,8.77107,-16.701004,32180,1.003999
0.85557604,0.051033285,100,8,1.007007,-1.335144e-06,77.46764087677002,800,21.830276,44.93,-452306460000000.0,[-0.367 -0.68  -0.483 -0.261  0.004],-452306460000000.0,119.27889,1.1655552,184.19409,-119.70554980468499,8.281094,-16.737823,36673,1.0032481
0.74631655,0.095991105,100,9,1.0068358,-5.9127806e-06,87.12815141677856,900,21.83405,46.06,-500825800000000.0,[-0.366 -0.677 -0.483 -0.259  0.002],-500825800000000.0,226.24937,1.2957999,181.08824,-121.58570732438214,8.911613,-16.073288,41279,1.0090946
0.58874553,0.1852802,100,10,1.0088913,-2.5558472e-06,96.96629738807678,1000,22.237991,45.73,-490727960000000.0,[-0.367 -0.679 -0.482 -0.256  0.001],-490727960000000.0,826.8792,1.5423499,181.29005,-120.215427419276,7.4401455,-15.841492,45852,1.0293319
0.8814079,0.052765086,100,11,1.0055331,1.335144e-06,108.05865836143494,1100,22.004559,48.66,-425451140000000.0,[-0.368 -0.681 -0.477 -0.254  0.001],-425451140000000.0,178.79784,1.2375997,169.02457,-121.8625488906321,9.49321,-17.47287,50718,1.0033005
0.8042383,0.071329825,100,12,1.0060378,7.6293944e-08,117.64417743682861,1200,40.188477,47.62,-425451140000000.0,[-3.691e-01 -6.817e-01 -4.754e-01 -2.555e-01  6.680e-04],-425451140000000.0,238.69363,1.2080784,172.93742,-121.23241011748114,10.05266,-16.678642,55480,1.0049084
0.8300928,0.08494725,100,13,1.0112988,-2.4414062e-06,127.35486459732056,1300,21.898796,46.7,-421130570000000.0,[-0.371 -0.682 -0.473 -0.257  0.002],-421130570000000.0,200.11551,1.3183742,178.17838,-121.76983234269842,8.623202,-17.15847,60150,1.0072994
0.8817371,0.04824961,100,14,1.0069431,5.569458e-06,137.32403683662415,1400,24.898136,47.47,-485754660000000.0,[-0.372 -0.682 -0.473 -0.253  0.002],-485754660000000.0,145.03151,1.179147,172.61215,-120.42073806192718,9.070897,-18.579811,64897,1.0028287
0.86218727,0.051381305,100,15,1.0058756,-1.14440915e-07,147.2966878414154,1500,27.273247,46.73,-495751530000000.0,[-0.372 -0.682 -0.471 -0.255  0.001],-495751530000000.0,160.68883,1.1396636,176.73572,-120.90831845457295,9.349685,-16.208786,69570,1.0029083
0.91735005,0.026549721,100,16,1.0070097,4.5013426e-06,156.45200610160828,1600,57.994083,47.49,-346776970000000.0,[-0.373 -0.682 -0.469 -0.256  0.001],-346776970000000.0,157.49113,1.0831279,171.20369,-119.67814122624826,11.21297,-17.832336,74319,1.0009449
0.8169131,0.08684257,100,17,1.0073268,-7.5531007e-06,166.938054561615,1700,25.64993,49.61,-400167340000000.0,[-0.373 -0.681 -0.47  -0.256  0.001],-400167340000000.0,240.88956,1.3434519,164.99742,-121.92757650397321,9.38869,-17.701096,79280,1.0076785
