EpisodesSoFar,TimestepsSoFar,InitialBound,EpLenMean,Weights,InitialReturnStd,StdIW,MeanIW,Bound,InitialReturnMax,InitialReturnMean,EpThisIter,EmpiricalD2,InitialReturnMin,ReturnMeanIW,J_sample_variance,MinIW,TimeElapsed,Iteration,MaxIW,EpRewMean
100,4573,-1454925000000000.0,45.73,[-0.365 -0.68  -0.484 -0.253  0.   ],8.854463,0.05003673,1.007639,-1454925000000000.0,25.629276,1.2969971e-06,100,1.0027175,-16.882248,182.81697,148.92587,0.8591055,9.287632942199707,1,1.1334319,-121.62483749719935
200,9101,-1627560700000000.0,45.28,[-0.365 -0.679 -0.484 -0.255 -0.001],8.014364,0.055456065,1.0073858,-1627560700000000.0,19.409508,2.2506713e-06,100,1.0036569,-17.566437,183.09566,132.52359,0.8298794,21.33104920387268,2,1.1737834,-120.1334286404363
300,13818,-1515505100000000.0,47.17,[-0.365 -0.678 -0.485 -0.256 -0.002],8.674463,0.049697027,1.0059872,-1515505100000000.0,21.34645,1.8310546e-06,100,1.0026944,-18.03067,175.4788,148.59604,0.8995814,32.51422619819641,3,1.2345512,-121.41580685450158
400,18445,-1678051000000000.0,46.27,[-0.366 -0.679 -0.484 -0.257 -0.001],9.4343,0.033966806,1.0059971,-1678051000000000.0,22.338787,4.959106e-07,100,1.0012134,-17.1996,178.45491,143.16273,0.91576445,43.17683005332947,4,1.1078081,-120.410921106429
500,22985,-1712566800000000.0,45.4,[-0.366 -0.679 -0.483 -0.257 -0.001],8.225509,0.04242268,1.0070095,-1712566800000000.0,22.855309,-2.1362305e-06,100,1.0022132,-17.059074,182.6239,111.18504,0.86885685,54.17617440223694,5,1.1229485,-120.27750408805753
600,27588,-1500130900000000.0,46.03,[-0.366 -0.679 -0.484 -0.258 -0.001],8.572649,0.032317765,1.0068932,-1500130900000000.0,31.251446,2.2888183e-07,100,1.0012311,-16.020805,179.54482,119.32925,0.9036365,65.91221857070923,6,1.0985451,-120.37055227623388
700,32180,-1500130900000000.0,45.92,[-0.366 -0.68  -0.484 -0.26  -0.002],8.77107,0.068780735,1.0075091,-1500130900000000.0,21.612381,3.967285e-06,100,1.003999,-16.701004,181.39432,174.31102,0.86346376,76.32551383972168,7,1.2447824,-121.27432982985687
800,36673,-1500130900000000.0,44.93,[-0.367 -0.68  -0.483 -0.261  0.004],8.281094,0.051033285,1.007007,-1500130900000000.0,21.830276,-1.335144e-06,100,1.0032481,-16.737823,184.19409,119.27889,0.85557604,87.16783285140991,8,1.1655552,-119.70554980468499
900,41279,-1661051400000000.0,46.06,[-0.366 -0.677 -0.483 -0.259  0.002],8.911613,0.095991105,1.0068358,-1661051400000000.0,21.83405,-5.9127806e-06,100,1.0090946,-16.073288,181.08824,226.24937,0.74631655,98.28151750564575,9,1.2957999,-121.58570732438214
1000,45852,-1627560700000000.0,45.73,[-0.367 -0.679 -0.482 -0.256  0.001],7.4401455,0.1852802,1.0088913,-1627560700000000.0,22.237991,-2.5558472e-06,100,1.0293319,-15.841492,181.29005,826.8792,0.58874553,108.8927731513977,10,1.5423499,-120.215427419276
1100,50718,-1411061800000000.0,48.66,[-0.368 -0.681 -0.477 -0.254  0.001],9.49321,0.052765086,1.0055331,-1411061800000000.0,22.004559,1.335144e-06,100,1.0033005,-17.47287,169.02457,178.79784,0.8814079,120.85622906684875,11,1.2375997,-121.8625488906321
1200,55480,-1411061800000000.0,47.62,[-3.691e-01 -6.817e-01 -4.754e-01 -2.555e-01  6.680e-04],10.05266,0.071329825,1.0060378,-1411061800000000.0,40.188477,7.6293944e-08,100,1.0049084,-16.678642,172.93742,238.69363,0.8042383,132.20615077018738,12,1.2080784,-121.23241011748114
1300,60150,-1396732200000000.0,46.7,[-0.371 -0.682 -0.473 -0.257  0.002],8.623202,0.08494725,1.0112988,-1396732200000000.0,21.898796,-2.4414062e-06,100,1.0072994,-17.15847,178.17838,200.11551,0.8300928,143.15972208976746,13,1.3183742,-121.76983234269842
1400,64897,-1611066000000000.0,47.47,[-0.372 -0.682 -0.473 -0.253  0.002],9.070897,0.04824961,1.0069431,-1611066000000000.0,24.898136,5.569458e-06,100,1.0028287,-18.579811,172.61215,145.03151,0.8817371,154.61578273773193,14,1.179147,-120.42073806192718
1500,69570,-1644221900000000.0,46.73,[-0.372 -0.682 -0.471 -0.255  0.001],9.349685,0.051381305,1.0058756,-1644221900000000.0,27.273247,-1.14440915e-07,100,1.0029083,-16.208786,176.73572,160.68883,0.86218727,165.33048033714294,15,1.1396636,-120.90831845457295
1600,74319,-1150129200000000.0,47.49,[-0.373 -0.682 -0.469 -0.256  0.001],11.21297,0.026549721,1.0070097,-1150129200000000.0,57.994083,4.5013426e-06,100,1.0009449,-17.832336,171.20369,157.49113,0.91735005,176.5852575302124,16,1.0831279,-119.67814122624826
1700,79280,-1327205000000000.0,49.61,[-0.373 -0.681 -0.47  -0.256  0.001],9.38869,0.08684257,1.0073268,-1327205000000000.0,25.64993,-7.5531007e-06,100,1.0076785,-17.701096,164.99742,240.88956,0.8169131,188.41999650001526,17,1.3434519,-121.92757650397321
1800,84040,-1425536000000000.0,47.6,[-0.376 -0.683 -0.468 -0.256  0.003],8.967925,0.052830324,1.0071517,-1425536000000000.0,34.971527,-8.392334e-07,100,1.0025277,-16.731895,172.5125,159.69614,0.895543,199.45744729042053,18,1.2061149,-120.8272291251064
1900,88768,-1440156600000000.0,47.28,[-0.377 -0.684 -0.467 -0.255  0.002],9.128845,0.07560101,1.0074042,-1440156600000000.0,22.756016,-3.5476685e-06,100,1.0053322,-17.225563,174.4186,166.62372,0.8046886,210.09926009178162,19,1.2106762,-121.06271036198072
2000,93849,-1440156600000000.0,50.81,[-0.376 -0.682 -0.469 -0.256  0.002],9.194712,0.024087487,1.007299,-1440156600000000.0,28.555859,5.340576e-07,100,1.000676,-16.803856,160.10994,101.23876,0.9534458,221.62854480743408,20,1.0953691,-121.95946959966602
2100,98499,-1578569900000000.0,46.5,[-0.377 -0.683 -0.468 -0.256  0.002],8.143774,0.04199538,1.0062145,-1578569900000000.0,22.905502,-7.019043e-06,100,1.0018274,-15.788475,177.6073,95.52619,0.9075504,232.40618419647217,21,1.1058501,-120.69269351748237
2200,103503,-1562565200000000.0,50.04,[-0.376 -0.682 -0.469 -0.256  0.002],9.412977,0.04205313,1.0064608,-1562565200000000.0,30.463058,-4.119873e-06,100,1.0020099,-16.855316,163.04941,121.003204,0.919099,243.19159245491028,22,1.1450214,-121.75789622755616
2300,108211,-1562565200000000.0,47.08,[-0.377 -0.683 -0.468 -0.256  0.002],9.369148,0.10517488,1.0068111,-1562565200000000.0,27.84734,-3.967285e-06,100,1.0119087,-18.219162,174.39839,307.7291,0.7557903,254.17625617980957,23,1.2888536,-120.39928770987888
2400,112994,-1287135300000000.0,47.83,[-0.378 -0.681 -0.469 -0.26   0.001],8.202861,0.07862608,1.0091977,-1287135300000000.0,27.851135,3.929138e-06,100,1.0048549,-18.0253,172.04488,178.23761,0.80923975,265.2293219566345,24,1.2194699,-121.17644994646326
2500,117761,-1594736400000000.0,47.67,[-0.377 -0.68  -0.47  -0.261  0.002],7.8016295,0.027310755,1.0064559,-1594736400000000.0,23.580612,1.0299683e-06,100,1.0008832,-17.272598,173.68498,74.40058,0.93378884,276.3044137954712,25,1.0774399,-121.9216417833
2600,122493,-1274044700000000.0,47.32,[-0.377 -0.679 -0.471 -0.262  0.002],8.457832,0.06994865,1.0071639,-1274044700000000.0,23.236618,6.1035155e-07,100,1.0043592,-17.267448,175.73761,155.7481,0.7694378,286.894944190979,26,1.1813076,-122.15652499995089
2700,127209,-1469842500000000.0,47.16,[-0.377 -0.678 -0.472 -0.263  0.002],8.749144,0.07292294,1.0073847,-1469842500000000.0,23.267883,1.1825562e-06,100,1.0051556,-18.122437,174.22455,211.29889,0.8566084,298.5719106197357,27,1.2345628,-120.46542332354258
2800,132012,-1531034400000000.0,48.03,[-0.377 -0.679 -0.47  -0.262  0.002],8.736651,0.033341125,1.0057735,-1531034400000000.0,29.959797,-1.1062622e-06,100,1.0016127,-14.045189,171.21637,104.12869,0.9255826,309.7082359790802,28,1.1127292,-121.25469317669855
2900,136841,-1515505100000000.0,48.29,[-0.378 -0.68  -0.469 -0.261  0.002],9.701052,0.026319291,1.0065608,-1515505100000000.0,31.686817,-1.3732911e-06,100,1.0009873,-17.378113,169.54082,128.29826,0.92538303,321.22046542167664,29,1.074189,-120.9991761907506
3000,141585,-1454925000000000.0,47.44,[-0.378 -0.68  -0.469 -0.263  0.002],8.995242,0.043048967,1.0052837,-1454925000000000.0,23.06467,-1.9836425e-06,100,1.0023342,-17.223938,173.60904,141.78642,0.89620256,332.8916757106781,30,1.1640611,-121.15986389423642
3100,146394,-1313714000000000.0,48.09,[-0.379 -0.68  -0.469 -0.265  0.001],8.921981,0.047552064,1.0075095,-1313714000000000.0,26.495472,-2.4795531e-06,100,1.002559,-19.493408,169.30849,102.44801,0.8757887,343.8176612854004,31,1.1530626,-120.10569060173526
3200,151067,-1546720500000000.0,46.73,[-0.379 -0.68  -0.47  -0.263  0.001],8.558847,0.0661284,1.0079417,-1546720500000000.0,22.351887,-5.0735475e-06,100,1.0039464,-18.250328,176.10004,171.30994,0.8124642,354.1624848842621,32,1.2311578,-120.26830024186029
3300,155931,-1469842500000000.0,48.64,[-0.378 -0.68  -0.471 -0.264  0.002],8.773658,0.070226796,1.0068232,-1469842500000000.0,28.208626,3.2043456e-06,100,1.0053148,-18.364319,167.23267,185.13914,0.79780614,365.93452620506287,33,1.2357526,-120.31478052271906
3400,160682,-1340832400000000.0,47.51,[-0.379 -0.679 -0.472 -0.267  0.003],8.311365,0.04181751,1.0062375,-1340832400000000.0,19.244633,5.0735475e-06,100,1.0018961,-15.884262,175.98795,113.526474,0.894051,376.0704035758972,34,1.1333954,-123.10449871231069
3500,165348,-1515505100000000.0,46.66,[-0.379 -0.679 -0.471 -0.265  0.003],8.800458,0.043334734,1.0067637,-1515505100000000.0,33.009655,8.392334e-07,100,1.0019163,-14.956055,175.51373,114.301285,0.87154156,386.6661765575409,35,1.1231868,-119.76526264228966
3600,170076,-1354597400000000.0,47.28,[-0.38  -0.678 -0.472 -0.266  0.001],8.625116,0.06543263,1.0085089,-1354597400000000.0,27.773582,3.8146973e-06,100,1.0043311,-12.436676,174.13518,143.73224,0.8373218,398.2148447036743,36,1.2470187,-120.8505008372689
3700,174948,-1368501400000000.0,48.72,[-0.381 -0.68  -0.471 -0.265  0.002],10.251856,0.116488375,1.0083481,-1368501400000000.0,40.197437,4.5776366e-07,100,1.011635,-18.003113,167.7216,403.53973,0.6876564,409.8189115524292,37,1.3651196,-121.05031915872321
3800,179739,-1531034400000000.0,47.91,[-0.383 -0.679 -0.475 -0.267  0.006],9.142074,0.035934296,1.006768,-1531034400000000.0,31.277172,-4.196167e-07,100,1.0015309,-17.261185,171.1326,113.73016,0.9033322,421.2893867492676,38,1.1256835,-120.83114070981418
3900,184589,-1340832400000000.0,48.5,[-0.383 -0.68  -0.474 -0.267  0.006],9.429901,0.12898634,1.006485,-1340832400000000.0,32.4663,2.2888185e-06,100,1.0214276,-16.553207,168.81769,421.9599,0.6536927,432.2157702445984,39,1.5722482,-121.30410713459253
4000,189372,-1611066000000000.0,47.83,[-0.384 -0.678 -0.471 -0.272  0.008],8.481924,0.06910087,1.0058322,-1611066000000000.0,23.074863,-1.0681152e-06,100,1.004838,-17.075043,172.11415,185.23804,0.8319249,442.82572293281555,40,1.2339511,-121.31950430580359
4100,194145,-1611066000000000.0,47.73,[-0.385 -0.677 -0.471 -0.275  0.009],9.257245,0.0510737,1.0074747,-1611066000000000.0,24.344955,9.536743e-07,100,1.0025101,-17.44239,172.48221,125.09689,0.83577234,453.08459281921387,41,1.1013931,-121.20704278937623
4200,198872,-1340832400000000.0,47.27,[-0.384 -0.676 -0.473 -0.275  0.008],8.824342,0.077268645,1.0064999,-1340832400000000.0,43.653034,6.4849854e-07,100,1.0074838,-17.83667,173.23946,165.34102,0.8249074,463.83065032958984,42,1.3093436,-120.28837307580426
4300,203223,-1500130900000000.0,43.51,[-0.386 -0.673 -0.476 -0.273  0.009],8.707459,0.04091514,1.00627,-1500130900000000.0,35.97379,9.613037e-06,100,1.0013847,-15.084114,190.43178,164.05988,0.9076096,474.16932582855225,43,1.1843553,-118.77372694582034
4400,207920,-1484910600000000.0,46.97,[-0.386 -0.674 -0.475 -0.273  0.008],8.449855,0.037051577,1.005865,-1484910600000000.0,22.316982,4.9591063e-06,100,1.0017109,-18.35534,175.17986,128.76605,0.87114346,485.45520424842834,44,1.1039827,-120.60082462903247
4500,212642,-1440156600000000.0,47.22,[-0.387 -0.674 -0.474 -0.274  0.007],8.97498,0.050452072,1.0069358,-1440156600000000.0,26.418137,-7.5912476e-06,100,1.0020552,-13.979652,174.28056,157.18634,0.8828528,496.2163956165314,45,1.2452196,-120.84828630401802
4600,217198,-1644221900000000.0,45.56,[-0.388 -0.675 -0.472 -0.274  0.007],8.226778,0.0524111,1.0052433,-1644221900000000.0,17.41835,8.392334e-07,100,1.0038193,-16.85466,179.75323,161.29012,0.8800467,507.10312485694885,46,1.1800299,-118.87279030595086
