MinD2w0t,Bound,StdD2w0t,TimestepsSoFar,J_sample_variance,InitialReturnMax,Iteration,ReturnStepMaxmin,InitialBound,MeanD2w0t,EpRewMean,MaxIW,ReturnMeanIW,MaxD2w0t,MinIW,InitialReturnMean,EpisodesSoFar,MeanIW,Weights,ReturnStepMax,InitialReturnMin,TimeElapsed,StdIW,EpLenMean,EmpiricalD2,InitialReturnStd,EpThisIter
,-14.672771,0.3233371,4573,10.334916,5.1901965,1,93.704056,-15.155533,0.10210588,-121.62483749719935,3.4885776,18.96428,1.6570994,0.23026413,-4.959106e-07,100,1.0025263,[-0.365 -0.68  -0.484 -0.253  0.   ],100.0,-7.2581263,10.97708535194397,0.48313496,45.73,1.2899766,2.0974436,100
,-15.032024,0.32201535,9260,9.600327,4.217147,2,93.91611,-15.448805,0.10326416,-122.21763485402369,5.920212,18.58464,1.4204237,0.24111554,1.4305114e-08,200,0.9764967,[-0.392 -0.661 -0.476 -0.246 -0.038],100.0,-10.274535,28.013976335525513,0.661773,46.87,1.2594324,2.147552,100
,-15.715443,0.41435745,14139,26.561071,5.094002,3,94.149864,-16.291065,0.13239108,-122.62464284434886,6.941756,18.221012,2.6485696,0.23984405,8.583069e-08,300,1.0774175,[-0.4   -0.667 -0.47  -0.236 -0.064],100.0,-8.762634,43.775065660476685,0.8015811,48.79,1.6296685,2.1993978,100
,-17.001287,0.31339487,19237,5.6685476,4.620886,4,94.30549,-17.134018,0.10554266,-123.82170598332458,2.0759728,16.414255,1.1548243,0.48664173,-8.6307523e-07,400,1.009855,[-0.412 -0.661 -0.45  -0.255 -0.058],100.0,-11.731157,59.12413477897644,0.2681891,50.98,1.0896152,2.187512,100
,-16.885065,0.33424187,24424,5.918609,4.283004,5,94.311165,-17.268286,0.113421544,-122.53682040637324,3.3158522,16.679705,1.4544611,0.33110058,2.3841858e-07,500,1.0529864,[-0.413 -0.665 -0.446 -0.247 -0.061],100.0,-7.5934553,73.0205864906311,0.35608965,51.87,1.1795108,1.8751922,100
,-17.870808,0.3148811,29659,5.7191515,4.0113025,6,94.502426,-17.963861,0.10766019,-121.10432891535534,2.1588092,15.551262,1.0848213,0.6472078,1.9073486e-08,600,1.0432411,[-0.431 -0.656 -0.446 -0.248 -0.096],100.0,-8.148353,89.27243614196777,0.23672493,52.35,1.0438218,1.892539,100
,-17.579277,0.30937147,34940,4.619109,3.6094534,7,94.45742,-17.594368,0.10631612,-122.01167208805329,1.3182454,15.771106,1.021945,0.7292474,1.5735627e-07,700,0.9939374,[-0.437 -0.657 -0.455 -0.243 -0.09 ],100.0,-11.3067875,103.25386142730713,0.10376452,52.81,1.0131402,2.094886,100
,-17.942959,0.33512646,40310,6.414025,4.1998997,8,94.54421,-18.216722,0.116072565,-121.64279021496937,2.9626102,15.557983,1.2973027,0.44962797,-5.7220458e-08,800,1.063132,[-0.438 -0.657 -0.452 -0.243 -0.088],100.0,-12.103668,117.08974957466125,0.42076543,53.7,1.1376592,2.0568047,100
,-18.244438,0.32046703,45751,4.393146,4.389639,9,94.618744,-18.335331,0.11195234,-122.32982233748334,2.734446,15.138542,1.1142212,0.4938366,-3.0994414e-07,900,1.0138832,[-0.438 -0.682 -0.452 -0.251 -0.076],100.0,-3.879014,133.3856761455536,0.29139918,54.41,1.055458,1.8030858,100
,-18.022799,0.35675913,51069,8.51026,5.010643,10,94.494995,-18.378574,0.1220072,-119.83789236633883,4.2552214,15.51314,1.7729076,0.10197463,-1.001358e-07,1000,1.1015395,[-0.438 -0.678 -0.449 -0.259 -0.07 ],100.0,-8.445768,147.08565950393677,0.59993047,53.18,1.2841535,2.098321,100
