MaxIW,InitialReturnMax,InitialReturnMin,InitialBound,Weights,TimeElapsed,EpisodesSoFar,InitialReturnStd,ReturnMeanIW,MinIW,EpLenMean,J_sample_variance,EpRewMean,EpThisIter,EmpiricalD2,TimestepsSoFar,Iteration,InitialReturnMean,Bound,StdIW,MeanIW
4183.835,6.4169464,-2.4639435,956.7287,[ 0.579 -0.554  0.227  0.402  0.   ],9.865815877914429,100,2.1648557,39081.535,,46.09,152638030000.0,-141.8229098366061,100,inf,4609,1,-3.8146973e-07,39081.535,409.24725,40.435844
7622.3057,6.488785,-3.8645477,2476.2078,[ 0.981  0.223 -0.589  0.291  0.338],21.809008836746216,200,2.2434552,137061.72,3.5672906e-27,18.28,1876828000000.0,-110.54650817225144,100,787450050.0,6437,2,5.4931643e-06,137061.72,556.0842,55.276684
421.56458,5.708069,-3.8896408,2254.9626,[ 0.919  0.106 -0.392  0.374 -0.09 ],36.029144525527954,300,1.6273882,5003.238,0.00014513699,20.25,1000511900.0,-113.85399282632022,100,16372.385,8462,3,1.0681152e-06,5003.238,14.226613,2.2144232
2588.948,4.0956726,-3.265602,2075.744,[ 0.937 -0.053 -0.375  0.382 -0.016],47.4363317489624,400,1.358583,16063.282,0.00094069185,22.02,22047603000.0,-116.11866090734189,100,123165.8,10664,4,-1.7547608e-06,16063.282,72.74694,7.7096214
22905.648,7.5976562,-3.991623,2075.1018,[ 0.953 -0.01  -0.3    0.117  0.001],60.37351131439209,500,2.1402695,459266.75,7.771353e-25,21.85,21042930000000.0,-115.04853677369856,100,7379791000000000.0,12849,5,1.3732911e-06,459266.75,2233.528,220.3211
20.784903,3.2060165,-2.6311874,2022.7948,[ 0.902 -0.158 -0.27   0.463 -0.251],75.06669902801514,600,1.0558895,2342.7175,0.003480429,22.78,23436912.0,-117.96468834136613,100,19.449532,15127,6,-1.2207031e-06,2342.7175,2.4078963,1.1573629
298.35147,3.762497,-2.3328934,1734.7982,[ 0.944 -0.251 -0.254  0.479 -0.258],86.3302857875824,700,1.3447477,3761.0762,1.6714113e-05,26.46,512466140.0,-122.04828224446466,100,766423.7,17773,7,2.5177003e-06,3761.0762,13.230406,2.1599395
21392.662,2.3992004,-2.1193314,1770.7869,[ 0.888 -0.327 -0.333  0.592 -0.266],99.56408214569092,800,1.0008596,141589.81,4.1741303e-29,25.87,1882282800000.0,-121.08322790234959,100,2.2199184e+29,20360,8,-2.2888183e-07,141589.81,793.88074,78.965805
85.003525,3.7487946,-2.337494,2039.1925,[ 1.043 -0.065 -0.189  0.708 -0.393],114.15748882293701,900,1.3308314,3685.8389,3.2776898e-05,22.68,209018580.0,-118.2535374292245,100,32.728134,22628,9,4.4250487e-06,3685.8389,7.2661815,1.7982525
5.7367105,2.8606644,-2.4488983,1977.7295,[ 0.986 -0.03  -0.244  0.699 -0.522],126.51036834716797,1000,1.0261855,2183.7065,0.031482693,23.35,2035575.8,-118.8447245601588,100,1.8084201,24963,10,3.5095215e-06,2183.7065,0.7247031,1.1038474
58.250465,3.5043259,-2.1309967,2197.0696,[ 1.    -0.021 -0.215  0.68  -0.549],137.19875049591064,1100,1.0288413,3616.8528,1.11330655e-05,21.13,186343340.0,-116.75491573786542,100,614.11255,27076,11,-2.5177003e-06,3616.8528,6.30378,1.6411904
83.795715,2.7050781,-2.178894,2159.1914,[ 1.043  0.06  -0.19   0.715 -0.591],146.00569772720337,1200,1.0836359,4389.9644,0.028832776,21.5,322987460.0,-117.21593830834172,100,26.573616,29226,12,-3.8146973e-07,4389.9644,8.373494,2.0286002
858.1946,3.0451508,-2.0656204,2216.0647,[ 1.032  0.031 -0.17   0.762 -0.497],157.61100935935974,1300,1.0276899,17692.527,3.3349205e-11,20.93,26848272000.0,-116.42428379201134,100,97026.52,31319,13,5.8746336e-06,17692.527,76.73126,7.874995
3189.676,3.8165665,-1.9149933,2345.1404,[ 0.958  0.142 -0.177  0.959 -0.727],170.1498498916626,1400,0.9892834,72150.586,1.1384386e-15,19.85,509013260000.0,-115.51318914034913,100,81539430000.0,33304,14,-5.8746336e-06,72150.586,308.82196,30.560675
118.83293,3.378273,-1.9325867,2301.193,[ 1.025  0.262 -0.154  1.051 -0.873],183.8228940963745,1500,1.1340592,3501.5974,1.6611379e-05,20.15,173308660.0,-115.43333984457242,100,33768132.0,35319,15,3.1280517e-06,3501.5974,5.793717,1.5226846
13.728415,3.2203445,-1.8776627,2325.9165,[ 1.004  0.251 -0.093  1.077 -0.807],194.269357919693,1600,1.1117668,2752.5151,0.012884167,19.96,21815820.0,-115.36551527446645,100,12.164716,37315,16,4.4250487e-06,2752.5151,2.0277421,1.1821721
5.5607414,4.181473,-1.57444,2130.7302,[ 0.965  0.227 -0.082  1.058 -0.762],205.19903945922852,1700,0.923818,2284.4736,0.08156673,21.8,2217791.8,-117.61670636848785,100,1.4351878,39495,17,-5.0354006e-06,2284.4736,0.70068264,1.0719352
1828.9486,2.4923553,-1.877655,2086.2124,[ 1.014  0.209 -0.096  1.04  -0.786],215.065171957016,1800,1.0489774,33634.555,3.0608804e-10,22.21,111089940000.0,-117.85853496235416,100,4757467000.0,41716,18,,33634.555,160.71886,16.061995
78.9044,3.1196442,-1.6059418,2372.0874,[ 1.043  0.308 -0.074  0.936 -0.784],226.7426016330719,1900,0.953905,4271.224,5.583339e-05,19.59,433422940.0,-114.98102466845351,100,21624.43,43675,19,5.7983398e-06,4271.224,8.884558,1.7958888
25510.46,2.7129822,-1.3556671,2368.7395,[ 1.089  0.365 -0.051  0.91  -0.727],238.46196913719177,2000,0.8130766,487310.84,1.1614307e-11,19.62,23687275000000.0,-115.02795624904968,100,6.921691e+35,45637,20,-8.392334e-07,487310.84,2054.2527,205.32133
111.71494,3.7670975,-1.4492188,2475.5542,[ 1.199  0.325  0.073  1.128 -0.577],247.14708137512207,2100,0.9610271,4345.003,0.0013349555,18.79,442640320.0,-114.17371052132331,100,90.51931,47516,21,6.1035155e-07,4345.003,8.507392,1.7552173
