InitialReturnStd,Weights,J_sample_variance,Iteration,ReturnMeanIW,TimestepsSoFar,MeanIW,MinIW,StdIW,TimeElapsed,MaxIW,EpisodesSoFar,InitialReturnMax,EpThisIter,EpRewMean,EpLenMean,InitialReturnMean,EmpiricalD2,InitialBound,Bound,InitialReturnMin
2.0974436,[-0.365 -0.68  -0.484 -0.253  0.   ],35.680622,1,18.940634,4573,0.8445423,0.043792497,0.7981262,10.00859785079956,5.900829,100,5.1901965,100,-121.62483749719935,45.73,-4.959106e-07,2.7451518,-19761762000.0,-19761762000.0,-7.2581263
1.9502236,[-0.378 -0.684 -0.45  -0.243 -0.031],434.66833,2,17.696857,9668,0.13901864,5.1848144e-07,1.214237,22.748729944229126,64.78159,200,4.020489,100,-121.48738918895764,50.95,-3.528595e-07,906803.8,-2669521000.0,-2669521000.0,-7.7078705
1.3139272,[-0.432 -0.734 -0.369 -0.23  -0.111],1.7460095,3,6.854149,19231,1.0001457,0.9893934,0.004386279,42.04937148094177,1.0179595,300,3.2008362,100,-137.6533190236777,95.63,4.3392183e-07,1.0000219,-1672658.1,-1672658.1,-2.256165
1.7419215,[-0.432 -0.734 -0.368 -0.23  -0.111],25516.076,4,24.453047,29039,0.4862116,4.875434e-12,8.088556,63.106573820114136,702.3313,400,4.2787952,100,-137.3333000042777,98.08,-2.2411346e-07,8.396408e+16,-9571.707,-9554.004,-2.5744905
1.8031468,[-0.465 -0.698 -0.409 -0.323 -0.151],52.621094,5,12.971536,35061,0.52959037,1.6829756e-05,1.0554271,79.48730778694153,34.212215,500,3.7332194,100,-118.76347181475849,60.22,-1.04904174e-07,4159604.8,-1672652.5,-1672652.0,-5.76179
1.9595428,[-0.503 -0.718 -0.406 -0.403 -0.113],149.50533,6,12.897832,41227,1.2344218,0.0009356511,6.5325947,93.78279113769531,381.2116,600,3.8914895,100,-113.22198185584057,61.66,-7.724762e-07,613.385,-20969524.0,-20969524.0,-7.0951085
1.5727423,[-0.51  -0.758 -0.361 -0.388 -0.14 ],2.4985032,7,5.4021006,50816,1.0000001,0.9999969,3.5473026e-06,114.18627452850342,1.0000147,700,3.9801888,100,-118.15148046841242,95.89,1.0967255e-07,1.0,-4.79027,-4.790269,-2.6728945
1.6507143,[-0.51  -0.758 -0.361 -0.388 -0.14 ],2.7523806,8,6.3407817,59977,1.0,1.0,,132.24343848228455,1.0,800,4.8872814,100,-118.51102819579962,91.61,-3.4809113e-07,1.0,-359.23206,-359.23206,-3.2517505
1.7548691,[-0.51  -0.758 -0.361 -0.388 -0.14 ],3.1106164,9,4.809862,70105,1.0000066,0.9998403,7.047167e-05,153.24105405807495,1.0002612,900,4.2696548,100,-117.32070613692122,101.28,-2.002716e-07,1.0,-5.2409186,-5.240906,-3.5624142
1.634739,[-0.51  -0.758 -0.361 -0.388 -0.14 ],2.6993654,10,6.725462,78785,1.0,1.0,,170.8898799419403,1.0,1000,4.1950183,100,-118.10973712617577,86.8,-2.3841858e-08,1.0,-3.3249788,-3.3249788,-3.0749612
1.5914637,[-0.51  -0.758 -0.361 -0.388 -0.14 ],2.5583396,11,5.6968937,88203,1.0,1.0,,189.78673434257507,1.0,1100,4.1449046,100,-119.4769517859187,94.18,4.863739e-07,1.0,-613.2515,-613.2515,-3.0685158
1.7674463,[-0.51  -0.758 -0.361 -0.388 -0.14 ],440.6487,12,9.759144,97587,0.67246157,9.26141e-16,3.921878,209.7726902961731,106.4723,1200,4.7855926,100,-120.53041825628853,93.84,1.2874604e-07,2867692000000.0,-2699.1414,-2695.5156,-3.0822263
1.8296586,[-0.538 -0.783 -0.33  -0.465 -0.351],3.3814647,13,2.9902706,109504,1.0,1.0,,236.62994766235352,1.0,1300,4.032712,100,-116.51248083799965,119.17,-3.8146972e-08,1.0,-7.060128,-7.060128,-3.242074
1.6077725,[-0.538 -0.783 -0.33  -0.465 -0.351],3.160861,14,4.344676,120378,1.015166,0.3113877,0.32630736,259.1524260044098,2.2718291,1400,4.231483,100,-115.9294475045135,108.74,4.2915343e-07,1.1609536,-5.77446,-5.7379084,-3.399197
1.628826,[-0.536 -0.777 -0.331 -0.465 -0.372],2.6798851,15,3.7082183,131831,0.9999978,0.99993914,2.467346e-05,283.97510862350464,1.0001006,1500,3.8802078,100,-114.11209568226667,114.53,-4.816055e-07,1.0,-6.3421803,-6.3421736,-3.1980028
1.6635449,[-0.536 -0.777 -0.331 -0.465 -0.372],2.7953343,16,3.4678257,142987,1.0,1.0,,306.8106744289398,1.0,1600,3.7196298,100,-112.90799425584802,111.56,1.9073486e-08,1.0,-7.6965714,-7.6965714,-3.227519
