EpRewMean,J_sample_variance,InitialBound,TimeElapsed,EmpiricalD2,InitialReturnMean,TimestepsSoFar,MaxIW,MeanIW,Iteration,Bound,EpLenMean,Weights,EpThisIter,InitialReturnMax,StdIW,ReturnMeanIW,MinIW,InitialReturnMin,InitialReturnStd,EpisodesSoFar
-107.5568281044892,114.75421,-137032770000.0,7.08211874961853,1.9557374,-4.386902e-07,3540,11.163698,1.1685544,1,-137032770000.0,35.4,[-0.563 -1.093 -0.809 -1.04   0.   ],100,10.384639,1.3019273,17.835152,0.062802225,-22.61143,8.24457,100
-107.33454072875365,307.8791,-232066220000.0,17.405291080474854,8.703677,-9.155273e-07,7259,49.990467,1.2352806,2,-232066220000.0,37.19,[-0.549 -1.098 -0.808 -1.003  0.008],100,10.349192,3.2250063,18.111881,0.013264976,-26.683884,8.320131,200
-105.81467254851273,137.95738,-65542350000.0,25.735369443893433,5.474784,-1.5640259e-06,11005,12.976192,1.0161147,3,-65542350000.0,37.46,[-0.554 -1.094 -0.765 -1.06   0.039],100,9.863068,1.4790404,17.230055,0.048104204,-20.347248,7.757807,300
-106.94453964313894,64.19685,-14993988000.0,34.72993516921997,2.0664468,-3.4332277e-07,14937,9.470519,0.9095668,4,-14993988000.0,39.32,[-0.556 -1.121 -0.735 -1.034  0.029],100,9.384002,0.7165982,17.187061,0.12983504,-15.724536,6.5749216,400
-107.51154141651914,143.57745,-99896890000.0,43.5055034160614,18.329689,-5.245209e-07,19078,19.130737,0.9276393,5,-99896890000.0,41.41,[-0.559 -1.136 -0.719 -1.013  0.029],100,8.338025,2.313392,15.655797,0.006312201,-18.774563,6.6810265,500
-103.93642477474862,42.853477,-2500574700.0,54.26153922080994,1.5313243,9.3460085e-07,23783,5.550131,1.1591381,6,-2500574700.0,47.05,[-0.566 -1.18  -0.682 -0.994  0.017],100,6.9933634,0.7813492,13.87813,0.16434047,-16.23978,5.673512,600
-106.34290277931714,49.46232,-89907200000.0,64.18283486366272,1.7394217,-2.9087067e-07,28168,5.0775414,0.9965503,7,-89907200000.0,43.85,[-0.57  -1.189 -0.665 -0.983  0.016],100,7.8444624,0.83069766,14.799642,0.15553631,-19.785755,6.471287,700
-107.13923598188019,53.565998,-187973630000.0,74.11238074302673,6.0592957,-6.9618227e-07,32613,11.662025,0.7230123,8,-187973630000.0,44.45,[-0.57  -1.2   -0.646 -0.968  0.013],100,7.398767,1.1751262,15.5947895,0.0040958743,-15.671203,5.5496817,800
-106.976110520653,31.053297,-13494588000.0,84.36940598487854,1.3631788,-2.479553e-07,37177,4.555761,1.0719287,9,-13494588000.0,45.64,[-0.589 -1.217 -0.613 -0.947  0.002],100,6.0793376,0.6881252,14.434326,0.2816553,-17.33717,5.431815,900
-105.18047627961845,94.32157,-53089300000.0,94.84585428237915,1059.6987,4.6730042e-07,41818,65.988235,1.0683402,10,-53089300000.0,46.41,[-0.592 -1.226 -0.599 -0.94   0.001],100,6.9805136,6.4237194,13.701892,5.5593868e-05,-15.630523,5.1151714,1000
-107.18138862393093,29.223913,-1196017200.0,106.8616156578064,2.6091356,5.102158e-07,47344,11.84663,1.0631596,11,-1196017200.0,55.26,[-0.617 -1.276 -0.535 -0.926 -0.025],100,4.7281632,1.2205848,12.913343,0.080718555,-11.69421,2.9191635,1100
-106.69975817689388,322.85114,-3430143200.0,119.57369685173035,5186299400.0,4.9114226e-07,53298,86.96889,0.14104791,12,-3430143200.0,59.54,[-0.624 -1.285 -0.504 -0.925 -0.026],100,4.4021597,0.9630871,11.958501,1.5671661e-10,-13.940695,2.4107964,1200
