InitialBound,EpThisIter,InitialReturnMax,Bound,EpisodesSoFar,EpLenMean,MinIW,InitialReturnStd,MeanIW,J_sample_variance,ReturnMeanIW,EpRewMean,InitialReturnMean,MaxIW,TimestepsSoFar,StdIW,EmpiricalD2,InitialReturnMin,Weights,Iteration,TimeElapsed
16.814732,100,10.384639,49.24235,100,35.4,,8.24457,0.2220791,126927.305,49.24235,-107.5568281044892,-4.386902e-07,2982.7324,3540,19.667398,inf,-22.61143,[-0.563 -1.093 -0.809 -1.04   0.   ],1,8.377396583557129
12.140845,100,4.2742777,40.62816,200,59.48,,1.8783072,0.19955848,97459.54,40.62816,-112.20997108393736,8.869171e-07,920.5828,9488,9.248117,5.7762027e+28,-5.9184184,[-0.564 -1.252 -0.576 -0.734  0.091],2,27.50028419494629
-3.1505747,100,4.4896183,,300,432.95,,1.555003,,,,-156.6102044148385,5.5789945e-07,,52783,,inf,-2.8989105,[-0.584 -1.417 -0.333 -0.766 -0.219],3,122.802419424057
36.287395,100,14.270438,65.45138,400,18.51,1.1592572,6.6716776,20.058632,2402.5247,65.45138,-109.9462549961678,-2.5939942e-06,97.62791,54634,19.897266,1.8970271,-11.464354,[  1.078 -11.773 -41.029  29.449 -27.627],4,130.45502376556396
36.4011,100,16.699347,67.19129,500,18.34,1.1638699,7.443399,21.71219,2773.9934,67.19129,-110.08747641100456,-7.05719e-07,174.08073,56468,24.067421,1.947662,-19.943102,[  1.078 -11.773 -41.029  29.449 -27.775],5,138.14454698562622
37.420876,100,15.537284,71.78421,600,17.75,1.1753252,7.0904636,24.143263,3462.6555,71.78421,-109.68073706890792,-3.4427642e-06,175.81522,58243,26.975082,2.0585675,-18.678625,[  1.078 -11.773 -41.029  29.449 -27.927],6,145.50338077545166
36.642784,100,14.389489,66.85759,700,18.29,1.162807,6.7808437,20.232016,2413.1248,66.85759,-109.88150816088547,-1.7738342e-06,107.333984,60072,18.809902,1.9269873,-15.001013,[  1.078 -11.773 -41.029  29.449 -28.088],7,152.42646718025208
35.16232,100,15.453493,64.3816,800,18.87,1.158066,8.003416,23.125465,3209.5547,64.3816,-109.87830100207799,-5.531311e-07,126.823494,61959,25.476192,1.9163299,-13.416485,[  1.078 -11.773 -41.029  29.449 -28.239],8,160.239262342453
36.310127,100,15.363685,68.36089,900,18.26,1.1673248,7.7159038,23.674326,3323.7566,68.36089,-109.93568912645138,1.9073486e-08,141.29738,63785,26.817177,1.9920626,-19.426903,[  1.078 -11.773 -41.029  29.449 -28.386],9,167.0281491279602
36.555367,100,16.844446,66.92832,1000,18.34,1.1633794,6.7803645,21.8732,2816.0806,66.92832,-110.0042325918129,-1.0871887e-06,199.64014,65619,27.729149,1.9404069,-16.335056,[  1.078 -11.773 -41.029  29.449 -28.541],10,174.17544841766357
