Iteration,EmpiricalD2,TimeElapsed,EpLenMean,Bound,StdIW,EpThisIter,InitialReturnMax,MinIW,TimestepsSoFar,InitialReturnMin,EpisodesSoFar,MeanIW,EpRewMean,InitialReturnMean,Weights,MaxIW,InitialReturnStd,InitialBound,J_sample_variance,ReturnMeanIW
1,6.841303e+29,9.892794132232666,46.09,64.66355,12.28302,100,7.375037,,4609,-13.620404,100,0.18577355,-141.8229098366061,-8.5830686e-07,[ 0.579 -0.554  0.227  0.402  0.   ],2478.9204,4.7915983,18.040558,121954.766,64.66355
2,6575954600000.0,41.28394174575806,116.09,9.810596,5.281624,100,3.7465878,1.6086249e-08,16218,-7.00825,200,0.6752945,-211.13205524481998,-6.055832e-07,[ 0.063 -0.545  0.081  0.311 -0.508],382.62134,1.4056715,9.246967,75.67527,9.810596
3,inf,85.72115731239319,186.15,30.535543,17.658892,100,2.900875,,34833,-1.1042976,300,0.18055457,-277.55070753105105,1.4305115e-07,[ 0.096 -0.518  0.026  0.262 -0.593],2652.4634,1.0479529,6.030468,78467.57,30.535543
4,inf,175.34537148475647,386.85,5.7886024,4.9735856,100,3.4657254,,73518,-11.808392,400,0.042644806,-432.7790922056548,7.152558e-08,[-0.03  -0.764  0.043  0.899 -0.657],1031.0083,2.8608882,1.211632,2070.0288,5.7886024
5,inf,203.60891723632812,108.98,12.885839,1.3986279,100,4.2896395,1.3004549e-38,84416,-17.747913,500,0.07488826,-202.62500576510791,-6.294251e-07,[-0.101 -0.797 -0.174  1.289 -1.699],176.36176,4.538181,7.3374777,1006.7545,12.885839
6,inf,224.38004112243652,76.27,19.525349,4.4316173,100,6.1100864,6.0234744e-33,92043,-14.12083,600,0.11797542,-171.70196421200225,-2.479553e-07,[ 0.007 -0.775 -0.156  1.29  -1.626],664.40686,4.9529815,9.886293,9868.66,19.525349
7,2.236263e+28,258.4392318725586,131.29,9.668819,0.93050975,100,4.9640226,7.5984976e-22,105172,-12.922624,700,0.1266358,-226.6966208873441,1.0871887e-06,[ 0.009 -0.78  -0.103  1.315 -1.615],79.7581,4.1646295,5.780549,398.67816,9.668819
8,inf,282.7705318927765,92.3,19.67105,4.979842,100,6.366464,,114402,-12.58702,800,0.060868926,-187.6381737832766,6.151199e-07,[ 0.019 -0.834 -0.138  1.369 -1.619],775.81714,5.2106514,7.6792583,17218.898,19.67105
9,inf,324.82833790779114,169.27,12.780631,6.902821,100,4.026521,,131329,-12.51767,900,0.08832004,-263.5571653977018,5.102158e-07,[-0.011 -0.934 -0.097  1.243 -1.615],1322.0228,3.9180105,4.8443484,5413.012,12.780631
10,inf,358.4892430305481,133.69,23.672165,11.373403,100,5.4401383,,144698,-14.43977,1000,0.13007894,-227.94957929624033,-1.0967254e-06,[-0.07  -0.785 -0.13   1.294 -1.725],2446.776,5.027869,5.1105075,31152.945,23.672165
11,inf,397.301233291626,151.45,10.895731,7.7920866,100,4.3130713,,159843,-12.947585,1100,0.3615122,-245.55764544264727,2.8610229e-08,[-0.098 -0.878 -0.146  1.224 -1.775],772.5162,4.0585475,5.403905,2109.949,10.895731
12,inf,433.27549958229065,142.42,9.110713,3.962694,100,4.247452,2.9660365e-23,174085,-12.765965,1200,0.16669078,-236.4573321600211,1.8119812e-07,[-0.117 -0.817 -0.161  1.256 -1.785],341.83615,3.8183887,5.762791,781.1073,9.110713
13,inf,478.6443235874176,179.14,6.2540703,3.644604,100,3.778376,7.385522e-33,191999,-14.275901,1300,0.18444179,-272.3959621131918,7.6293944e-08,[-0.129 -0.868 -0.156  1.228 -1.796],362.39838,3.5193648,4.6162577,135.07599,6.2540703
14,inf,510.20022320747375,119.27,15.804232,3.4669573,100,3.5329103,,203926,-15.78819,1400,0.11360384,-213.5245388307652,7.5340273e-07,[-0.109 -0.832 -0.174  1.185 -1.775],317.5367,3.7080429,7.3642187,6616.694,15.804232
15,inf,531.7596848011017,81.48,12.740384,2.0391052,100,5.774085,,212074,-13.470952,1500,0.042459022,-175.46594179212573,-1.3160706e-06,[-0.129 -0.702 -0.193  1.143 -1.798],439.31158,4.840771,9.545717,2284.85,12.740384
16,inf,614.801191329956,341.11,3.2058,2.5463698,100,5.158268,,246185,-15.324782,1600,0.014112305,-375.54626968838556,-2.3841858e-07,[-0.197 -0.723 -0.172  1.08  -1.801],567.76373,4.4805427,0.06768803,603.31476,3.2058
17,inf,712.6207046508789,418.35,1.689061,3.3683257,100,3.7152486,,288020,-15.727267,1700,0.2793372,-430.0993345367076,-1.3065338e-06,[-0.1   -0.733 -0.039  1.035 -1.807],247.15872,4.0893393,-0.5671875,9.439328,1.689061
18,inf,810.5217008590698,418.52,1.8764621,0.91100466,100,4.0120544,,329872,-13.527782,1800,0.08600234,-430.04357451103135,7.8201293e-07,[-0.146 -0.735 -0.033  1.115 -1.81 ],98.965744,3.834424,-0.42023143,21.544518,1.8764621
19,2.0257864e+17,908.0643362998962,413.85,0.7767703,6.925512,100,4.0329356,2.2133762e-12,371257,-13.607307,1900,0.6561771,-427.5108583133317,5.245209e-07,[-0.11  -0.671 -0.036  1.14  -1.812],347.98407,3.9647682,-0.57546616,4.7916765,0.7767703
