InitialReturnMax,J_sample_variance,StdIW,ReturnMeanIW,Iteration,InitialReturnMean,MaxIW,MeanIW,MinIW,InitialReturnMin,EmpiricalD2,Weights,Bound,TimeElapsed,EpisodesSoFar,EpLenMean,TimestepsSoFar,EpRewMean,InitialReturnStd,InitialBound,EpThisIter
6.4169464,734165800.0,152.95297,2759.238,1,-3.8146973e-07,1563.8577,15.234447,3.5890798e-17,-2.4639435,nan,[ 0.579 -0.554  0.227  0.402  0.   ],2759.238,9.323716163635254,100,46.09,4609,-141.8229098366061,2.1648557,208.54071,100
3.390068,10708360.0,14.886414,490.67865,2,2.4414062e-06,230.86409,1.9708606,5.1200644e-08,-2.1305695,1.4729642e+21,[ 0.608 -0.271  0.084  0.472  0.396],490.67865,24.691076040267944,200,37.42,8351,-133.6946630013371,1.3947877,257.3396,100
7.814949,16658080.0,16.184937,725.7256,3,8.392334e-07,321.755,2.5754604,8.034775e-10,-2.8014755,371012.12,[ 0.555 -0.211  0.317  0.22   0.53 ],725.7256,36.721189975738525,300,30.13,11364,-124.91716379406658,2.1038299,315.55405,100
5.5790634,1848902.8,5.8771763,450.47534,4,8.392334e-06,57.88594,1.5097551,9.998068e-06,-2.6063232,155.20688,[ 0.565 -0.03   0.121  0.138  0.329],450.47534,47.68728423118591,400,29.01,14265,-124.23078738034187,1.8378927,328.72766,100
8.144325,1326726000.0,121.101555,3672.1714,5,8.850097e-06,1664.416,12.030587,,-3.6298447,5.0115367e+31,[0.618 0.079 0.222 0.223 0.272],3672.1714,57.54967927932739,500,27.36,17001,-121.66783841339293,1.9767567,345.9134,100
3.2932205,6598797.0,6.9314637,697.13367,6,-3.8146973e-06,68.42877,1.7351111,0.0009795749,-2.4155045,174.65695,[ 0.59   0.134 -0.162  0.562 -0.25 ],697.13367,67.79800820350647,600,22.43,19244,-117.84723521238162,1.1464888,425.20068,100
4.5130386,796163.7,2.5482173,504.5849,7,-3.890991e-06,25.765167,1.1894314,0.0015383938,-2.5738678,8.786115,[ 0.609  0.202 -0.202  0.506 -0.275],504.5849,77.08132767677307,700,21.45,21389,-116.55309869177721,1.2801198,443.32507,100
2.5944366,8986179.0,8.038245,607.0469,8,1.3046265e-05,87.6293,1.4826647,3.6185952e-06,-2.9495697,94.94499,[ 0.602  0.236 -0.243  0.479 -0.284],607.0469,84.98946452140808,800,22.38,23627,-117.17405160973911,1.173873,423.8953,100
2.76931,1501060.6,2.867063,590.7571,9,-8.69751e-06,53.3372,1.280539,0.0010311094,-2.6152267,53.262238,[ 0.641  0.327 -0.24   0.57  -0.443],590.7571,94.15252590179443,900,20.21,25648,-114.98646650541741,1.0807412,469.02112,100
2.61232,12446110.0,9.823251,710.37274,10,-8.010864e-06,100.41093,1.7090914,6.690378e-07,-2.9219284,161.61668,[ 0.636  0.25  -0.273  0.53  -0.434],710.37274,102.59570288658142,1000,21.11,27759,-115.74021705646679,1.2077866,448.5899,100
