InitialReturnMin,ReturnStepMaxmin,EpLenMean,InitialReturnMax,MinIW,ReturnStepMax,EpRewMean,InitialReturnMean,TimeElapsed,MaxD2w0t,EpisodesSoFar,InitialReturnStd,Weights,EmpiricalD2,MeanD2w0t,TimestepsSoFar,StdD2w0t,Bound,EpThisIter,J_sample_variance,ReturnMeanIW,Iteration,MeanIW,MaxIW,MinD2w0t,InitialBound,StdIW
-36.82786,99.36191,17.45,-8.259216,0.20133254,100.0,-108.67197648780628,-24.401684,4.716255187988281,1.5162966,100,6.4303417,[-0.689  0.919 -0.673  0.288  0.   ],1.2131857,0.039036054,1745,0.20630191,-56.81829,100,99.99276,-22.520527,1,0.8996795,3.0067253,,-57.72457,0.37268168
-38.62798,99.356735,16.85,-12.647771,0.010355035,100.0,-107.92908778153378,-24.892315,14.20866847038269,7.4113803,200,5.680961,[-0.704  0.907 -0.694  0.328 -0.028],3.0197678,0.047506806,3430,0.2870368,-54.798897,100,215.09895,-18.770151,2,0.6755325,4.602565,,-58.188652,0.6322886
-40.856922,99.38022,16.47,-10.72125,0.35635072,100.0,-107.89264764397521,-25.787092,22.295048713684082,1.4489055,300,6.1290336,[-0.661  0.956 -0.71   0.366 -0.062],1.209935,0.034642726,5077,0.18817641,-58.270447,100,140.82419,-24.640059,3,0.94326705,3.5103967,,-59.06402,0.44758874
-34.949993,99.366455,17.17,-9.919075,0.18523943,100.0,-109.35968187827842,-24.80163,30.805750608444214,1.3956048,400,5.3005033,[-0.675  0.927 -0.713  0.351 -0.054],1.1565887,0.036845673,6794,0.19602406,-57.36329,100,73.12353,-23.514763,4,0.9409283,2.4558556,,-58.13201,0.37105015
-38.074505,99.380806,16.83,-8.540649,0.1758205,100.0,-108.23267932185989,-25.309992,40.24649620056152,5.0485935,500,6.0407763,[-0.679  0.92  -0.707  0.372 -0.071],1.7149817,0.03973467,8477,0.2218485,-57.345978,100,128.35864,-22.836695,5,0.91197807,2.856489,,-58.640373,0.55838865
-39.31328,99.37744,16.66,-12.815107,0.25641018,100.0,-108.2208320096017,-25.459282,49.61154103279114,2.0869427,600,5.8256884,[-0.63   0.953 -0.706  0.404 -0.059],1.236447,0.037408393,10143,0.20338565,-57.348022,100,86.561935,-22.863993,6,0.8797269,2.1663451,,-58.762653,0.33780855
-37.70312,99.36132,17.11,-9.538773,0.114071816,100.0,-108.25539385340049,-24.460728,59.88740563392639,2.931325,700,5.668058,[-0.62   0.955 -0.672  0.364 -0.047],1.5455728,0.039209988,11854,0.21162243,-56.776665,100,153.26712,-22.478811,7,0.9301745,3.7236419,,-57.73766,0.55037725
-39.621124,99.36007,16.55,-8.005711,0.30682045,100.0,-107.91171476390292,-25.580828,68.76604866981506,1.3989909,800,6.1076403,[-0.676  0.926 -0.678  0.333 -0.08 ],1.2259295,0.03505325,13509,0.18987171,-58.47393,100,146.02159,-24.764511,8,0.9593198,3.2505984,,-58.8842,0.4076351
-42.668602,99.376274,16.39,-14.648634,0.12064574,100.0,-108.30502468079465,-25.842077,75.39052844047546,1.7184114,900,5.6139154,[-0.645  0.952 -0.669  0.335 -0.072],1.4004482,0.036651645,15148,0.20056225,-58.68284,100,114.15871,-24.543247,9,0.9586734,2.2099342,,-59.105766,0.43334645
-39.843456,99.35836,17.13,-9.238004,0.51780003,100.0,-108.56576627650814,-24.756071,81.8816270828247,1.2821553,1000,5.9988084,[-0.657  0.929 -0.658  0.319 -0.038],1.067033,0.035623755,16861,0.18929975,-57.65657,100,42.76246,-24.05362,10,0.98568827,2.0906634,,-58.052406,0.23688394
