InitialBound,InitialReturnMin,EpLenMean,TimeElapsed,MaxIW,EmpiricalD2,TimestepsSoFar,MeanIW,EpThisIter,InitialReturnMax,EpRewMean,Iteration,InitialReturnStd,InitialReturnMean,J_sample_variance,EpisodesSoFar,Weights,Bound,StdIW,MinIW,ReturnMeanIW
222.61734,-16.716774,35.4,8.683425664901733,332.80783,2359.0063,3540,3.7066855,100,33.927227,-107.5568281044892,1,12.600159,-1.2207031e-06,11196311.0,100,[-0.563 -1.093 -0.809 -1.04   0.   ],633.06604,24.026999,2.595642e-07,633.06604
209.00163,-16.729736,37.23,24.585987329483032,962.8566,39213.098,7263,9.24,100,54.914,-107.56501596128832,2,13.899027,7.6293944e-08,125788620.0,200,[-0.63  -1.06  -0.844 -0.897 -0.082],1289.844,91.04739,3.951709e-06,1289.844
221.70845,-15.941742,35.84,40.42153763771057,18.18379,16.810139,10847,1.1159571,100,37.800926,-108.72382784487198,3,11.777127,-2.5177003e-06,164611.53,300,[-0.668 -0.966 -0.756 -0.75  -0.108],240.72058,2.277977,0.0055746697,240.72058
228.7258,-15.170502,35.0,52.17239499092102,137.11713,695864.25,14347,2.6260169,100,43.096977,-108.8763226877525,4,11.678579,-1.2588501e-06,8395086.0,400,[-0.633 -0.967 -0.815 -0.75  -0.085],502.25623,16.703608,3.4107764e-08,502.25623
184.79474,-17.384903,41.25,68.67270803451538,356.14386,53308044.0,18472,2.8020182,100,52.7091,-108.40630020219663,5,15.272611,-1.5258789e-07,9048461.0,500,[-0.717 -1.089 -0.84  -0.695 -0.144],385.60764,25.27119,2.0528469e-06,385.60764
170.78217,-17.374435,44.48,84.23954558372498,558.2784,73100.67,22920,6.4101114,100,39.796143,-109.92978811174639,6,12.252526,-2.0217894e-06,22384788.0,600,[-0.746 -1.134 -0.802 -0.628 -0.082],714.3489,48.865807,2.708323e-05,714.3489
158.89275,-20.615875,46.78,101.75659322738647,445.22186,2162.327,27598,4.53701,100,41.115612,-109.09774249834565,7,13.07482,-5.302429e-06,16582219.0,700,[-0.698 -1.143 -0.705 -0.72   0.013],508.59592,42.04851,1.9140186e-06,508.59592
168.80716,-17.304611,45.38,118.7285852432251,5440.49,4.425176e+26,32136,52.628204,100,40.00888,-111.57723402753143,8,11.2437,-1.0681152e-06,4216525600.0,800,[-0.8   -1.123 -0.782 -0.591 -0.077],6567.496,530.641,6.046033e-26,6567.496
230.95738,-14.00074,35.79,136.7467851638794,115.32339,917.6602,35715,1.7920839,100,29.872654,-112.9643515408087,9,8.384034,-1.1825561e-05,2018070.8,900,[-0.693 -1.086 -0.992 -0.458 -0.192],392.81433,8.312507,4.1801864e-06,392.81433
206.79945,-15.571266,39.38,152.35316276550293,5.2434015,1.4739897,39653,1.0454972,100,35.05473,-113.97906475361313,10,7.848105,1.9073487e-07,16458.574,1000,[-0.673 -1.145 -0.947 -0.419 -0.236],214.58688,0.7383646,0.17187437,214.58688
196.95766,-14.931343,41.03,166.05573105812073,69.74714,7.9042726,43756,1.503479,100,27.31108,-114.41339068739276,11,8.402222,-4.997253e-06,755223.94,1100,[-0.689 -1.141 -0.966 -0.411 -0.186],272.7201,6.615218,0.00079888414,272.7201
225.54639,-11.5538025,36.54,180.906667470932,1012.49,33591153000.0,47410,9.876019,100,19.692616,-113.09540589677296,12,6.5108523,-7.133484e-06,257318830.0,1200,[-0.684 -1.216 -1.013 -0.465 -0.274],1710.4425,97.43146,2.119677e-09,1710.4425
190.21162,-17.247025,42.05,199.49226665496826,53.64972,24.691486,51615,1.3453325,100,22.631065,-113.89696594115938,13,8.5744,-3.8146973e-07,214031.61,1300,[-0.69  -1.341 -0.948 -0.579 -0.24 ],248.14037,2.923139,0.011352165,248.14037
180.53142,-16.062294,44.23,216.22487092018127,129.82521,11296.077,56038,2.1674967,100,22.392796,-115.25381939822051,14,8.428554,-2.0599366e-06,1821430.1,1400,[-0.683 -1.261 -0.886 -0.518 -0.171],305.3056,12.613388,7.83489e-06,305.3056
203.9286,-14.294861,39.91,231.8429057598114,317.24432,187.1644,60029,2.7628872,100,18.915955,-114.25052630673827,15,7.5067697,1.6784668e-06,9765935.0,1500,[-0.506 -1.277 -0.896 -0.532 -0.2  ],458.93033,21.900286,1.0487302e-05,458.93033
179.94333,-16.077354,44.5,248.56148076057434,329.94592,255319.12,64479,3.2033231,100,25.421856,-115.87045329485355,16,9.114054,7.095337e-06,12722437.0,1600,[-0.496 -1.326 -0.827 -0.572 -0.286],473.25323,27.17807,9.851193e-10,473.25323
193.03738,-14.718422,42.76,264.593955039978,94.872925,443.99442,68755,1.4766207,100,16.826477,-118.19854998833758,17,6.927598,4.9591063e-06,1190510.9,1700,[-0.511 -1.334 -0.883 -0.471 -0.311],255.75323,7.7234855,0.00035593004,255.75323
193.3183,-13.734467,42.94,279.2723138332367,27.651005,4.868138,73049,1.3815498,100,25.807255,-119.01726683340188,18,8.266788,-4.196167e-07,292918.66,1800,[-0.487 -1.35  -0.92  -0.409 -0.291],259.70715,3.1953592,0.0031545702,259.70715
207.55861,-11.500191,40.37,294.5568368434906,869.49896,1261.3738,77086,13.59432,100,16.940659,-118.09926700222827,19,6.78724,-1.1444092e-06,108121560.0,1900,[-0.385 -1.275 -0.849 -0.391 -0.369],1957.2864,78.4329,1.6414226e-06,1957.2864
191.3073,-14.007774,43.78,311.9114422798157,251.69662,35201.562,81464,2.754452,100,20.883945,-120.78057104180355,20,7.390237,-8.010864e-07,12606297.0,2000,[-0.452 -1.234 -0.845 -0.304 -0.469],454.974,24.284134,2.0065639e-07,454.974
186.70166,-16.795135,44.66,329.4193410873413,4590.8345,4457141000.0,85930,32.907074,100,22.614555,-120.92719369169532,21,8.013926,-8.468628e-06,2269848000.0,2100,[-0.391 -1.296 -0.8   -0.395 -0.553],4819.115,333.44464,3.2561586e-14,4819.115
169.80844,-14.734917,47.69,349.3236231803894,1101.5627,359062200.0,90699,7.1753263,100,21.47625,-119.50157734784406,22,7.819054,-7.6293945e-06,59635468.0,2200,[-0.517 -1.245 -0.757 -0.438 -0.729],1187.1493,51.644672,0.00022425684,1187.1493
171.55754,-13.605705,47.02,367.9066696166992,2499.8477,8350160000.0,95401,6.9815736,100,22.823898,-118.57439260570183,23,8.217884,-4.997253e-06,82878500.0,2300,[-0.558 -1.096 -0.732 -0.408 -0.552],977.4106,70.06791,1.1087506e-14,977.4106
176.39706,-15.288948,47.15,387.15854477882385,534.8397,361166.62,100116,6.790956,100,19.85278,-122.5921727339522,24,7.2155714,4.7302246e-06,31902422.0,2400,[-0.481 -1.08  -0.673 -0.316 -0.597],896.8457,47.46606,2.7249232e-06,896.8457
173.7548,-15.097824,47.6,405.7056884765625,19389.594,inf,104876,112.91248,100,18.727554,-122.21860307230392,25,7.4291935,-1.2207031e-06,19530584000.0,2500,[-0.554 -1.037 -0.719 -0.238 -0.565],14018.821,1156.1456,1.1893634e-11,14018.821
191.0245,-15.583282,43.55,425.9705421924591,5903.8115,662277.2,109231,16.172033,100,18.741192,-119.7331308052583,26,7.4108596,-1.0795593e-05,405069950.0,2600,[-0.488 -1.16  -0.845 -0.266 -0.358],2217.553,158.22632,4.731178e-08,2217.553
