EmpiricalD2,EpThisIter,TimeElapsed,MeanIW,EpisodesSoFar,StdIW,InitialReturnMin,Bound,Weights,ReturnMeanIW,InitialReturnMean,InitialBound,Iteration,EpLenMean,MinIW,TimestepsSoFar,EpRewMean,J_sample_variance,MaxIW,InitialReturnMax,InitialReturnStd
2571749.5,100,4.2090163230896,0.6695766,100,1.108297,-12.426178,48.614735,[-0.689  0.919 -0.673  0.288  0.   ],48.614735,-2.1743774e-06,37.87452,1,17.45,0.0030871804,1745,-108.67197648780628,4474.499,24.20699,16.142467,6.4303417
1.768471e+20,100,12.597331523895264,0.45146996,200,9.805399,-19.085026,91.492134,[-0.861  1.049 -0.541  0.259  0.221],91.492134,-2.1362305e-06,37.31201,2,17.8,1.1671528e-16,3525,-109.46887613026747,188476.14,2126.5947,16.599094,6.4727592
nan,100,19.848971128463745,45.853256,300,675.37054,-13.489204,2150.831,[-0.894  1.01  -0.151  0.238  0.199],2150.831,-1.6784668e-06,35.952724,3,18.34,3.174019e-06,5359,-110.34700092846535,432840700.0,92089.68,15.936119,6.9200096
inf,100,31.068190813064575,5.480635,400,947.0383,-15.547274,3715.9714,[-0.656  0.793 -0.274  0.479  0.614],3715.9714,2.9563904e-07,26.961218,4,26.6,,8019,-119.15992259772655,1373234300.0,199035.9,10.90311,6.8768635
inf,100,128.36714792251587,0.1594891,500,4.593022,-2.3228521,0.9005492,[-2.302 -0.368  0.587 -0.142  0.164],0.9005492,-4.7683716e-07,-0.010454838,5,500.0,,58019,-374.20755034421876,116.78748,465.87442,3.042593,1.3018401
inf,100,224.88854217529297,0.00029138048,600,0.056548428,-2.7982159,0.023495069,[-2.37  -0.423  0.689 -0.299  0.035],0.023495069,4.7683715e-09,-2.538495,6,497.35,,107754,-213.298291854386,0.062389944,12.624472,4.1713285,1.6556373
5.8045727e+31,100,234.54823684692383,0.104474925,700,5.2905383,-15.098441,52.082737,[-2.317 -0.299  1.78  -0.229 -0.392],52.082737,3.2424927e-07,22.694258,7,34.52,,111206,-114.36786027282383,80535.195,582.4166,7.7115126,4.7620707
inf,100,244.83430075645447,0.22403781,800,36.35219,-9.59773,236.0822,[-2.373 -0.318  1.929 -0.037 -0.601],236.0822,-3.4332277e-07,20.358212,8,37.03,,114909,-120.75959826858279,3631633.8,7957.868,8.863035,5.457335
20272360000000.0,100,254.07793021202087,0.11216537,900,0.91546655,-12.9353485,38.838116,[-2.359 -0.557  2.276  0.327 -0.936],38.838116,3.2424927e-07,30.085192,9,24.85,1.1131386e-11,117394,-115.04057914992016,2453.6013,84.278824,12.413464,5.8057733
inf,100,262.88197588920593,0.05446206,1000,1.7598282,-11.4105425,46.16173,[-2.439 -0.556  2.248  0.242 -0.937],46.16173,7.1525574e-07,28.8514,10,26.22,,120016,-115.87023898972211,13767.629,299.75235,11.777383,5.5813046
7194643.0,100,271.1458942890167,0.31930593,1100,2.2742558,-13.234005,34.63463,[-2.517 -0.42   2.306  0.398 -1.088],34.63463,2.670288e-07,29.87156,11,24.81,2.8231707e-08,122497,-114.37399734154761,1635.1691,211.17374,12.492442,6.1066537
inf,100,279.2724344730377,0.2900646,1200,55.013824,-10.137272,100.77899,[-2.616 -0.433  2.281  0.393 -1.122],100.77899,1.5830993e-06,30.084215,12,24.55,3.9177048e-36,124952,-114.54089687072434,492646.88,12287.982,12.330165,6.0330024
1.8482667e+17,100,288.0922429561615,4.1217227,1300,34.776062,-11.009174,77.30626,[-2.588 -0.422  2.382  0.51  -1.251],77.30626,-7.2479247e-07,30.948612,13,23.48,4.0724582e-16,127300,-113.79627299308096,313477.8,498.44797,14.600027,6.0653286
616.56226,100,296.54618287086487,1.0488687,1400,1.7109143,-14.299046,35.101307,[-2.622 -0.447  2.491  0.535 -1.281],35.101307,8.201599e-07,30.237457,14,23.93,0.0004082171,129693,-113.61876844574128,3711.4558,52.63957,12.859315,6.3804173
69236466000.0,100,304.3707983493805,0.12689295,1500,3.2107248,-14.752819,42.05656,[-2.614 -0.409  2.438  0.553 -1.317],42.05656,3.6239624e-07,29.076376,15,24.62,1.6901143e-10,132155,-112.88426282919637,9368.793,404.2705,13.311889,7.05525
19538944000.0,100,312.7824568748474,0.28290883,1600,8.251036,-13.770069,63.230244,[-2.554 -0.359  2.45   0.557 -1.333],63.230244,-1.14440915e-07,30.996948,16,23.39,6.878579e-10,134494,-113.35668433223505,85563.09,965.7765,14.15981,6.14701
26823625000000.0,100,321.14075684547424,0.34073436,1700,4.266087,-14.181683,46.199585,[-2.529 -0.329  2.492  0.568 -1.361],46.199585,4.959106e-07,30.231693,17,23.5,7.8793194e-11,136844,-112.42120808693868,18754.027,867.54755,14.068911,7.0102773
611429760.0,100,328.5345723628998,0.16290207,1800,1.9820297,-15.170549,52.530853,[-2.496 -0.323  2.441  0.512 -1.362],52.530853,-1.9073486e-08,31.332521,18,22.35,3.1629697e-09,139079,-112.36860605967006,15718.2295,181.59248,14.944545,7.3434105
inf,100,336.9271831512451,0.037058804,1900,1.6193199,-14.0160885,33.349575,[-2.455 -0.307  2.491  0.516 -1.407],33.349575,6.8664554e-07,27.980879,19,24.55,1.1527368e-31,141534,-111.75406034415201,10370.828,254.02415,14.721916,8.046781
3.6772003e+25,100,344.79774379730225,1.8776742,2000,20.682938,-13.287659,99.294975,[-2.486 -0.403  2.525  0.546 -1.478],99.294975,1.0871887e-06,30.73496,20,23.0,2.3885855e-14,143834,-112.57519150644437,610698.44,3351.4756,14.657205,7.073296
118383760000000.0,100,354.2111232280731,0.32969093,2100,1.5456712,-13.492445,34.70205,[-2.456 -0.419  2.457  0.579 -1.429],34.70205,-7.9154967e-07,31.50385,21,22.4,7.668449e-09,146074,-112.66395773718574,827.9614,55.751457,15.098842,6.688251
1.0410798e+28,100,361.8235321044922,0.55546284,2200,36.800735,-13.221434,409.08456,[-2.481 -0.457  2.464  0.54  -1.423],409.08456,2.9563904e-07,30.413408,22,24.24,3.1461786e-19,148498,-113.48253877978132,15565616.0,3778.45,11.903656,6.339696
