MaxIW,MeanD2w0t,MeanIW,EpisodesSoFar,Bound,EpRewMean,InitialBound,EmpiricalD2,MinIW,StdD2w0t,TimestepsSoFar,StdIW,EpLenMean,InitialReturnStd,Iteration,InitialReturnMax,Weights,MaxD2w0t,MinD2w0t,EpThisIter,InitialReturnMin,ReturnStepMax,ReturnMeanIW,TimeElapsed,J_sample_variance,ReturnStepMaxmin,InitialReturnMean
1.0000058,0.12088,1.0,1900,-40.657627,-122.25399856348844,-40.65763,1.0,0.99998915,0.325984,104446,3.4062698e-06,60.44,1.5064765,19,-3.3339696,[-0.49  -0.754 -0.457 -0.281 -0.012],1.0,,100,-9.934676,100.0,-7.324291,274.0033857822418,2.292393,99.080025,-7.3242946
1.5285602,0.12863614,0.9971988,2000,-40.853294,-126.83149995144971,-40.882595,1.0232081,0.6593125,0.33693174,110807,0.14109397,63.61,1.6143979,20,-3.5371306,[-0.49  -0.754 -0.457 -0.281 -0.012],1.0410751,,100,-10.661794,100.0,-7.490626,289.65468764305115,2.5667098,99.08316,-7.54926
1.0,0.123,1.0,2100,-40.82679,-123.38764137011017,-40.82679,1.0,1.0,0.3284408,116957,,61.5,1.4618669,21,-3.501886,[-0.491 -0.753 -0.461 -0.283 -0.014],1.0,,100,-10.994964,100.0,-7.493452,304.1028718948364,2.158641,99.05082,-7.4934525
2.0799158,0.12284532,0.97315633,2200,-40.582565,-122.77017588646048,-40.733677,1.1001408,0.40503857,0.33714584,122825,0.30469936,58.68,2.0127807,22,-3.954914,[-0.491 -0.753 -0.461 -0.283 -0.014],1.18546,,100,-15.904142,100.0,-7.1937613,317.2654519081116,3.3456032,99.05449,-7.400342
1.6353478,0.123161644,1.0057838,2300,-40.46045,-122.79431367448517,-40.485886,1.0209427,0.7157066,0.33066782,128917,0.15202686,60.92,1.8548324,23,-3.3767788,[-0.508 -0.763 -0.462 -0.288 -0.024],1.0398784,,100,-14.542962,100.0,-7.1046796,333.5166401863098,3.3242996,99.07732,-7.15255
1.0001054,0.13038,1.0000012,2400,-40.67666,-124.21883306931703,-40.67667,1.0,0.9999026,0.33673072,135436,4.0575127e-05,65.19,1.5049667,24,-3.983657,[-0.51  -0.764 -0.458 -0.289 -0.025],1.0,,100,-10.132416,100.0,-7.343324,348.5346598625183,2.2878027,99.00103,-7.343336
1.0,0.12912,1.0,2500,-40.869728,-124.8309655860974,-40.869728,1.0,1.0,0.3353248,141892,,64.56,1.5533417,25,-2.9807408,[-0.51  -0.764 -0.458 -0.289 -0.025],1.0,,100,-10.26783,100.0,-7.5363936,364.2344181537628,2.4372427,99.00194,-7.536394
1.0,0.13048,1.0,2600,-40.5849,-122.48453965583309,-40.5849,1.0,1.0,0.33683437,148416,,65.24,1.6587723,26,-3.1726637,[-0.51  -0.764 -0.458 -0.289 -0.025],1.0,,100,-12.819098,100.0,-7.2515635,378.7875986099243,2.7793188,99.00002,-7.2515635
1.8927617,0.13234513,0.9908253,2700,-40.186737,-122.00829642619667,-40.251595,1.0398463,0.5610361,0.34344035,154883,0.20148575,64.67,1.6682775,27,-3.4214518,[-0.51  -0.764 -0.458 -0.289 -0.025],1.098236,,100,-9.820948,100.0,-6.819766,393.60570311546326,2.972717,99.00001,-6.918259
2.2125943,0.13561174,0.97030485,2800,-40.505226,-124.41351825440435,-40.59891,1.0929022,0.31494173,0.3522554,161347,0.28932115,64.64,1.8058252,28,-2.9901402,[-0.514 -0.763 -0.454 -0.293 -0.03 ],1.2279397,,100,-10.716919,100.0,-7.097195,408.9357032775879,3.1991296,99.000305,-7.2655764
1.0,0.13292,1.0,2900,-40.199947,-120.42411405499968,-40.199947,1.0,1.0,0.33948007,167993,,66.46,1.7881072,29,-3.3992872,[-0.521 -0.759 -0.455 -0.302 -0.038],1.0,,100,-10.815351,100.0,-6.866611,425.6213357448578,3.229623,99.04687,-6.866612
1.8475683,0.13068739,0.9563278,3000,-40.758377,-123.27404774123471,-40.841022,1.0283515,0.6560264,0.33952057,174446,0.16485365,64.53,1.7080504,30,-3.30143,[-0.521 -0.759 -0.455 -0.302 -0.038],1.0566134,,100,-10.417233,100.0,-7.39152,440.7085053920746,2.8412864,99.00003,-7.507686
1.198386,0.13612424,0.99756956,3100,-40.57418,-123.08073895948746,-40.5862,1.0070505,0.76179826,0.34366497,181227,0.078150876,67.81,1.6571234,31,-2.8405216,[-0.531 -0.765 -0.46  -0.299 -0.044],1.0165894,,100,-10.021282,100.0,-7.2296677,456.4515061378479,2.6931438,99.00006,-7.252865
2.289252,0.13212197,1.013808,3200,-40.602257,-122.11495417195952,-40.65521,1.0792232,0.5061669,0.34805748,187535,0.27301958,63.08,1.7409596,32,-2.954957,[-0.533 -0.765 -0.463 -0.3   -0.046],1.255673,,100,-11.448252,100.0,-7.2153997,472.0140891075134,3.0031574,99.00025,-7.3218713
1.6687763,0.13554427,0.9873568,3300,-40.374966,-120.44437326468855,-40.41069,1.0294676,0.6630344,0.3451005,194218,0.16034347,66.83,1.6464932,33,-3.0659907,[-0.536 -0.763 -0.459 -0.309 -0.045],1.0561763,,100,-14.999574,100.0,-7.0137177,487.36640191078186,2.4825094,99.00003,-7.077356
1.5303774,0.14475061,0.97497797,3400,-40.49775,-122.87927350472535,-40.523052,1.0373578,0.36920506,0.3560439,201312,0.18422207,70.94,1.6709384,34,-2.4973326,[-0.538 -0.765 -0.455 -0.308 -0.044],1.1031957,,100,-10.535088,100.0,-7.13794,503.75708627700806,2.6748574,99.0,-7.189717
1.549516,0.14187732,1.0113184,3500,-40.409737,-121.55754079258867,-40.428562,1.0189929,0.75491714,0.35131425,208324,0.13826951,70.12,1.5947467,35,-3.4728296,[-0.541 -0.764 -0.457 -0.314 -0.043],1.0492125,,100,-9.83496,100.0,-7.058192,520.4347832202911,2.6289897,99.00002,-7.0952272
1.6524609,0.13867614,1.0036595,3600,-40.56527,-121.41595055269765,-40.600605,1.0169845,0.7784864,0.34697455,215211,0.1248793,68.87,1.9806861,36,-3.1822186,[-0.542 -0.766 -0.454 -0.317 -0.042],1.0415865,,100,-17.779007,100.0,-7.224985,536.2309572696686,3.60929,99.08134,-7.2672706
1.3409034,0.13428131,0.9837284,3700,-40.3202,-120.3039201416012,-40.357597,1.0098507,0.6549237,0.34210142,221886,0.09863636,66.75,1.6717684,37,-3.5669136,[-0.547 -0.762 -0.453 -0.312 -0.04 ],1.0250415,,100,-10.293828,100.0,-6.9778056,552.3647925853729,2.7537105,99.0134,-7.024263
1.0,0.13646,1.0,3800,-40.52466,-122.45828981726613,-40.52466,1.0,1.0,0.34327194,228709,,68.23,1.5386444,38,-3.1471767,[-0.547 -0.757 -0.453 -0.309 -0.044],1.0,,100,-9.694763,100.0,-7.1913204,568.8748579025269,2.3913403,99.058464,-7.191321
1.5012918,0.13317563,0.994459,3900,-40.579838,-122.14408095529973,-40.603085,1.02324,0.601938,0.34243745,235279,0.14798526,65.7,1.6644965,39,-2.668958,[-0.547 -0.757 -0.453 -0.309 -0.044],1.0754,,100,-10.375015,100.0,-7.22187,583.6902995109558,2.791289,99.000626,-7.2697496
5.3324738,0.14594461,1.0239855,4000,-40.423313,-122.11485713322689,-40.574883,1.1439528,0.43188867,0.36555207,242183,0.4589112,69.04,1.9305937,40,-3.4639556,[-0.56  -0.755 -0.456 -0.311 -0.049],1.488457,,100,-16.11585,100.0,-7.062712,600.5460698604584,3.0642996,99.01207,-7.241547
1.468243,0.16084637,0.9691275,4100,-40.586872,-125.3423414358006,-40.6351,1.0236195,0.57774913,0.37063622,250109,0.14319432,79.26,1.4818877,41,-3.566212,[-0.583 -0.754 -0.456 -0.307 -0.048],1.0846338,,100,-9.906889,100.0,-7.2375236,620.0807650089264,2.3022013,99.06748,-7.3017673
