InitialReturnMin,ReturnMeanIW,MeanIW,EpisodesSoFar,InitialReturnMax,EpRewMean,EpThisIter,Bound,EmpiricalD2,EpLenMean,InitialReturnMean,J_sample_variance,Weights,TimeElapsed,InitialReturnStd,MaxIW,MinIW,InitialBound,Iteration,TimestepsSoFar,StdIW
-16.371025,227.41785,1.0048681,100,33.495453,-108.1894935537418,100,-495751530000000.0,1.0005966,35.09,-4.119873e-06,142.62105,[-0.822 -0.493 -0.474 -0.749  0.   ],8.244598865509033,10.794412,1.0636443,0.9428268,-495751530000000.0,1,3509,0.02307652
-15.89959,237.32759,1.0046531,200,36.919556,-108.38268779160737,100,-500825800000000.0,1.0015306,33.96,3.013611e-06,155.55063,[-8.221e-01 -4.936e-01 -4.735e-01 -7.492e-01  1.516e-04],17.31328773498535,10.88238,1.1319767,0.8848613,-500825800000000.0,2,6905,0.037349004
-15.237221,228.1511,1.0046897,300,34.33439,-107.88095318157349,100,-384138960000000.0,1.0031402,34.9,3.7384034e-06,301.5378,[-8.221e-01 -4.928e-01 -4.742e-01 -7.501e-01 -2.126e-04],25.855194091796875,11.892693,1.1473109,0.86010563,-384138960000000.0,3,10395,0.056282707
-12.748947,239.37566,1.0050322,400,30.596455,-108.52305388510285,100,-447717360000000.0,1.0014826,33.75,-1.3732911e-06,179.5936,[-8.226e-01 -4.936e-01 -4.725e-01 -7.495e-01 -5.506e-04],33.384491205215454,9.496829,1.1151543,0.893027,-447717360000000.0,4,13770,0.03631125
-13.500153,230.79733,1.00463,500,49.019478,-107.6303000767368,100,-425451140000000.0,1.0017713,34.52,-1.1062622e-06,251.41866,[-8.228e-01 -4.945e-01 -4.718e-01 -7.488e-01 -7.341e-04],41.462975025177,12.182732,1.1280252,0.90827644,-425451140000000.0,5,17222,0.038404606
-15.197327,233.07767,1.0055562,600,48.63629,-106.91665222990441,100,-434223540000000.0,1.0010437,34.07,1.8310546e-06,150.28293,[-0.824 -0.495 -0.471 -0.749 -0.002],49.666855812072754,12.531922,1.0914987,0.92006105,-434223540000000.0,6,20629,0.028154885
-15.764648,223.32753,1.004794,700,39.39997,-107.50603398377908,100,-447717360000000.0,1.0006272,35.41,-4.196167e-06,188.91069,[-0.824 -0.495 -0.471 -0.75  -0.002],58.48736524581909,12.101826,1.0836878,0.9367168,-447717360000000.0,7,24170,0.02374345
-13.28672,259.19855,1.0040902,800,38.446148,-107.74205717309476,100,-485754660000000.0,1.0014393,31.46,-1.9454956e-06,242.29904,[-0.824 -0.495 -0.47  -0.75  -0.003],66.43989276885986,10.948407,1.1215616,0.9147242,-485754660000000.0,8,27316,0.035985947
-14.989754,221.11339,1.0048012,900,30.738152,-109.101882674461,100,-480831120000000.0,1.005217,36.15,6.8664554e-07,305.67758,[-0.825 -0.495 -0.469 -0.751 -0.002],74.84546136856079,10.523291,1.2512437,0.8200458,-480831120000000.0,9,30931,0.076571405
-18.529236,203.13637,1.0056127,1000,37.13321,-107.6753931841045,100,-392072600000000.0,1.0011486,38.24,3.929138e-06,183.6259,[-8.249e-01 -4.957e-01 -4.659e-01 -7.533e-01 -5.201e-04],83.77498960494995,12.722131,1.1004636,0.91211104,-392072600000000.0,10,34755,0.03074081
-14.1371765,227.59723,1.0055422,1100,38.10095,-108.79971194714402,100,-456941940000000.0,1.0004225,35.21,-3.2043456e-06,159.19833,[-0.825 -0.495 -0.467 -0.753  0.001],92.33625817298889,11.604635,1.0742897,0.9607141,-456941940000000.0,11,38276,0.021389576
-15.315063,228.70871,1.004832,1200,37.28002,-108.09857341004987,100,-400167340000000.0,1.000801,34.88,3.3950805e-06,150.39873,[-0.825 -0.496 -0.467 -0.752  0.001],100.726065158844,11.699874,1.120309,0.9177339,-400167340000000.0,12,41764,0.026830377
-17.992188,212.40848,1.0063385,1300,50.720463,-107.95575349734351,100,-380231540000000.0,1.0027004,36.98,5.607605e-06,240.10985,[-0.825 -0.496 -0.468 -0.751  0.002],109.1739616394043,12.490016,1.2297735,0.86958444,-380231540000000.0,13,45462,0.053582937
-16.701324,216.35297,1.0052261,1400,32.094402,-107.5045414755611,100,-485754660000000.0,1.0007277,36.35,-2.2888183e-07,204.99426,[-0.824 -0.495 -0.469 -0.752  0.003],117.40202331542969,12.25184,1.143526,0.9335383,-485754660000000.0,14,49097,0.028070955
-16.316925,234.67693,1.005689,1500,36.80434,-107.69898582646928,100,-500825800000000.0,1.0007824,34.08,3.5858154e-06,131.57268,[-0.825 -0.496 -0.469 -0.753  0.004],125.49042177200317,11.322067,1.0789381,0.9406919,-500825800000000.0,15,52505,0.022216944
-18.894424,211.90662,1.0051197,1600,33.42381,-108.3809666287547,100,-408426460000000.0,1.0037756,37.16,6.4849855e-06,205.97757,[-0.825 -0.495 -0.469 -0.754  0.003],134.15154385566711,11.381943,1.2032807,0.8251352,-408426460000000.0,16,56221,0.053056654
-17.284103,224.0778,1.0059065,1700,35.306095,-106.93274893283854,100,-400167340000000.0,1.0029404,35.17,1.4877319e-06,251.76988,[-0.824 -0.496 -0.472 -0.751  0.002],142.14281940460205,12.95798,1.1480871,0.8414787,-400167340000000.0,17,59738,0.055293705
-14.509094,231.36502,1.005255,1800,31.078201,-108.29566777017106,100,-511128700000000.0,1.0006986,34.63,-3.890991e-06,146.43567,[-8.243e-01 -4.953e-01 -4.727e-01 -7.527e-01  2.379e-04],151.33083128929138,11.00236,1.0911362,0.9378201,-511128700000000.0,18,63201,0.02416093
-15.816521,217.39868,1.0046682,1900,45.417526,-108.53384964944331,100,-346776970000000.0,1.0055306,36.46,-3.4332274e-06,338.63522,[-8.235e-01 -4.950e-01 -4.729e-01 -7.513e-01  2.917e-04],159.91804194450378,11.73731,1.2531648,0.7634078,-346776970000000.0,19,66847,0.07935874
-16.550041,217.22081,1.0054759,2000,46.859993,-106.9902088893276,100,-447717360000000.0,1.0012717,36.09,8.773804e-07,254.60036,[-0.82  -0.495 -0.473 -0.748 -0.002],168.72034406661987,13.632426,1.1369337,0.9016371,-447717360000000.0,20,70456,0.03759763
-16.03923,213.30315,1.005538,2100,39.681015,-107.6612772921214,100,-505951340000000.0,1.001684,36.82,1.6784668e-06,155.73969,[-0.82  -0.496 -0.472 -0.747 -0.002],176.39705753326416,11.959341,1.100149,0.91938674,-505951340000000.0,21,74138,0.03571884
-17.89212,207.59235,1.0052649,2200,37.19268,-107.99560757412296,100,-505951340000000.0,1.0006499,37.71,2.632141e-06,191.5561,[-0.819 -0.495 -0.473 -0.748 -0.003],184.55678367614746,12.376428,1.0914497,0.91994554,-505951340000000.0,22,77909,0.027142482
-13.75296,248.36072,1.0045964,2300,38.74633,-107.83062303013735,100,-408426460000000.0,1.0006554,32.59,1.6021728e-06,131.92383,[-0.82  -0.496 -0.472 -0.749 -0.003],192.4343113899231,10.509744,1.1061996,0.9349152,-408426460000000.0,23,81168,0.024526952
-16.46444,212.51878,1.0058823,2400,39.096626,-108.02781641300429,100,-511128700000000.0,1.0019037,37.0,3.1280517e-06,208.57939,[-0.819 -0.496 -0.473 -0.748 -0.001],201.16588473320007,12.058496,1.1199892,0.900722,-511128700000000.0,24,84868,0.038382
-13.804466,232.56427,1.0052186,2500,29.956394,-108.63228143581846,100,-475956730000000.0,1.0007128,34.57,-4.15802e-06,115.109375,[-8.195e-01 -4.975e-01 -4.724e-01 -7.473e-01 -4.749e-04],209.7431447505951,10.686231,1.075515,0.9384041,-475956730000000.0,25,88325,0.024520354
-16.526733,208.57835,1.0057741,2600,41.362007,-107.66610929167211,100,-376363200000000.0,1.0011001,37.44,1.4495849e-06,185.89977,[-8.192e-01 -4.970e-01 -4.729e-01 -7.477e-01 -3.296e-04],218.6842815876007,12.514529,1.116657,0.9228606,-376363200000000.0,26,92069,0.03393294
-14.709999,227.7321,1.0040541,2700,32.989155,-108.26515307546495,100,-443174150000000.0,1.0055748,35.05,-3.7765503e-06,321.92648,[-8.189e-01 -4.955e-01 -4.728e-01 -7.481e-01  3.379e-04],227.20936393737793,10.846869,1.1902812,0.83004886,-443174150000000.0,27,95574,0.06837864
-14.75795,223.34343,1.0056839,2800,34.519855,-108.57252977771452,100,-376363200000000.0,1.0005815,35.7,7.2479247e-06,150.11461,[-0.819 -0.496 -0.47  -0.747  0.002],235.2177951335907,11.601003,1.056149,0.95150316,-376363200000000.0,28,99144,0.02152877
-17.423088,211.89978,1.005071,2900,50.77818,-107.11810042327947,100,-434223540000000.0,1.001482,36.82,4.043579e-06,299.73145,[-0.818 -0.495 -0.471 -0.747  0.002],243.92688274383545,13.9001255,1.1275456,0.9133074,-434223540000000.0,29,102826,0.038307384
-16.98703,233.58311,1.0040779,3000,41.866173,-106.88859748770776,100,-343243150000000.0,1.0008496,33.99,3.5858154e-06,232.50114,[-0.818 -0.496 -0.469 -0.748  0.002],252.07028555870056,12.942142,1.1078193,0.91119546,-343243150000000.0,30,106225,0.029606052
-18.3525,206.73654,1.005225,3100,29.887718,-108.59195844985067,100,-505951340000000.0,1.0018677,37.99,-3.5476685e-06,173.399,[-0.819 -0.496 -0.467 -0.748  0.002],259.98610973358154,10.749042,1.1520054,0.90382123,-505951340000000.0,31,110024,0.037997708
-13.790329,227.87604,1.0050539,3200,30.655994,-108.3855466532925,100,-516358300000000.0,1.0008518,35.1,1.5258789e-06,172.74449,[-0.819 -0.496 -0.466 -0.748  0.002],268.0329053401947,10.735113,1.0902236,0.93296903,-516358300000000.0,32,113534,0.02948739
-17.685493,227.23193,1.0049988,3300,50.485367,-106.20672502028725,100,-350346460000000.0,1.0003484,34.58,5.1879883e-06,203.4519,[-0.819 -0.497 -0.466 -0.747  0.003],276.29980421066284,13.873104,1.0669478,0.95023245,-350346460000000.0,33,116992,0.018366706
-18.383911,203.32837,1.00747,3400,46.49403,-107.8670840009733,100,-343243150000000.0,1.0017896,38.24,1.7547608e-06,224.7535,[-0.819 -0.497 -0.466 -0.748  0.003],284.4836268424988,13.601159,1.1317663,0.91429716,-343243150000000.0,34,120816,0.04183042
-15.593002,228.21869,1.0055438,3500,35.793415,-108.64502095628819,100,-438676400000000.0,1.0021102,35.09,4.4631956e-06,175.27345,[-0.819 -0.496 -0.467 -0.749  0.004],292.6356942653656,11.373944,1.0997213,0.89445287,-438676400000000.0,35,124325,0.042903747
-13.49958,249.21603,1.004746,3600,42.681717,-106.94944754601642,100,-416853250000000.0,1.0006255,32.28,-2.5939942e-06,167.97356,[-0.818 -0.495 -0.468 -0.749  0.003],300.60693740844727,12.408328,1.090404,0.9263265,-416853250000000.0,36,127553,0.025916187
-14.803909,220.02379,1.0066304,3700,29.15139,-108.10931329008541,100,-475956730000000.0,1.0011065,36.02,5.41687e-06,177.95132,[-0.818 -0.495 -0.469 -0.749  0.003],308.75482058525085,11.206916,1.0933732,0.9268353,-475956730000000.0,37,131155,0.03180486
-14.9197235,223.47467,1.0054032,3800,47.012337,-108.1815506894181,100,-434223540000000.0,1.0028452,35.55,-1.1062622e-06,216.758,[-0.818 -0.494 -0.469 -0.75   0.003],316.47021079063416,12.014731,1.1562052,0.9034772,-434223540000000.0,38,134710,0.044354282
-18.942986,185.46983,1.0053728,3900,43.681488,-108.99321407009855,100,-408426460000000.0,1.0012783,41.5,-1.5640259e-06,186.25114,[-0.819 -0.496 -0.469 -0.749  0.003],325.461852312088,12.575118,1.0868931,0.9114676,-408426460000000.0,39,138860,0.030138837
