EmpiricalD2,ReturnMeanIW,EpLenMean,StdIW,Iteration,Weights,InitialReturnStd,InitialReturnMax,TimeElapsed,MaxIW,EpThisIter,Bound,EpRewMean,J_sample_variance,InitialReturnMin,MeanIW,MinIW,InitialReturnMean,TimestepsSoFar,EpisodesSoFar,InitialBound
616.56226,35.101307,23.93,1.7109143,14,[-2.622 -0.447  2.491  0.535 -1.281],6.3804173,12.859315,318.009357213974,52.63957,100,35.101307,-113.61876844574128,3711.4558,-14.299046,1.0488687,0.0004082171,8.201599e-07,129693,1400,30.237457
69236466000.0,42.05656,24.62,3.2107248,15,[-2.614 -0.409  2.438  0.553 -1.317],7.05525,13.311889,327.4361937046051,404.2705,100,42.05656,-112.88426282919637,9368.793,-14.752819,0.12689295,1.6901143e-10,3.6239624e-07,132155,1500,29.076376
19538944000.0,63.230244,23.39,8.251036,16,[-2.554 -0.359  2.45   0.557 -1.333],6.14701,14.15981,336.06222200393677,965.7765,100,63.230244,-113.35668433223505,85563.09,-13.770069,0.28290883,6.878579e-10,-1.14440915e-07,134494,1600,30.996948
26823625000000.0,46.199585,23.5,4.266087,17,[-2.529 -0.329  2.492  0.568 -1.361],7.0102773,14.068911,345.53191089630127,867.54755,100,46.199585,-112.42120808693868,18754.027,-14.181683,0.34073436,7.8793194e-11,4.959106e-07,136844,1700,30.231693
611429760.0,52.530853,22.35,1.9820297,18,[-2.496 -0.323  2.441  0.512 -1.362],7.3434105,14.944545,354.3522877693176,181.59248,100,52.530853,-112.36860605967006,15718.2295,-15.170549,0.16290207,3.1629697e-09,-1.9073486e-08,139079,1800,31.332521
inf,33.349575,24.55,1.6193199,19,[-2.455 -0.307  2.491  0.516 -1.407],8.046781,14.721916,363.6641399860382,254.02415,100,33.349575,-111.75406034415201,10370.828,-14.0160885,0.037058804,1.1527368e-31,6.8664554e-07,141534,1900,27.980879
3.6772003e+25,99.294975,23.0,20.682938,20,[-2.486 -0.403  2.525  0.546 -1.478],7.073296,14.657205,371.5423011779785,3351.4756,100,99.294975,-112.57519150644437,610698.44,-13.287659,1.8776742,2.3885855e-14,1.0871887e-06,143834,2000,30.73496
118383760000000.0,34.70205,22.4,1.5456712,21,[-2.456 -0.419  2.457  0.579 -1.429],6.688251,15.098842,382.22079157829285,55.751457,100,34.70205,-112.66395773718574,827.9614,-13.492445,0.32969093,7.668449e-09,-7.9154967e-07,146074,2100,31.50385
1.0410798e+28,409.08456,24.24,36.800735,22,[-2.481 -0.457  2.464  0.54  -1.423],6.339696,11.903656,390.6328921318054,3778.45,100,409.08456,-113.48253877978132,15565616.0,-13.221434,0.55546284,3.1461786e-19,2.9563904e-07,148498,2200,30.413408
1044848.94,35.633125,23.31,0.5210335,23,[-2.496 -0.44   2.566  0.573 -1.433],6.3931317,13.139003,401.6174237728119,22.000158,100,35.633125,-113.11523527092965,815.53015,-13.334906,0.16687456,4.0856875e-07,6.8664554e-07,150829,2300,31.164616
inf,16780.514,22.28,3045.2297,24,[-2.501 -0.396  2.553  0.616 -1.464],6.4303904,14.862674,410.01285195350647,679776.06,100,16780.514,-112.21666471463816,28097245000.0,-11.069775,14.496199,,1.859665e-06,153057,2400,31.951681
8.860702e+29,7849.8022,23.97,4309.0337,25,[-2.48  -0.33   2.472  0.436 -1.512],7.4276304,14.282133,423.1708300113678,322172.75,100,7849.8022,-112.36066661932382,6119475700.0,-13.988119,372.81287,1.556371e-21,5.7220458e-08,155454,2500,29.086832
20865802.0,61.420254,25.21,3.6975064,26,[-2.492 -0.336  2.517  0.372 -1.509],7.2668896,13.000715,435.4943070411682,320.05695,100,61.420254,-112.57415782351704,71211.766,-14.960901,0.48795518,3.1671956e-09,-9.250641e-07,157975,2600,28.21915
inf,65.49531,25.7,4.625882,27,[-2.512 -0.333  2.52   0.332 -1.509],7.314925,12.70263,445.35093450546265,298.13702,100,65.49531,-112.53030640798319,141863.38,-13.075844,0.25410116,2.4300689e-24,2.2888183e-07,160545,2700,27.376537
inf,54.768757,27.07,8.04057,28,[-2.526 -0.385  2.54   0.264 -1.507],7.278066,11.804382,455.70031905174255,1457.7764,100,54.768757,-112.59077551363733,181579.8,-12.39683,0.14881797,1.6322842e-27,-1.707077e-06,163252,2800,26.425827
155472820000000.0,89.0918,25.86,13.152645,29,[-2.536 -0.417  2.649  0.319 -1.542],7.7962418,12.836878,464.49214696884155,1089.6199,100,89.0918,-112.38691346949363,366573.28,-15.657618,0.6221679,1.0131498e-10,-2.9563904e-07,165838,2900,27.03872
inf,1551.5017,26.63,547.70276,30,[-2.614 -0.47   2.691  0.316 -1.533],7.6217484,12.07988,474.28889441490173,122315.53,100,1551.5017,-112.74840763680794,236096600.0,-16.161308,2.6114047,,-1.0681152e-06,168501,3000,26.779724
inf,64.278786,26.39,9.124974,31,[-2.601 -0.449  2.781  0.238 -1.608],7.8898478,13.10014,486.93830370903015,1398.3053,100,64.278786,-111.52332736696468,147113.86,-12.786522,0.17259754,2.1006728e-27,-1.9073487e-07,171140,3100,26.13563
inf,66.959885,28.18,6.1520777,32,[-2.572 -0.467  2.72   0.193 -1.609],7.8294497,10.992934,497.4450342655182,982.57745,100,66.959885,-112.15849581392057,160422.7,-13.757258,0.07836867,,3.8146973e-07,173958,3200,25.091179
695618.75,34.171387,28.43,2.8221753,33,[-2.633 -0.544  2.684  0.11  -1.59 ],7.327987,11.530325,508.66821455955505,128.03662,100,34.171387,-113.22512753943006,11552.556,-12.319555,0.80486935,1.4995584e-07,-1.3446808e-06,176801,3300,25.251116
1.5114808e+17,46.30801,26.61,4.3975434,34,[-2.602 -0.558  2.663  0.12  -1.597],7.000247,12.562588,518.3788211345673,448.72385,100,46.30801,-113.09675067387239,31659.258,-11.679027,0.14344983,1.1030476e-13,2.479553e-07,179462,3400,26.944118
inf,288.25375,28.24,25.901802,35,[-2.62  -0.595  2.639  0.119 -1.605],6.3412733,11.665944,528.0588631629944,2828.8232,100,288.25375,-113.66635410036464,6630388.5,-12.60422,0.34867042,5.8764994e-31,5.1498415e-07,182286,3500,26.20365
25750686000000.0,34.47557,27.81,1.1044401,36,[-2.575 -0.483  2.557  0.114 -1.569],6.704924,10.849064,539.643675327301,135.47173,100,34.47557,-113.74055769827582,2632.542,-12.3598175,0.10545337,1.6605491e-12,-9.63211e-07,185067,3600,26.276363
1.1692563e+33,85.91804,28.08,8.636049,37,[-2.564 -0.455  2.582  0.14  -1.6  ],7.2059546,11.095828,549.7773802280426,960.0367,100,85.91804,-113.55573319699201,327833.12,-13.24257,0.16081832,1.796537e-23,-1.077652e-06,187875,3700,26.079128
1839853.1,33.978558,27.36,3.9369986,38,[-2.596 -0.457  2.547  0.069 -1.595],6.6767435,11.406452,561.1046605110168,307.21625,100,33.978558,-114.3616953085517,3088.0596,-11.738189,0.48086095,8.375403e-08,1.8215179e-06,190611,3800,26.783834
396469730.0,32.333447,29.16,0.6445369,39,[-2.611 -0.457  2.507  0.056 -1.598],6.9719725,10.614162,570.853367805481,31.024206,100,32.333447,-114.49994045598696,2585.2358,-12.739995,0.13930593,2.797691e-09,6.389618e-07,193527,3900,25.117373
65485073000000.0,33.457073,29.33,6.0745883,40,[-2.611 -0.443  2.465  0.028 -1.611],6.611535,10.374812,580.4135842323303,78.66986,100,33.457073,-114.35015915853339,5602.1895,-11.71176,1.2142459,7.533e-14,8.773804e-07,196460,4000,25.143188
1427279.6,30.76658,29.56,1.0502123,41,[-2.611 -0.388  2.417  0.041 -1.617],6.7554207,10.867306,590.7988431453705,53.261337,100,30.76658,-113.4055397057256,2283.8608,-11.599786,0.23842527,4.29661e-08,3.0517577e-07,199416,4100,24.806526
70640376.0,32.905155,28.36,3.8980455,42,[-2.616 -0.387  2.375  0.028 -1.63 ],6.081649,10.883588,600.5443294048309,141.63756,100,32.905155,-115.04657046537504,2594.5994,-11.14496,0.6079928,5.696428e-08,5.912781e-07,202252,4200,26.456839
1.3052135e+19,33.733517,28.37,1.5412838,43,[-2.658 -0.397  2.355  0.023 -1.631],6.0449643,10.999281,610.769410610199,48.795334,100,33.733517,-116.24201601690397,6522.4727,-10.32073,0.71689767,6.9790216e-16,4.529953e-07,205089,4300,26.52159
4.28983,26.299868,29.27,0.94064623,44,[-2.578 -0.402  2.318  0.02  -1.645],6.203508,10.217541,620.5095906257629,8.442362,100,26.299868,-115.44689017327815,281.1911,-10.311694,0.8482363,0.0019300713,-4.5776366e-07,208016,4400,25.658503
3463014.5,27.2307,30.35,0.8156558,45,[-2.575 -0.394  2.3    0.014 -1.644],6.3504333,9.975365,629.7808814048767,28.8581,100,27.2307,-114.74330280210316,739.4574,-12.432208,0.41734558,7.300598e-07,-6.1035155e-07,211051,4500,24.913004
6.700776e+23,187.98634,29.87,29.828959,46,[-2.591 -0.377  2.319  0.026 -1.662],6.086765,9.753353,639.355719089508,6277.554,100,187.98634,-115.90252121773293,2912714.8,-12.402067,0.23411378,1.3082161e-13,-4.6253206e-07,214038,4600,25.56231
6.134504e+30,232.08325,31.91,116.26058,47,[-2.629 -0.393  2.363 -0.024 -1.663],6.7476954,9.128245,650.8995018005371,25859.117,100,232.08325,-114.85466855245657,4571392.5,-12.9480915,0.85658216,2.6106462e-24,-2.002716e-07,217229,4700,23.623573
1.4980124,25.417177,30.18,0.5458954,48,[-2.599 -0.406  2.368  0.036 -1.683],6.62519,9.994156,662.3568298816681,4.399401,100,25.417177,-114.54348797831614,81.38212,-12.292185,0.9738964,0.14427444,-5.245209e-07,220247,4800,24.78796
5.684415e+18,40.729393,30.51,3.3602684,49,[-2.594 -0.4    2.363  0.033 -1.694],6.7810493,9.40746,672.9359097480774,566.2075,100,40.729393,-114.32638062141905,29620.342,-11.715234,0.31422204,1.6424055e-16,-2.670288e-07,223298,4900,24.364864
7.697521e+26,118.30791,28.67,9.378255,50,[-2.586 -0.435  2.381  0.063 -1.693],6.281646,9.99073,683.5846493244171,964.99805,100,118.30791,-114.9530602129424,711041.0,-10.821566,0.25457042,8.457734e-17,7.6293946e-07,226165,5000,26.05707
7208.7793,30.04147,29.64,2.711074,51,[-2.622 -0.449  2.396  0.005 -1.688],6.235338,10.487134,694.5483365058899,59.381203,100,30.04147,-115.13464731134398,3921.363,-11.704207,1.0798868,0.00023874521,-1.14440915e-07,229129,5100,25.413784
40.616615,29.079397,29.45,2.3928921,52,[-2.605 -0.461  2.387  0.021 -1.682],6.2277555,10.198259,704.254501581192,28.90835,100,29.079397,-115.30314373813118,1275.466,-11.341862,1.2496116,0.0011167966,1.14440915e-07,232074,5200,25.708496
8.879261e+23,367.1561,28.71,33.25033,53,[-2.615 -0.474  2.418  0.024 -1.677],5.8611865,10.226377,713.5345630645752,2050.5916,100,367.1561,-114.75377832680628,12523801.0,-11.28265,1.0068297,2.2093888e-17,-1.5354157e-06,234945,5300,26.33353
274610390000.0,55.785038,29.36,8.4074745,54,[-2.584 -0.464  2.346  0.025 -1.683],6.2463865,10.077853,725.3771891593933,629.92426,100,55.785038,-114.81666583516333,100887.63,-11.372369,0.9921003,7.6338516e-08,,237881,5400,25.458996
2334296.0,34.59285,27.28,2.7777522,55,[-2.551 -0.431  2.329  0.016 -1.673],6.3428435,11.42016,734.5933020114899,253.82376,100,34.59285,-115.12731115639305,1924.1567,-10.065124,0.44568107,2.6462418e-08,1.5735626e-06,240609,5500,27.19153
inf,505.6063,31.63,81.02306,56,[-2.577 -0.445  2.311  0.008 -1.686],6.614421,9.7589445,744.6174156665802,12749.85,100,505.6063,-114.93868721011422,20552322.0,-10.978241,0.9970303,,-3.8146972e-08,243772,5600,23.80876
107.35853,25.241814,30.97,0.83577025,57,[-2.559 -0.467  2.222 -0.026 -1.679],6.1259184,9.077188,757.8188314437866,29.482243,100,25.241814,-116.24068594212628,90.257484,-10.32754,0.8633207,0.004386105,1.3160706e-06,246869,5700,24.517826
1.6489872e+18,51.461487,33.09,20.901764,58,[-2.546 -0.483  2.225 -0.037 -1.678],5.7901034,8.742455,768.14936876297,3339.5876,100,51.461487,-116.1420952225991,72510.44,-9.92381,0.61592203,2.7779106e-13,-1.0299683e-06,250178,5800,23.626709
5.525376e+25,37.05595,29.3,3.5914168,59,[-2.622 -0.443  2.215 -0.03  -1.665],4.841841,9.64538,776.6182675361633,390.078,100,37.05595,-118.20389860816482,18498.365,-8.606306,0.07823369,3.1547388e-17,6.198883e-07,253108,5900,26.833044
inf,22.348349,42.69,1.44941,60,[-2.686 -0.487  2.217 -0.034 -1.646],5.78099,7.771526,788.2975778579712,55.208424,100,22.348349,-122.38429837716953,2007.9574,-9.333313,0.5620721,,-3.0517577e-07,257377,6000,17.365921
inf,25.67791,59.23,2.6623871,61,[-2.707 -0.45   2.197 -0.043 -1.65 ],5.4956636,10.045311,802.7237000465393,260.34482,100,25.67791,-138.55338109682106,29859.7,-7.928198,0.058799647,,-7.9154967e-07,263300,6100,11.154363
inf,11.441674,87.27,0.9153613,62,[-2.725 -0.431  2.11  -0.054 -1.661],4.8739023,8.451033,822.016375541687,55.64541,100,11.441674,-161.29529775642163,181.22931,-7.692974,0.08288925,,2.3841858e-07,272027,6200,6.65357
inf,9.782685,115.49,0.86535627,63,[-2.765 -0.453  2.111 -0.076 -1.668],4.6996346,8.326849,848.4202544689178,76.073456,100,9.782685,-182.54810834918905,246.73029,-7.5533085,0.05174587,8.982358e-31,1.3780594e-06,283576,6300,4.7667327
inf,33.434578,206.43,22.584364,64,[-2.809 -0.501  2.121 -0.099 -1.667],4.201727,6.5327096,890.5918068885803,4619.936,100,33.434578,-253.2943742218097,107508.484,-8.083005,0.19573686,,2.9087067e-07,304219,6400,2.7160938
