EmpiricalD2,ReturnMeanIW,EpLenMean,StdIW,Iteration,Weights,InitialReturnStd,InitialReturnMax,TimeElapsed,MaxIW,EpThisIter,Bound,EpRewMean,J_sample_variance,InitialReturnMin,MeanIW,MinIW,InitialReturnMean,TimestepsSoFar,EpisodesSoFar,InitialBound
inf,41.87823,152.52,16.884571,101,[-2.846 -0.511  2.176 -0.077 -1.999],4.09462,7.458952,1859.2712051868439,2078.644,100,41.87823,-212.74798309978382,142809.75,-6.5526676,0.28100508,,-7.343292e-07,741268,10100,3.3063033
inf,8.685537,233.76,2.4911513,102,[-2.854 -0.517  2.12  -0.097 -2.006],4.165984,5.927933,1904.1318440437317,428.67108,100,8.685537,-275.11079476541124,1557.843,-7.405964,0.06021545,,-3.33786e-08,764644,10200,2.4889874
6509558000000000.0,6.058376,201.49,1.4546437,103,[-2.847 -0.519  2.151 -0.051 -2.006],4.3839464,6.714344,1945.1838450431824,262.13586,100,6.058376,-247.84993893210842,105.381386,-9.450043,0.11560262,1.58375e-14,5.7220458e-08,784793,10300,2.9562886
inf,6.6938066,180.87,0.7760521,104,[-2.822 -0.492  2.139 -0.035 -2.008],4.5626407,7.6139812,1984.0313091278076,131.37428,100,6.6938066,-234.2269148142936,121.15328,-7.7858944,0.045543585,,3.7193297e-07,802880,10400,2.449235
inf,8.006698,172.37,6.790816,105,[-2.823 -0.491  2.163 -0.007 -2.007],4.6073337,7.462576,2020.2947435379028,529.1711,100,8.006698,-227.59526790211342,1060.7141,-8.4660425,0.26375875,,5.4359435e-07,820117,10500,2.745885
inf,8.406066,120.95,0.8728519,106,[-2.815 -0.437  2.138  0.036 -2.018],5.313787,7.7899837,2047.034256219864,37.86437,100,8.406066,-185.00841118654338,174.45395,-9.775834,0.122232184,,-6.818771e-07,832212,10600,4.423628
2.2630354e+22,261.5445,162.16,189.5404,107,[-2.837 -0.448  2.121  0.031 -2.022],4.90737,7.676196,2080.3134524822235,29057.582,100,261.5445,-219.63863536310473,6739084.5,-9.27813,3.1091475,2.612359e-17,-6.8664554e-07,848428,10700,2.5638428
9.079751e+17,13.827742,175.47,5.711317,108,[-2.838 -0.481  2.123  0.045 -2.023],4.584031,7.2849793,2117.3988213539124,622.9569,100,13.827742,-230.9394298238245,12623.592,-9.23665,0.4341287,8.421386e-17,-5.912781e-07,865975,10800,2.3650897
inf,5.4306345,200.65,3.8578336,109,[-2.843 -0.488  2.138  0.023 -2.027],4.3595138,6.534192,2158.3166337013245,549.7229,100,5.4306345,-249.67656018822015,81.56783,-7.826936,0.18002184,,-2.670288e-07,886040,10900,2.5431044
inf,19.861824,172.75,5.054512,110,[-2.834 -0.492  2.168  0.037 -2.022],4.8122826,7.21161,2194.7261996269226,404.39026,100,19.861824,-225.86954887906919,19732.588,-10.017007,0.13934013,1.5169307e-26,-2.670288e-07,903315,11000,3.2429814
313765650000000.0,5.9441385,180.33,0.61432964,111,[-2.868 -0.543  2.198  0.01  -2.019],4.545163,7.0910616,2233.9333004951477,64.38003,100,5.9441385,-233.93224099710417,37.543865,-7.6179256,0.0637153,5.9270395e-13,-2.2411346e-07,921348,11100,2.3448083
inf,9.14881,111.72,0.49640143,112,[-2.853 -0.524  2.195  0.031 -2.021],4.6739373,7.848304,2258.6729094982147,22.398981,100,9.14881,-179.971150258118,76.45185,-9.855668,0.13479981,,6.67572e-07,932520,11200,5.424854
3.3276024e+18,13.266521,152.44,3.1903143,113,[-2.863 -0.521  2.175  0.018 -2.03 ],4.542622,7.8211412,2292.3751406669617,256.14923,100,13.266521,-212.396705329592,6714.504,-7.310729,0.20721188,1.546263e-14,-1.2874603e-06,947764,11300,2.9657848
inf,6.3584337,233.19,1.5922967,114,[-2.885 -0.534  2.186 -0.013 -2.033],4.1134944,6.2756696,2340.220841407776,129.56003,100,6.3584337,-275.4486036078734,461.07925,-8.635137,0.15859981,,-2.861023e-07,971083,11400,2.213165
2843171700000000.0,21.83999,180.95,6.2636943,115,[-2.884e+00 -5.465e-01  2.208e+00  1.985e-03 -2.033e+00],4.4835005,7.044492,2379.423886537552,583.6833,100,21.83999,-234.9294971807776,33753.74,-7.4432497,0.25203273,2.0601817e-10,5.626678e-07,989178,11500,2.367051
inf,6.546703,246.64,0.909934,116,[-2.916 -0.561  2.228 -0.024 -2.033],4.3047137,6.3217115,2428.6106247901917,87.050575,100,6.546703,-286.18724070667673,205.05743,-8.451359,0.082645945,,-7.4863436e-07,1013842,11600,1.8446034
inf,7.053402,149.13,1.2397742,117,[-2.92  -0.555  2.257 -0.016 -2.038],4.861555,7.3550997,2459.531089067459,169.9196,100,7.053402,-208.83910292882084,243.60378,-9.294064,0.08812519,,-5.865097e-07,1028755,11700,3.4491298
inf,6.2503877,149.38,0.48544222,118,[-2.942 -0.545  2.236 -0.037 -2.037],4.788346,7.3322206,2490.8176798820496,22.950317,100,6.2503877,-208.2593856957783,17.331377,-8.654781,0.117253445,,-1.2397766e-07,1043693,11800,3.6291811
inf,5.146491,218.35,0.43367293,119,[-2.959 -0.555  2.228 -0.056 -2.042],4.163361,6.8404264,2536.5278885364532,21.512154,100,5.146491,-263.50686303675513,55.7671,-7.4801865,0.06419114,,-6.198883e-07,1065528,11900,2.220678
inf,13.242233,233.29,6.239606,120,[-2.996 -0.564  2.22  -0.054 -2.05 ],4.018795,5.8733377,2584.1624643802643,1291.0583,100,13.242233,-274.4172487950939,6443.2783,-7.6472273,0.106191896,,4.005432e-07,1088857,12000,2.3924315
inf,5.2500134,252.73,0.73539984,121,[-2.992 -0.552  2.271 -0.022 -2.052],4.227789,5.889375,2635.3140518665314,63.908634,100,5.2500134,-289.35396059714776,48.315258,-9.527823,0.06541299,,-5.7220458e-08,1114130,12100,2.3806915
inf,34.9106,281.16,24.930397,122,[-3.021 -0.562  2.265 -0.036 -2.055],3.8177195,5.099636,2690.6958446502686,2359.0698,100,34.9106,-310.40914200960987,103484.09,-8.698657,0.4920158,,-3.4809113e-07,1142246,12200,2.779649
inf,14.244058,211.78,4.405048,123,[-3.001 -0.562  2.307 -0.034 -2.056],4.4680285,6.3438306,2733.791038751602,275.51126,100,14.244058,-255.1786928722478,6135.5693,-9.319679,0.5439423,,-1.7642975e-07,1163424,12300,3.1546106
1.116892e+29,7.3315005,173.59,2.1519182,124,[-3.011 -0.581  2.343 -0.032 -2.062],4.632136,7.1953955,2770.664349794388,290.5934,100,7.3315005,-227.27298012579516,2201.865,-7.9625616,0.30844015,1.0835484e-17,-3.33786e-07,1180783,12400,3.370004
inf,24.900208,175.9,9.2295685,125,[-3.013 -0.549  2.332 -0.041 -2.052],4.898404,8.237966,2805.263813495636,1440.3689,100,24.900208,-230.98986764382934,43195.625,-8.253327,0.12292536,,-1.14440915e-07,1198373,12500,2.2414865
5306367000000.0,6.956447,92.37,2.04047,126,[-2.975 -0.502  2.393  0.012 -2.048],5.233779,7.909434,2825.978595972061,40.85013,100,6.956447,-164.32153341348402,163.21167,-10.319829,0.7812055,5.6897084e-11,3.671646e-07,1207610,12600,6.235432
inf,140.77013,62.34,33.89392,127,[-2.97  -0.5    2.399  0.019 -2.045],5.405691,9.522799,2841.055347919464,3738.3743,100,140.77013,-141.8930778415918,1737074.9,-8.786592,0.5404332,,-5.8174135e-07,1213844,12700,10.246405
4.2532463e+33,36.51016,34.79,1.9069445,128,[-2.938 -0.497  2.418  0.067 -2.049],5.7698755,9.406885,2852.25479722023,148.82695,100,36.51016,-120.3216985796402,12334.737,-10.03736,0.20051864,7.513342e-25,7.8201293e-07,1217323,12800,21.575806
inf,39.509487,45.2,3.9182537,129,[-2.953 -0.539  2.426  0.047 -2.053],5.2266603,8.8962555,2866.201227426529,362.25134,100,39.509487,-128.5046349362982,63729.832,-10.001606,0.09395112,,1.7166138e-07,1221843,12900,16.250526
inf,105.60498,29.59,16.95786,130,[-2.948 -0.552  2.472  0.066 -2.055],5.350884,9.695919,2876.4440684318542,1757.3569,100,105.60498,-116.75407518688904,724838.06,-9.872462,0.59683275,1.5990077e-30,1.8310546e-06,1224802,13000,26.287617
377816.28,29.499,29.45,2.0358968,131,[-2.971 -0.582  2.514  0.099 -2.062],5.398857,9.9798155,2887.7302026748657,36.025974,100,29.499,-116.77062555582525,955.4768,-10.619608,0.4033535,6.88733e-08,5.865097e-07,1227747,13100,26.549292
827728.75,31.692987,29.87,4.6071362,132,[-2.972 -0.581  2.495  0.084 -2.062],5.3008723,9.536387,2897.0542888641357,165.89774,100,31.692987,-116.77122119854883,11763.939,-8.958838,1.0137298,8.865648e-08,-1.2969971e-06,1230734,13200,26.051762
197463.44,34.534885,29.33,1.0388303,133,[-2.977 -0.598  2.497  0.096 -2.064],5.222068,9.5969715,2907.0080382823944,41.918182,100,34.534885,-116.48791249198528,5424.013,-9.661294,0.3300603,3.4713642e-06,-2.6226044e-07,1233667,13300,26.513855
inf,22.059633,45.96,3.9198346,134,[-2.976 -0.588  2.465  0.098 -2.068],5.0186768,8.222285,2920.6846871376038,556.6746,100,22.059633,-128.1308406493781,2678.7673,-9.670519,0.33068883,,2.670288e-07,1238263,13400,16.235472
inf,762.5307,44.24,117.62168,135,[-3.024 -0.585  2.444  0.106 -2.057],5.1462226,9.060351,2933.3929142951965,16711.258,100,762.5307,-127.85728650526927,57657436.0,-9.631288,1.2678491,,6.7710874e-07,1242687,13500,16.333399
inf,6.89604,167.18,1.6557763,136,[-3.029 -0.55   2.356  0.044 -2.064],4.8817763,6.9050436,2969.9892048835754,305.9014,100,6.89604,-223.41847357180058,154.73416,-11.319595,0.047290817,,-1.2874604e-07,1259405,13600,2.8889475
inf,17.519768,55.06,0.6538105,137,[-2.973 -0.544  2.36   0.065 -2.08 ],4.79002,9.146641,2984.1640849113464,29.113811,100,17.519768,-136.10908798026344,610.2316,-10.077912,0.087746814,,-1.6212464e-07,1264911,13700,13.028684
121173150.0,20.082798,53.57,3.05097,138,[-2.962 -0.547  2.381  0.084 -2.09 ],5.0750384,9.245737,2998.0918278694153,180.75389,100,20.082798,-135.43531650138308,3843.578,-9.5908575,0.7381121,2.2743193e-06,3.6239624e-07,1270268,13800,13.019951
5.5628657e+23,20.22795,43.98,1.1996192,139,[-2.96  -0.559  2.382  0.101 -2.094],4.8284693,9.097685,3010.9456384181976,94.307816,100,20.22795,-128.57280314221416,484.71695,-9.242324,0.30545312,2.2525968e-16,-3.9100647e-07,1274666,13900,16.704937
inf,35.91021,40.51,3.0767112,140,[-2.991 -0.536  2.397  0.12  -2.102],5.1779456,9.001702,3022.6246848106384,286.26367,100,35.91021,-125.2015393344474,12913.635,-8.783267,0.36390513,,-1.5354157e-06,1278717,14000,18.638876
inf,65.10467,44.51,40.00667,141,[-3.002 -0.516  2.357  0.11  -2.102],5.0803547,9.025845,3035.495144844055,954.6045,100,65.10467,-128.5252766095671,176670.73,-9.226521,3.9928193,,1.9168854e-06,1283168,14100,16.41677
1.1672695e+32,37.346596,34.95,4.3197107,142,[-2.99  -0.513  2.385  0.106 -2.105],5.366418,9.468422,3047.2468824386597,194.90607,100,37.346596,-120.5924954343227,65997.81,-8.030719,0.46326047,3.532596e-27,-2.479553e-07,1286663,14200,21.706005
inf,20.832357,44.55,1.8155962,143,[-3.03  -0.512  2.431  0.111 -2.109],5.3984866,9.118063,3060.2816343307495,109.06735,100,20.832357,-127.75450426538642,523.3971,-9.083128,0.21612477,,-5.340576e-07,1291118,14300,16.09449
inf,23.850971,44.9,1.4473798,144,[-3.045 -0.514  2.414  0.092 -2.109],4.9085765,8.615547,3073.184634923935,183.76607,100,23.850971,-129.2472265331774,855.22473,-9.928405,0.17368136,,-4.6730042e-07,1295608,14400,16.462505
1.9182449e+28,17.04041,55.25,1.8843824,145,[-3.036 -0.502  2.431  0.098 -2.111],5.449639,8.685142,3088.1239557266235,281.1232,100,17.04041,-134.98601061675444,313.37637,-10.156119,0.22475858,2.3687568e-16,1.5830993e-06,1301133,14500,12.735615
inf,18.853058,53.34,1.4514394,146,[-3.029 -0.474  2.424  0.121 -2.108],5.665211,9.674834,3102.39440369606,181.38011,100,18.853058,-135.0080421355476,1278.6829,-10.327428,0.10033344,,-1.1444092e-06,1306467,14600,12.700235
inf,54.149006,35.28,6.6733365,147,[-2.973 -0.48   2.437  0.112 -2.108],5.471478,9.442239,3114.243664741516,997.7838,100,54.149006,-120.44624663169373,136044.4,-10.291898,0.15606861,,1.7166138e-07,1309995,14700,21.422033
inf,75.6612,37.94,7.288392,148,[-2.961 -0.488  2.396  0.1   -2.105],5.2989273,10.1345625,3126.1991720199585,733.63947,100,75.6612,-124.2471358544469,416783.47,-9.397133,0.12778844,,5.1498415e-07,1313789,14800,19.246956
